delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
173791,31210,22250,11486,6159,10929,4785,3686,114222,28248,3734,11967,4326,8901,3718,1738,227516,32364,32281,6380,-418,-1799,-713,3296,-108378,-26441,4751,-7343,4084,5855,2846,599,easy
191250,85311,6454,14408,4599,2241,634,335,457815,134582,41193,10336,5638,3098,3048,915,-338507,-110132,-34455,10747,-903,102,-2312,-528,-194623,11590,-35024,-2604,-1176,-1816,-2517,-632,difficult
3451,7642,4865,4941,1965,5088,3509,3078,175743,37366,1069,9369,15239,12344,6593,10142,-174955,-33810,-500,-6163,-14425,-10644,-5366,-9687,-169629,-25638,8092,-2693,-12124,-3868,-803,-4441,easy
847679,118485,16938,6587,7696,3716,3295,3461,190116,156221,15040,19964,4076,7362,3363,1873,1386005,42995,8995,-11323,8245,-1305,1827,4296,-70880,-118467,-5199,-15432,-1006,-5987,-1964,-1120,difficult
536449,193520,33076,6280,8742,11087,5410,3566,1029774,358094,108196,71225,58816,23135,31033,13466,-85533,-156657,-89089,-66112,-46255,-7033,-23566,-8963,-901117,-172491,-61151,-63778,-53893,-17063,-27681,-10838,easy
1057993,374406,23993,62785,17474,17290,10782,11196,1193469,457881,95164,31014,16786,19201,7872,4245,-573569,86600,-65402,59100,6064,4426,4798,11065,302616,-253550,-76940,4441,-4688,-8248,1021,2836,difficult
52184,12764,14123,7353,13090,7980,4491,2164,22614,20682,12492,21624,12264,7159,3038,3407,52044,-4590,3353,-19740,9246,983,-1267,-1899,7096,-11246,-92,-8803,-7594,658,4172,-587,easy
1082056,78761,42427,13067,16854,11791,18631,5025,975102,308082,71235,51117,41298,28501,17824,15036,754791,-192881,5418,-26241,-15692,-8618,13774,-7951,-540884,-265761,-63035,-49860,-33197,-24802,-12160,-12071,difficult
448413,298512,30700,9724,9054,4952,3165,1865,836707,569144,54672,38532,23856,11159,8778,10862,-190836,-354716,-23658,-24381,-13824,-6779,-6246,-8311,-585752,-186548,-24286,-33235,-15781,-5635,-4980,-9683,easy
26904,52219,6041,8435,7342,10277,6861,3919,56375,25439,9825,6170,6302,4171,5073,2211,-47509,28177,-2603,3265,-18,6564,-1152,268,-11433,25382,-4965,1264,2097,5648,4728,3147,difficult
