delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
405116,47709,22891,27277,8460,16488,58014,37288,8328,3830,3780,8966,-56604,-16559,-6724,-1577,527,11420,1093693,20221,2700,19742,10409,13083,-19777,35476,4148,27279,1998,245,-48482,-3054,19898,28989,5598,4261,766680,16019,52792,42803,4870,8603,easy
309272,129579,23307,22298,14725,9109,56989,21109,2990,3260,3192,5355,768938,151261,28432,31756,16675,11638,578055,315676,41901,33089,21647,1896,-50594,-8674,1614,2157,5966,1409,-3431,95926,31685,25431,13423,6344,-31552,-11837,-2046,2758,-45,-2516,difficult
654539,143479,16460,15139,26113,10366,140259,19129,3622,2411,5327,4392,-29674,2853,-1562,1979,-1661,-659,1821246,155821,7796,13116,-251,4238,232901,7609,-1624,-737,3485,-1820,-105276,3558,462,3522,1213,11977,652204,451907,59116,45759,101143,16133,easy
79427,25271,8889,4100,8619,6241,306062,38137,18469,3085,3624,3750,-262980,-21079,-2260,1984,16593,3546,-226083,24285,-10374,5619,3588,3847,-135207,-10111,-13020,-1920,1556,1414,-208948,-30993,-16302,-1864,-2871,-2761,-299955,-26434,-5943,1256,6108,6411,difficult
96482,45909,9117,7311,7931,11248,314756,25651,17374,13015,7359,10260,-177152,78311,-16108,-11752,-1420,-4690,-162075,-12819,-14503,-11008,-6407,-8931,-251089,27368,13929,-3875,13015,4934,-214875,-21959,-16365,-12205,-7119,-9615,-286179,30387,-8240,10318,4792,23241,easy
200154,66708,4622,5031,8572,6238,75907,13250,4166,2977,3942,2582,-21590,7582,-1861,331,10492,4979,792265,226068,-244,5987,6663,2768,-63604,-9383,62,-931,-122,6349,-61498,45700,4180,7111,9139,5642,-24340,-2679,142,-2227,-3020,-1458,difficult
324386,93224,11032,24810,9663,6809,118241,26265,5762,5827,4810,2677,402485,174525,-1768,98339,3630,7384,-115672,-20485,-4318,-4982,-3809,-55,611293,34327,-127,-253,-340,2240,240807,166389,34286,6013,23893,8033,-108190,-19963,-1723,-4203,892,3059,easy
399654,77579,21193,17447,10388,10829,82418,34168,6694,4800,8355,4126,1610176,205200,66143,51797,26463,26089,-53726,-18237,10130,1784,930,8983,26236,83569,5119,17772,-4135,3997,5791,-26364,-4268,-3803,-7259,-3709,-2297,-27112,-4628,-4316,-5834,-1845,difficult
202257,51428,14221,20679,15012,5003,58542,39330,5488,3366,3080,7431,281369,39116,-1043,5017,648,-4616,132491,-25999,6434,-279,-1650,-4734,266203,76005,35846,56183,63660,7697,32622,-20221,910,19762,-2142,-4902,5889,-8411,1519,5880,-854,-5584,easy
174039,31383,20719,38779,8440,7119,1180182,118743,18322,18470,14047,6860,-908424,-98531,-7651,8682,-7078,288,-1025977,-87701,11035,23775,999,7717,-1109212,-84814,1050,95314,-3917,-116,-846331,-56918,17411,-14667,-7578,-4227,-1140770,-108836,-9859,-11557,-10461,-2366,difficult
100550,35944,9644,6205,9472,4415,330344,52003,3834,3072,5321,4567,-44552,-27097,-1969,-298,-2744,-3163,-318430,9523,30813,6900,10833,1836,-296734,-44034,1485,3642,7429,2295,-212926,-30579,-2872,-2651,-4986,-3582,-276329,11894,1592,8072,10225,1856,easy
109008,30506,6516,5003,5362,4050,370247,29393,8325,8296,6673,12339,-314527,4902,1659,5133,5141,-832,-362875,-23229,-7485,-6477,-4191,-10622,-156026,2832,1232,-4395,-1836,-9058,-357623,-15601,-7362,-7252,-4345,-10648,-115143,36661,2909,-3475,-1322,-10287,difficult
273623,91711,19850,15917,11380,7787,808354,80331,45261,18613,34338,26036,-722386,68532,31933,17138,-14217,-16351,-526492,15316,-41554,-7619,-30641,-22110,117077,82695,-31504,-11410,-9716,-13321,-768636,-48083,-43079,-4000,-29852,-18982,-773218,-61560,-42850,-7591,-30363,-20483,easy
104158,25063,5800,9154,5183,2986,165807,34717,6046,6959,5990,3610,187297,17211,1755,-1885,-4077,-1850,-145135,-27544,-3115,-5260,-3428,-2462,-89511,1227,9179,22735,11025,3856,-133983,-22549,-3385,-336,-2886,-765,-126913,-16613,-5666,-4279,-4670,-1899,difficult
94035,16928,6047,5049,3698,5516,86493,40084,6130,4176,1403,2933,-55633,-13197,4191,1919,3035,3575,210192,-1404,-3796,-880,3397,154,6097,-37806,-3741,-3388,150,-2169,-59968,-38256,-3381,-2950,172,5370,-62980,-25119,6312,9664,4722,5985,easy
132377,18720,4585,2157,1998,1695,143507,26026,1461,4385,2618,3215,37889,-21975,64,-3762,-1677,-2722,162697,-3427,5769,-556,-364,-1978,-88055,-14106,1669,-3792,112,-455,-63976,-13572,-216,119,-682,-1307,-104207,16551,8334,-3148,-488,-1139,difficult
30777,15949,6270,2921,1665,7069,49570,5140,1269,3525,2876,6671,31509,18127,8285,419,-1050,-3817,-47419,-1335,84,-3078,-2285,-5560,-31695,1985,1973,-762,-733,-5064,-2087,-2882,-1180,-3204,-2253,-5910,-44275,38152,15841,3603,267,22339,easy
54873,13125,4250,2189,4342,2532,86731,28851,6261,5808,2736,2642,3385,-18920,3293,-2780,-545,993,-72533,-1722,1924,-2355,9788,2726,-83327,-26908,-5818,-2943,-1343,-1232,60922,-9261,-5017,-4916,-781,-1824,-67738,-21818,-4435,-5103,910,-1214,difficult
120070,47929,8067,5234,6094,6969,162572,17515,10198,4790,3783,9640,-25291,92340,5752,-2492,-1685,-3589,-94528,-13020,-7941,-2883,-2327,-8531,-67012,68536,-277,9930,13707,6226,-32618,-3784,-3176,-1258,-352,-3927,6938,7999,-5014,-1075,2212,-3535,easy
46452,24579,3494,3312,2078,4823,26311,18904,3474,2063,2034,2856,107324,5113,647,2030,-38,-690,26667,16835,4213,-344,400,-570,-20694,536,-2231,5090,711,9478,-2765,16940,-959,-450,-170,268,-9826,-11051,-1571,-80,-684,1350,difficult
111386,31054,8414,4401,5277,7634,757150,173916,35994,20572,15298,13795,-748194,-153061,-23158,-12641,-545,1105,-511810,-108601,-30464,-13092,-11468,-11506,-642572,-140479,-30816,-19258,-14568,-13042,-706678,-155823,-28065,-19123,-10455,3898,-619566,-156347,-25396,-16740,-13067,-11261,easy
83726,12102,5158,3673,4878,4797,137576,36209,4999,3418,2223,1467,-118741,-24708,10557,5736,4616,5568,-26107,-17645,-3174,-1908,345,1734,-129994,-32816,-3152,-1489,-294,941,-132101,-25290,-1962,305,9692,7675,137694,-20077,-1476,-1367,-1084,730,difficult
435163,100153,21154,11960,12366,9385,343029,35029,23635,12064,18705,11050,-134673,45107,-13806,-2117,-8574,-2327,-313859,-18707,-15190,-4179,-12939,-6704,596196,205200,-2945,-5698,-8381,-4265,527667,64054,-10444,5921,-9328,-2095,-214662,29964,29981,5552,7527,7068,easy
113878,42852,13911,6858,4290,4784,44400,35228,19255,7319,4665,4513,56300,32593,-1546,-3820,-750,2023,10708,7237,-14448,-2701,-2011,-3002,35179,-25868,-18316,-7011,-3648,-4132,35235,-11395,-13217,-4679,-2188,-3337,209969,35555,20806,15908,6722,9805,difficult
39843,33488,13053,44278,10714,12719,141643,21886,7770,5117,9231,11761,-57067,14808,11666,50227,5391,1272,-126750,-15406,-3017,27536,-8356,-6079,-120803,8325,25036,113104,13392,7774,-87025,59213,-5027,5897,-5385,2316,-117355,-8928,-2244,-957,2371,-491,easy
143084,40725,3297,4592,4192,3125,76631,22129,8614,5423,5103,4212,75995,7656,-674,1208,1175,-899,145748,20211,-7460,-1136,-1388,751,-63907,-18503,-7516,-5088,-2293,-1515,210821,91912,-4711,95,-2007,-1722,-36390,-8294,-6224,768,-40,-2052,difficult
585217,148447,49392,25382,19564,16123,132857,24356,15376,13927,4758,2514,-118948,-9396,64685,34737,6645,5073,-89435,-18086,5048,-6458,-1791,886,239558,37962,50651,-617,-88,13104,2058529,546467,22453,29680,48257,34883,172096,63509,27241,-65,21008,14097,easy
120368,28079,12676,6758,6663,13243,120725,30919,10649,2854,15756,5641,-63906,-4939,2846,1249,-12874,1510,-45745,-5667,-9687,-1606,-14958,-1236,-38730,-19157,5246,12909,1205,23839,6562,30026,20783,6410,-5389,13455,140032,-14462,-9051,556,-13447,442,difficult
380085,45463,12174,21741,3611,5634,70360,17453,26079,34041,7700,5950,851428,11993,-25397,-17726,-6065,-3186,66735,-13472,-24459,-32783,-7067,-5345,150269,8938,-19360,-5927,-5830,-3721,384745,139671,20843,21931,3674,12755,95447,-7080,-21150,-26993,-5156,-2081,easy
36414,8136,4063,4212,2637,4953,95545,24368,5587,4431,3345,4281,-10824,-18828,-5427,-3701,-2998,-3562,-56931,-3062,699,-3159,-691,-3149,-87407,-20058,-4539,-645,-1027,-803,-69988,-21033,3927,-517,-1822,-1608,-70506,-18178,-2281,6927,2999,12483,difficult
322615,39224,23307,18115,4055,4459,374138,38350,6710,3303,3689,1727,1007678,47473,21948,4722,-162,2701,-287767,6978,26506,13154,4487,5492,-338075,-11082,34067,46945,1542,2822,-367565,-16298,6533,11997,-847,3401,-271885,-22700,-6069,-2757,-3191,-757,easy
82198,16486,3317,5750,3916,10572,121749,26813,3618,8168,5981,7993,41851,-11184,-3404,-3497,-4476,-6508,-110633,-15125,379,205,-2451,10602,-103471,-17724,4333,-6254,848,5971,-96702,-4311,-271,-321,-1939,5534,71200,-3291,-2541,-2225,-2306,-2704,difficult
524629,39904,19562,9038,8052,5494,144639,79743,14195,6270,8124,8702,1269626,-66063,-4142,1416,-1016,-5484,464373,16655,63290,14037,7585,7455,-104844,-73237,-11745,-5699,-7002,-8032,314308,-58979,-9200,3592,-1743,-5123,-43512,-17570,-11366,496,1818,-4854,easy
644002,89530,25250,20683,14118,10465,328403,61960,12120,5813,6173,5062,-243992,14114,-7371,-5278,-5587,-1286,-123353,-3648,-9819,-3559,-2653,-1920,713486,18521,14069,32824,9609,13873,1552402,162943,78548,53978,43795,18940,-320547,-54080,-9775,-3617,-5438,-2592,difficult
179456,81155,17772,12088,9410,8799,75368,47417,6587,3487,3767,5793,-9372,-3900,27552,5734,4760,5296,17833,-32808,-3572,-1618,-1043,-3227,148787,-27794,2434,2336,-358,-3605,403382,256192,34483,29254,22702,11361,-40189,-23000,-4974,7300,2155,5205,easy
333852,130243,33805,9923,11182,7390,1095051,149622,24742,21279,10704,4157,-919658,-141406,-20932,-18967,-8771,-3370,-870745,-116923,-9529,-19010,-6141,-900,-1074647,-121391,-19592,-17178,-8292,-759,-20653,411556,116812,16544,30421,23215,-920294,-128731,-21445,-18168,-4825,-2022,difficult
494334,117405,31949,22758,12183,6235,456672,134260,25909,21779,14226,24691,402999,14612,4518,14173,-6614,-16720,-448148,-103284,-11048,488,65,-17640,-153297,-110297,-18890,-18458,-10213,-21626,751430,243890,80845,29601,19959,-12115,-364674,-129196,-25226,-20911,-13413,-24180,easy
134925,30057,11159,7593,2558,5389,30937,28502,2337,7362,12722,8096,40576,-19272,1277,-5923,-9686,-3070,214662,-21363,6127,-5554,-10959,-6067,24755,37839,26306,-3924,-11509,-3477,21341,-3028,-1210,-1725,-7989,-5902,218608,13600,11608,18279,-10679,4982,difficult
103012,17708,6527,3017,3919,3783,65430,64387,7575,7459,4917,6055,-55006,-47846,-6024,-4643,-3068,-2048,116167,-44210,-6390,-6213,-3598,-5060,-60128,-61584,-6356,-7033,-3462,-4461,205878,-50538,-4885,-6706,-2405,-2388,-19003,-29218,18415,2386,7544,2599,easy
136112,34005,6629,4868,5016,4542,103693,7455,982,864,1110,1020,-20002,-1769,-85,-387,618,-54,-80036,3564,2447,3028,4062,5386,253706,4655,-273,1694,1426,1709,-51959,52357,4960,4826,7281,2775,60385,73941,21184,10859,6142,7795,difficult
388181,55271,26592,16538,7603,8194,592273,27947,5309,5750,3314,2932,-529785,10467,-1557,3184,423,2637,65854,45442,15121,7292,10626,10122,-147670,70282,92076,36382,6547,11897,102244,18083,-134,6567,4798,2970,-511105,-7654,908,517,-950,-1314,easy
380698,40941,13362,13477,10584,5469,147524,17325,5617,1435,1389,1170,20056,-10101,-4519,-106,120,-725,464570,35410,1534,2862,3803,254,-127340,-10156,-1081,-462,138,-173,865689,40901,32188,35607,14287,12618,-57104,62026,10604,22308,27629,9521,difficult
117132,32287,10131,5675,4655,2805,336884,58164,23891,9238,25032,9542,-253642,-30487,-20461,-2291,-22268,-7275,-107825,-42842,-20973,-6934,-22322,-8955,-317619,-26105,-13213,-3798,-20145,-5362,-263718,-13141,1821,-851,-19546,-5874,-155956,-16811,-15972,-3941,-17604,-6221,easy
284704,72105,18486,9723,14073,11274,382626,42836,5105,8982,6602,6263,-39245,31324,27003,13232,19083,29632,64079,-19460,109,-2397,-1160,-246,50514,122930,30355,2989,5159,-1808,-272973,41425,9779,-3018,19217,2145,-291985,-29872,-340,-7099,-4943,-4669,difficult
71068,23666,8265,7209,5928,5210,71516,18570,4061,4742,2913,8204,-13038,-10786,-1646,-4546,-1554,-6570,-22327,13671,-792,237,4121,-3668,-28285,-1265,17674,9727,4055,-2125,97694,15262,-2005,-1666,1100,-4674,-36284,8598,7791,8583,7355,2067,easy
658395,173054,44543,32639,30523,34751,553646,64854,23245,15163,6427,11956,222444,80882,23518,44218,43425,16549,30920,-4997,-15525,-8544,5909,-1439,165222,129581,-4635,28686,22046,21242,-120479,46335,28626,12392,21370,56095,225637,289199,74507,10627,27729,21526,difficult
54656,38343,9043,6176,4542,5754,66923,12966,2205,2185,2896,4286,38319,30821,898,42,-74,1363,-51503,-2049,7715,2563,160,-2425,-42566,18456,2912,4305,1702,2652,-29671,18819,10720,2041,-779,-2317,24085,60839,11946,11006,7219,8065,easy
308504,29708,84657,8855,5373,11861,166278,23444,7253,7104,2464,2514,-144644,-10462,35930,2254,2802,4346,-136504,16087,68635,13995,10750,13712,732093,19653,286232,-930,1898,26713,323513,-17250,-3886,-3215,-444,297,-63328,23290,107,-3349,-463,1668,difficult
178464,42995,9279,7888,10215,8171,50815,26914,1936,6409,3163,4395,-20959,-5568,3521,-4646,-1604,-753,666557,134466,29560,18651,22928,13036,78487,-15538,2414,-3075,3330,1865,-38028,-7666,2395,273,11525,7020,-47813,-25291,-1175,-3808,-917,-2289,easy
256781,39821,3440,6004,4204,2989,811210,93950,32870,21728,18412,19778,-412151,-54920,-26714,-18974,-13168,-17148,-365907,-82924,-31669,-20263,-15766,-18724,-646338,-62774,-30137,-16769,-10865,-16457,-578513,7286,-26871,-4637,-13823,-15031,-769237,-77312,-31761,-17977,-17420,-16587,difficult
