delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,midgamma_cc0,midgamma_cc1,midgamma_cc2,state
828106,54153,56123,52174,11354,20347,8562,8978,1901250,97046,-43397,-9861,915,-5196,-605,-5130,-804480,25346,-42803,-49884,-7748,-14788,-6575,-8423,-687046,-872,-46861,-45766,-7231,-17023,-7045,-8567,661973,110300,2323,-40817,3077,-10205,315,-5635,-2705730,117434,1349019,-71700,-26218,111172,594,-4058,49184,-40023,4118,4949,-8663,517,10308,-9592,-2235,6818,-5970,-470,7360,-3293,-144,2932,easy
1128974,242873,50331,45091,32084,32088,17908,3603,-527392,-156175,-42947,-34040,-13281,-12663,-15776,-2912,-876698,-158997,-12605,-40403,-16960,-23876,-12462,-2459,-764254,-144799,-30784,-27411,-21390,-21617,-15222,-1966,-633150,-79920,21374,61020,73799,-17588,-8301,2519,-349306,112444,131104,-2822,14198,64879,30342,-18179,52158,-6363,12992,88431,-3679,-4430,95189,-11213,2259,4029,3314,-2760,6921,453,493,4485,difficult
526449,92660,17713,12591,8616,7865,3132,1619,-334252,-9048,-12694,9535,-3917,5417,6333,-129,-339023,-41445,21865,26425,-5522,-190,3131,383,-386653,-86988,-10455,-9501,-4139,-6242,-952,-1179,-69228,-35694,19574,14430,5691,733,-135,107,-4771,-47630,317425,-32397,-45543,51294,34559,-32320,30029,16890,-35926,23931,-1605,1383,9830,-5607,-6052,6975,-3202,-4083,817,512,-1562,1286,easy
1253461,175604,22905,35122,19008,10567,6904,5680,-803797,-123954,-13958,-17183,-14588,-6888,-4853,-4252,-1057360,-135951,-11153,-33313,-17520,-8761,-6161,-4383,-947914,43181,-4121,46613,-8713,-5969,1689,-4437,554613,436539,66000,15815,12395,7943,4771,1176,-253563,109446,1502527,-11997,179132,393358,2805,7032,70121,-16130,79926,-30798,-2932,8807,21108,-1873,2792,13912,-1308,7850,3082,-131,-54,5613,difficult
1333844,98407,56969,22225,22617,19719,12990,7913,547548,273695,-36082,49253,-1780,3673,-5038,622,-797598,-8468,44202,-3836,51095,188,-5829,-3209,-966292,-47647,-44908,-14874,-17370,-9975,-7246,-4797,-634246,36831,-24658,-16527,-9214,-8775,-11590,-6303,-1345146,-168694,332046,-282163,-39179,84478,80284,-89110,20250,-53089,-11038,-1653,52875,-68465,8156,-3485,-10163,1200,-791,-1417,-4344,-3831,-1588,-1506,easy
734617,373117,113975,34810,23133,15313,13463,8734,2348253,254255,32362,367676,309522,215549,144777,32234,-698272,-355639,-113091,-26420,13651,43573,-9974,-6171,-723464,-355674,-110191,-33411,-12754,-2565,-13098,-8135,860228,-154621,-92006,125539,5084,294364,-1509,3829,-3046525,-25192,1583692,-609894,-35,201053,-145453,2900,18185,-394096,-6991,158950,-295871,-26405,17838,-171976,-46138,296929,-154751,-3124,11589,-38405,-1964,11964,difficult
1274456,301585,88890,62846,48434,21213,24781,11383,-201573,-228478,-86002,19250,-45272,6843,-21957,-6135,-870596,-246281,-82532,-30346,-38174,27401,-22790,-7984,330856,-136370,-32287,19183,-14679,53979,15221,-6486,-986413,-252495,-72311,-23725,-31746,4603,-7335,-9738,-669023,1201452,-1317269,-17803,109911,-116125,3470,50245,-40024,-49596,49529,-42908,7098,23495,-17067,20558,26578,-49376,-833,38011,-22556,-1849,1498,-3252,easy
663644,72055,18599,10407,13864,10733,2676,4984,-340553,-55355,-6135,-8858,-11408,-7208,1052,-3524,-341762,-46038,-14337,-2892,-11235,23578,4221,1340,100181,-48102,-9138,3008,-11458,-6756,3558,-3852,-657553,-66854,-12283,-6890,-9441,5935,6188,3766,-1209,441943,-757734,9317,-2064,-18752,-8202,5199,-3145,5966,5900,-9898,173,-223,2017,30786,-30334,12691,3169,-663,2630,4864,-5192,7618,difficult
390717,102005,21947,10513,8173,13770,6501,3151,-189186,-93656,-20568,-9280,-5523,-10368,-5800,-2264,-388630,-98720,-18458,-1664,277,-4481,700,-72,-296366,-17403,-19001,-4332,-5463,-9096,-3467,-1626,-234167,13202,-10106,-7523,-2805,-11839,-4399,-1308,-199444,92264,62199,-5064,81317,30605,2110,-543,8895,7616,-2668,-3191,5800,-5740,2658,5887,-4615,-2743,6500,-4167,-932,2192,-1554,318,easy
471704,56683,19855,11363,5608,5527,1351,2134,578835,99572,71677,13875,16089,17542,12345,19400,-437470,-46252,-17294,-7003,-4797,-810,162,-228,-432601,-43247,-14714,-4669,1907,664,3673,-206,-463774,-53592,-15571,-1741,2026,2195,2871,-153,-1016305,4869,-31173,-145824,3005,-10345,-88971,2580,-857,-20878,2334,2928,-20886,6704,119,-18352,1474,1531,-12183,3511,-802,-19628,22,53,difficult
