delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
632293,184898,36489,16277,17565,9935,1003001,78594,42906,55853,28750,16812,-247821,-17643,-24397,-34904,-19988,-9392,-448578,23989,11587,-54058,-21660,-8594,-7635,-21773,-21606,-50579,-24613,-8650,-584343,440823,40616,-11144,31836,4077,-565162,106124,-38287,-47197,-21498,-11827,easy
879210,233004,97877,21820,20532,17360,601436,374210,107450,85217,19551,19247,-355636,-339197,-105100,-84883,-17768,-18397,244566,100681,-421,-63072,-4077,10093,462382,-152687,7830,-60215,12777,16566,-139755,-29029,119494,-64830,22432,-5215,1177314,-285800,-69668,-43985,-8460,-12480,difficult
1315188,322091,213246,61346,64855,47497,1174786,507094,145748,150070,88549,59330,139271,107520,-32861,-111667,-37349,-35741,-267701,-440063,-136451,-132364,-69486,-52245,35074,-350410,-112863,-112448,-42543,-17341,389637,43154,722477,-71701,89519,81231,405729,-285217,-102813,-15441,-58611,-35070,easy
868125,196909,26273,18497,18531,9033,206927,79019,17918,13847,6136,4687,131919,88704,-12195,-7289,5268,3478,424492,115923,28185,24619,42263,6699,1117364,218929,2029,6449,11404,5349,1686884,223758,41504,12454,8847,10150,-54670,-57865,-17749,-12985,-5806,-3946,difficult
891427,118503,64840,57496,15310,14915,1546044,295466,97994,119731,63186,35104,-1297570,-267704,-95992,-116172,-55414,-26963,-181129,-104552,962,-39711,-47678,-26679,-1394007,-166299,-62605,2170,-39404,-22749,-335992,-215516,32013,-68062,-44155,-17616,-64389,-130743,-40149,-89399,-52730,-6939,easy
776566,233688,55075,17135,18693,11690,879139,64167,17401,11350,23733,12133,487732,701613,69042,3395,27119,9258,43889,100521,10579,11833,-15460,-8302,-806072,-12139,-1037,-996,-20572,-9916,-553677,93781,116435,4626,-344,6259,315264,-36172,-6648,10068,-15942,485,difficult
1093827,137541,50254,51258,35639,18897,1534959,226246,70219,117375,42195,43154,-110736,-88332,-45603,-91797,34498,-24055,-730012,-21894,28696,-23122,-2813,-21580,-312178,-88044,-55228,-34720,-9202,-16757,-877135,-162352,-54900,-88502,-35292,-35530,-175597,-82901,27208,-92446,-19973,-23364,easy
220285,62780,8686,3167,4522,3255,951513,197537,32076,28237,16309,11277,-910241,-181293,-29113,-27556,-14544,-10035,-805321,-166814,-28338,-25076,-15092,-9707,-621520,-90366,-26022,-21061,-14997,-7330,-478977,-73988,-12024,-24605,1074,-3546,-840081,-161326,-21451,-27053,-15375,-9493,difficult
1086908,165552,35420,17208,6740,6672,372829,151168,17372,12165,11765,8526,260565,-148459,-11166,-7128,-10837,-7658,553243,68752,45480,4985,-6639,769,1422339,42008,83287,-2751,5418,4764,837450,246676,-14863,28593,-6581,-1830,496800,-137058,-12500,1518,-6487,-5316,easy
319954,117995,11658,20687,9119,10023,167780,41745,14442,7245,3197,4252,279298,16040,-8315,3240,8407,-2733,555554,19446,-9484,21460,4280,6746,-31117,-28409,-13494,120,-1264,-2821,73039,402186,25013,46989,19795,31453,-115903,-28014,-7640,-4598,-1607,-3789,difficult
935579,181401,43305,20638,9678,13213,1245445,150574,8610,16739,6878,9455,-1201100,-116830,-240,-12217,-4082,-6992,-1008202,-123288,-4608,-9299,-5138,-6941,618001,446666,129791,47925,12039,28580,204571,26897,32794,-6224,11319,5211,-162601,-79312,15736,-688,-140,-1068,easy
1461710,183933,54799,20764,24561,26416,1245487,126036,25153,19755,16952,10541,320129,129989,-14507,-11624,6338,13819,-432279,-17035,-17439,-12533,-15357,-8633,-295573,-85843,18130,-6746,-1955,18842,1152075,-91247,-8256,9835,6317,-2497,336765,353621,170301,26113,42703,57843,difficult
1115468,213770,41462,79213,14490,38894,963101,152619,71220,84089,12376,13889,-552836,-93507,-69919,-43650,-10000,-8883,613624,271621,-33232,-65615,7082,-614,1818259,274384,76732,231980,32426,151265,-403373,-84599,-61866,-73750,-10388,-4086,-713838,-62142,-60505,-73346,-8550,-12656,easy
723089,187448,46520,37247,67605,15504,1604429,444236,185349,78933,65494,69376,-1443553,-421286,-181753,-77052,-61396,-62688,-1414937,-381166,-140036,-54041,-34434,-55918,-920464,-415923,-179895,-74768,-64188,-64206,198687,217968,-26688,62944,219142,-28784,-826433,-283533,-165771,-65513,-48567,-57763,difficult
1035591,370060,64159,66307,32107,22904,215109,34748,7277,8649,4513,3405,779324,30951,79674,-3320,5186,4541,-39467,282,-4077,4775,-805,398,1081205,1150092,112739,237083,84932,60449,747097,44280,13092,5848,4991,11170,1534252,450957,82982,43905,43665,20937,easy
