delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,state
286293,96480,7013,10040,3228,4603,123146,41115,14483,4041,4322,5464,120202,98284,-8902,-388,1618,1458,-114199,-38298,-14109,-3385,-3298,-4435,-80954,-14400,-2693,5235,-1758,-585,727538,175872,-4176,22534,-937,116,easy
230696,130587,6673,4278,6326,23573,121294,24933,8120,3257,4409,3922,-92660,17371,-6004,466,-1318,-188,-105364,-11350,-6,2047,437,18871,213925,-7763,-3304,-2160,556,-1822,421705,424359,3526,3730,7993,61741,difficult
474546,147294,11272,17265,17173,10587,998741,137464,69907,28980,25127,16025,-26009,201562,-55990,-2912,17736,1880,-195043,36652,-55276,-4517,-9449,5231,-914619,-105467,-63683,-24981,-22773,-14707,-961110,-93429,-59593,-14451,-17332,-14157,easy
259147,24148,9878,2053,3239,3558,91721,38153,15579,1810,3409,4992,519769,-18764,954,919,574,-1233,-6352,-8924,-1542,1179,-148,404,190485,-10528,-13297,-338,-1441,-2367,-34197,-17806,-8918,-790,334,-2542,difficult
223655,49701,16286,6706,11237,8485,540400,120005,47399,16594,11950,10022,-478653,-99171,-41759,-13990,-9174,-5745,-448116,-84624,-30539,-7718,16391,11157,-163786,-125,-16225,-5657,-2190,-7392,-176425,-97295,-35928,-12188,-7881,-4170,easy
633948,70887,25038,14601,13454,17554,55165,45245,6326,4177,2805,3346,35440,3323,15732,3016,4841,-555,10143,-30231,2789,-861,1085,-1349,-37574,-16966,24395,12001,17488,29790,2307121,146441,31930,27540,19181,28945,difficult
220152,66498,11204,7549,4633,3584,236546,113318,23415,5203,17820,9030,-194181,-57749,-20582,-1793,-15082,-5745,365578,-36548,-18254,-1690,-16160,-8084,-189641,-57712,39,8571,-8948,-5067,-47331,-35272,-10048,4297,-12559,-2887,easy
379852,143641,29271,17599,11859,5389,1451178,238101,23556,11890,12795,17339,-331720,279256,62735,49093,28060,-3947,-1197709,-219353,-18971,-6003,-10811,-14212,-1430092,-235835,-23255,-11464,-11591,-13884,-1325782,-201907,2351,-8791,-9404,-15758,difficult
62268,37685,8523,5246,4869,6036,400083,666875,39151,36382,28184,13646,-278553,-615142,-33559,-28790,-16873,-9804,-384239,-659539,-35632,-34718,-26376,-11583,-363746,-644616,-29242,-32037,-26134,-9741,-324724,-597462,-24078,-28998,-23879,686,easy
413589,124511,23124,39734,27495,23288,98453,36892,11146,3188,4316,3716,125889,191827,62922,131340,52352,60810,512344,193301,-8360,1135,44357,18517,283382,-25729,4085,5948,-1381,-671,338929,-8922,-10736,7760,-2614,-368,difficult
377355,139507,7211,18223,13865,13324,374519,97945,17876,11173,8338,9478,305005,38904,-3970,6551,-3933,-2150,-343623,-89286,-16057,-10729,-6521,-4671,-307802,-28020,-6292,-3551,4606,-1389,357762,244651,-16343,35928,27955,23593,easy
780164,47534,37846,16402,5427,15055,482185,136942,9155,3602,6483,6315,2592903,14562,111163,50821,5251,22680,-479260,-133021,1669,1888,-4194,6680,-478728,-132701,-4493,49,-2776,3394,-442998,-106472,6425,-1559,-2506,2205,difficult
