delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,midgamma_cc0,midgamma_cc1,midgamma_cc2,state
284039,96773,12188,18856,4816,6043,3694,3954,229040,-11896,24666,11392,11217,4249,-1312,-2498,-52101,-51760,-5723,-17308,-2682,-348,-2673,-2693,1075212,103958,15177,10322,44897,57375,19735,2315,1459196,84149,4195,-4733,5146,11420,12175,-419,-281141,1127313,383984,-39864,155718,-19809,-30389,20900,-10982,-28700,27630,-15055,-13899,47579,-39751,-4597,57723,-45955,-1361,22408,-7560,-195,5008,-2734,easy
964441,85690,53690,64764,22582,29540,46953,24513,1010697,170844,-42153,-24656,-14764,38956,-1911,3360,-872738,-69537,-50910,-63411,-20734,-25714,-42704,-23282,-943549,-51904,-39559,-61461,-6438,17656,17479,2165,-943549,-51904,-39559,-61461,-6438,17656,17479,2165,-1883435,-70811,0,-240381,17633,0,-8757,11351,0,-38755,1950,0,-5970,14296,0,-64670,43370,0,-40793,60183,0,-26642,25447,0,difficult
414190,42821,20815,6560,9983,6889,10810,3762,459909,-21223,-8919,2361,7366,7313,-9381,-1231,3335177,405818,60580,15082,51105,20073,661,1346,3335177,405818,60580,15082,51105,20073,661,1346,295195,649041,20881,18400,-295,2925,1255,-1604,2875268,0,-3039982,427041,0,243223,69499,0,-39699,12721,0,3318,43739,0,-51400,12760,0,-17148,10042,0,594,2577,0,-2950,easy
678701,415145,31449,53765,29122,24331,19166,11752,50499,-341459,-16961,-47835,-18660,-7723,-2838,-6138,-544294,-318492,-19007,-49233,-26234,-22295,-14415,-9898,-602956,-394332,-15677,-52542,-26026,-23454,-15837,-9270,-292392,-391430,-24155,-50076,-25920,-21739,-16475,-11098,-594793,-58662,310564,22967,-75840,2902,-2046,3330,-8478,-1398,-3309,2466,-7574,208,106,-14572,-1159,1715,-11577,-1422,-638,-3760,628,-1828,difficult
778004,122346,28882,40255,19872,17083,15124,4769,-457162,-115453,-23985,-36943,-13253,-16363,-12950,-3469,91830,-49414,-2572,-32276,-2824,-5064,16577,-1350,278190,-71594,-8909,-26344,-12736,-8010,-449,5404,1276906,-1780,57397,-27923,-7049,2518,3751,-1724,548992,186360,998716,66039,-22180,69814,21413,-6337,66306,4667,5932,-1579,10429,-9912,5687,11299,-2946,10528,29527,-17026,4200,2119,6754,-7128,easy
592245,92759,8442,16669,15497,25320,53736,11277,-365721,112203,25018,-2912,24720,4477,-26819,7427,-404708,-71908,13296,-7024,-3627,-10471,63560,1413,-458324,-74594,2427,-13497,-13992,-17442,-45677,-7491,-341626,-85938,-5912,-11212,-11041,-19939,-47195,-7969,-38987,-53616,116698,-184111,-2686,-11344,-11722,-10869,-8339,-4112,-6473,2285,-28347,-10365,2951,-14948,-6971,-2497,90379,-109237,-1518,-6014,-8904,-478,difficult
151714,24143,27553,12202,13815,10125,6306,2671,66076,-1772,-20420,-8380,-11485,-7565,-3080,502,1328204,71021,-7529,18833,29003,47637,12444,6304,571295,151193,3196,-6903,6480,6055,7369,2049,-65623,13192,-16308,-9744,-8111,-6037,-1967,-1684,1262128,-756909,-636918,72793,80172,-138001,12891,10725,-19504,27213,-25736,-2841,40488,-22523,-14591,55202,-41582,-12092,15524,-5075,-9336,5802,-4255,-3733,easy
1133282,437279,28535,20864,17520,25315,28867,18804,70697,-254424,-10872,-10468,-12546,-19238,-20690,-11728,-941235,-422955,-19942,-18626,-16680,-23549,-21961,-17327,-460589,-374802,-11844,-17978,-13509,-19144,-8317,-15197,842675,-263931,6547,32651,-583,17886,103,-6022,-1011932,480646,1303264,-168531,48153,110871,-9070,8098,18391,-8158,648,50629,-4134,3171,12926,-4311,4405,37030,-1271,13644,8420,-5599,2130,9175,difficult
725318,99170,8319,11447,12725,16444,24183,11078,-672873,-53407,-4095,-10612,-6306,-9425,-17287,-8764,-499087,140092,117309,20292,30767,8114,11058,-3303,-541405,-64026,-7232,-3043,-5827,-3244,-3438,-4839,-633973,-86987,-4703,-8935,-11602,-10087,-14017,-9433,173786,-42318,-92568,193499,-204118,-22961,121404,-124541,2529,30904,-23335,-5892,37073,-36594,-5775,17539,-11358,-6843,28345,-14496,-10579,5461,-1536,-4594,easy
629675,536646,29841,28304,18915,43099,17777,19304,272696,-330342,460,-13112,-8549,-36991,-13253,-13716,-64972,-494751,-10396,-751,-5541,-586,-1194,-11247,-152291,-488652,-22514,-15085,-3856,7595,-6499,-884,297713,-388043,-2615,-14403,5099,5214,13551,5602,-337668,-87319,450004,-164409,6099,100609,-10856,-12118,19899,12361,-14334,682,3008,1685,8955,36405,8181,-2381,12059,-5305,20050,2469,10363,6486,difficult
555580,133253,23817,19242,18791,14203,24203,7473,-427137,-114343,-20374,-15684,-15859,-10356,-21566,-4291,-427137,-114343,-20374,-15684,-15859,-10356,-21566,-4291,-470805,-123226,-16753,-13235,-13080,-6043,8622,3788,-322722,-84356,-14783,-8705,-16042,3158,-9568,-2822,0,-43668,148083,0,-8883,38870,0,3621,1970,0,2449,4530,0,2779,-2962,0,4313,9201,0,30188,-18190,0,8079,-6610,easy
1102761,157583,29915,40000,18675,39212,32447,14389,-656961,-90280,-4229,-34888,-16034,-7987,-12040,-10553,-793736,-111640,-22827,-30454,-5569,-32239,-25031,-9530,-837581,-149847,-29689,-38753,-16415,-36710,-28097,-13594,-886403,-92867,-18812,-30957,-15197,-33512,-7176,-9130,-136775,-43845,-48822,-21360,-38207,56980,-18598,-6862,10877,4434,-8299,7796,10465,-10846,1218,-24252,-4471,3198,-12991,-3066,20921,1023,-4064,4464,difficult
