delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,state
346679,23132,31336,16863,12609,19259,-334415,-10232,-26048,-14637,-8279,-4571,-342057,-10454,-22833,-13116,-6672,1049,-134381,2575,-23632,-7465,-1147,4210,-343506,-18958,-26746,-15073,-11886,-7394,easy
47085,9281,8277,4037,5535,7583,102691,67463,55831,64618,-2268,14814,-35293,6876,24276,130914,5614,18543,15937,11679,52692,36037,932,2273,106609,78647,21649,510,4057,-2600,difficult
150691,38372,20154,7620,14789,12584,-134511,-27972,4390,153605,-9529,23326,-142681,-25890,79532,92233,1745,11767,-148773,15007,22688,180690,-8463,29036,-136714,-7306,1063,72627,-1891,6086,easy
396588,34893,8139,7642,6137,3368,52672,-11055,-2969,-4311,-900,-2089,-390699,1064,23595,210206,8439,4940,-367506,-4700,66514,151362,5171,8130,180429,-4932,91320,118746,14213,12208,difficult
219759,39922,6215,9968,7815,12457,-211071,-23441,29994,100013,6667,697,-191658,-26029,51013,78594,-251,3906,-163776,-9817,10834,166537,-2513,2584,-155694,2653,24176,46477,4773,3957,easy
164817,13045,49967,77370,7156,7225,-77291,17015,-42942,124777,2216,26061,-124776,39744,-47058,126381,22487,-1191,-146690,1967,-36713,19380,-2747,6993,-114914,17350,-44543,-51299,-4573,-2342,difficult
23889,19719,15250,68685,10445,14671,-19620,759,-14709,74259,68,-4907,-21460,-14358,111019,55412,3807,7096,575215,3485,30933,16565,9803,-2125,66475,92178,4137,-43422,15740,17935,easy
214638,36526,30392,68495,17896,13010,202662,53473,34815,141309,-3430,17729,-207591,-16174,77190,77293,12673,2644,-186893,-23003,59453,173506,26379,5837,-201733,-26328,-11752,-64216,-15956,-10427,difficult
129744,54667,31905,37933,13418,17175,293763,-11335,-25373,57462,20324,-1139,-110381,-42201,50528,42857,-5422,-3551,-112683,-8898,7085,167687,-57,8937,-124130,-41034,18917,62382,4464,-3768,easy
83916,20111,27885,36296,5794,7842,-71855,-15649,-10528,-27967,-2533,-4419,-75466,-15799,33199,5293,-1102,8852,-66704,19667,21294,44515,8016,8059,-69314,5011,796,23471,465,282,difficult
226742,37811,26484,45499,6949,5837,-218594,-9391,-20344,48333,858,1979,-204595,-24946,-15848,22637,1194,8724,-210090,-29285,36520,117172,581,5092,-198906,-20659,15590,78056,14008,9182,easy
13337,14919,74370,133421,12517,12776,2332,-5000,-55249,70509,-10052,-962,-8194,111,20316,-91186,9511,46,4695,12952,-28579,40165,-5021,8764,456095,15199,-63032,-90510,-8611,178,difficult
738331,178254,61474,42762,22669,20394,-715749,-151476,-47798,80889,-20671,-12584,-730603,-170934,-25637,59591,-19085,1376,-664005,-158846,80306,-1429,-16894,-5811,228817,-153895,-47520,-32608,-14243,-12648,easy
10222,10320,48440,154563,8852,11422,2217,15465,11511,-61747,-3250,-1511,-2024,17743,24832,50717,-1569,4340,11177,8928,-35946,-16426,3219,4012,11426,15022,21487,74182,4276,-3104,difficult
70415,41622,26502,33654,18973,11065,-56477,-1634,7825,90805,18718,9440,-66496,-34222,42093,30574,-2572,2982,-64856,-26327,48849,54777,-10423,2727,-63284,6250,-8409,24965,-8279,-531,easy
105448,25492,6877,2049,3162,2360,-85134,-13671,-2664,7180,3998,1182,121276,93621,21132,21124,745,-75,-71740,8933,23209,129355,4789,8838,1231980,110921,35416,32765,7972,33951,difficult
79585,22462,14591,32111,11245,6144,-64689,-14804,14820,49371,-9142,5213,-69487,-13493,89493,210537,550,895,-57378,2889,53376,95174,8352,4045,-71924,-17564,10295,-9254,-8579,-1214,easy
15146,14042,58705,75953,6493,9159,51767,38616,-20427,53318,2686,13522,6576,2758,49295,15797,2062,1918,4925,-6634,-14225,79077,841,1896,591584,131783,-34087,-57857,5439,1526,difficult
48779,27271,6777,5003,8187,26217,-38193,8816,3013,655,-1069,-231,-11325,-11059,5213,-2642,-3699,-13301,516521,97270,16890,13778,5734,-9849,1470140,90008,50108,84401,24937,3711,easy
125550,29724,12753,120590,16189,10521,81915,3210,-8761,-11482,7300,1919,-118290,-17864,51646,-10888,-10455,5738,-120468,-22924,40920,-63906,-9798,17103,-41926,-14534,-8552,-111717,-8021,-7559,difficult
70925,23879,27557,66151,13136,9786,-20966,8770,43813,10548,-3807,3405,-44950,-8741,7834,53769,-2503,126,-21977,4300,67242,36169,-11478,7990,85489,22820,33126,-3439,2092,534,easy
15080,20559,25463,96531,11635,12778,7795,9956,27611,38948,-8356,753,-5944,-6180,17323,13370,6132,-2766,-5909,-9683,56845,-29996,-7439,-7723,10563,11084,-11001,-39153,4140,-4351,difficult
34176,18111,45884,67873,8163,8929,-23146,-5295,-1278,24084,-3525,282,-14314,1250,75913,43086,1962,3233,-29055,-9485,-18327,19843,1842,16902,1553793,102402,-33372,-23609,9462,6890,easy
157445,19070,34100,90854,6072,8701,-145734,-165,408,7940,2542,7276,-125699,13396,81584,72802,382,419,-149419,-6327,-21041,46019,1901,-1202,498260,95885,-7644,-47940,-38,24554,difficult
175334,28815,36438,28697,26081,7759,-152827,-1693,-11552,96105,-20965,4838,-166742,-21495,-29264,108521,-17712,3142,-155816,-15669,-10157,91439,-14723,-2868,-140169,27576,51927,53867,-20996,4526,easy
245093,25015,21766,9022,6680,7866,103160,171398,53029,111909,20296,2814,-238061,-20829,-3842,59363,-3481,-6035,-210564,-4688,24365,137575,10461,7480,623543,276002,-15509,27590,6932,-915,difficult
784455,125052,11496,37696,12488,9174,-781660,-113855,16849,-2048,1508,683,-781594,-118185,72080,60461,-8440,479,-757291,-91086,17268,40218,-4136,-450,-768586,-113322,172532,41759,4280,1939,easy
109789,59979,24084,21987,8710,14618,-91857,-51920,41912,54773,-5577,-7984,-96072,-41483,-12382,39364,-3175,3154,-100354,-36341,14122,140313,-6037,-3388,-84261,-54635,27587,69355,1915,-3890,difficult
189504,112866,39688,50580,12248,6358,-157994,-107596,-22071,95685,-6414,4660,-177912,-102152,-19904,115537,2165,2201,-156053,-103685,-24605,-2612,-6520,10080,-28874,11834,-17045,-39138,-2414,-2358,easy
