delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
199377,12957,4344,6150,9077,5757,385383,48716,19231,6919,7979,5915,-324672,-43512,-16597,-4570,-6879,-4718,-122517,-40715,-17155,4539,5507,3082,-380534,-38972,-17281,-1115,345,-1314,-371231,-24746,-11517,3287,678,182,268926,-30850,-11887,-5988,5839,1978,easy
548686,66898,22620,15515,11093,17650,434133,76758,18989,20670,15817,23817,-345565,-62051,-13570,-1363,-13370,-20286,-391493,-61232,-14848,-15311,-13776,-16472,472957,40874,18126,5754,5016,-11259,221225,-22990,12612,-7757,383,19161,615641,56099,15835,-7097,-1872,-1979,difficult
31417,18425,11935,6442,5541,13890,127674,59678,5223,4073,3653,8440,-91961,-41165,1657,-2930,2295,-6125,-109455,-48160,-1300,237,6624,27495,-88907,-26199,31181,16800,1771,13805,-121962,-45138,721,-1827,1892,-1508,-68998,-45602,1301,-433,-3140,-6416,easy
1069157,120053,23736,18547,23256,15689,379839,70437,9265,11165,6163,6342,1014519,154667,15902,-563,39950,3950,-150191,-50777,-4112,-5076,-3844,-5212,1846298,105842,31314,14226,-342,7539,-321539,-37046,6844,-2,12039,19196,1057501,75396,22406,28325,37662,21260,difficult
1461075,156562,70617,37812,22750,16084,523942,121596,23438,18845,36996,20648,555499,77142,19225,3096,-5987,-954,639092,15262,20961,15884,-2080,-6927,352158,-25753,46585,-1006,-33012,-12235,1255810,-63467,102167,-10313,-23754,-10431,1883108,171647,46957,87176,-6397,7726,easy
33200,28177,8184,7820,3997,6619,62962,14061,17916,6294,7530,5577,-35472,26242,-10451,-3678,-4368,-1950,-44646,-7312,2514,4514,-1609,14398,-20630,7473,-16090,-4474,-5312,-3539,-48597,6949,-9471,14309,-1709,-757,535,37226,-15163,-3042,-4666,-2941,difficult
335676,79497,11990,12389,7274,4603,84563,88560,12590,7207,5608,5090,217346,164375,8077,30665,5562,6680,158045,-48405,-7996,-2372,1801,-2106,34106,-75621,-8334,-2059,-4526,-3236,733516,-49189,3374,1433,7356,-1744,112550,-36475,1879,-1756,-1861,-2031,easy
503336,95932,30178,23639,21905,16750,683104,236979,37128,15872,12987,26716,220789,-148176,-551,50566,42100,-7258,505033,-97556,7365,235,25272,16722,-498842,-159436,-35539,-2526,-9636,-21190,-613098,-216561,-34781,-11303,-10487,-25912,-512720,-83504,28757,1863,-2658,-12192,difficult
841339,124471,19853,12418,19247,18049,574273,65510,27391,19422,13179,7857,702962,26484,21141,8343,4110,7724,722244,36055,-552,-8012,3097,4397,-51125,-63121,-27188,-16461,-12952,-7464,297493,181374,-25880,-16564,29968,35017,-336245,114015,-5213,-2326,6115,11286,easy
825177,38185,14837,10824,13539,27849,92179,82453,19027,6755,14959,22130,251166,-48251,9197,-897,-6117,11216,1726116,-26872,-6328,16104,18635,14824,-60248,-65297,-12873,-2947,-13950,-19350,-86749,-65461,-8219,682,-1701,3855,1834703,-15457,-2729,7405,-3969,18048,difficult
