delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
264560,80759,16676,20736,12225,15412,5970,3990,-146697,-34558,558,2615,5798,5246,-238,712,-261770,-70872,-12155,-16853,-10091,-10830,-3326,-3393,easy
173116,25309,15568,8100,7020,3315,829,819,-119442,644,-12053,-1196,6097,10099,3510,4014,147107,13981,19091,-4095,-6180,890,299,-315,difficult
92877,66270,13279,8361,6267,4566,1636,1484,200804,69682,41581,3630,5452,8018,8141,2371,65466,-36161,12902,25012,51037,14636,4071,1084,easy
101312,48698,6197,23224,9133,19005,1959,2262,-48657,-37955,-3146,-21378,-8022,-18476,-1406,-1961,-45175,-27060,-2622,-20107,-4421,-17441,76,-1515,difficult
94526,38219,10313,12899,6782,4649,1820,438,48953,-3864,-7060,-10933,-1368,-2798,40,307,-18888,107267,-8749,-6043,2257,-1745,-1263,420,easy
48104,18195,4658,5443,14810,4499,4265,1845,1314149,89119,43933,33477,11,7730,4830,13678,225468,18517,-176,-1184,-11019,-1079,-3874,15,difficult
64685,54716,14869,5606,3523,4019,1544,712,222514,-12020,54283,16850,13362,32601,3320,1857,31520,-49693,-9271,-3547,-1100,-2437,-1083,-457,easy
64845,22249,3370,6797,4288,7143,5304,2436,71941,21536,2773,1579,-2363,-3596,-3886,-1730,14445,61365,10259,3219,-990,-455,-3273,-909,difficult
299053,31016,18583,6559,5550,3773,2125,861,540675,135475,48336,21697,9027,7368,5255,2482,169888,83465,5412,32732,10214,12989,3728,5179,easy
94256,14253,3578,7158,5056,5875,2680,867,-31564,-6245,-1239,-6170,-4133,-5301,-2317,-681,267873,3594,-1885,-3566,-3672,-1962,511,-255,difficult
224378,37705,14734,8135,9927,9903,6013,2575,-161729,-27897,-5787,-4270,-6619,-6595,-4990,-548,-58267,12045,-8202,-3197,-6677,-6155,-3058,-883,easy
533321,189599,33371,32230,23201,19633,12042,6717,-383872,-173700,-24237,-29962,-21093,-17982,-11226,-6170,111729,-94569,9038,-14867,16838,-8917,-4705,-4685,difficult
175623,46469,6853,4333,3928,3493,2260,626,-167587,-36699,-3464,-2663,-1344,-693,-1292,-160,-140244,-11585,300,-2114,-2002,-1813,-1641,-183,easy
84573,28210,13588,20070,6008,9092,2896,2687,84376,5584,6193,-6670,3483,-3069,2496,-811,710763,365922,31083,-6760,25857,19301,8227,16725,difficult
599878,86709,13436,8435,9379,6766,2876,2606,-578795,-60941,-4219,-4454,-7407,-2734,-2246,-1989,-559847,-66629,1011,-4670,-3302,6346,483,-114,easy
101022,23535,5409,9121,6170,11877,4795,4990,392149,93238,4099,3510,3369,-4985,-1094,-2340,-82790,-14283,-2860,-8654,-3588,-9233,-4089,-4456,difficult
50530,23635,4674,1954,1809,3415,529,517,2356,-1252,4932,1695,5769,8657,5920,3912,-48093,-19330,-3660,1139,5945,6666,3799,1051,easy
67262,55511,6007,5980,3657,4797,3491,3448,29003,-39439,3742,-1601,7904,-1618,304,-451,1611706,28484,59838,76953,25647,105684,124306,23781,difficult
177330,22708,1215,4441,5431,6639,2335,892,-123601,-19511,270,-1999,-4182,-6413,-2183,-710,1168218,80727,17493,35474,10458,3496,1167,2971,easy
65932,11712,5597,3315,10909,5453,1747,816,-19907,18490,6947,-2088,-10558,-162,-1126,-476,164786,6677,-5187,2125,-7423,-4308,-1333,-506,difficult
536406,75373,11437,5672,7919,4887,2151,1453,-498917,-43519,-863,-2327,-5181,-2793,-625,-752,-313088,-50613,-7633,-3039,-6870,-800,-1197,-750,easy
109895,47168,13319,3124,4610,2645,1349,945,78475,67825,89726,20890,25087,23325,13112,22234,882672,404517,22982,26295,24327,15451,38952,4054,difficult
80373,16559,3250,4128,2427,2100,1008,318,-74014,-691,1820,213,-1599,1115,418,154,-12740,19720,2702,-2567,-41,2781,1496,149,easy
17062,12747,6305,5489,19422,14920,16771,6757,27801,6159,-247,13733,-10754,-3417,-662,600,-11520,8583,36569,17466,-13766,6223,-8680,2991,difficult
117296,21589,1612,3897,4316,2454,916,651,-94946,-5130,4431,-2639,-2717,-289,752,-111,-67482,21552,5169,2195,-493,139,-422,-93,easy
618590,100171,17524,17007,9213,7738,3661,4786,-393740,-69883,-12412,-15135,-7131,-3358,-1645,-1166,-417680,-89632,-15130,-14642,-7557,-6596,-3126,-3891,difficult
258406,115670,5603,15710,15109,18813,18145,12645,104190,252316,135143,14166,26753,2528,2001,7672,-108511,-110436,-3539,-15319,-14657,-17137,-16995,-12084,easy
76882,41222,11249,5471,4022,2827,2946,1209,-35426,-15500,-7158,-4138,-2180,-1245,-1317,-553,176029,666202,5771,61072,4388,9765,1606,3772,difficult
529782,81038,24985,24791,7131,16384,12016,5696,-304982,-35539,-15022,-17221,-2737,-10513,-9435,-4867,-514891,-76140,-24776,-23186,-6504,-14934,-11580,-5405,easy
442863,266128,68608,24885,35247,28007,30774,25132,-148485,-207454,-49012,-17368,-19310,-19039,-23161,-21908,286857,-98199,-61524,3916,169374,20645,-2750,2919,difficult
98820,23050,639,4258,1479,1702,1047,520,-88689,-10512,3485,5010,3098,22705,5888,1166,120688,47220,2438,4257,1861,5998,5837,1160,easy
119255,18278,4635,5172,4105,3009,1788,869,-37113,97806,11623,31268,4240,14047,4434,1158,-44667,57151,13616,4984,1058,1730,-16,1732,difficult
117290,27496,4176,3155,9021,7957,8134,5194,81706,-9666,-1306,-1820,-2586,-5574,-5995,-4326,195603,-5433,-3005,16722,3502,18625,1681,5089,easy
55327,17724,5224,13260,7809,10561,8444,3760,-5644,58,-3792,-10830,-6207,-8064,-6258,-1640,-1433,28471,-177,-6234,-2337,4380,-3513,973,difficult
22141,19703,4975,9698,8951,4831,2750,1381,12839,-15009,8654,-3762,-7144,-1990,-1127,-873,50938,34171,1920,-4054,8500,-733,1599,1229,easy
112235,54937,13554,12769,13434,13334,13697,4710,-75396,-35400,-5607,-8538,-2848,-4290,-6832,2534,95952,-44765,-13447,-9402,-4724,-8808,-11587,-2394,difficult
330072,83611,31153,10105,4738,6824,4505,1924,-294397,-80644,-30500,-9504,-3909,-6173,-4312,-1709,-249970,-30526,-19806,-4678,-2675,-898,-3696,-1512,easy
604656,45428,8879,7018,6540,12576,7990,3143,-567842,-7350,-2364,18669,7654,3324,1517,1893,905429,-8830,5630,9156,2752,-2834,-3971,602,difficult
68705,38527,15199,7850,13589,9079,4479,2848,-59025,-27143,-14701,-442,-1490,16034,3639,4631,-53927,-18846,-13548,-6909,-3415,-4249,-1922,-1203,easy
213271,9740,7239,7629,8287,8594,3000,1974,-180637,-7775,-3484,24104,-3253,-2019,1561,-853,167124,252650,4349,10078,35396,734,2566,3134,difficult
130279,17898,9030,5301,4989,6174,1745,756,-76204,-12112,-7904,-4861,-4046,-5830,-1481,-509,-85605,-4104,-4378,404,-2926,-2468,1826,82,easy
39367,23972,14012,6754,5720,5885,2609,1650,61370,23694,-12053,-4394,4268,-3430,-1427,-606,112448,-18610,-12311,-6060,-5447,-5368,-2290,-1557,difficult
30375,27652,5643,15235,16574,12918,5060,3191,17623,2641,21679,2223,-14127,-10984,-3285,-2257,113832,71111,9022,-10831,-11336,-4290,723,-673,easy
91960,47198,9066,10580,5527,4811,2860,1810,100276,42112,1053,-5654,-3005,-266,-1578,-1009,294635,-5846,2808,-7482,-3829,-658,-1127,-659,difficult
302307,111491,23862,29168,11398,13856,8110,4450,-288409,-110373,-21973,-26200,-10784,-12270,-6405,-4015,-200120,-91066,-19407,-27205,-7566,-10489,-7316,-3759,easy
150669,50422,20417,12775,16497,8027,6820,2874,-147399,-47657,-18510,-11126,-9893,-4892,-4079,-1291,-48339,-35029,-17907,-6681,-11694,-5794,-5878,-1114,difficult
79488,71329,16110,9002,14028,14905,13790,4462,-350,-60534,-15544,-8243,-13175,-14521,-13527,-4337,837831,59077,18061,28644,-3143,-4759,-7282,1578,easy
105293,65440,9695,8415,9553,8433,4567,2252,246379,-40010,-7524,-2747,-3627,-647,21186,5878,-31631,-55138,3951,3963,6640,29642,20440,14440,difficult
77168,34769,22462,4443,3474,4748,6779,2027,31034,11383,-10161,8746,357,644,-5697,-1097,691002,57695,6726,6270,6380,2450,237,4204,easy
115242,33668,11970,4260,3800,6950,2439,1244,-35796,4084,-4453,291,-1133,-3937,-1802,-315,2197932,43518,1932,-902,3362,925,2397,395,difficult
653070,70995,7173,29050,10536,17224,8565,2958,-582133,-43444,417,-28128,-9117,-13467,-7262,-1980,-464672,67381,2610,-20436,4575,-4486,-3959,3570,easy
41293,19237,4412,6415,3481,3228,1806,1342,1115294,64589,3931,45647,52430,7034,10691,4027,204980,25688,22970,6415,3953,15178,17373,11950,difficult
522830,101503,5314,6623,8070,6934,3929,2801,-293762,-98167,703,-4449,-6158,-2999,162,-817,-488476,-88482,4441,-3765,-5630,-2085,-1752,-1096,easy
164017,12649,3815,3396,3829,3043,2118,751,-87874,-252,-620,3863,-2171,-2288,-1853,-533,3331,68858,33347,26250,32240,8470,9077,2520,difficult
787899,141521,58787,55920,20678,19322,47689,25856,-611955,-54225,-48246,-45790,-14200,-13165,-41559,-17711,-202693,113497,-34538,140183,97050,107433,-92,8342,easy
93032,17691,4823,1971,3117,4904,1826,1199,1031519,41709,31743,22463,16547,2722,3990,1302,-65814,1871,9096,-404,-1279,-1942,-871,172,difficult
96627,12934,4043,7298,13564,11663,4368,2047,-33571,22235,5921,4568,-8655,-8451,-1269,-1331,22128,45558,2143,13397,37104,10437,7545,3152,easy
1146262,135626,22726,25687,10918,10919,15680,11198,-934363,-118796,-21660,-23963,-5674,-9557,-14455,-10029,-1125545,-128577,-21983,-25122,-9409,-9992,-13969,-10261,difficult
160806,29294,2208,4265,6708,3841,1219,985,-149108,-5833,366,6084,3950,13930,5194,6890,-86292,24298,32249,552,3236,939,546,371,easy
472564,47129,18834,28005,24511,18862,7189,5540,437731,54747,47901,-28,-9665,-5378,-162,3057,-434994,-28563,-14868,-24881,-22660,-15978,-6493,-4146,difficult
46192,13014,1579,1233,2832,4030,1974,1314,2929,20273,7504,1919,6594,8541,3671,1293,45343,32676,10826,5334,4684,-2570,-1250,-728,easy
52961,11653,1621,1087,2247,1471,1013,812,2481066,79927,23043,42904,53599,70835,50438,54520,1046571,91791,3850,4782,12636,2448,2340,1981,difficult
120475,64407,8313,7107,4004,3256,2325,882,-86404,-55578,-6019,-6829,-3334,-2498,-1827,-588,126186,77480,16680,7169,26959,12199,1993,16092,easy
28765,36914,21571,12065,13635,22578,4718,2640,-11365,-21326,-16603,-9735,-7275,-5410,1204,3215,-13183,-30043,-17741,-5948,-1554,-12958,-1121,4748,difficult
216055,31846,14691,8032,10795,4590,2772,1557,389802,195752,23551,-981,10813,9718,4554,5167,21672,135807,10029,26761,34983,8097,5468,4289,easy
674899,48717,31694,13592,17402,9043,10012,7076,-10301,20854,-9153,-8726,1442,3512,-3400,-3253,-339852,337465,-25815,-7812,-9035,-129,-5037,-5413,difficult
222043,62816,5978,13585,3894,6475,4283,1444,-171270,1501,-1566,-12659,55,-2907,-2652,-409,-146838,-19861,-654,-9729,4226,-3378,-2940,-35,easy
117797,34314,9479,1689,6827,2339,4223,1309,131705,92512,14960,68907,19741,34631,11263,3189,729618,5605,3509,5910,2915,6587,-1210,1788,difficult
481555,58130,14287,14520,6513,10232,2990,1955,-461972,-42492,-11698,-11538,-5726,-7967,-1670,-753,-197116,-11812,-9782,-12307,6563,6132,156,2891,easy
17087,13532,4155,3297,3047,3376,1630,1350,116658,9363,5578,9928,231,6747,2283,777,-10889,2897,5174,2956,-841,745,-346,-820,difficult
25012,19142,2176,2556,2428,5768,2245,1865,576556,209801,1726,4364,13066,-2025,-522,-1051,167420,-5377,436,1902,1395,1824,-484,-1295,easy
44559,22966,10801,9000,17981,6653,3218,1812,55378,-12726,-7567,2356,-5949,-1654,2197,931,110706,23627,-8974,-6720,-10234,-3558,-1024,254,difficult
58773,49706,7292,8821,5188,6235,3285,1560,82356,-16527,5456,4999,9187,27079,9653,21823,411474,243680,15280,14929,6301,4767,5678,11055,easy
510178,82565,12844,18118,7117,4714,6400,2962,-427013,-67330,-5674,-10194,-4661,2424,-4276,-892,-501833,69304,38344,-8724,44359,7467,-680,102,difficult
187440,110338,48820,20008,26455,15502,11800,7428,-46112,-16659,-32293,23509,-16775,3149,12125,13376,40893,-96333,-46257,-17906,-23698,-13677,-10625,-6962,easy
359516,60500,35225,36263,9253,10962,5779,4225,-347070,-48675,-32517,-29421,-806,520,22236,9040,-279127,-48585,-33313,-31869,-4188,-8172,1443,-287,difficult
526190,26612,5165,5205,6345,2796,1738,736,646294,257607,26515,11278,48159,93837,28739,26615,-458934,9264,12421,3576,2040,503,248,507,easy
270076,40986,13677,5175,4296,4536,1494,1447,-227748,-21919,-6141,-3319,-2584,-2398,254,-757,-196087,44194,-6735,4847,-824,85,-860,-1041,difficult
235856,67399,42117,18306,15677,7707,3822,1870,-73264,-55190,-27647,-13931,-12932,-2299,-1561,-569,8558,167402,-33192,548,36933,-360,-1536,1167,easy
363680,198048,16187,22049,7618,11398,12638,6259,-121371,-98162,5429,-18924,7813,406,-2977,-543,359,-147624,-10852,-17252,5228,-6383,-1710,1446,difficult
637363,591336,74745,69662,102697,66466,29320,21400,2452828,-260204,74243,27254,198226,29920,8694,19585,-473722,-583332,-73447,-67288,-97532,-64256,-27996,-20902,easy
34640,23506,6957,2665,7908,5297,2291,1190,78849,176849,16162,37316,14491,750,-433,1134,101692,133781,41070,2012,5051,1977,4028,4737,difficult
249807,145644,78443,25252,17128,14472,9131,4188,-186915,-89544,-30232,10802,5056,645,-4969,785,222443,-121960,-76004,-20962,-12249,-13172,-7771,-3477,easy
109526,336699,22942,31298,21093,32768,31304,14980,16337,-224739,-5535,-15796,-13076,-22124,-29313,-12221,325649,-328241,-6294,-24213,-12388,-25147,-30152,-12943,difficult
533987,63012,11083,8949,6657,5610,1997,1453,-200937,-6920,23901,-4747,-1321,-3256,-1260,-960,-443241,-28742,-2075,8678,4857,6645,13663,2245,easy
113426,15101,1636,3495,2038,2380,1907,2461,282504,16754,4919,1942,1427,346,1074,-1132,12542,95883,25993,15677,3821,5530,11082,-984,difficult
