delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
541552,74664,25318,23648,14497,4458,245245,94364,9703,9758,6814,6885,-219911,-81782,-8846,-7573,-4741,-6178,1633809,-19118,31303,13090,-1164,798,-160181,-47937,14358,9576,3639,-1452,338178,133364,50219,62316,46881,868,-110361,-83029,-8957,-7961,-6202,-6170,easy
1338496,521465,431280,215569,102081,45295,684177,384648,137270,90875,61468,69878,1260186,1485780,1716972,854623,303380,109408,362063,54214,-109789,-48293,-15051,-53781,1600312,-210837,34717,-30341,-29524,-55307,701401,-323462,-39932,-73436,-1651,-56082,-652365,-321612,-131917,-79085,-54087,-67154,difficult
535760,95500,34288,14526,7888,6001,646165,105602,73378,52989,62081,13679,26702,-52667,-22494,-46454,-55891,-8386,-100751,-83998,-34410,-5202,-47447,-5320,-578846,-73470,-65024,-48751,-60822,-11277,698959,237275,-8811,-45664,-46110,-4029,-598091,-77651,-64711,-46243,-60694,-9380,easy
678004,39741,14541,10741,7148,5423,643848,61573,18251,27302,10636,13173,-561000,-22588,24283,-19400,-5657,-6489,537061,-27201,-13658,-10863,-4312,-10087,108864,-17171,-15078,-11215,-1675,-9647,-457120,-45943,-14091,-24461,-9354,-11899,542975,3741,-8,-16867,3558,-628,difficult
652517,242086,67033,104606,50244,11790,1359152,265216,24833,47066,20887,14538,-808555,-188178,18136,-9399,-17526,-10173,-1016341,-156663,72930,-29850,44767,-908,-1337260,-256532,-19082,-44231,-18163,-12540,-185510,242861,69508,185591,68853,4941,-185510,242861,69508,185591,68853,4941,easy
1348322,173894,58707,41024,20015,23520,1056578,189440,61434,37870,25721,19498,-527131,-166235,-49107,-34277,-17452,-17543,673128,-97469,-7371,-26226,-9812,3931,-377604,-92052,1531,-29216,-16796,-9101,-149828,-113823,-47784,-13669,-17861,-8762,1840157,391848,89095,119160,33390,51583,difficult
695285,214191,32322,18033,10197,17420,1123926,190294,38397,37639,30535,24174,-67741,-132516,-1750,-21656,-22688,-19401,-290920,149336,-18323,-32216,-26130,-2627,-372310,253305,32804,-23252,-11635,-5597,-830279,-100964,-36473,-28174,-25426,-20391,-581953,-49678,-6634,7270,-15813,14245,easy
611628,252138,24387,11913,23285,10937,921349,274865,77655,29896,32669,17341,-257297,-179668,-67260,-26831,-28938,-12346,-315480,-65273,-17622,-17539,-23658,112,-232417,607614,-42412,-495,65765,10368,-59176,-228733,-68386,-16699,-29753,-14795,-684237,-247576,-70660,-28349,-30335,-15358,difficult
678763,92629,19405,16342,8729,7799,120396,47825,11737,9101,3893,2236,914127,-13753,-2322,-6389,-495,610,894980,98581,12341,6650,9627,13288,-97975,-11519,1305,2624,-709,1150,830414,1262,33582,27030,4697,8601,250289,149447,-6567,6288,11059,4166,easy
629882,217477,44184,18603,10375,9334,792590,494021,151211,45373,44596,32243,130120,-318274,-29591,-2588,-36446,-10442,-654750,-462035,-126302,-40140,-34480,-30884,1200101,310559,-86208,-7007,-15829,-12215,-730058,-474586,-146322,-43788,-42430,-31511,-758953,-438382,-146712,-40326,-41921,-29491,difficult
