delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,easy
-6,-1,0,0,0,0,0,0,-4,-1,0,0,0,0,0,0,difficult
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,easy
2,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,difficult
3,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,easy
1,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,difficult
-7,-2,0,0,0,0,0,0,-7,-2,0,0,0,0,0,0,easy
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,difficult
-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,easy
0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,difficult
-2,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,easy
-4,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,difficult
-1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,easy
-1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,difficult
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,easy
-1,-3,0,0,0,0,0,0,-1,-2,0,0,0,0,0,0,difficult
3,1,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,easy
6,-2,0,0,0,0,0,0,4,-2,0,0,0,0,0,0,difficult
-2,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,easy
-4,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,0,difficult
5,1,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,easy
2,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,difficult
-4,2,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,easy
-7,-1,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,difficult
0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,easy
5,-2,0,0,0,0,0,0,3,-2,0,0,0,0,0,0,difficult
1,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,easy
12,1,1,0,0,0,0,0,-2,0,0,0,0,0,0,0,difficult
12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,easy
12,1,1,0,0,0,0,0,-4,1,0,0,0,0,0,0,difficult
5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,easy
2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,difficult
-5,-3,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,easy
-1,-4,0,0,0,0,0,0,0,-5,0,0,0,0,0,0,difficult
-5,-4,-1,-1,0,0,0,0,-4,-5,-1,-1,0,0,0,0,easy
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,difficult
-3,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,easy
3,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,difficult
-5,-1,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,easy
-1,0,0,0,0,0,0,0,14,11,1,0,0,0,0,0,difficult
2,-2,0,0,0,0,0,0,3,-1,0,0,0,0,0,0,easy
0,-3,0,0,0,0,0,0,-8,-3,0,0,0,0,0,0,difficult
17,-4,0,-1,0,0,0,0,3,-6,0,-1,0,0,0,0,easy
-1,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,difficult
-3,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,easy
3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,difficult
2,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,easy
-6,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,difficult
-3,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,easy
9,2,0,1,0,0,0,0,-7,0,0,0,0,0,0,0,difficult
-6,-1,0,0,0,0,0,0,-7,-1,0,0,0,0,0,0,easy
-1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,difficult
-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,easy
12,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,difficult
1,-2,0,0,0,0,0,0,-7,-4,0,0,0,0,0,0,easy
12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,difficult
-6,-2,0,0,0,0,0,0,-8,-2,0,0,0,0,0,0,easy
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,difficult
14,1,2,1,0,0,0,0,-1,-4,0,0,0,0,0,0,easy
-1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,difficult
7,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,easy
-1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,difficult
1,0,0,0,0,0,0,0,5,5,1,0,0,0,0,0,easy
-6,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,difficult
12,1,0,0,0,0,0,0,8,2,0,0,0,0,0,0,easy
0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,difficult
7,-1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,easy
-5,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,difficult
