delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
334231,20918,7529,5569,11238,6995,5829,1790,385383,48716,19231,6919,7979,5915,4309,1559,-371231,-24746,-11517,3287,678,182,758,1066,268926,-30850,-11887,-5988,5839,1978,2282,-604,easy
852566,93313,33213,13243,15073,32408,15535,10271,434133,76758,18989,20670,15817,23817,7841,9940,221225,-22990,12612,-7757,383,19161,12083,156,615641,56099,15835,-7097,-1872,-1979,3304,506,difficult
32194,14308,6234,2943,3029,4478,2324,771,127674,59678,5223,4073,3653,8440,1979,1751,-121962,-45138,721,-1827,1892,-1508,2003,-704,-68998,-45602,1301,-433,-3140,-6416,-1313,-1256,easy
747820,89612,23890,25327,31014,26570,6843,3250,379839,70437,9265,11165,6163,6342,3084,1837,-321539,-37046,6844,-2,12039,19196,6433,2398,1057501,75396,22406,28325,37662,21260,1085,427,difficult
2093401,175686,98000,57277,21921,19296,5613,6851,523942,121596,23438,18845,36996,20648,9184,4292,1255810,-63467,102167,-10313,-23754,-10431,-3148,4380,1883108,171647,46957,87176,-6397,7726,-3995,738,easy
38931,36149,5599,11928,4343,3728,2554,848,62962,14061,17916,6294,7530,5577,1949,1149,-48597,6949,-9471,14309,-1709,-757,971,283,535,37226,-15163,-3042,-4666,-2941,238,-886,difficult
507596,45728,15217,7046,8356,3203,1747,1303,84563,88560,12590,7207,5608,5090,1872,970,733516,-49189,3374,1433,7356,-1744,603,147,112550,-36475,1879,-1756,-1861,-2031,-854,519,easy
120195,86947,34116,11152,6415,7664,2983,7628,683104,236979,37128,15872,12987,26716,10665,5952,-613098,-216561,-34781,-11303,-10487,-25912,-9684,-5265,-512720,-83504,28757,1863,-2658,-12192,-5680,8617,difficult
554897,213205,11845,9977,31221,31009,2328,1397,574273,65510,27391,19422,13179,7857,2462,1181,297493,181374,-25880,-16564,29968,35017,61,-356,-336245,114015,-5213,-2326,6115,11286,-330,788,easy
966156,41994,13553,10799,12124,33082,10284,8069,92179,82453,19027,6755,14959,22130,23208,11999,-86749,-65461,-8219,682,-1701,3855,-13248,-6445,1834703,-15457,-2729,7405,-3969,18048,-12600,-1415,difficult
73061,37577,9681,8676,5327,2372,909,1217,120861,103397,26823,23569,16103,8657,3970,2143,-15574,-48176,-12550,-9479,-8317,-4760,-2958,37,-80027,-83465,-21735,-20307,-13236,-7810,-3165,-1890,easy
67621,30260,3612,2914,10731,28226,27804,5962,984256,37976,11871,19864,6741,24000,13830,7260,-902368,4003,-10663,-19386,-5108,-16383,-5645,-3151,-930903,-19436,-5856,-14515,13088,24835,33592,555,difficult
526604,153188,15656,4343,5159,5611,3522,1228,650534,232711,29137,16790,18942,20443,8264,3751,357198,7883,-4194,-9917,-10946,-12057,-4155,-2017,-605059,-166930,-22768,-14977,-16621,-17608,-5329,-3030,easy
67449,22851,4722,7134,3976,7887,6901,5844,681295,178435,32177,8141,10205,12312,22565,2532,-653211,-143407,-24650,3619,-4722,-1618,-11226,6263,-574481,-167762,-30261,-5633,-7736,-7232,-20103,361,difficult
935063,141509,12563,15386,6396,14301,6382,3379,717820,249934,69336,15656,10502,11978,5222,3961,748883,-89,-48809,7501,-5143,4147,1054,1744,-314398,-216762,-64738,-8042,-3069,498,1265,-2909,easy
584333,19656,3803,8538,8719,5562,1161,652,395566,30128,42014,14015,3946,8120,7957,4216,-316120,-4313,-38372,-6994,9901,1564,-6421,-3294,693653,-16632,-38051,-3960,-355,-6680,-7172,-3835,difficult
1007083,240804,38700,18713,20392,9355,5575,5502,512395,207911,50680,32808,11034,15703,6395,4145,-456382,10874,12891,-23391,-8571,-10917,-3291,-2497,1445758,54911,-36851,-4800,27287,-1780,1650,5210,easy
