delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
937290,212697,90361,25844,80625,47391,735894,112616,82174,56084,36793,53783,-560855,-55202,-70483,-39650,-33606,-42446,-10407,-22706,-73295,-39588,-16831,-28179,153494,9907,139003,-18089,146244,10119,1063431,549624,86459,-37256,136840,67806,361319,18780,-40750,-16617,-13489,-39261,easy
754757,174780,64344,21820,15457,44393,632245,31289,7466,9978,3015,8789,812148,241334,11321,13533,29520,49872,-415307,20041,11287,3756,3021,-3070,488904,390356,193723,28125,23997,105158,161890,47011,54859,13728,424,29258,-435074,18711,13201,69,5247,-3198,difficult
1068522,618251,175513,99711,41583,81242,1265301,176951,58585,49125,50272,36669,-1065012,377358,332596,-28505,-32749,7400,-322166,258308,27786,-13117,3849,-7316,-37330,1440229,93369,176214,1767,36236,120447,10482,50314,26231,-20512,132652,320165,120122,80576,92108,4198,53891,easy
1140491,372739,102896,22526,21533,43016,1432371,120739,55121,38631,26176,35478,-1106658,-68037,-48054,-35929,-23188,-27502,-1156528,-35011,7936,-1174,-9959,-7600,520634,1162260,258547,16180,4828,73458,475499,-51320,43658,-26647,16089,5393,-192346,252108,-23213,-32954,-10984,-6059,difficult
762676,149869,34190,24749,21543,21089,1759670,198709,65720,100122,25468,60225,-800683,-39096,-22220,-91134,27298,-34884,-1612979,-131284,-44937,-91521,-14477,-38822,-1198786,-167710,-49194,-93092,-20448,-52930,-123446,-27670,-18258,-64757,-11300,-38254,-1249074,121559,-23042,-36361,-699,-30792,easy
1019474,228660,64633,31625,20727,35855,426095,120331,19004,18326,11192,15620,864725,197570,147801,26995,6763,45576,-393538,-93441,-13537,-13893,-8565,-11177,416179,-36470,-12193,5686,-5066,3690,1574045,357059,11030,27581,11293,13243,505486,116929,95045,20127,43249,49841,difficult
354490,45537,28131,4607,3682,14585,887939,90109,27686,24945,43849,31783,-303642,-56556,-12381,-15700,-39648,-21688,-809519,-75466,-18796,-22951,-40009,-23547,-74753,-80464,-16326,-19410,-40710,-22073,-686475,75473,70363,-19750,-37377,11796,-792855,-85846,-20635,-23881,-43093,-30478,easy
861229,268332,69553,52855,42711,35689,975393,226704,73525,81760,43360,26266,-307391,-75489,-57662,-75970,-30573,12057,-606979,-123278,-57153,-77703,-39947,-18405,-568010,989,2327,-4249,-21081,8417,480510,237272,121799,41956,-8829,50029,431050,168647,-29169,-28557,97183,-4982,difficult
994553,89501,15166,15576,16711,15167,454521,39505,12770,8850,6299,15356,1044218,37097,17076,15636,15990,12205,-341275,71259,-4576,15659,6644,-6935,708083,149566,-1585,11285,17462,6706,989695,9037,12394,-2069,7683,-5569,299437,-16978,-11329,-6879,4280,-7350,easy
856073,197210,74087,40796,22910,37193,742079,737640,151667,75252,79993,178245,-348310,-570984,-73405,-27630,-56312,-128312,-361792,-620825,-80136,-51266,-52262,-154546,270108,-433526,-73230,-34126,-41007,-149519,-131878,-705118,-134134,-61805,-75855,-163210,1141844,-371699,-26996,2547,-59977,-109671,difficult
489774,108786,17620,25902,15783,20759,626465,264902,9629,30737,30747,32386,-154951,-49767,29744,1335,7504,-15872,519517,31483,16535,10312,-15016,7610,-602885,-261906,-8133,-28772,-24141,-16116,-65786,-255474,-3837,-5567,-18850,-12647,-379348,-244917,5645,-1484,-24316,-21111,easy
612373,204190,52993,63443,37059,46679,1472866,338520,22206,50235,75977,90293,-1044311,263501,106744,203522,62849,86095,-1328450,-279050,-6894,-46291,-72770,-81528,-1119203,-277637,-20137,-45431,-73935,-77358,-192871,-326090,-10634,-26626,-74180,-82748,-617629,-52374,84854,-19136,-36553,-62530,difficult
1010014,210723,51214,42715,47432,32376,964408,158962,37987,25690,22909,57111,-697489,-144868,-19499,-17632,-19286,-50804,1071713,548737,84881,140082,164372,24026,641283,-55658,-27884,-14251,-14086,-28903,-596675,4302,-20442,-3358,2476,-29512,-190804,-93708,49080,-19718,-10860,-38484,easy
1011659,216046,51806,29097,11852,36363,1161605,345647,79471,59193,35767,49193,417816,-202512,-66405,-47568,-24434,-35125,133061,25624,29537,-19872,-24954,17256,-848945,-125059,-45192,-48560,-23821,-33663,-432956,-288031,-66464,-17582,-19549,-14713,-18704,-58028,10200,-16900,-26818,2094,difficult
1029100,97965,39485,15984,21893,25705,1431370,247841,232183,91926,58141,153175,-1133710,-180746,-190311,-84467,-38941,-136866,495274,-178092,-179897,-71392,-20654,-132980,-1051207,-230613,-230332,-89188,-55442,-148954,299534,32933,-143644,-47108,-12361,-74646,-621242,-192860,-219308,-87555,-53840,-143903,easy
845342,190374,42469,47463,28586,25420,331607,105296,7477,23226,44591,21290,207651,-48866,13434,-18383,-29015,-8971,598106,48522,91730,30857,-30683,-5512,1673626,275523,46076,92225,-20051,-548,296278,237260,14842,32234,37932,53850,-206987,-87048,8879,-15750,-38206,-18167,difficult
647563,603038,24318,33173,19332,60346,880253,129567,34229,27508,16303,22021,-442456,-107402,-25714,-1588,-14219,-7360,-635770,-110387,-28168,-17205,-9744,-16940,410547,2523215,22815,39190,54758,237271,210809,65351,-29395,31123,-10364,-10224,-706581,-3420,10908,-23197,-5284,-11120,easy
607290,197034,38988,15784,18678,35274,560084,63388,41050,12387,7839,11409,-449045,-58076,-39375,-10080,-4981,-7287,-178140,101991,-31770,-5634,2919,3027,1361694,666972,122702,46134,55862,123162,-469127,-25051,-32932,-7845,-3213,-3868,-29350,-17604,-28934,-5588,3607,4293,difficult
534382,48506,25086,6821,10569,13512,1361352,246952,64568,88222,67547,77504,-965343,-220797,-54040,-83126,-61331,-68078,-203744,-185002,30521,-77702,-44296,-61252,-979634,-186556,-56813,-80096,-53272,-53291,-1005413,-189004,-58562,-81688,-63456,-69474,-980716,-210871,-58518,-84391,-62534,-67866,easy
838120,170539,35230,15428,7136,40536,1295890,321536,40687,30135,24455,52176,-1145169,-294075,-25055,-22948,-21014,-36660,-61973,-105459,29547,-1181,-13943,-23387,332013,63744,-14214,-18975,-14831,61842,-1096736,-284626,-7235,-24645,-22541,-47059,-316983,-134568,-10328,-5786,-14267,-12936,difficult
231387,88672,15870,12123,8935,15759,912135,506358,87561,114057,52677,66306,-767618,-442080,-81560,-94669,-50595,-60345,-749908,-446695,-83074,-109407,-50917,-55358,-715800,-395880,-41389,-100402,-35744,-36298,-853407,-484543,-77056,-105309,-46681,-52131,-317009,-319230,-75378,-99883,-34775,-48605,easy
854244,232478,46861,63240,55177,45326,408545,45256,8358,7888,6602,7287,774641,152228,61683,195636,172991,52887,791456,373280,32362,17757,6891,38355,-311259,93053,34906,22529,6803,22968,122510,128610,37013,868,17904,30820,851148,188939,26550,39968,38287,45167,difficult
719931,145265,10084,37171,38985,39694,878384,295541,184756,21244,14502,89658,-730815,-238750,-183103,-8150,-11420,-85843,-443318,-231933,-172634,-10052,22400,-74798,-555264,-215732,-175944,-17823,-10461,-65363,1781540,209666,-159611,135286,135635,64325,-844406,-274633,-182066,-19625,-13739,-88142,easy
789178,101173,61669,19873,18120,28338,828568,164549,105111,75147,27185,31000,-580396,-55467,-92262,-52345,-2069,-15283,-442537,-65482,-66917,-70119,-24040,-21808,764333,-64875,48336,-39847,1593,22051,698559,-10264,-10538,-64650,-1427,23843,-636909,-120793,-95828,-49407,-19382,-22115,difficult
884242,207690,28516,22983,9656,32486,1540203,164599,71627,24213,17140,37484,-509209,-106445,-56684,-12457,-6969,-11251,-436679,-22125,-62019,9293,-4728,-12083,-1460975,-119365,-53171,3619,-9870,20504,-1004945,408481,11034,6548,-5740,-10789,132005,54909,-54717,-13154,-10111,-11372,easy
627304,96861,84491,24163,17471,27391,988852,260759,42931,21125,36310,38134,-655703,-244625,-38915,-11862,-33846,-35035,455112,-56780,248777,2510,7742,44314,-656160,-216388,29253,-10962,-14586,-24517,-242592,-207060,-2423,13538,-22809,-9965,-708395,-94635,-28890,21965,-30695,-28510,difficult
