delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,state
119670,39906,15997,9463,8386,6825,5449,1623,212900,93387,22795,11691,12609,10659,8698,3114,-6742,-30634,4443,3694,-377,1363,592,-333,-179719,-76329,-18039,-8150,-8069,-9032,-7091,-2650,easy
794910,487683,126414,38993,26321,17039,12865,21770,858279,240123,41768,24658,18168,16049,13325,12518,94440,164538,51499,33048,10956,-8858,-4257,-437,-221178,330581,117793,-4378,5350,10838,3336,18941,difficult
84913,136615,23704,17754,14188,9564,3712,2526,128161,56052,23799,8001,9915,8674,4185,3552,7429,179735,17959,17761,1778,1882,-315,-733,-93925,-18609,-18149,1744,6768,-103,-632,-1320,easy
207460,37550,4899,4508,1420,1962,811,671,864882,74060,29230,22627,20035,15110,5492,4780,-634088,-36603,-27524,-19006,-18944,-13022,-4550,-4536,-680757,-36418,-21138,-17233,-18287,-13275,-4813,-3682,difficult
1226483,311092,25683,39287,19395,13483,8379,12469,800640,177063,73377,13965,26206,12903,10517,6685,-125015,-62925,-65488,33213,-8345,-52,-2489,8358,976700,330983,-29900,17431,-5278,1212,-1787,3209,easy
112228,14750,7379,14165,6120,5187,4168,1758,226067,12296,8596,6443,5593,6702,4505,2120,-217733,-9134,-4208,5109,-792,573,2384,489,-9945,14041,1773,10334,1846,-3604,-3059,-1213,difficult
988986,210212,29971,8649,13201,6459,6841,2955,156050,18875,22341,9135,5919,4295,4580,1305,437840,47418,15019,1320,6137,2951,-427,406,1228031,335256,241,-2293,8426,1377,4948,2894,easy
116020,92136,29728,12138,5961,5942,4671,1829,252879,36233,18422,6570,8218,4675,5362,1469,-148885,110310,38385,16564,-2361,3769,1984,1461,-124834,1496,-15773,-5428,-2154,-1235,-3366,-741,difficult
478561,63292,17246,13010,8206,4077,2763,1180,662479,130782,28987,15587,23966,16646,13325,5471,177260,-46839,3228,-2661,-10180,-10468,-10428,-4214,-545097,-88142,-26710,-2494,-21341,-14670,-10696,-4369,easy
157523,143580,10601,7090,9047,7596,9425,4308,93853,44962,21330,14417,6918,8094,4001,4054,-36827,-27293,-11494,-4405,3020,-5749,-2033,-1792,164166,224528,-9964,-10249,1238,4752,12880,2300,difficult
