delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,state
567343,50465,18640,20410,5896,18886,366625,28355,18930,5950,6021,11311,174637,73859,10193,2509,4958,11081,-236049,-15101,-16141,-4719,-4148,-10535,-216570,-33,-11316,2942,-2759,2200,1080855,29713,16102,57109,1448,27555,easy
399433,115355,10673,27255,16459,21166,783122,198129,25936,19180,26083,58420,-415632,-176898,-16641,1244,-12932,-50883,-619563,-149554,-24732,-12448,-18261,-37048,-479762,45966,-10161,22153,-4261,-32942,-19801,-50611,-9517,21349,-3043,-28142,difficult
983132,91807,83859,53655,27364,59382,777741,648665,73252,42302,32824,60363,-660016,-589532,-63540,-40007,-29875,-55637,-109366,-531989,-41454,12784,-2398,68641,2188792,-511141,212109,106435,18377,19194,-597845,-594771,-64689,-33799,-7943,-36122,easy
1609415,176282,55130,26970,20824,70400,717752,170851,28342,32070,23094,27907,-488391,-135627,-24325,-29551,-21205,-24413,661490,86528,125039,9890,9808,137536,1190212,-79621,-22758,-25927,-17962,-8998,2203339,150444,29195,25187,20278,65848,difficult
166804,37873,9433,24732,29635,44427,645846,86211,32343,11447,8397,17629,-316731,-61366,-18047,25525,19524,32981,-331116,7706,-21618,26856,25659,43173,-640579,-74168,-27704,507,33876,1846,-627744,-65526,-24271,250,5893,29192,easy
418405,80329,16235,16039,21368,24367,896403,107211,62605,42015,23275,28384,-172601,-35746,-22680,-23975,25343,-2227,-603767,-99150,-61057,-32480,-16365,-13193,-307374,-11330,-47824,-8124,333,22953,-828251,38698,-53921,-39325,-16939,-23601,difficult
524790,225699,44670,13672,20430,44778,263970,154775,5587,5996,14161,52667,299749,369059,109400,13144,26241,28130,-254736,-153766,-4826,-4353,-7882,-35842,-98337,-69263,9080,14396,-10620,-40886,1096604,137666,42678,7516,17337,17043,easy
592101,35544,16164,17339,16170,38971,1300727,98921,15212,37537,23969,33675,-1268988,-91438,-6830,-30127,273,11652,1015087,13808,-6682,-10011,-6162,-2498,-1287034,-86388,26755,-14127,-13890,20769,-1293568,-89491,-9437,-26527,-11418,-8739,difficult
697401,164347,50624,30035,23436,44688,1092883,280846,27229,20132,13864,34222,-962766,-262230,-26377,-18804,-11996,-29599,-944097,-105680,45410,39845,14034,20625,-163280,14880,39471,4087,7953,41845,488213,-112965,35074,14485,28296,8993,easy
108974,20243,13203,17304,16198,19129,1482450,110466,21989,19502,6530,37598,-1399727,-99778,-18230,-18320,-3204,-34220,-1369963,-83448,-18088,-16767,1645,-26646,-1312780,-83774,13080,32235,13334,-9909,-1411435,-93894,-11908,-5941,26895,-3101,difficult
