delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,state
98162,56310,5915,4528,3176,4277,123146,41115,14483,4041,4322,5464,120202,98284,-8902,-388,1618,1458,-114199,-38298,-14109,-3385,-3298,-4435,-80954,-14400,-2693,5235,-1758,-585,easy
126594,24352,5015,3375,4301,9542,121294,24933,8120,3257,4409,3922,-92660,17371,-6004,466,-1318,-188,-105364,-11350,-6,2047,437,18871,213925,-7763,-3304,-2160,556,-1822,difficult
620184,181713,11591,18177,20298,13493,998741,137464,69907,28980,25127,16025,-26009,201562,-55990,-2912,17736,1880,-195043,36652,-55276,-4517,-9449,5231,-914619,-105467,-63683,-24981,-22773,-14707,easy
326355,25414,10951,2397,3071,3927,91721,38153,15579,1810,3409,4992,519769,-18764,954,919,574,-1233,-6352,-8924,-1542,1179,-148,404,190485,-10528,-13297,-338,-1441,-2367,difficult
176882,58698,17891,7472,13626,9362,540400,120005,47399,16594,11950,10022,-478653,-99171,-41759,-13990,-9174,-5745,-448116,-84624,-30539,-7718,16391,11157,-163786,-125,-16225,-5657,-2190,-7392,easy
57835,30620,20631,8896,10610,12641,55165,45245,6326,4177,2805,3346,35440,3323,15732,3016,4841,-555,10143,-30231,2789,-861,1085,-1349,-37574,-16966,24395,12001,17488,29790,difficult
230465,62648,10483,6899,4423,2731,236546,113318,23415,5203,17820,9030,-194181,-57749,-20582,-1793,-15082,-5745,365578,-36548,-18254,-1690,-16160,-8084,-189641,-57712,39,8571,-8948,-5067,easy
464671,179457,30392,22432,14681,6658,1451178,238101,23556,11890,12795,17339,-331720,279256,62735,49093,28060,-3947,-1197709,-219353,-18971,-6003,-10811,-14212,-1430092,-235835,-23255,-11464,-11591,-13884,difficult
57904,27109,6340,4534,5056,3270,400083,666875,39151,36382,28184,13646,-278553,-615142,-33559,-28790,-16873,-9804,-384239,-659539,-35632,-34718,-26376,-11583,-363746,-644616,-29242,-32037,-26134,-9741,easy
405658,156692,30695,49329,36092,29935,98453,36892,11146,3188,4316,3716,125889,191827,62922,131340,52352,60810,512344,193301,-8360,1135,44357,18517,283382,-25729,4085,5948,-1381,-671,difficult
259046,71811,9103,8597,6389,6741,374519,97945,17876,11173,8338,9478,305005,38904,-3970,6551,-3933,-2150,-343623,-89286,-16057,-10729,-6521,-4671,-307802,-28020,-6292,-3551,4606,-1389,easy
1027157,53222,45268,21188,5910,17233,482185,136942,9155,3602,6483,6315,2592903,14562,111163,50821,5251,22680,-479260,-133021,1669,1888,-4194,6680,-478728,-132701,-4493,49,-2776,3394,difficult
586760,66279,38886,65326,51114,15883,514999,193334,39123,15020,10061,18112,-508101,-173618,55249,43846,98742,-2754,1223036,-15586,-20489,120230,28184,11670,-499651,-191960,-35471,-13159,-3768,-15604,easy
221508,30036,7498,3791,5184,3915,234944,168059,33504,14432,7833,8705,-157552,-156010,-20580,-13731,-1211,-5553,196189,-150423,-30434,-4686,-4568,-4719,-78946,-107636,-27003,-13507,-2167,-4098,difficult
216992,82023,10345,19223,10450,12484,145964,71279,27792,7531,7645,11612,-76789,-28935,-24970,-2335,-947,-3144,94336,-33963,-23057,16415,3693,808,195537,95131,-4315,20996,5668,4952,easy
76971,54932,9282,3671,3753,1984,718370,172279,42744,27532,20661,11585,-588588,-43258,-21301,-21356,-14989,-9604,-687333,-150637,-39497,-24210,-17522,-8338,-648277,-158147,-39589,-26017,-18212,-10862,difficult
816190,230665,53532,41367,16393,10655,438175,222518,40967,31383,25092,12763,725129,-144723,12872,1542,-14514,-4591,341207,329180,59298,50875,11871,6616,67710,-160017,-34474,-22464,-23454,-8350,easy
261994,148729,6649,7191,9188,14200,255343,198359,17838,6122,6657,11546,-225358,-166985,-16203,-4365,-3840,-10663,-141533,-131907,-3193,5317,10727,6675,386843,150003,-14172,2254,706,11949,difficult
