delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
33803,34859,11786,10535,7351,24813,15110,9896,275002,24924,17887,10097,6912,20277,7698,4533,-266997,-11824,-14682,3208,551,-6513,23448,2473,-147228,106144,6945,-764,3445,4600,7279,4795,-265880,-17649,-5358,7846,-3371,18536,1739,2319,-265496,-7101,-13480,-3365,58,-4065,166,9974,-260394,-19897,-3930,-4735,1513,10120,4428,7254,easy
9438,13917,7650,11214,8128,21063,8868,6291,176522,30642,11905,13046,13268,17172,8544,6015,-157130,2112,-657,620,-6283,-4311,-2228,5542,-166254,-27501,-10845,-11049,3322,829,-1498,212,-173065,-26385,-3209,6438,-10260,878,1712,-2672,-170915,-11924,-1831,-1508,-6322,18569,3084,90,-168056,-19925,-4733,-3660,-6156,3488,550,-1790,difficult
322449,101092,27899,25474,9308,28187,9219,6415,214445,143681,56025,32629,21763,57962,13427,18524,38335,-115774,-55009,-29820,-19947,-54872,-12501,-17498,200992,166645,-35160,-22053,-15757,-47998,-6474,-14604,-156172,-122699,-26248,-14831,-12790,1750,-6111,-3638,-97820,-106302,-55292,-31586,-20559,-53795,-11978,-17671,554684,-34814,31077,62513,6779,6041,16023,-7134,easy
347812,83761,12350,6140,8585,18259,3597,1639,111224,81557,13844,10459,4922,13712,1866,1327,1334157,252553,1759,3010,7528,11911,2863,1396,-102328,-53976,-7068,-289,9906,6919,2859,-69,-96512,-73391,-6018,-6829,645,-2565,124,909,9164,-39676,16116,-7813,4751,18228,4046,116,38457,-74492,-12257,-9672,-4517,-11758,-1235,-791,difficult
251996,51978,9398,9685,8861,20544,6696,4772,18811,20669,18705,14264,8744,30440,16943,5830,97633,-10605,-17424,-13088,-6919,-19874,-15049,-3666,-11083,-141,-3639,-11589,-7512,7257,-11166,1361,-16506,-9799,-9025,-6243,-6406,-14016,-11944,-1575,-16642,-12765,-4924,-8154,1684,-10760,-4923,-3464,1112522,189855,-11522,16177,19739,-12087,-8153,2056,easy
251058,28901,14693,15561,8441,20329,7817,4160,579237,32516,19951,29635,9484,28787,8260,3437,-551602,-19245,9011,-21261,-2602,19802,2822,-348,-577244,-27216,-19600,-26610,-6848,-21669,-6555,-1651,-564152,11018,1909,-14611,851,-18406,4055,-171,530143,33528,1650,21476,10119,-4001,3971,7360,-478041,-16158,-19260,-29364,-6734,-18016,-6510,-1575,difficult
84410,11855,14583,6735,5376,27213,9033,8868,93753,38611,5784,2919,4798,6874,6298,1927,269650,-20350,7736,9404,-1217,38519,2137,3184,-58670,-19288,-3491,1458,5938,40766,4505,9156,-92429,-36703,-4331,1840,-3005,-2925,-4683,-454,-85230,-22148,31834,4762,-3115,17793,8142,5404,-80038,-35292,12249,1616,4290,7540,3576,17416,easy
20282,20047,5717,4718,3384,30456,4775,3400,25417,7893,7364,7756,7059,11740,4470,3588,4731,1074,-5262,-6141,-5518,-3818,-3139,-2197,-24387,1424,-6274,9809,-6026,52026,-290,2187,-18598,-384,2081,-6492,-664,22760,2294,-1575,-5293,1003,-4876,-5818,-4568,427,-3172,-2986,17874,57652,6098,-6546,-1598,22187,5830,3632,difficult
671171,41359,5720,8365,5657,31106,8160,6782,445868,79158,13370,4801,10179,13954,11560,8108,-418276,-70987,302,562,-3760,50521,3740,4323,1204834,8124,-10354,7119,-1436,3642,-4645,-1562,1204834,8124,-10354,7119,-1436,3642,-4645,-1562,-424301,-59881,-5583,5386,-7814,38529,-2336,-1103,-440575,-74375,-12260,-2365,-8165,-10574,-9115,-6728,easy
27196,14868,3752,9466,5816,34512,7241,6897,1319637,176868,42296,12193,30219,36156,15678,10284,-1315663,-166939,-40259,-3791,-22061,-10565,-8619,-4484,-1313088,-169511,-39395,-10852,-24559,48135,-7198,980,-1301887,-153906,-37337,675,-23618,6337,-5984,-2985,-1249511,-162319,-34386,3070,-28533,-32115,-13758,-6890,-1282054,-157324,-41344,-2739,-23244,-20010,-6626,-3556,difficult
33497,29023,10999,11498,6345,15284,6174,7159,113165,28232,11791,7790,3152,16002,6631,3900,-43394,-17319,-10464,-6596,-1474,-11563,-5065,-955,-54770,-8616,-5591,12628,6908,2836,370,745,-107228,-13104,1446,1345,-40,-2978,-1873,4476,-107727,-5318,-3034,8393,3140,2989,554,2096,-85219,48313,13685,2771,7433,5128,3731,9933,easy
