delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
232194,78846,7773,8882,4125,5668,123146,41115,14483,4041,4322,5464,120202,98284,-8902,-388,1618,1458,-114199,-38298,-14109,-3385,-3298,-4435,-80954,-14400,-2693,5235,-1758,-585,727538,175872,-4176,22534,-937,116,-107348,-32805,-3668,208,3389,4465,easy
200227,119994,7353,5791,6755,21155,121294,24933,8120,3257,4409,3922,-92660,17371,-6004,466,-1318,-188,-105364,-11350,-6,2047,437,18871,213925,-7763,-3304,-2160,556,-1822,421705,424359,3526,3730,7993,61741,-42940,52689,1951,8587,4061,7563,difficult
451801,135249,12079,40713,34719,14448,998741,137464,69907,28980,25127,16025,-26009,201562,-55990,-2912,17736,1880,-195043,36652,-55276,-4517,-9449,5231,-914619,-105467,-63683,-24981,-22773,-14707,-961110,-93429,-59593,-14451,-17332,-14157,-637921,-50391,-54596,105524,79778,13869,easy
221338,23212,9959,2390,2812,3221,91721,38153,15579,1810,3409,4992,519769,-18764,954,919,574,-1233,-6352,-8924,-1542,1179,-148,404,190485,-10528,-13297,-338,-1441,-2367,-34197,-17806,-8918,-790,334,-2542,-21621,-18685,-5298,1932,-2306,-3117,difficult
284839,48769,13093,5669,10157,7314,540400,120005,47399,16594,11950,10022,-478653,-99171,-41759,-13990,-9174,-5745,-448116,-84624,-30539,-7718,16391,11157,-163786,-125,-16225,-5657,-2190,-7392,-176425,-97295,-35928,-12188,-7881,-4170,-10823,-74967,-47078,-15071,-6111,-7391,easy
524909,69358,23999,12085,11120,14872,55165,45245,6326,4177,2805,3346,35440,3323,15732,3016,4841,-555,10143,-30231,2789,-861,1085,-1349,-37574,-16966,24395,12001,17488,29790,2307121,146441,31930,27540,19181,28945,33589,17999,13518,-2157,-1020,800,difficult
287885,81991,19481,7804,6716,5415,236546,113318,23415,5203,17820,9030,-194181,-57749,-20582,-1793,-15082,-5745,365578,-36548,-18254,-1690,-16160,-8084,-189641,-57712,39,8571,-8948,-5067,-47331,-35272,-10048,4297,-12559,-2887,322271,30647,29175,3621,-2769,3710,easy
304458,115588,23793,14420,9784,4796,1451178,238101,23556,11890,12795,17339,-331720,279256,62735,49093,28060,-3947,-1197709,-219353,-18971,-6003,-10811,-14212,-1430092,-235835,-23255,-11464,-11591,-13884,-1325782,-201907,2351,-8791,-9404,-15758,-1448296,-234724,-21674,-10184,-11311,-14913,difficult
276954,52591,17611,6028,10728,7691,400083,666875,39151,36382,28184,13646,-278553,-615142,-33559,-28790,-16873,-9804,-384239,-659539,-35632,-34718,-26376,-11583,-363746,-644616,-29242,-32037,-26134,-9741,-324724,-597462,-24078,-28998,-23879,686,735617,-554661,14812,-27228,5980,669,easy
342191,120487,26014,36941,23488,19862,98453,36892,11146,3188,4316,3716,125889,191827,62922,131340,52352,60810,512344,193301,-8360,1135,44357,18517,283382,-25729,4085,5948,-1381,-671,338929,-8922,-10736,7760,-2614,-368,-41855,67499,26429,22581,3145,2440,difficult
332840,131700,7664,15408,12334,11866,374519,97945,17876,11173,8338,9478,305005,38904,-3970,6551,-3933,-2150,-343623,-89286,-16057,-10729,-6521,-4671,-307802,-28020,-6292,-3551,4606,-1389,357762,244651,-16343,35928,27955,23593,-219739,2526,-8397,-7025,-2126,-3444,easy
793646,53154,32526,14623,5198,12633,482185,136942,9155,3602,6483,6315,2592903,14562,111163,50821,5251,22680,-479260,-133021,1669,1888,-4194,6680,-478728,-132701,-4493,49,-2776,3394,-442998,-106472,6425,-1559,-2506,2205,365388,-61306,2092,3905,-2201,-3368,difficult
539643,64260,27729,43150,38036,22440,514999,193334,39123,15020,10061,18112,-508101,-173618,55249,43846,98742,-2754,1223036,-15586,-20489,120230,28184,11670,-499651,-191960,-35471,-13159,-3768,-15604,-145650,-167500,-34944,-5646,4213,-9379,53588,-96704,-21313,-4619,12502,37706,easy
244078,57392,17843,4721,5620,6824,234944,168059,33504,14432,7833,8705,-157552,-156010,-20580,-13731,-1211,-5553,196189,-150423,-30434,-4686,-4568,-4719,-78946,-107636,-27003,-13507,-2167,-4098,-165578,-151176,-30685,-13501,-6329,-7476,251556,11912,30395,-3131,3210,12440,difficult
196660,79160,19077,16373,17028,13392,145964,71279,27792,7531,7645,11612,-76789,-28935,-24970,-2335,-947,-3144,94336,-33963,-23057,16415,3693,808,195537,95131,-4315,20996,5668,4952,20199,3587,4384,4568,19251,3142,20199,3587,4384,4568,19251,3142,easy
102835,43328,9513,8075,6137,2227,718370,172279,42744,27532,20661,11585,-588588,-43258,-21301,-21356,-14989,-9604,-687333,-150637,-39497,-24210,-17522,-8338,-648277,-158147,-39589,-26017,-18212,-10862,-646853,-164032,-41419,-26635,-19359,-11063,-506625,-128682,-24349,935,-2536,-6922,difficult
