delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,lowgamma_cc0,lowgamma_cc1,midgamma_cc0,midgamma_cc1,state
58014,37288,8328,3830,3780,8966,4626,3606,-56604,-16559,-6724,-1577,527,11420,10413,3344,1093693,20221,2700,19742,10409,13083,2800,1099,-19777,35476,4148,27279,1998,245,241,-313,1150297,-1113470,36780,15255,9424,1448,21319,7537,9882,-8411,1663,-12838,-7613,-2559,-2245,-1412,easy
56989,21109,2990,3260,3192,5355,2005,1426,768938,151261,28432,31756,16675,11638,8832,7936,578055,315676,41901,33089,21647,1896,2636,415,-50594,-8674,1614,2157,5966,1409,2414,6874,-190883,-628649,164415,-324350,13469,-40287,1333,-30932,4972,-15681,-9742,-487,-6196,-222,-7521,6459,difficult
140259,19129,3622,2411,5327,4392,4598,2535,-29674,2853,-1562,1979,-1661,-659,-2723,-597,1821246,155821,7796,13116,-251,4238,318,-775,232901,7609,-1624,-737,3485,-1820,-845,258,1850920,-1588345,152968,-148212,9358,-9420,11137,-13853,1410,3736,4897,-6058,3041,-1163,-178,1033,easy
306062,38137,18469,3085,3624,3750,2563,1272,-262980,-21079,-2260,1984,16593,3546,2744,6442,-226083,24285,-10374,5619,3588,3847,4373,4408,-135207,-10111,-13020,-1920,1556,1414,-243,1698,36897,90876,45364,-34396,-8114,-2646,3635,-7539,-13005,-2032,301,-2433,1629,-4616,-2034,-2710,difficult
314756,25651,17374,13015,7359,10260,4861,4294,-177152,78311,-16108,-11752,-1420,-4690,-3034,-3016,-162075,-12819,-14503,-11008,-6407,-8931,-4206,-3985,-251089,27368,13929,-3875,13015,4934,-73,4573,15077,-89014,-91130,40187,1605,28432,744,7133,-4987,19422,-4241,13865,-1172,4133,-969,8558,easy
75907,13250,4166,2977,3942,2582,1412,1906,-21590,7582,-1861,331,10492,4979,5417,2815,792265,226068,-244,5987,6663,2768,4353,1831,-63604,-9383,62,-931,-122,6349,5934,-475,813855,-855869,218486,-235451,1617,306,5656,-6918,-3829,-6785,-2211,3581,-1064,1581,-984,-2306,difficult
118241,26265,5762,5827,4810,2677,2156,949,402485,174525,-1768,98339,3630,7384,8436,1792,-115672,-20485,-4318,-4982,-3809,-55,-782,619,611293,34327,-127,-253,-340,2240,-1787,-209,-518157,726965,-195010,54812,-2550,4191,-103321,4729,-7439,3469,-7439,2295,-9218,-1005,-1173,-828,easy
82418,34168,6694,4800,8355,4126,2519,2131,1610176,205200,66143,51797,26463,26089,3760,785,-53726,-18237,10130,1784,930,8983,1819,1157,26236,83569,5119,17772,-4135,3997,1775,1249,-1663902,79962,-223437,101806,-56013,-5011,-50013,15988,-25533,-5065,-17106,-4986,-1941,-44,372,92,difficult
58542,39330,5488,3366,3080,7431,5797,2585,281369,39116,-1043,5017,648,-4616,5059,6215,132491,-25999,6434,-279,-1650,-4734,-3463,-2135,266203,76005,35846,56183,63660,7697,8696,7393,-148878,133712,-65115,102004,7477,29412,-5296,56462,-2298,65310,-118,12431,-8522,12159,-8350,9528,easy
1180182,118743,18322,18470,14047,6860,2825,2966,-908424,-98531,-7651,8682,-7078,288,1159,1032,-1025977,-87701,11035,23775,999,7717,390,-1377,-1109212,-84814,1050,95314,-3917,-116,438,-1528,-117553,-83235,10830,2887,18686,-9985,15093,71539,8077,-4916,7429,-7833,-769,48,-2409,-151,difficult
330344,52003,3834,3072,5321,4567,2621,2885,-44552,-27097,-1969,-298,-2744,-3163,150,-2077,-318430,9523,30813,6900,10833,1836,5190,344,-296734,-44034,1485,3642,7429,2295,1759,109,-273878,21696,36620,-53557,32782,-29328,7198,-3258,13577,-3404,4999,459,5040,-3431,2421,-235,easy
370247,29393,8325,8296,6673,12339,2629,1587,-314527,4902,1659,5133,5141,-832,291,520,-362875,-23229,-7485,-6477,-4191,-10622,-1300,-567,-156026,2832,1232,-4395,-1836,-9058,-1239,-182,-48348,206849,-28131,26061,-9144,8717,-11610,2082,-9332,2355,-9790,1564,-1591,61,-1087,385,difficult
808354,80331,45261,18613,34338,26036,20755,21242,-722386,68532,31933,17138,-14217,-16351,-13187,-14621,-526492,15316,-41554,-7619,-30641,-22110,-18260,-19973,117077,82695,-31504,-11410,-9716,-13321,-11793,-15087,195894,643569,-53216,67379,-73487,10050,-24757,-3791,-16424,20925,-5759,8789,-5073,6467,-5352,4886,easy
165807,34717,6046,6959,5990,3610,2480,1772,187297,17211,1755,-1885,-4077,-1850,-2100,-814,-145135,-27544,-3115,-5260,-3428,-2462,-2120,-1352,-89511,1227,9179,22735,11025,3856,201,1597,-332432,55624,-44755,28771,-4870,12294,-3375,27995,649,14453,-612,6318,-20,2321,-538,2949,difficult
86493,40084,6130,4176,1403,2933,1495,854,-55633,-13197,4191,1919,3035,3575,2801,2602,210192,-1404,-3796,-880,3397,154,-380,57,6097,-37806,-3741,-3388,150,-2169,-758,-439,265825,-204095,11793,-36402,-7987,55,-2799,-2508,362,-3247,-3421,-2323,-3181,-378,-2545,-496,easy
143507,26026,1461,4385,2618,3215,1241,1280,37889,-21975,64,-3762,-1677,-2722,-929,-1103,162697,-3427,5769,-556,-364,-1978,-177,-179,-88055,-14106,1669,-3792,112,-455,341,74,124808,-250752,18548,-10679,5705,-4100,3206,-3236,1313,476,744,1523,752,518,924,253,difficult
49570,5140,1269,3525,2876,6671,6900,2228,31509,18127,8285,419,-1050,-3817,-5941,-696,-47419,-1335,84,-3078,-2285,-5560,-6546,-941,-31695,1985,1973,-762,-733,-5064,-1806,-1167,-78928,15724,-19462,3320,-8201,1889,-3497,2316,-1235,1552,-1743,496,-605,4740,-245,-226,easy
86731,28851,6261,5808,2736,2642,1153,873,3385,-18920,3293,-2780,-545,993,610,-88,-72533,-1722,1924,-2355,9788,2726,7026,3364,-83327,-26908,-5818,-2943,-1343,-1232,-129,443,-75918,-10794,17198,-25186,-1369,-7742,425,-588,10333,-11131,1733,-3958,6416,-7155,3452,-2921,difficult
162572,17515,10198,4790,3783,9640,4291,2792,-25291,92340,5752,-2492,-1685,-3589,-2075,-796,-94528,-13020,-7941,-2883,-2327,-8531,-3486,-2386,-67012,68536,-277,9930,13707,6226,134,11321,-69237,27516,-105360,81556,-13693,7664,-391,12813,-642,16034,-4942,14757,-1411,3620,-1590,13707,easy
26311,18904,3474,2063,2034,2856,1975,1511,107324,5113,647,2030,-38,-690,163,-237,26667,16835,4213,-344,400,-570,59,-744,-20694,536,-2231,5090,711,9478,1317,1754,-80657,-47361,11722,-16299,3566,-6444,-2374,5434,438,311,120,10048,-104,1258,-507,2498,difficult
757150,173916,35994,20572,15298,13795,4867,4052,-748194,-153061,-23158,-12641,-545,1105,-1534,4089,-511810,-108601,-30464,-13092,-11468,-11506,-3217,-3233,-642572,-140479,-30816,-19258,-14568,-13042,-4701,-3854,236384,-130762,44460,-31878,-7306,-352,-451,-6166,-10923,-3100,-12611,-1536,-1683,-1484,-7322,-621,easy
137576,36209,4999,3418,2223,1467,864,879,-118741,-24708,10557,5736,4616,5568,4672,4520,-26107,-17645,-3174,-1908,345,1734,2316,979,-129994,-32816,-3152,-1489,-294,941,1173,589,92634,-103887,7063,-15171,-13731,22,-7644,419,-4271,-639,-3834,-793,-2356,-1143,-3541,-390,difficult
