delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
532236,159222,45750,23955,10956,15976,7855,3842,796283,212129,112254,47781,27962,29670,24612,18501,-406753,-205839,-110451,-43838,-27561,-26504,-22949,-17130,288294,251947,22281,15713,-1118,8012,-8263,-12460,-673683,-204828,-111341,-43354,-22338,-22590,-19058,-14386,easy
519523,593848,46059,27824,32284,16103,12686,8239,293275,231738,24416,46393,37886,34857,17765,10381,543373,157586,75054,-23740,7953,-14010,4949,9933,197959,1021591,-2198,-4143,8944,-20194,-8567,-7466,-62589,-92846,-7927,-27824,-33702,-22059,-11619,-8892,difficult
231247,51798,17380,20241,10112,11148,7421,5238,128240,171880,26682,21551,24782,19690,7657,12052,-107455,-115420,-5192,31167,-3145,6829,9261,830,466604,-79268,1244,-15841,-17300,-15327,-4204,-10436,-50129,-165559,-23959,-19257,-23566,-17129,-5765,-10836,easy
208467,355871,32482,18874,12414,15860,17742,12937,595689,312817,14646,22519,27555,13352,36335,14856,-52272,726683,72253,21158,6545,22212,1104,19356,-565226,-291441,-11196,-21183,-26072,-11188,-34518,-13676,-544168,-306079,-7548,-10909,-25896,-3499,-22365,-11438,difficult
749384,60520,37525,16622,8380,27417,16058,10066,854830,134847,27444,9010,9697,15637,17388,15319,-492119,-120336,-23196,-601,-6217,-12984,-14612,-13682,-782415,-106661,-23964,-6139,-6819,-13468,-16773,-13408,958195,4016,77403,29577,9085,61792,27396,11330,easy
676938,90147,22331,15460,15120,28535,8333,4857,324001,375160,16475,38733,14723,12287,5064,8486,-258740,-344757,-15040,-33297,-11010,-1809,1620,-4330,1047915,-192683,42388,-1602,15751,46304,10698,-621,269635,-317598,-9779,-34920,-3550,4249,-2512,-5935,difficult
555262,141611,25502,29653,38771,31087,24208,17721,732633,289132,45471,46245,13785,23206,13746,11564,556864,30246,7573,14134,63121,34265,8177,22161,-722853,-274372,-43723,-43196,16355,4855,30484,5482,-366125,-198436,-23757,-20714,-4519,-15476,-7275,-9171,easy
258114,327169,34484,25379,9881,11412,13608,15294,691179,310606,28392,14868,30034,25087,21358,10694,-571913,-280431,-19967,-12538,-26321,-22474,-20846,-9494,-606153,-295252,-19953,-14652,-27395,-22123,-19680,-5826,-121128,625371,58196,58724,-6742,3573,17277,29121,difficult
643528,376278,95227,16091,19943,18879,11152,7527,95235,46927,15987,11630,10161,6003,5798,2555,1825013,1064048,252238,15937,31050,32676,8789,10891,-88481,-37048,-3120,-344,-8416,-2285,-2561,-989,-91654,-38947,-11399,-2209,6713,8236,9833,5013,easy
542738,41534,16521,8913,3141,6160,4155,2408,630501,69042,54246,43925,34007,18063,24860,19847,-138559,-54329,-42127,-33471,-32336,-16165,-23418,-18300,411669,15924,-32427,-31176,-28451,-5973,-18568,-16387,-536400,-44119,-38621,-40390,-31812,-13570,-20129,-17629,difficult
756023,54884,10908,10471,17528,11629,10512,3162,152278,64438,26870,15484,11291,14167,10578,10478,-109551,-45179,-26101,-7720,-93,-7366,-3811,-7960,1940224,72915,-4644,264,26282,8791,10308,-5103,-19438,-56398,-17140,-7582,-7479,-9038,-6696,-8886,easy
742658,48118,12777,14744,12482,8744,4970,5888,176915,88344,25234,13772,7665,14211,12604,10903,508473,-43223,-20275,-9986,-6672,-12120,-11362,-10096,1336361,5505,6330,24728,25135,4211,-2923,2980,-147605,-82960,-23425,-11827,-4012,-8491,-8618,-7928,difficult
