delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
1559573,280412,170564,83163,34996,26513,25627,10563,994670,85067,24092,18330,7491,5644,1973,2225,-81281,330345,185036,76537,25353,16685,22753,13282,1211086,60344,107907,53128,29657,25053,24555,3393,easy
669599,81234,21347,51160,21982,10682,6014,2245,1291178,258449,17094,65287,16585,17750,7692,5840,-1209226,-213920,-4392,-43528,-9473,-13248,-1923,-4539,-33933,-140511,12898,15273,20266,-889,-1434,-2652,difficult
166451,64094,7053,8871,2146,1624,978,713,560526,31454,7478,3389,2181,1871,1452,857,-458135,12763,769,12482,575,14,-206,-233,-330016,52516,-1620,-1518,-646,-509,-742,-55,easy
860507,355319,62114,35692,21996,10943,9040,5251,334453,163832,11661,35768,21500,16900,5709,5998,1224189,509134,101604,19514,-633,796,5444,2118,-172082,-126160,-698,-19667,1625,-12711,1218,-3612,difficult
545955,242725,43723,20726,8659,8085,4814,3921,644996,103626,19129,19834,11607,7460,3905,1861,398539,371043,63817,20533,5057,6058,4198,4819,-596621,-92846,-14629,-18749,-10953,-4808,-2380,-700,easy
216175,26806,8108,12327,6201,5094,2384,1557,408646,95848,9136,18480,8169,5607,2657,1834,-5969,-62156,3810,3819,1399,3667,1695,908,-378974,-75929,-5867,-16126,-5335,-4694,-2241,-1462,difficult
96934,30107,3141,1421,1002,1768,926,531,987236,252508,34629,21314,9519,10013,10359,3366,-956586,-247406,-33049,-20160,-8449,-8955,-10073,-3025,-824018,-197396,-29928,-19627,-8586,-7536,-8794,-2646,easy
157157,29971,3820,4157,8457,2282,2033,1694,917831,105852,110643,79977,41771,24730,22639,8038,-725620,-89447,-107980,-76278,-40473,-22338,-21641,-7522,-795728,-62316,-105667,-75362,-26156,-22558,-19572,-5167,difficult
1629463,145296,53560,33812,12901,13063,5720,12764,715830,66767,32333,22743,14292,7183,5605,4334,863438,60999,-3432,2881,-2110,7734,-1046,14598,963827,96059,45886,19257,-673,4026,1276,2261,easy
1338625,143655,51846,23937,20495,8578,5440,2261,975498,255312,50279,36179,13937,18045,9532,5874,683263,-177654,-37407,-4852,-3487,-13855,-7137,-3635,42991,-45661,40541,-19632,16602,-5080,-1047,-3592,difficult
824685,86287,44321,14209,7629,8333,6720,4149,885766,89685,14196,19553,19221,13294,7655,8188,353933,64647,56757,-3196,-12209,-2501,-1691,-5434,-476095,-71443,3493,-7492,-10976,-7421,-180,-2644,easy
729709,126042,20489,12786,12696,10217,5286,12865,954185,589008,50808,133463,23332,23431,7953,7306,-165007,-376970,-23906,-114753,-289,-7799,1248,16646,-283945,-548963,-36733,-126601,-20983,-18629,-6582,-5529,difficult
847980,65271,15545,41365,47764,13231,13128,12954,977969,204799,25690,37995,30085,31453,13418,6299,299476,-92232,-3020,12236,59995,-10656,8922,17523,-559454,-186825,-17271,-5496,-24637,-25788,-9503,-4213,easy
352837,92569,16778,21137,5766,6484,2951,2162,406339,73798,36532,44502,19102,12111,5360,3018,-23787,43170,-11534,-6919,-14539,-3735,-1848,-1055,-83217,-5629,-27974,-39811,-12133,-7520,-2970,-658,difficult
940763,81971,65180,24600,10215,6967,2553,5989,636725,124016,51753,72923,30126,12789,6522,4101,1137581,20776,77332,-27164,-11797,-1241,-2046,7508,-529505,-104867,-50478,-69482,-28025,-10404,-5892,-3733,easy
735298,221513,52830,26175,8232,19975,18716,10211,1125276,426498,107439,42379,19187,18712,9441,5909,-54358,-317597,-48957,1130,-13602,-1792,-1108,5562,-725599,-92374,-60261,-33539,-8308,4317,19657,3041,difficult
1073703,245608,39358,17454,34261,33476,8471,9301,1015541,288527,95459,88237,42767,13409,15393,7896,763977,180669,-24801,-56732,23178,52056,-229,9652,-647654,-266508,-87402,-84835,-40191,-11923,-13616,-6842,easy
1290638,239174,93808,80130,14445,24683,18702,11285,761555,333573,32760,27968,15361,9766,5231,4798,1240768,84473,143152,124876,9587,35768,30234,15409,-182603,-273272,-21057,-20553,-11419,-5935,-3292,-2435,difficult
982321,220174,11522,6128,8191,14892,3106,1834,995890,85013,35203,17084,8189,9496,4507,3239,-539881,-62561,-29309,-12594,-5903,-4856,-3827,-2682,512743,332882,-18054,-9319,5906,15647,1024,-129,easy
535562,80590,74301,21715,8577,7029,3893,6880,1080950,176577,13426,6471,6142,3629,4160,3159,-679125,-167749,9789,8432,-3712,-1836,-2022,2028,-411651,-24225,111961,22056,8582,8635,1487,5414,difficult
1608009,50585,18465,9959,6558,6807,4720,3656,881333,77098,23743,27307,13698,11382,9293,4800,743785,-26329,-11578,-23116,-10968,-6743,-5926,-3729,709567,-26698,1022,-11580,-3313,-2407,-3220,1440,easy
445427,108802,26357,15028,13314,5957,8878,3643,838456,216464,45711,55666,24792,14892,10167,14186,-483712,-89998,-20996,-43244,-13830,-8058,3062,-9561,-302347,-125327,-17713,-38032,-9127,-9812,-5640,-11526,difficult
1100968,110892,21409,15871,8305,14699,4867,3494,993590,171596,63130,93386,54177,25330,9513,17320,-784029,-154683,-52994,-78381,-52122,-20183,-7215,-14923,998784,33275,-30448,-76649,-39622,-1080,-2078,-12730,easy
520419,233716,40585,21679,18248,9772,4550,7264,1351336,206127,25316,24690,30191,9430,7834,4431,-619297,-107589,5576,-10819,-10841,156,-3959,-577,-1042537,162766,24962,4796,-13045,527,-2609,6242,difficult
941404,706865,110921,38253,18230,29206,7126,15383,624464,425007,34076,32524,27418,13198,11918,14349,65052,909230,176516,4385,4193,37566,-1512,11591,568828,-345515,-22826,7073,-22569,-5550,-8073,-9524,easy
363375,227404,65003,17250,7944,4503,4457,2079,1236212,484644,136757,104842,39142,25074,15261,14550,-1154319,-392797,-133422,-93215,-34020,-22429,-13047,-13930,-591356,-121683,-10086,-81970,-28376,-18714,-8562,-11012,difficult
2198476,574177,41869,44950,28930,31948,7757,13657,668752,110618,36190,32476,13117,12591,3550,3158,1986748,-15586,13654,-11862,16507,-8307,567,7423,1072700,942704,-2297,36809,15119,47021,7847,13575,easy
1052376,76458,14486,27199,14933,7946,7851,2699,896491,82916,59270,22216,16031,17886,10037,10015,1028716,46102,-42341,30519,-383,-4069,4043,-5350,-716946,-59019,-47227,-20554,-1813,-15811,-8415,-9282,difficult
2548252,590023,48609,145564,30714,16949,23297,4105,671994,213395,45141,54005,23045,12741,14281,16673,3016402,-14189,-32993,64804,18424,6773,800,-12706,736113,767444,39929,118313,-3087,1643,17231,-12431,easy
122106,49083,6775,2549,2482,2298,1517,1208,1005120,74104,14184,27648,5812,8686,3480,4070,-945377,-25242,-8153,-25791,-1681,-5714,-1636,-2604,-820652,-24800,-6665,-24407,-4980,-7062,-2290,-3120,difficult
793295,46870,25230,4979,5903,3288,2766,1464,538915,113801,15656,17652,2758,10430,5500,2579,847145,-90813,-13435,-12006,-825,-8341,-3047,-998,-338385,-43050,32582,-13340,7114,-5943,-2421,-1233,easy
379099,46543,19946,6874,2348,3533,1443,1781,183704,19954,7894,4303,2764,2174,1204,899,430104,20674,23230,-2604,535,-627,266,1742,-39315,32503,874,7746,-1368,3345,212,21,difficult
582481,495684,99266,55259,35786,27476,8102,10047,604052,429768,53191,66146,24780,17079,17779,8496,-307425,426327,116128,-15456,4977,7536,-8957,-556,264282,-294495,-23979,-6319,17035,13257,-10397,3657,easy
