delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
374519,97945,17876,11173,8338,9478,6447,4310,305005,38904,-3970,6551,-3933,-2150,-2173,-1710,-343623,-89286,-16057,-10729,-6521,-4671,-4006,-1444,-307802,-28020,-6292,-3551,4606,-1389,1755,2086,357762,244651,-16343,35928,27955,23593,23076,4533,-219739,2526,-8397,-7025,-2126,-3444,-3356,-1710,-648628,35821,665564,-577501,-128190,61266,272671,-242125,-12087,9765,-10051,7946,-17280,7178,39479,-42953,-2588,11127,23349,-30081,-2521,3282,24982,-27037,-1833,5761,21321,-26432,266,3530,2447,-6243,easy
482185,136942,9155,3602,6483,6315,2387,2408,2592903,14562,111163,50821,5251,22680,6783,1734,-479260,-133021,1669,1888,-4194,6680,270,130,-478728,-132701,-4493,49,-2776,3394,1434,640,-442998,-106472,6425,-1559,-2506,2205,2092,-411,365388,-61306,2092,3905,-2201,-3368,-599,-878,-3072163,532,35730,808386,-147583,320,26229,45166,-109494,-6162,10918,-4333,-48933,-1839,-1608,5464,-9445,1418,270,305,-16000,-3286,-1189,-5573,-6513,1164,658,-2691,-1604,510,-1051,-467,difficult
514999,193334,39123,15020,10061,18112,7193,8631,-508101,-173618,55249,43846,98742,-2754,7571,-2060,1223036,-15586,-20489,120230,28184,11670,10460,6814,-499651,-191960,-35471,-13159,-3768,-15604,-4786,-6522,-145650,-167500,-34944,-5646,4213,-9379,-4074,-4864,53588,-96704,-21313,-4619,12502,37706,17803,13792,1731137,-1722687,354001,199238,158032,-176374,24460,70796,-75738,-14982,527,13631,76384,-133389,7513,1027,-70558,-31952,7981,8289,14424,-27274,6225,47085,2889,-15246,712,21877,8874,-13336,1658,18656,easy
234944,168059,33504,14432,7833,8705,4355,4835,-157552,-156010,-20580,-13731,-1211,-5553,-3248,-3424,196189,-150423,-30434,-4686,-4568,-4719,-1898,-2309,-78946,-107636,-27003,-13507,-2167,-4098,-2363,-2399,-165578,-151176,-30685,-13501,-6329,-7476,-3799,-4483,251556,11912,30395,-3131,3210,12440,5390,-119,353741,-275135,-86632,417134,5587,42787,-43540,163088,-9854,3431,-3682,61080,9045,-8821,6,10370,-3357,2401,-4162,9539,834,621,-3378,19916,1350,-465,-1436,9189,1115,-90,-2084,4364,difficult
145964,71279,27792,7531,7645,11612,6846,5562,-76789,-28935,-24970,-2335,-947,-3144,-4735,-4898,94336,-33963,-23057,16415,3693,808,529,7065,195537,95131,-4315,20996,5668,4952,4519,7466,20199,3587,4384,4568,19251,3142,6447,2580,20199,3587,4384,4568,19251,3142,6447,2580,171125,101201,-175338,0,-5028,129094,-91544,0,1913,18742,8699,0,18750,4581,-16428,0,4640,1975,13583,0,3952,4144,-1810,0,5264,3990,1928,0,11963,401,-4886,0,easy
718370,172279,42744,27532,20661,11585,6837,5809,-588588,-43258,-21301,-21356,-14989,-9604,-5030,-4090,-687333,-150637,-39497,-24210,-17522,-8338,-5170,-5017,-648277,-158147,-39589,-26017,-18212,-10862,-6446,-5171,-646853,-164032,-41419,-26635,-19359,-11063,-6470,-5637,-506625,-128682,-24349,935,-2536,-6922,-4499,-3818,-98745,39056,1424,140228,-107379,-7510,-5885,35350,-18196,-92,-1830,17070,-2854,-1807,-618,27570,-2533,-690,-1147,16823,1266,-2524,-201,4141,-140,-1276,-24,1971,-927,-154,-466,1819,difficult
438175,222518,40967,31383,25092,12763,9129,5680,725129,-144723,12872,1542,-14514,-4591,-5280,-3703,341207,329180,59298,50875,11871,6616,6819,2049,67710,-160017,-34474,-22464,-23454,-8350,-5678,-2238,320216,-6912,-2628,-23245,-20057,-3558,-5330,-3721,-396356,-209190,-35391,-30886,-23777,-12473,-8859,-5275,-383922,-273497,252506,-716572,473903,-489197,153105,-202278,46426,-93772,31846,-32763,49333,-73339,-781,-7641,26385,-35325,3397,-3720,11207,-14966,4792,-8915,12099,-12497,348,-3529,5752,-4287,-1483,-1554,easy
255343,198359,17838,6122,6657,11546,4240,3496,-225358,-166985,-16203,-4365,-3840,-10663,-3474,-3223,-141533,-131907,-3193,5317,10727,6675,4672,3152,386843,150003,-14172,2254,706,11949,8247,2126,-112828,-174867,-8436,-1901,-3179,-5994,-2852,-1258,-162682,-187143,-15790,-5343,-5591,-5455,-3385,-2042,83825,528376,-499671,-49854,35078,281910,-324870,-12276,13010,-10979,5736,-7354,9682,-3063,-4155,-3442,14567,-10021,-3885,-2412,17338,5274,-17943,539,8146,3575,-11099,-533,6375,-1026,-3384,-784,difficult
79717,45553,5934,3381,8249,4164,2714,1866,140137,-34123,-3882,-896,-4917,-1386,-1801,-1155,-47501,-35499,-1673,2618,-7261,1195,-55,-786,48916,20236,16761,3081,-685,13966,4815,2507,51128,-13816,-1441,-3041,-6735,-2408,-2274,-1571,67020,-11263,-224,8984,-6330,1447,-350,-713,-187638,96417,2212,15892,-1376,55735,-34052,2553,2209,18434,-18202,1217,3514,463,-6122,12025,-2344,6576,-6050,405,2581,12771,-16374,3855,1746,4870,-7089,1924,369,3293,-4078,858,easy
193547,39628,4471,6939,4218,3756,1518,1036,-133821,-21013,-210,-4394,-2193,-3148,-895,-525,-176536,-30116,9828,4565,9714,3522,4200,2455,-140916,8703,12815,-4674,-2614,362,-69,-336,-107997,-18960,5851,-2235,-2476,-705,1355,6,-10370,56910,3253,2556,3651,393,241,2236,-42715,35620,32919,97627,-9103,38819,-27663,75870,10038,2987,-6964,-2598,8959,-9239,2439,4791,11907,-12328,138,6127,6670,-3160,-1067,1098,5095,-4269,1424,-1114,2980,-2791,342,2230,difficult
