delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
49278,11447,5066,10610,3103,8113,3362,3486,62987,12164,4075,11205,5088,5372,2543,4896,-53706,6682,794,-3610,720,1843,1717,1534,5260,252,-850,-4279,-3791,-1225,-1129,-4314,7318,-9084,3030,6105,-2884,7604,1870,-1449,easy
51990,17742,7485,11700,15316,11831,4316,8679,165923,42645,14137,7351,12689,19804,5272,4757,-31376,-30925,-9810,-6422,-10823,-18763,-4408,-4473,-146703,-18304,621,19813,2136,-1177,3773,10416,-163720,-25479,-10768,-344,16567,-3978,-2233,5822,difficult
409155,34846,5187,10523,8054,5748,1776,1523,58405,31529,6160,21493,8619,7954,3663,3007,1151958,45025,2954,5622,7180,4028,223,-1374,-46489,-6049,-675,-20198,-1185,-4601,-2829,-2177,-53218,-29024,-5199,-18334,-7689,-6045,-3054,-901,easy
46534,37389,14805,11490,10138,11793,9205,6812,68918,12803,3857,5590,6104,8469,5198,2756,6973,53025,20093,-369,12658,317,7536,1662,-44224,-2169,569,4485,298,2620,-2377,8916,-29901,22902,12181,13585,-853,7035,6861,1591,difficult
24027,21079,13763,9205,9201,13607,5364,3835,37710,28219,6216,2294,10633,5082,2077,1772,-20317,-23778,20024,11748,-5391,16452,3209,4389,-17579,-19569,-1588,7864,4670,4938,5844,565,-3152,21928,4206,1122,-3574,4186,808,1234,easy
13016,9907,5173,10126,8002,10515,5834,5233,360268,44134,7590,11348,5641,9231,3904,3123,-335597,-28724,-3322,3111,499,-124,1693,2019,-353178,-40618,-652,-2533,1418,4832,4135,869,-352980,-33339,-3277,-4243,5167,-857,-37,3443,difficult
78527,52047,4925,8230,11843,6112,2235,3025,28612,12211,5608,4334,4635,18260,4583,2180,3159,111677,1425,12511,24682,-7807,102,3308,-20358,-9459,-4503,-2945,-1326,-16375,-3448,63,166945,17289,1029,2121,-1733,-12261,-3699,-835,easy
67462,19834,9220,5705,3232,3088,1335,2207,204143,37416,9249,4658,10344,9556,2636,1269,-73099,-27033,-3608,-1297,-6446,-8382,-2328,-975,-143196,993,7837,4927,-6126,-2827,-210,3241,-193747,-26705,-4317,-489,-8763,-8194,-1366,549,difficult
21645,11284,6765,7582,7359,13269,4758,4459,15180,19174,10174,5964,3126,4012,3230,2541,490,-10065,3990,9418,8540,17619,619,5054,30463,-7765,-7893,-3098,858,-917,-2640,-1764,-11559,-5839,-6324,-1466,3301,11070,6606,2465,easy
377002,21625,12454,10568,25503,7351,2327,3165,251516,31232,7565,12828,23100,11879,5833,2510,853784,-6583,16909,-4930,-16502,-2542,-4381,-186,-239495,-14920,-3002,-10221,28022,-3412,-3315,442,-237832,-7319,761,8372,-4310,-7630,-2822,1708,difficult
28668,15670,4927,7736,4084,5142,2372,1323,43846,25201,3500,2108,2670,1482,1138,516,-934,-4745,1907,6643,2488,5994,1021,1313,-32959,-9419,-2710,4995,2712,5253,3216,989,-11642,-14429,5084,5245,-959,-266,-536,119,easy
314796,114757,6512,8905,14158,8886,4854,2810,112790,14504,8353,12751,8429,11707,2770,3320,776790,315890,8773,8044,28924,7823,9071,267,-111391,-9843,-7088,-11361,-7689,-10714,-1389,-443,-59380,-5289,-7208,-8220,-4049,-5573,-1429,-1355,difficult
