delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
1374896,220878,46006,40104,25692,17623,1301436,38493,34695,39354,12980,5255,-1165841,9412,-31707,-32339,-9418,-1769,398130,-3721,-27597,-25377,34707,8660,-1287324,-2413,-24241,-28962,1870,1979,806670,83845,-4694,-29259,14718,15331,1615666,824803,144794,119687,21685,37637,easy
510009,53474,4194,8983,9174,9954,332684,157723,47219,19667,13569,19918,393285,-134081,-42180,-16558,-9384,-15811,-48369,35472,-40925,-4557,7937,-11513,-145764,-125388,-45283,-14249,-9977,-12834,946631,-145011,-42197,-32,1862,8635,-259158,-152236,-44539,-18024,-12411,-18295,difficult
965743,227335,53640,42267,45331,42789,315358,56924,13983,13095,8412,18891,569804,288920,4661,92237,35505,40630,-170486,-47498,-5723,-11951,-6720,-16765,683572,199435,112446,21974,24766,45971,1688109,248997,72581,33535,70919,45865,480927,162200,14320,10066,60123,3787,easy
245201,47897,7052,5737,5942,17091,1314787,263330,52454,27072,19902,67472,-620329,-173838,-51871,-17373,-13233,-28133,-1262970,-234175,-46012,-22939,-13250,-59248,-1174271,-229647,-42918,-24894,-13898,-48013,-1183299,-203226,-42170,-16378,-12867,-50000,-1107063,-236277,-44040,-25092,-16551,-66512,difficult
561836,88786,15177,13625,17089,14563,435830,198877,17850,7632,8239,10529,1223514,-69278,-68,2015,21931,11553,-413762,-185379,-2619,-1615,338,-5034,-172098,-179470,-8194,2574,-4106,-7386,284435,32516,13540,26041,32443,7932,-292061,-148845,-16022,951,-6357,13107,easy
222531,29272,8003,8423,5429,14316,1375797,148442,43127,39444,14500,38638,-549967,-54951,-34383,-19993,-10071,-22976,-1234391,-138047,-41677,-33647,-8453,-25702,-1360339,-138846,-39394,-38222,-11717,-26053,-1342135,-123767,-40073,-27388,-12705,-27319,-1279500,-140239,-20092,-35855,-2409,-19559,difficult
382486,89507,19407,14934,23442,21371,559925,74972,12195,12331,8662,27934,-27736,196834,8606,40644,73187,26276,-266429,53488,-7238,-10739,-3166,-22843,-435659,-60349,55610,-1344,9962,9685,-505437,-70438,-11567,-9274,-7449,-24602,348068,-46862,-9351,-6270,1365,-21333,easy
529738,64617,12873,8419,4214,6661,640518,108136,7842,19143,6115,27622,-607674,-101957,-6182,-16783,-4109,-26773,429475,-12552,5741,-5137,-1801,-22373,58898,3191,7992,948,991,-19151,-331466,-105879,-7266,-18245,-5564,-26844,-103135,-397,24871,-14404,976,-9665,difficult
567272,201052,10425,5110,16727,23151,1305460,284684,24238,46822,27334,48005,-241194,32273,-8694,-39620,-20845,-37820,-1186274,-276363,-21356,-42297,-25101,-36953,-923929,-189125,-13148,-42217,-15813,-33397,-1080511,-240290,-19369,-43908,-17372,-33774,-259033,255344,-6500,-40520,26094,17676,easy
142772,52109,13769,5343,6936,24248,128449,74000,13287,15057,5130,16430,155397,-11734,27833,-7272,10668,2547,79424,-16785,-9660,-12123,-1908,-1352,-95517,-25815,-6674,-10111,30,17121,-12207,-42507,2349,-7950,1706,-7626,-55481,-12613,-11438,-11116,-1464,28400,difficult
541629,138072,43090,34198,17118,25766,68935,32162,8908,9392,9912,17658,-15362,-19119,2148,8243,-5471,-10301,2094323,437180,158883,81550,13632,5623,41483,13944,11830,32039,-2056,20365,-47161,-5218,-1322,1860,5568,-2069,290187,102765,-628,339,24358,26924,easy
1451223,65588,33814,10620,13653,27051,1344705,199129,54490,78028,31914,26887,-1199107,-167393,-54296,-77229,-30913,-24869,199691,14927,34029,-64987,-5163,-3365,1924362,-166839,-26092,-47552,-12465,45368,-82078,-166712,-12775,-71492,-14630,1326,-310276,-181686,-44247,-75780,-28132,-17642,difficult
673553,421559,81002,21308,15956,40863,199041,99471,20795,15623,8349,20299,440102,628640,178553,49596,11958,29410,1508776,1036023,130796,4512,12423,47072,685230,92531,4543,-329,4591,-4702,-119439,-81751,7396,-12892,16070,43897,-142108,-65004,-20252,-12461,-7006,-12856,easy
853106,166719,22324,26091,14445,34352,1288677,224843,28860,20378,12597,42112,-644376,-183421,-23233,-15320,-8463,-16623,-1144777,-215162,-22953,-19050,-11111,-37877,-1174453,-170382,-14438,18313,10879,-10618,376650,95045,9208,19064,-3103,-1304,409101,183302,18736,25560,21037,27624,difficult
