delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,state
26163,17914,39565,46527,31636,27469,276336,39587,7200,3578,4835,6267,-220114,-18504,40634,68499,14513,40880,-253323,-29279,15898,18656,30976,10266,-261402,-3862,23729,50392,27048,18849,-265855,-35046,49197,34249,34668,14811,easy
207143,38222,11053,6064,10256,18792,463840,60321,19100,10494,10357,25964,-434244,-52084,9938,-1286,4782,15538,-462394,-55015,-17514,-8030,-7912,-16697,327158,74257,-7701,-18,7886,-8481,-457309,-55554,-16912,-8387,-5159,-19050,difficult
81504,28812,14396,9795,9347,12301,157644,14748,9337,8915,8149,16259,59887,10975,9258,7579,4275,10719,-146869,15888,21439,4606,6490,-6168,-152536,-19,-6571,-4900,-4799,-7271,-65044,29411,-3889,-3764,-1174,-13112,easy
135014,19272,5868,7251,13634,21272,374372,70071,17764,12198,16825,31576,48790,-36029,-11384,-10306,-12695,1579,-262568,-44539,-10387,773,17163,1977,-372233,-66607,-12237,-11406,-11628,-24080,-371420,-56023,-13575,1150,-5604,-20693,difficult
341658,28784,9839,5632,13276,9655,245916,33349,5607,2999,10335,34501,239146,-22605,10811,1552,-8178,-25431,-103807,-27990,-4215,2419,-10099,-33429,-150721,60549,9472,5331,29617,-15227,398349,-28215,860,1228,424,-25298,easy
79859,31064,10932,4974,8765,23042,752925,98545,14212,5000,7349,45281,-723471,-72667,-9604,-234,7908,-10462,-696065,-21396,17210,-93,3892,-15923,-741117,-96243,-12765,-3137,-5103,-39612,-531611,-79619,-7960,3360,-1034,-22960,difficult
36446,163254,99275,26311,20943,22721,424838,61634,8947,5627,4833,4240,-409458,-53825,-4987,-2770,8501,13425,-408285,-53374,-1389,1293,2318,12240,-414104,-3597,1952,5316,695,6550,-321722,517275,365737,78897,52926,41710,easy
143036,58963,10932,9304,9230,18709,52433,14891,7865,6761,10083,13618,425358,40261,-4941,6834,-2387,15126,4275,127705,20210,-1992,-4289,5027,-43904,7925,-3022,6742,6652,2550,-23319,398,19,-1414,-3387,-2340,difficult
94280,32539,15887,8639,14173,15821,20281,19045,12213,6725,7399,27759,308206,47788,31537,14723,21109,11977,6701,31856,-8247,-3322,-612,-24851,-14947,-12655,-11303,-4194,-3044,-15766,-3966,-13014,2707,448,9641,-19113,easy
145070,19162,10240,37745,13895,23666,49795,17578,25462,23583,21603,39867,15330,5336,-9779,29021,-16555,8038,-32439,-3851,-14874,28814,4544,-13400,-47225,-14054,-23963,-17684,-17986,-34317,445432,18905,-12272,16496,-834,-25126,difficult
77770,21867,8532,39404,16367,24662,758075,90107,38837,16541,15594,44144,-685571,-74602,-22944,52081,4206,-30101,-749862,-83240,-32552,-6950,-9353,-38437,-683884,-69180,-30143,36125,10339,-2651,-601903,-45939,-35581,10195,-2100,-6738,easy
7275,21846,19986,56945,16055,22734,35908,10483,18782,7527,11365,23232,-30281,-3352,-3504,12576,6908,-6040,-32931,27833,-11520,124091,7921,13008,-31844,-3429,-9286,8155,802,-6163,-19476,24401,29127,52848,3129,-2799,difficult
123080,22067,6168,13330,7088,13760,142189,64763,10841,13962,10639,28888,316361,-43364,-3127,-89,-6541,-20660,-139719,-58448,-6026,10167,-2310,-3055,-118058,-35175,-4724,-8461,-4619,-17145,-135021,-33799,-4814,-4145,-734,-19653,easy
58169,29194,6497,11818,13436,34384,322290,165188,29712,24871,16787,35514,-316399,-142285,-20506,-131,-5700,47790,-185867,-107261,-25600,-15851,9237,-9572,-240537,-144977,-26094,-21939,-10969,-31063,-313680,-149455,-20660,-14290,-5972,-11676,difficult
58374,26891,29284,8066,6428,14044,865391,133702,15575,8147,22124,30122,-802871,-110417,14901,-1763,-10324,-25316,-796127,-130440,-12563,-6479,-19995,-28671,-827010,-72600,65743,4685,-12862,14641,-802061,-113788,-13247,3234,-19605,-24967,easy
447597,61500,21771,16366,15226,26365,355402,130461,29480,10874,16494,36605,680350,43484,4657,-6055,-9791,13528,-160028,-106531,-6300,11952,2166,-10589,111708,-91321,-5902,25719,-1021,-24243,-263252,-121475,-23292,-9650,3574,-19658,difficult
137225,42049,11530,9247,8603,34772,534046,41832,30434,8459,9453,36525,-517831,7410,-15514,-6794,-646,27608,-50491,2844,-13508,-152,2827,-1805,-513801,9359,-21287,17513,503,-3953,-505163,-18747,-25306,-7414,-6086,-28862,easy
476911,18117,6701,11742,20016,37348,357564,94135,34819,15370,15544,39931,1448438,-80633,-25286,-10516,11257,26881,-338901,-82768,-30509,2923,-7926,4672,-352512,-59480,-25119,-1330,24356,-7712,-279636,-81191,-31560,-5591,-9800,-34175,difficult
109608,43570,13345,21881,14097,14200,81448,106075,13963,10986,10048,19135,-33837,-88905,-11441,-4679,-6869,-7053,187485,-13692,19506,47585,17783,-480,39093,-82939,-1776,-3192,-5779,-14820,-80100,-64484,-8762,3864,11061,2614,easy
124849,22585,5725,21474,13226,27156,252206,22624,9723,12391,11163,23437,-237270,-7312,-4209,10268,-2642,15651,-174210,2573,-389,10654,1817,-7733,-240518,-5213,-6930,6002,716,1730,142569,9795,-4464,9408,8360,5228,difficult
184994,22488,10464,8704,8990,10356,837196,49063,14687,17039,30202,44120,-747824,-40035,-13544,-15667,-27713,-40638,-697384,-38136,425,-880,-22653,-34380,-819229,-28334,6515,-9808,-9649,-25270,-344371,203,-10288,-6987,-24834,-34768,easy
15767,27469,13696,16606,13049,30235,425090,80524,20394,3312,14955,32934,-410313,-63444,-5581,10596,-691,16601,-402266,-1562,-84,11930,-3775,-11940,-415972,-75218,-8867,1087,-4771,-706,-408740,-71997,-12261,29563,1612,-14751,difficult
27023,17470,3444,6637,12916,20479,276965,43349,9461,12683,7315,19885,-230984,-31395,-623,-10567,-2096,-10557,-251221,-21743,-6729,-1838,22545,6801,-272363,-27834,-7874,-4759,4692,20711,-245200,-22545,-8841,-7022,-2739,-14579,easy
230757,55063,8650,10554,7909,10425,232888,38222,8882,13647,7045,21250,-149286,95829,-664,-1075,2271,-407,76145,-22479,-7245,-3192,2686,-13526,39504,-17906,2273,-5550,-5587,-12002,25112,11918,4709,-2556,4084,-17364,difficult
57633,37018,7716,17163,12494,21169,101348,31280,14922,4517,7069,12204,-93242,-9681,-994,29189,4259,21853,43879,53459,-9280,179,25115,13487,-85858,-7957,-8910,9445,-2641,-1090,-39639,-12869,-9642,11770,-5035,1610,easy
10426,12046,13540,8673,12076,21290,153613,51684,20317,8478,29447,29765,-148143,-40592,14000,-5517,-11644,-13440,-130697,-35072,-16766,-947,-20844,-12620,-143505,-37654,-13331,6475,-19908,-14408,-150405,-45234,-11011,768,-17087,6569,difficult
33520,44957,5853,6469,8354,16649,165343,26805,4565,11414,8576,26212,-161468,-21587,4227,-2200,-2505,636,-112437,73438,4812,-3341,3451,-10109,-155522,-16046,-3831,-8092,-578,-10060,-97866,36802,-55,-6147,-1255,-18721,easy
138597,36621,7793,7604,9497,15576,216497,58113,8173,10714,12118,16693,-144481,-41283,-4609,-3923,-6277,-11922,-134472,-22494,-5967,371,-8616,-7188,-193785,-14913,-6570,-3573,5010,463,161136,-7278,15625,-5317,-602,14178,difficult
79031,26411,31369,32688,16051,25194,512583,65810,34450,20233,17917,22130,-311727,-44291,-33261,-11715,-12682,-17932,-418790,-20450,33073,56854,-6644,2176,-501949,-37824,-5316,-976,8900,11272,-501742,-55032,-6820,5658,2960,16738,easy
539816,28463,13145,6772,7501,9635,170102,10729,11116,45759,14221,32711,-37747,25046,-564,-38948,-10660,-25753,1283769,22726,17942,-34885,1536,-17969,159712,-2935,-1548,-40251,-6870,-27156,73120,26098,-7716,-41866,-10887,-21426,difficult
153646,35564,17001,26028,24405,27820,7836,28325,14353,37665,11599,14670,417324,1032,6704,-19678,-1653,34515,72341,4643,-4389,-4382,3178,16858,-4379,7348,16541,10559,-704,4403,97953,15934,-8263,-33049,50402,-3178,easy
151220,24981,5916,16011,9095,14314,60574,21931,12088,17602,15933,27017,-30625,12968,-8248,-13174,797,-5169,-46864,8591,-4349,690,-13669,-19024,494706,429,-8322,17300,-6055,-14765,-54633,-9788,-3768,-11182,-8426,-11853,difficult
13725,17437,6537,9665,14606,26825,66965,31260,11152,15461,8280,20299,-57401,-20833,-7815,1108,-4484,5191,-34843,10607,2900,-7504,29053,40289,-64613,-29771,-5312,-12307,-6101,-15955,-56104,-15295,-8232,-4482,6835,-3420,easy
119113,26004,7271,5611,7712,8772,299819,102387,7351,15537,15312,38178,-16465,-84269,-1356,-10883,-13270,-31709,-160549,-70085,-4098,-14722,-12635,-33419,-296732,-99766,-3921,-15020,-10599,-35490,-249077,-51414,9056,919,6104,-17008,difficult
19657,29559,13212,7781,11997,39048,189081,60652,16436,8126,19469,21177,-177261,-51084,-14627,-1339,-7607,13765,-151929,-9840,13038,5083,-9414,12239,-174980,-18190,-2538,-3602,-3486,39409,-173525,-45259,-8771,-1521,-9381,6069,easy
127686,39659,21154,15326,14979,28680,15445,21317,3222,2748,7831,27383,473400,62093,6974,7901,11444,27527,-9198,2951,59931,27696,10124,2002,-4366,-15999,-1026,1731,-2418,-23119,-10871,24324,5850,12985,9442,-1223,difficult
454914,54693,20745,22997,18092,24397,258957,147772,86381,35621,14565,32016,1389101,-127917,-75533,-7466,15859,-23,-166703,-2992,-45510,-13337,-4549,-7121,-202813,-132840,-72287,-28134,-7559,-12254,-235759,-108569,-69215,-1559,10355,-11079,easy
40850,11384,21162,19619,17887,24744,72256,20935,5145,4679,5306,14693,50673,-2436,9764,848,8939,712,-62881,-16263,15317,23668,7068,11659,-53532,-6304,30839,-521,27382,17584,-59883,-13201,8146,35765,6936,10249,difficult
63777,23034,5828,15292,8462,15679,560268,92417,71827,33016,22356,35058,-553917,-73622,-65613,3596,-12161,-999,-446207,-60917,-64305,-12775,-10561,-16294,-470455,-80658,-64450,-31679,-19455,-29445,-515385,-62335,-69629,-30039,-13401,-30779,easy
28872,26776,18138,21820,10566,24023,12219,22287,9914,9104,13343,48369,83697,20077,-6145,-8199,-12163,-42682,2664,-13776,4553,22661,-483,-25347,-11046,-1973,23381,22924,185,-16789,-8704,13627,11105,13479,1351,-12566,difficult
264406,61548,23642,26760,7802,15133,169884,26649,12985,15268,17619,24077,-119848,16713,-9767,-4238,-14067,-14185,-167620,-1174,6817,24590,-3981,-8081,744621,84494,43521,28195,-8164,2914,-79067,39562,2055,-2579,-13055,-16425,easy
