delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
1381595,256797,20641,20822,38831,20109,31862,8263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,easy
442070,40961,43141,25078,21838,11336,6339,9350,285857,17724,35299,-17743,-9810,17263,-622,-4504,1047632,403948,36068,48623,23979,41268,27987,-3386,-372992,-2507,-1309,-16908,-7457,4974,7192,-5895,-320419,-21585,-35679,-12108,-17257,-9001,-5056,-8642,difficult
198783,41099,25913,12038,11564,8702,5433,3563,201081,-12817,-19767,3512,-8053,-2040,-4120,220,-34866,7282,-12778,-1213,5064,-3337,-3800,-2327,328008,19925,-15602,-9001,-7844,-7450,-5048,-3193,-10643,176322,66223,18299,7797,4400,2853,4694,easy
571342,119618,31141,48714,26612,13902,10991,7843,-28888,22620,-18541,50867,71041,-2683,1640,1828,1070588,360630,5533,-1247,11790,18437,8024,187,-70288,-105416,-19907,-8773,-12412,-8377,-7837,-5928,144261,-35530,-22889,-38737,-16104,-10230,-8829,-5988,difficult
123468,26303,7279,5907,6366,3892,1997,2427,1487837,304391,56735,11699,2662,8412,4154,3424,149113,-12385,-3263,6266,7683,2516,39,-431,582018,626066,166847,42912,60309,37362,21260,25913,420078,35827,88860,9062,34193,18920,19695,8696,easy
568734,74404,24169,27741,21760,22232,5715,3186,-429018,-17382,9768,379,3243,1942,20092,8700,-401972,103399,20114,-13011,8596,-10518,993,5794,714650,-30269,-7694,-13362,-10676,-15307,-3574,-1618,-424686,151079,102798,15037,13102,-6201,1980,5364,difficult
332072,15239,3586,10014,21846,10067,5067,2324,847994,136511,152734,16250,-8259,31544,3101,190,1043033,625202,169584,38770,243628,83390,53963,31877,1459472,409724,79951,274994,104574,108630,26891,7953,584831,460621,13714,104387,45023,19908,15628,24400,easy
1381595,256797,20641,20822,38831,20109,31862,8263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,difficult
46150,20085,13756,13767,10137,13233,3670,2011,-37186,5212,-8357,-3261,11407,2839,-421,-11,-29777,52100,-5791,4028,4663,-8144,-1528,-360,881454,263359,-1867,8161,-5278,-10363,-2202,-700,168690,29453,-5222,-8510,-7248,-11079,-3166,-1191,easy
1381595,256797,20641,20822,38831,20109,31862,8263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,difficult
171520,34883,4659,10246,5138,5353,4759,2804,7163,24552,11595,21863,4288,8017,-209,1853,1680310,106353,13952,56617,31392,19991,6355,3093,17429,-7042,2719,-7753,-2500,-2086,-4374,-2431,-123841,-27550,-3666,-5224,-1831,-3562,-4294,-2479,easy
761860,132516,39366,31492,21509,21413,21963,8021,305849,-46083,-11132,13232,40280,-5952,-8243,1497,-691330,-97089,-30818,-17539,14567,-5234,-14184,-4688,892990,182287,-19549,5866,18434,877,-9486,-3249,-484352,-69233,-30757,-22119,-11369,-16816,-18538,-4743,difficult
706555,301368,95356,76853,120396,55986,21233,13032,140509,-232467,-69264,12471,-86349,-42560,-12449,-8114,-526014,-255759,-81820,-68506,-114805,-53202,-18108,-11516,-218635,-197714,-87604,-54909,-110019,-35669,-16109,-6240,141393,-171106,-67427,-14141,-95574,-44040,-12809,-10281,easy
537812,134643,21062,10231,15438,14769,10834,5053,-459834,-120672,-18615,-7664,-13636,-14040,-10418,-4744,155125,-127423,-13466,-6793,-9248,-12188,-9877,-3879,653008,440357,29255,46093,55397,35742,7457,21644,-305818,-63208,-15107,26864,9941,344,3701,1621,difficult
585439,32387,15534,9750,7324,5320,3853,3168,-540355,-11563,-658,-878,4293,9986,12970,2257,-222409,16481,-5796,-5704,-1560,-3854,-1395,-1827,-556308,-26777,-14312,-8856,-4531,-4648,-3059,-2637,-387381,75536,26749,494,41846,2672,4347,3592,easy
297129,507266,26588,42612,40141,15115,10100,8108,370917,-366085,6589,-27413,-14674,-866,-3547,1548,-68162,-469726,-12534,-36518,-36365,-12653,-8825,-7462,-220539,-478609,-23710,-41129,-39040,-13654,-9478,-7672,950810,682579,89198,-3461,31238,9771,10837,112,difficult
302458,96523,7636,4501,14328,10872,8723,3029,-28560,-23799,5424,37849,17595,472,3376,4882,-218204,-69357,22360,14261,2347,-3343,-5288,-1429,1951314,1351574,151400,135890,74095,38286,30212,18842,1465081,14966,37841,13947,-4096,1002,-5099,-658,easy
695092,256792,17877,30239,22010,16379,6786,3519,11822,-54954,73918,-9504,110823,23020,30889,14937,-461796,-152251,-10302,-15574,-17114,-14227,-5727,-2814,580161,338344,13641,41021,42527,9033,4369,6188,-482021,-242996,-5485,-27051,-19018,-15045,-6068,-3162,difficult
154191,48931,16551,5991,9130,5033,2336,1559,66928,-32917,-14326,-4898,-7483,-3777,-2038,-1238,-41493,-17845,-13651,1339,-5102,446,-175,2108,-60613,-10169,46666,16934,12133,7316,1296,805,23091,-11822,22713,220,6725,-3065,-1027,-519,easy
1138124,150913,32823,60327,18582,27478,10953,9481,-96433,-87331,-16863,-47953,-12988,-21365,-5320,-5140,-1092917,-75518,-19990,-56405,-11620,-20649,-7466,-6332,-65486,-97897,-17906,-42564,18036,-9144,9573,2967,-1019092,-121737,-29890,-56733,-10078,-23643,-6975,-6127,difficult
335146,56939,19680,35235,13735,12553,5133,4826,979872,267985,82565,13733,45431,7925,15495,1615,-100964,-14799,11935,-15811,4991,-598,1439,65,1977291,642528,60147,-25663,66482,1097,5070,655,-291058,-40649,9413,-24386,-6256,-4072,221,1287,easy
179329,25075,16637,6916,10406,7081,5599,2986,-87177,34033,-4297,20308,10836,2554,11890,8665,2044088,204090,16033,22129,31235,39372,12858,12283,-166171,13145,-14016,-5799,-6323,-3274,-4930,-2317,1090887,119287,22652,9618,22629,7529,4872,9906,difficult
580586,158919,30579,19166,23208,15176,9709,3743,-388987,-30212,-3650,2761,1102,-8740,-900,-500,-39812,-40666,44834,27389,13729,38838,2156,6430,629832,97545,55520,18737,14224,3784,1925,4056,-281615,-83666,-23952,-10826,-6924,-9753,-7481,730,easy
211975,69165,51816,22753,8576,15305,5260,3429,-32952,-34036,-35459,-18514,-974,-10209,2456,1582,-171248,28573,-4367,-14850,2259,-5297,2468,1240,-171248,28573,-4367,-14850,2259,-5297,2468,1240,-162069,-31354,-6055,-14717,1541,-1545,60,534,difficult
988845,96187,32131,25322,31877,23588,10085,8156,-401786,-63398,-24658,-21147,-28820,-21313,-9009,-7504,-800417,-93887,-30251,-22703,-30009,-21712,-9279,-7833,-639907,20579,-24810,-22094,-28502,-21757,-8881,-7348,-947144,-92758,-29650,-24808,-29999,-21655,-9043,-7342,easy
925297,94286,82281,16022,41248,28261,7253,6517,1773929,1661242,-5166,58175,74033,61915,7865,4683,-775933,-1922,-61113,3290,-35375,-21043,-4175,-4746,-731747,-83727,-79426,-14087,-38091,-24561,-6601,-6050,467958,-40647,-63625,2192,-12897,-10835,-1635,-3561,difficult
