delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
366625,28355,18930,5950,6021,11311,6569,9156,174637,73859,10193,2509,4958,11081,19435,-1001,-236049,-15101,-16141,-4719,-4148,-10535,-5001,-8292,-216570,-33,-11316,2942,-2759,2200,3619,-3239,1080855,29713,16102,57109,1448,27555,34957,610,-182288,26316,-9591,-1428,-4474,-2701,-2379,-3487,-410686,19479,1297425,-1263143,-88960,15068,29746,-3397,-26334,4825,27418,-25693,-7228,7661,54167,-58537,-9106,1389,4207,-5922,-21616,12735,25355,-30256,-24436,8620,31338,-37336,-7291,5053,3849,-4097,easy
783122,198129,25936,19180,26083,58420,28670,23150,-415632,-176898,-16641,1244,-12932,-50883,-24081,-20127,-619563,-149554,-24732,-12448,-18261,-37048,-23797,-19886,-479762,45966,-10161,22153,-4261,-32942,-483,-10921,-19801,-50611,-9517,21349,-3043,-28142,-6708,-2032,-271977,-131672,591,7530,-17796,-50203,-25684,-17867,-203931,139801,459961,-252176,27344,195520,-96577,-81061,-8091,14571,644,10108,-13692,34601,-804,-13819,-5329,14000,1218,-14753,13835,4106,4800,-22061,284,23314,-6225,-18976,241,8965,8889,-15835,difficult
777741,648665,73252,42302,32824,60363,35857,37886,-660016,-589532,-63540,-40007,-29875,-55637,-33010,-35964,-109366,-531989,-41454,12784,-2398,68641,86763,2740,2188792,-511141,212109,106435,18377,19194,88469,65701,-597845,-594771,-64689,-33799,-7943,-36122,-15514,-17497,239669,-455925,12776,-30958,-24275,-13425,-22280,-29221,550650,2298158,-2786637,837514,57543,20848,-83630,138846,22086,253563,-276798,77465,52791,93651,-140234,2841,27477,20775,-26320,-16332,124278,-49447,-55316,22697,119773,1706,-103983,-6766,38704,62961,-83198,-11724,easy
717752,170851,28342,32070,23094,27907,30914,14144,-488391,-135627,-24325,-29551,-21205,-24413,-27654,-9174,661490,86528,125039,9890,9808,137536,9305,36395,1190212,-79621,-22758,-25927,-17962,-8998,-10940,-7994,2203339,150444,29195,25187,20278,65848,56223,23096,20504,-121301,-28007,-17348,-6785,-11210,-12673,-7713,1149881,528722,1013127,-2182835,222155,-166149,230065,-271745,149364,-147797,51953,-57202,39441,-35817,51114,-42535,31013,-27770,38240,-27063,161949,-146534,74846,-77058,36959,-20245,67163,-68896,45569,-44389,31090,-30809,difficult
645846,86211,32343,11447,8397,17629,9530,3569,-316731,-61366,-18047,25525,19524,32981,48485,15031,-331116,7706,-21618,26856,25659,43173,9388,8993,-640579,-74168,-27704,507,33876,1846,12131,16111,-627744,-65526,-24271,250,5893,29192,13561,21141,2366395,-24018,19428,51071,36418,57994,27543,23190,-14385,-309463,12835,2994139,69072,-81874,8642,41508,-3571,-6086,3433,43699,1331,-26349,-257,50821,6135,8217,-27983,30525,10192,-41327,27346,28802,-39097,2743,1430,13982,-6038,7118,5030,2049,easy
896403,107211,62605,42015,23275,28384,20383,8657,-172601,-35746,-22680,-23975,25343,-2227,32666,7948,-603767,-99150,-61057,-32480,-16365,-13193,-6423,-7211,-307374,-11330,-47824,-8124,333,22953,-14565,-4482,-828251,38698,-53921,-39325,-16939,-23601,-17108,-6029,2347280,532007,186479,-23977,30505,60747,7898,-3364,-431166,296393,-520877,3175531,-63404,87820,50028,493309,-38377,13233,-6097,240400,-8505,24356,-31201,15348,-41708,16698,-17272,47444,-10966,36146,-46554,84348,-39089,-8142,-2543,25006,-15159,2729,-1547,2665,difficult
263970,154775,5587,5996,14161,52667,12965,12994,299749,369059,109400,13144,26241,28130,27850,12993,-254736,-153766,-4826,-4353,-7882,-35842,-7846,-5641,-98337,-69263,9080,14396,-10620,-40886,-5581,-5653,1096604,137666,42678,7516,17337,17043,33139,57338,1414986,-31213,40807,7719,14103,-1844,26571,11031,-554485,156399,1194941,318382,-522825,84503,206929,-168879,-114226,13906,33598,-1871,-17497,18749,-6880,203,-34123,-2738,27957,-3234,-63972,-5044,57929,-18887,-35696,2265,38720,-6568,-18634,-12,62991,-46307,easy
1300727,98921,15212,37537,23969,33675,23404,24746,-1268988,-91438,-6830,-30127,273,11652,6897,-10015,1015087,13808,-6682,-10011,-6162,-2498,8964,8947,-1287034,-86388,26755,-14127,-13890,20769,5212,-16127,-1293568,-89491,-9437,-26527,-11418,-8739,-1401,-9502,-1295418,-86803,-4061,-32431,-13765,15155,-12515,-12312,2284075,-2302121,-6534,-1850,105246,-100196,-3103,2688,148,33437,-36192,5376,20116,-4116,-12400,-5904,-6435,-7728,2472,-2347,-14150,23267,-29508,23894,2067,-3752,-6613,-11114,18962,-25074,6625,-2810,difficult
1092883,280846,27229,20132,13864,34222,47738,13216,-962766,-262230,-26377,-18804,-11996,-29599,-45675,-10986,-944097,-105680,45410,39845,14034,20625,-20572,1821,-163280,14880,39471,4087,7953,41845,-16939,-2906,488213,-112965,35074,14485,28296,8993,-9629,-864,-1084388,-275346,-15376,-11765,38438,-3223,4471,12156,18669,780817,651493,-1572601,156550,120560,-127845,-162381,71787,-5939,-4397,-50450,58649,-35758,10398,-26250,26030,-6081,20343,10142,50224,21220,-32852,-12216,25103,3633,7310,14100,12807,-4727,2042,13020,easy
1482450,110466,21989,19502,6530,37598,20802,15066,-1399727,-99778,-18230,-18320,-3204,-34220,-18869,-14079,-1369963,-83448,-18088,-16767,1645,-26646,-17056,-11466,-1312780,-83774,13080,32235,13334,-9909,10510,-4832,-1411435,-93894,-11908,-5941,26895,-3101,20268,4029,-1371113,-100228,-11333,-12687,-4926,-30769,-18359,-14093,29764,57183,-98655,40322,16330,-326,-10120,-6334,142,31168,-24988,575,1553,49002,-38176,-6746,4849,11689,13561,-31821,7574,16737,6808,-27668,1813,27566,9758,-38627,2613,6634,8861,-18122,difficult
