delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
25570,14766,6082,4966,1794,2954,1803,1465,123146,41115,14483,4041,4322,5464,2238,1826,-114199,-38298,-14109,-3385,-3298,-4435,-1003,-423,-80954,-14400,-2693,5235,-1758,-585,133,-299,easy
175575,15377,6465,3201,4906,12447,5216,7008,121294,24933,8120,3257,4409,3922,1400,2306,-105364,-11350,-6,2047,437,18871,7534,8357,213925,-7763,-3304,-2160,556,-1822,98,1047,difficult
443910,103057,10428,14231,9016,11287,5030,5729,998741,137464,69907,28980,25127,16025,7975,2693,-195043,36652,-55276,-4517,-9449,5231,221,6746,-914619,-105467,-63683,-24981,-22773,-14707,-6112,-675,easy
183788,28427,8160,2231,2615,4011,2381,1260,91721,38153,15579,1810,3409,4992,1939,942,-6352,-8924,-1542,1179,-148,404,-738,378,190485,-10528,-13297,-338,-1441,-2367,1622,257,difficult
234449,77631,24017,9907,19051,11905,10530,10674,540400,120005,47399,16594,11950,10022,3838,2520,-448116,-84624,-30539,-7718,16391,11157,15016,16847,-163786,-125,-16225,-5657,-2190,-7392,-1633,-539,easy
41450,21647,19918,9747,12092,17567,11539,4927,55165,45245,6326,4177,2805,3346,2063,2123,10143,-30231,2789,-861,1085,-1349,1881,-795,-37574,-16966,24395,12001,17488,29790,17070,6402,difficult
324515,66188,14308,8644,5266,2455,5659,1262,236546,113318,23415,5203,17820,9030,7461,5078,365578,-36548,-18254,-1690,-16160,-8084,-7029,-4751,-189641,-57712,39,8571,-8948,-5067,3424,-2881,easy
137278,10507,2443,3157,1594,3291,1783,931,1451178,238101,23556,11890,12795,17339,13426,4964,-1197709,-219353,-18971,-6003,-10811,-14212,-11597,-4037,-1430092,-235835,-23255,-11464,-11591,-13884,-11689,-4030,difficult
26091,14798,6714,3005,1929,2984,1363,781,400083,666875,39151,36382,28184,13646,6196,6924,-384239,-659539,-35632,-34718,-26376,-11583,-5360,-6340,-363746,-644616,-29242,-32037,-26134,-9741,-4306,-5947,easy
496316,120678,9009,6730,25804,12639,22342,10363,98453,36892,11146,3188,4316,3716,1676,2172,512344,193301,-8360,1135,44357,18517,39386,14895,283382,-25729,4085,5948,-1381,-671,1945,1486,difficult
48807,39292,6702,4033,7381,6448,5322,4631,374519,97945,17876,11173,8338,9478,6447,4310,-343623,-89286,-16057,-10729,-6521,-4671,-4006,-1444,-307802,-28020,-6292,-3551,4606,-1389,1755,2086,easy
3191,4081,7743,4571,2998,11352,3239,2793,482185,136942,9155,3602,6483,6315,2387,2408,-479260,-133021,1669,1888,-4194,6680,270,130,-478728,-132701,-4493,49,-2776,3394,1434,640,difficult
876692,89561,11143,68556,22269,16145,10030,8777,514999,193334,39123,15020,10061,18112,7193,8631,1223036,-15586,-20489,120230,28184,11670,10460,6814,-499651,-191960,-35471,-13159,-3768,-15604,-4786,-6522,easy
