delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
20000,17254,11192,17296,7329,4304,3859,2684,47921,32703,8985,13609,17943,11334,3673,7013,-9147,-24520,2149,-11790,-14712,-7524,-3080,-5984,-46696,-6378,2264,19163,-6517,-6537,3452,-2674,easy
213753,79891,30925,13171,9725,5127,8526,4547,768215,156797,46863,52875,41664,21761,14599,10376,-377464,-51945,4816,-43219,-33770,-14310,623,-3508,-731461,-101868,-36692,-36190,-30109,-18959,-12769,-8150,difficult
62145,23323,30485,7275,3454,4565,2650,2913,212538,31068,12361,7202,9221,5119,4032,1203,-201457,-19438,42708,5251,-4801,2174,201,3965,-99330,3948,-6461,-5106,-6734,-3282,-2966,-546,easy
109140,18304,21781,8057,5472,11138,3737,5884,1473940,272975,12148,26313,18018,19345,9250,9703,-1471916,-260988,28,-17745,-15547,-9324,-5750,-3930,-1257684,-248355,19238,-18768,-9545,-7090,-5276,-3708,difficult
180394,68962,4807,9981,5662,4761,923,3180,458011,62976,24551,13792,7493,12716,7437,4544,-229183,25285,-23226,-4004,-2328,-6694,-6541,-2004,-326051,-13314,-16262,-3619,-1335,-9216,-6488,-724,easy
35814,17576,5558,8456,3302,3515,4069,1273,95448,21282,7531,4523,2638,4737,1523,1985,-73335,-806,972,9429,2210,-373,5701,182,-45933,-6606,-4919,-1564,-882,-2072,-609,-1607,difficult
12249,10171,6374,3454,2311,1412,1377,1065,161040,48753,7924,10117,18736,7104,2509,2903,-158905,-44289,-4944,-6120,-16723,-6120,-1877,-2397,-138677,-32875,1844,-7207,-16128,-5264,-387,-1279,easy
74293,9296,2778,1423,1725,2127,1561,859,47151,39444,8063,8353,11055,6215,3385,2822,84518,-22645,-3957,-6690,-9435,-4114,-2335,-1886,-30235,-37652,-6613,-7171,-9225,-4063,-1314,-2041,difficult
78933,22848,4547,7538,1200,2938,3028,2114,688321,90189,17412,21698,8972,9028,8333,6901,-562861,-74216,-12762,-17222,-7775,-4969,-5235,-5937,-655915,-60467,-12968,-11099,-7770,-7211,-5376,-3637,easy
51565,38761,6830,1940,6959,3217,1109,1091,164383,69252,12436,7991,3905,4529,1622,1303,-144060,-53352,-5489,-5063,884,-655,-404,-187,-81577,-7630,-5723,-7040,5223,-1970,-622,-238,difficult
222413,35376,6138,6876,2055,5032,1220,1060,272695,109689,60589,8354,15456,13088,13034,7313,-121407,-97419,-53602,-3046,-13264,-6655,-12215,-6474,20842,-51208,-55301,89,-13539,-9457,-11414,-6033,easy
107528,17253,16201,12793,3734,5115,1621,2670,64361,18026,6969,8422,4516,6943,1883,2084,143565,-3101,-930,4199,-3540,-5102,-1320,-1017,-57231,1555,19393,4542,1976,1446,795,2188,difficult
230749,35027,18181,6319,2815,6867,2566,2909,184684,30433,8376,8925,4085,3792,1741,2014,235747,1069,-4881,-5713,-1765,-1917,-1476,-1697,-143618,8119,24491,500,-776,8067,3125,3487,easy
112768,10559,5216,3091,4033,3257,2041,1456,413843,87946,20574,8568,12526,7426,2981,4090,-193602,-72987,-12884,-3707,-7096,-4644,374,-1903,-408548,-81787,-17833,-7248,-9891,-3694,-2255,-3365,difficult
69400,38009,12154,5378,3792,1409,768,1103,273425,54215,10700,19653,11611,6831,1786,3948,-257284,-44666,2827,-15936,-9681,-5623,-1166,-2751,-150766,12254,80,-12614,-5957,-5222,-870,-2939,easy
153844,32932,9301,6222,2874,5969,1616,803,371212,56556,21357,6997,7041,12405,3514,3106,-207641,-32370,-11011,1579,-5547,-6191,-2624,-1879,-227096,-14879,-13101,-3130,-2788,-6681,-1172,-2728,difficult
5455,11251,23472,11709,3994,6282,1902,2076,50259,19195,7876,4982,5333,6729,3134,3458,-48044,-10801,19431,6665,-249,1071,-828,-1893,-41565,-5087,11761,6788,-2429,-1965,-1636,-872,easy
196572,100574,8142,2800,4926,8960,3964,2581,1008739,179129,11242,24648,22898,11747,9372,4859,-762915,-168962,-7917,-20949,-19571,-5821,-8207,-2798,-861419,11851,1716,-22747,-16373,246,-2609,-1758,difficult
101789,37047,16848,14694,3601,7570,5005,5015,364467,36714,9784,12582,3269,6844,6232,5494,-259128,-17904,-1375,-7999,-1522,-4194,-3584,-2279,-266229,18569,15502,12222,2186,5646,1130,1321,easy
580147,51477,43249,13413,9950,5220,3602,3638,62294,39626,20494,7485,9200,7458,3816,3039,1091321,54458,-11453,1528,648,-4050,-1387,-1831,-55615,-30757,56962,10328,851,-427,958,3029,difficult
121083,117830,31298,5480,6609,4322,3682,3923,924984,261817,39452,30841,25806,19456,12159,9791,-908385,-62587,-9212,-26889,-20416,-17388,-10774,-8811,-699417,-225387,-7096,-23833,-17978,-12881,-6180,-2925,easy
608492,35195,15261,4436,7925,6829,14063,8838,575790,257662,17946,19666,11977,13774,9374,6168,640432,-188706,11870,-11268,994,-4409,12883,8648,-575029,-256229,-17241,-19193,-9098,-9481,-3506,-3309,difficult
441512,16645,17198,6446,5099,8967,1521,2516,177356,17733,4205,3435,6191,2123,1026,966,601805,8827,22969,6899,2731,14042,1436,3598,-73494,-11003,3017,-878,-4916,-354,-447,-498,easy
96100,38830,3855,4420,1858,1549,1461,816,297732,113548,21211,10426,3337,5482,6902,3239,-156823,-47491,-18303,-2349,-676,-3287,-4179,-1874,-246442,-101946,-16410,-9664,-2283,-4580,-6704,-2973,difficult
71777,20265,18980,3364,3701,3874,2572,1622,188218,44855,10673,8027,3379,5735,2295,2401,-72478,-18849,21273,-2566,2938,354,2547,720,-160404,-30331,-4660,-6760,-2295,-4077,-1994,-2279,easy
402619,52723,19917,8824,9803,22025,12971,8753,387369,20649,12536,12616,6095,13674,17353,8996,45959,68024,10732,-6362,1732,-4212,-10011,-6307,-15459,-3876,4030,-1223,5683,20913,1247,5821,difficult
82130,11575,10344,6067,4921,4616,3057,1821,115372,52227,11074,7170,4935,4789,2855,3008,21244,-47114,4855,-5276,2430,-2970,655,-1064,-87728,-34191,-6316,3070,-2458,2624,-252,-1311,easy
121796,15264,2854,3307,1662,2392,876,555,58387,16178,9438,6691,4773,4508,3697,2211,-56109,-8529,-6075,-6012,-3598,-1270,-2703,-1463,182927,6701,-7094,-757,-2625,-2963,-2940,-1850,difficult
527867,28599,39665,33783,13286,15539,9453,6681,813916,84323,14192,8951,8038,4531,2933,3898,-793252,-79818,24040,35984,14994,15714,7913,312,221153,-31630,26905,13680,-4498,6301,5126,5253,easy
79560,29004,14384,7964,3159,6578,6854,7969,774035,156214,25478,48161,26869,18301,16389,11064,-624965,-101561,-14651,-44372,-22624,-14977,-12633,-9590,-763986,-152860,-7538,-36023,-24796,-8469,-6437,3399,difficult
4022,9387,31620,5194,11020,21524,9844,9979,94985,36950,7849,4532,3908,6033,3754,3235,-92887,-24037,12367,532,33,10453,4101,7798,-89040,-31090,35175,791,14191,20528,8079,5689,easy
97468,40548,19264,11868,15080,9135,8565,7046,236467,62600,12474,37332,8127,8652,5464,6547,-43050,15822,20116,-18550,20647,6390,10475,5365,-234948,-59926,-6537,-32379,-6742,-5425,-4274,-4367,difficult
933043,59000,20359,30012,27288,19698,6161,3943,373894,37481,13478,4424,6168,3180,1043,769,-315184,-24014,9511,30038,35761,18668,7769,3514,1433481,67051,4251,21137,6479,14368,2467,2834,easy
50293,9676,8709,4801,4888,6089,1838,1767,76031,29665,22113,5064,9533,4805,5662,2967,-73037,-17814,-12206,2955,-2230,5383,-2944,-120,21560,-22164,-14603,-3482,-7061,-2815,-4705,-2280,difficult
224744,17815,7088,4468,5368,11384,3648,2247,255434,105148,38780,18821,12353,16650,9329,7385,-246988,-85076,-28474,-13826,-3762,1386,-4055,-3633,185608,-89591,-34911,-14881,-10209,-11918,-7308,-6644,easy
163533,8567,4929,6892,5522,6348,4843,1892,704464,133683,30275,11777,18015,13226,12348,12200,-394979,-122044,-22403,-3716,-10751,-4272,-8058,-10669,-686883,-128188,-28289,-6055,-14236,-9485,-6953,-9948,difficult
53997,36124,12813,7222,3337,3589,2119,1997,155729,64409,18626,14044,6921,10285,3482,4114,-114680,-47191,-10508,-12084,-3928,-8938,-1877,-3080,-88785,-9379,-1119,-1561,-3240,-4454,-850,-1155,easy
56319,25294,11892,2143,2559,1924,2609,913,330835,26528,14279,15310,8240,8087,6959,5318,-227646,16334,8010,-12312,-5166,-5022,-4420,-4299,-321387,-18803,-12785,-14023,-6196,-7305,-4280,-4512,difficult
28816,77172,82741,14503,5391,6354,1537,2292,174323,20474,7606,4527,3513,2846,792,784,-127799,-6039,-6341,-3067,-2706,-2287,-621,-641,-163216,119435,156610,23019,6461,9302,2110,3657,easy
28420,25049,3684,9303,4016,6272,7791,4080,63136,25432,3464,6332,3694,5263,2663,1979,-55870,-17825,-12,6659,-111,3439,11645,3472,-13563,17058,452,-718,755,-1422,-1389,730,difficult
166317,27344,23419,14470,13444,10663,4835,5901,329939,59611,22330,9392,10019,7071,7666,7308,-13115,-12346,10351,8095,9444,4201,-1960,-115,-314130,-52188,-8173,2060,-2594,2982,-3702,-2700,easy
530723,78861,7468,7044,9629,8871,2567,1303,194120,108272,14159,13882,8057,8260,3529,2322,63427,-72915,-11382,-11512,4264,3040,-727,-876,609779,14093,-2000,-2164,-1121,-1819,-1198,-1162,difficult
46782,5377,27087,5719,6635,8556,3339,3819,99937,34568,11812,18401,5121,5016,2784,1607,-12409,-29612,-3642,-18157,-1945,-2174,-1520,-710,-93902,-28771,34192,-7208,4972,9253,2630,5133,easy
934947,193011,20590,20701,11370,17231,9245,9027,251156,58143,15549,18398,29898,11848,9063,4052,1609413,310051,23991,18874,-16883,9950,2859,9106,-241831,-40316,-13909,-14268,-20173,816,-2495,843,difficult
534267,57260,15521,8172,17374,11638,4399,4391,467964,61380,32078,18149,8800,4896,3059,1459,-240926,-12864,-13390,-6969,18324,14403,4234,6062,373531,4624,-19724,-12985,-1176,-920,-1554,-198,easy
361398,99223,32456,10733,7881,7856,6150,4386,145850,15788,9131,4135,4312,6963,2226,1562,40161,131484,32810,3215,4550,4721,4360,3969,390935,35385,13839,9980,2588,-2936,3487,1679,difficult
138726,36459,38857,35990,7454,21234,11563,4605,99955,24227,13542,7207,4601,5977,3593,2315,-95880,-8207,-10874,35278,5883,19350,5629,829,173421,32670,61504,22288,-178,11163,10311,3750,easy
12861,11588,3000,7678,1535,1347,1530,600,251027,34308,9800,10480,4645,3416,4913,2640,-247731,-26595,-8627,-3969,-3394,-2563,-4364,-1962,-228601,-18846,-4973,-1635,-2826,-1575,-2402,-2119,difficult
502244,53218,7152,24261,17877,16736,11164,18292,1352087,222607,63771,27943,42110,30493,12159,6522,-1077547,-213259,-53927,-2655,-32710,-7396,923,12156,-622139,-125520,-59312,-4709,-15757,-20118,-2913,11383,easy
46370,13902,5803,7388,3942,846,1089,945,130032,34280,11401,7852,8638,4540,2547,1773,-42703,-13339,-8029,-4967,-5129,-3683,-1253,-635,-124621,-27417,-3167,4038,-4264,-3705,-1663,-1021,difficult
