delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
616424,39586,6847,10461,22033,8212,7692,7809,1301436,38493,34695,39354,12980,5255,3140,2919,-1165841,9412,-31707,-32339,-9418,-1769,-1575,-586,398130,-3721,-27597,-25377,34707,8660,10228,10169,-1287324,-2413,-24241,-28962,1870,1979,5004,5087,easy
399068,83057,4423,7879,9761,6532,5995,2147,332684,157723,47219,19667,13569,19918,19080,10217,393285,-134081,-42180,-16558,-9384,-15811,-14626,-8626,-48369,35472,-40925,-4557,7937,-11513,-9596,-8086,-145764,-125388,-45283,-14249,-9977,-12834,-15032,-7499,difficult
676321,203876,51111,47182,26262,42170,34337,27266,315358,56924,13983,13095,8412,18891,18289,13129,569804,288920,4661,92237,35505,40630,56146,25614,-170486,-47498,-5723,-11951,-6720,-16765,-15090,-11156,683572,199435,112446,21974,24766,45971,7087,27954,easy
295597,50777,5520,5337,6442,22341,17204,19992,1314787,263330,52454,27072,19902,67472,59115,48056,-620329,-173838,-51871,-17373,-13233,-28133,-24070,-5995,-1262970,-234175,-46012,-22939,-13250,-59248,-47131,-43238,-1174271,-229647,-42918,-24894,-13898,-48013,-54533,-34959,difficult
648381,54168,14223,8623,14293,10240,10165,16563,435830,198877,17850,7632,8239,10529,8644,4769,1223514,-69278,-68,2015,21931,11553,11131,34238,-413762,-185379,-2619,-1615,338,-5034,-3957,3442,-172098,-179470,-8194,2574,-4106,-7386,-2610,-2299,easy
327565,37827,4642,8823,4420,13728,8486,3205,1375797,148442,43127,39444,14500,38638,34190,22107,-549967,-54951,-34383,-19993,-10071,-22976,-25618,-17302,-1234391,-138047,-41677,-33647,-8453,-25702,-24788,-18030,-1360339,-138846,-39394,-38222,-11717,-26053,-26707,-21373,difficult
316650,138296,31188,21851,35323,32307,20347,18754,559925,74972,12195,12331,8662,27934,32777,15916,-27736,196834,8606,40644,73187,26276,-6602,23041,-266429,53488,-7238,-10739,-3166,-22843,-26928,-11207,-435659,-60349,55610,-1344,9962,9685,-3759,-3319,easy
600751,71030,10359,12152,4475,4856,3538,1788,640518,108136,7842,19143,6115,27622,16702,15632,-607674,-101957,-6182,-16783,-4109,-26773,-15827,-14447,429475,-12552,5741,-5137,-1801,-22373,-13582,-13911,58898,3191,7992,948,991,-19151,-10083,-13173,difficult
521661,140279,9839,5444,6748,11948,8922,4990,1305460,284684,24238,46822,27334,48005,39410,21815,-241194,32273,-8694,-39620,-20845,-37820,-30293,-15191,-1186274,-276363,-21356,-42297,-25101,-36953,-30127,-20200,-923929,-189125,-13148,-42217,-15813,-33397,-31043,-15084,easy
174884,55889,17120,5222,8060,22535,16429,4890,128449,74000,13287,15057,5130,16430,20108,14164,155397,-11734,27833,-7272,10668,2547,3291,-6313,79424,-16785,-9660,-12123,-1908,-1352,-6078,-9817,-95517,-25815,-6674,-10111,30,17121,-8249,-11692,difficult
