delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,midgamma_cc0,midgamma_cc1,midgamma_cc2,state
297129,507266,26588,42612,40141,15115,10100,8108,370917,-366085,6589,-27413,-14674,-866,-3547,1548,-68162,-469726,-12534,-36518,-36365,-12653,-8825,-7462,-220539,-478609,-23710,-41129,-39040,-13654,-9478,-7672,950810,682579,89198,-3461,31238,9771,10837,112,-439079,-152377,1171349,-103641,-8883,1161188,-19123,-11176,112908,-9105,-4611,37668,-21691,-2675,70278,-11787,-1001,23425,-5278,-653,20315,-9010,-210,7784,difficult
985973,265589,75626,28287,40489,14939,9018,5392,-673808,-196379,-47433,-19166,-29623,-11615,-5289,-3706,-935358,-215339,-35492,-22933,-2283,-10482,-5731,-3099,-857223,-237413,-72670,-24419,-38040,-12767,-8194,-4866,-570021,-223018,-74932,-25028,-30623,-9313,-5673,-3782,-261550,78135,287202,-18960,-22074,14395,11941,-37178,-2262,-3767,-1486,-609,27340,-35757,7417,1133,-2285,3454,-442,-2463,2521,607,-1767,1084,easy
695092,256792,17877,30239,22010,16379,6786,3519,11822,-54954,73918,-9504,110823,23020,30889,14937,-461796,-152251,-10302,-15574,-17114,-14227,-5727,-2814,580161,338344,13641,41021,42527,9033,4369,6188,-482021,-242996,-5485,-27051,-19018,-15045,-6068,-3162,-473618,1041957,-1062182,-97297,490595,-581340,-84220,23943,-19126,-6070,56595,-68072,-127937,59641,-61545,-37247,23260,-24078,-36616,10096,-10437,-17751,9002,-9350,difficult
279713,37959,11022,15173,7926,9104,2590,2012,-123391,-579,-6789,-9122,-172,-6781,-1573,-1639,-122831,50563,19762,29977,10050,-4073,471,4743,616614,10826,-7186,-1495,-3004,-5454,-942,-778,-158941,25477,68234,5688,21631,1886,5830,1424,560,739445,-775555,51142,-39737,14651,26551,-26948,75420,39099,-31472,7183,10222,-13054,24635,2708,-1381,7340,2044,-1413,6772,6382,-5521,2202,easy
1138124,150913,32823,60327,18582,27478,10953,9481,-96433,-87331,-16863,-47953,-12988,-21365,-5320,-5140,-1092917,-75518,-19990,-56405,-11620,-20649,-7466,-6332,-65486,-97897,-17906,-42564,18036,-9144,9573,2967,-1019092,-121737,-29890,-56733,-10078,-23643,-6975,-6127,-996484,1027431,-953606,11813,-22379,-23840,-3127,2084,-11984,-8452,13841,-14169,1368,29656,-28114,716,11505,-14499,-2146,17039,-16548,-1192,9299,-9094,difficult
240574,33934,9523,10943,9171,6673,2704,1670,-101512,41404,39345,15901,19408,1817,11647,4084,189685,380466,6205,10127,12709,18348,7288,4862,3637597,464121,38542,110585,206069,122218,64444,19075,-135099,281,-9136,-2828,-6636,-4705,-1896,-1365,291197,3447912,-3772696,339062,83655,-463840,-33140,32337,-47678,-5774,100458,-113413,-6699,193360,-212705,16531,103870,-126923,-4359,57156,-66340,778,14213,-20440,easy
179329,25075,16637,6916,10406,7081,5599,2986,-87177,34033,-4297,20308,10836,2554,11890,8665,2044088,204090,16033,22129,31235,39372,12858,12283,-166171,13145,-14016,-5799,-6323,-3274,-4930,-2317,1090887,119287,22652,9618,22629,7529,4872,9906,2131265,-2210259,1257058,170057,-190945,106142,20330,-30049,36668,1821,-27928,15417,20399,-37558,28952,36818,-42646,10803,968,-17788,9802,3618,-14600,12223,difficult
207848,32429,4904,7640,4486,3609,2050,2856,401951,42164,13459,12098,799,18365,1651,3335,-127869,19239,13364,2413,-207,583,-741,-1820,-145142,14228,12674,41321,11913,8756,1732,2328,724870,132999,14772,-3338,8978,4303,436,-15,-529820,-17273,870012,-22925,-5011,118771,-95,-690,2098,-9685,38908,-44659,-1006,12120,-2935,-17782,8173,-4453,-2392,2473,-1296,-5155,4148,-2343,easy
211975,69165,51816,22753,8576,15305,5260,3429,-32952,-34036,-35459,-18514,-974,-10209,2456,1582,-171248,28573,-4367,-14850,2259,-5297,2468,1240,-171248,28573,-4367,-14850,2259,-5297,2468,1240,-162069,-31354,-6055,-14717,1541,-1545,60,534,-138296,0,9179,62609,0,-59927,31092,0,-1688,3664,0,133,3233,0,-718,4912,0,3752,12,0,-2408,-342,0,-706,difficult
982264,197456,71885,20801,25771,24200,13979,7598,-693102,-173263,-69212,-17765,-23073,-21436,-13201,-6906,-756543,-177835,-69531,-16792,-23750,-20961,-11861,-6384,-749041,-186693,-67992,-18693,-24786,-23598,-13445,-7154,-720811,-182565,-65127,-17325,-23096,-22344,-11800,-6434,-63441,7502,28230,-4572,-8858,4128,-319,1539,2865,973,-1901,1368,-677,-1036,1690,475,-2637,1254,1340,-1584,1645,522,-770,720,easy
