delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
264560,80759,16676,20736,12225,15412,5970,3990,-249116,-52878,845,-18987,-5773,-11300,-2215,-2944,-146697,-34558,558,2615,5798,5246,-238,712,easy
173116,25309,15568,8100,7020,3315,829,819,68736,-12947,-9174,-2919,-3715,-1339,204,-488,-119442,644,-12053,-1196,6097,10099,3510,4014,difficult
92877,66270,13279,8361,6267,4566,1636,1484,-89239,-55446,-3470,-5797,-4548,-1678,-515,-392,200804,69682,41581,3630,5452,8018,8141,2371,easy
101312,48698,6197,23224,9133,19005,1959,2262,175382,-36901,-4607,-20140,-8157,-15850,-1355,-1615,-48657,-37955,-3146,-21378,-8022,-18476,-1406,-1961,difficult
94526,38219,10313,12899,6782,4649,1820,438,-74763,-23744,-8813,-10830,-5056,-1912,-700,27,48953,-3864,-7060,-10933,-1368,-2798,40,307,easy
48104,18195,4658,5443,14810,4499,4265,1845,356270,38780,25851,11330,-3311,-1444,-2739,-1028,1314149,89119,43933,33477,11,7730,4830,13678,difficult
64685,54716,14869,5606,3523,4019,1544,712,-19536,-47542,7496,5968,8336,12914,5178,4042,222514,-12020,54283,16850,13362,32601,3320,1857,easy
64845,22249,3370,6797,4288,7143,5304,2436,111673,18775,2967,155,5700,-2632,-3815,-845,71941,21536,2773,1579,-2363,-3596,-3886,-1730,difficult
299053,31016,18583,6559,5550,3773,2125,861,-65746,1374,-12890,-4071,2746,-1080,-1032,642,540675,135475,48336,21697,9027,7368,5255,2482,easy
94256,14253,3578,7158,5056,5875,2680,867,32518,-6368,-436,-5150,-497,-4120,-690,-4,-31564,-6245,-1239,-6170,-4133,-5301,-2317,-681,difficult
224378,37705,14734,8135,9927,9903,6013,2575,-193402,7853,-1222,-4080,-5564,-6660,-4278,-1785,-161729,-27897,-5787,-4270,-6619,-6595,-4990,-548,easy
533321,189599,33371,32230,23201,19633,12042,6717,-506806,-123297,64742,-11256,26128,-3584,9817,-1213,-383872,-173700,-24237,-29962,-21093,-17982,-11226,-6170,difficult
175623,46469,6853,4333,3928,3493,2260,626,-105526,-37455,-5050,-3632,-2664,-3082,-2101,-203,-167587,-36699,-3464,-2663,-1344,-693,-1292,-160,easy
84573,28210,13588,20070,6008,9092,2896,2687,782872,43596,5776,-12714,12004,-5535,3406,2329,84376,5584,6193,-6670,3483,-3069,2496,-811,difficult
599878,86709,13436,8435,9379,6766,2876,2606,-597344,-84364,-12050,-3545,-2184,-3296,-2218,-2209,-578795,-60941,-4219,-4454,-7407,-2734,-2246,-1989,easy
101022,23535,5409,9121,6170,11877,4795,4990,-94440,-14594,-2358,-4155,-3469,1348,-1422,-2091,392149,93238,4099,3510,3369,-4985,-1094,-2340,difficult
50530,23635,4674,1954,1809,3415,529,517,209900,15695,-990,-7,-516,-242,602,-51,2356,-1252,4932,1695,5769,8657,5920,3912,easy
67262,55511,6007,5980,3657,4797,3491,3448,51500,-8630,-3517,-1083,-1737,-1922,-1517,-2643,29003,-39439,3742,-1601,7904,-1618,304,-451,difficult
177330,22708,1215,4441,5431,6639,2335,892,-151399,-15145,1478,-39,-2349,3052,-378,534,-123601,-19511,270,-1999,-4182,-6413,-2183,-710,easy
65932,11712,5597,3315,10909,5453,1747,816,191188,14920,-2068,-287,-9224,-3700,-1184,-498,-19907,18490,6947,-2088,-10558,-162,-1126,-476,difficult
536406,75373,11437,5672,7919,4887,2151,1453,-422116,-71120,-11374,-5302,-7461,-4119,-2047,-1343,-498917,-43519,-863,-2327,-5181,-2793,-625,-752,easy
109895,47168,13319,3124,4610,2645,1349,945,-85855,-43349,-12423,-2767,-3929,-2030,-809,-480,78475,67825,89726,20890,25087,23325,13112,22234,difficult
80373,16559,3250,4128,2427,2100,1008,318,-57517,8106,3541,445,1593,794,-102,142,-74014,-691,1820,213,-1599,1115,418,154,easy
17062,12747,6305,5489,19422,14920,16771,6757,6478,-3401,-3654,2146,-12624,296,-8981,63,27801,6159,-247,13733,-10754,-3417,-662,600,difficult
117296,21589,1612,3897,4316,2454,916,651,-109745,-12563,3196,19717,6794,14003,2960,512,-94946,-5130,4431,-2639,-2717,-289,752,-111,easy
618590,100171,17524,17007,9213,7738,3661,4786,-397360,-51650,-14921,-8300,-5506,-2450,615,-932,-393740,-69883,-12412,-15135,-7131,-3358,-1645,-1166,difficult
258406,115670,5603,15710,15109,18813,18145,12645,-175341,-104841,-292,-5424,-6930,-13000,-16756,-9678,104190,252316,135143,14166,26753,2528,2001,7672,easy
76882,41222,11249,5471,4022,2827,2946,1209,193624,44526,-2788,2517,4597,-141,-1214,-474,-35426,-15500,-7158,-4138,-2180,-1245,-1317,-553,difficult
529782,81038,24985,24791,7131,16384,12016,5696,-425199,-59076,-18628,-20837,-5283,-13081,-10952,-4415,-304982,-35539,-15022,-17221,-2737,-10513,-9435,-4867,easy
442863,266128,68608,24885,35247,28007,30774,25132,84633,411064,-10731,45971,47841,74303,62243,4669,-148485,-207454,-49012,-17368,-19310,-19039,-23161,-21908,difficult
98820,23050,639,4258,1479,1702,1047,520,-7962,15430,7636,644,-287,2140,79,548,-88689,-10512,3485,5010,3098,22705,5888,1166,easy
119255,18278,4635,5172,4105,3009,1788,869,-90942,50506,28832,3870,9530,8300,944,2115,-37113,97806,11623,31268,4240,14047,4434,1158,difficult
117290,27496,4176,3155,9021,7957,8134,5194,205649,1367,2947,1805,4196,-3722,-6106,-279,81706,-9666,-1306,-1820,-2586,-5574,-5995,-4326,easy
55327,17724,5224,13260,7809,10561,8444,3760,135316,-2966,-1119,-8147,-5124,-4852,-3881,-1003,-5644,58,-3792,-10830,-6207,-8064,-6258,-1640,difficult
22141,19703,4975,9698,8951,4831,2750,1381,-71,9349,35370,9732,-1303,1607,112,856,12839,-15009,8654,-3762,-7144,-1990,-1127,-873,easy
112235,54937,13554,12769,13434,13334,13697,4710,324017,-1567,-6283,-417,-5004,-8136,-9974,-3048,-75396,-35400,-5607,-8538,-2848,-4290,-6832,2534,difficult
330072,83611,31153,10105,4738,6824,4505,1924,-269629,-50913,-30135,-8487,116,-4299,-2240,-1306,-294397,-80644,-30500,-9504,-3909,-6173,-4312,-1709,easy
604656,45428,8879,7018,6540,12576,7990,3143,-565493,-34682,-1633,-5161,-1441,-10828,-6610,-2277,-567842,-7350,-2364,18669,7654,3324,1517,1893,difficult
68705,38527,15199,7850,13589,9079,4479,2848,795287,4142,-11862,49,-2674,-2453,714,337,-59025,-27143,-14701,-442,-1490,16034,3639,4631,easy
213271,9740,7239,7629,8287,8594,3000,1974,-64754,44848,9901,-703,9075,-1474,1530,-891,-180637,-7775,-3484,24104,-3253,-2019,1561,-853,difficult
