delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
25366,35337,8482,23186,9735,9596,3019,1676,9132,29158,13291,7034,15722,13282,3037,1085,-6968,5492,-7637,209,-7732,-1933,2588,85,2919,10903,-10398,-334,-3560,-5919,-1700,864,757,-10967,-2322,42922,-3587,1371,-747,482,14261,-1973,-2178,19839,-9309,-4874,-1408,678,70202,27442,-1511,18126,-5746,-7076,1179,846,easy
551251,31346,17228,55171,11968,24001,6889,4833,35890,14959,6258,15329,8594,43732,5634,6358,-3141,24314,-5148,-9310,-4621,-34516,-3121,-3575,105835,33873,21859,116558,4985,-29144,6332,-773,-27687,-10510,11257,61358,14767,20602,-2410,904,96583,24266,16803,-1172,-2398,-37497,-3700,-3235,2405214,9991,10081,31778,4137,-18101,9174,-945,difficult
27163,32310,14130,19330,18957,9150,3535,3752,56179,40980,5352,9877,2982,6361,3338,3162,-42539,-29444,6567,130,4460,-314,-669,3905,-52673,-23181,7735,5873,3807,3072,-1386,1075,-46514,-12054,6701,20126,48599,6784,-1338,-1063,-23897,-18737,13650,16152,20280,1409,3829,330,20542,40065,9239,4984,2731,2993,550,-1298,easy
46967,10115,5814,9539,8242,19687,3507,3939,410563,150345,26683,40345,18409,49687,18686,13524,-273260,-121571,-18992,-29757,-15150,-42156,-15457,-9904,-362604,-143689,-24809,-36931,-17011,-45079,-17451,-11660,-379724,-142931,-16792,-22914,3290,-8936,-12893,-3959,-408600,-149801,-25349,-39363,-15352,-34645,-16171,-11936,-393793,-143159,-18404,-25067,-6613,-19185,-13925,-10465,difficult
55986,31128,4993,12769,14450,8598,2617,1967,51499,20615,6056,5597,5832,7832,2227,1916,-25615,42341,-155,-418,4515,9823,1191,1673,59065,5681,-2730,1370,-1468,-4732,-751,-1490,-25282,-15184,3706,41553,45432,4147,3803,2195,-4283,33304,-4053,-2151,-410,-469,-677,-948,18551,-13576,-2082,-4496,-4981,-4941,-1616,-1175,easy
37298,21830,6978,13299,5254,28830,14196,8079,19865,24632,13249,4320,5390,12087,3231,6429,9,3810,-2753,25418,-476,21129,34086,9358,-14181,-19280,-787,7341,3250,12136,4273,1980,109172,20854,-8939,-1646,-2924,-6558,1633,-4531,-16534,-9762,-11463,-145,-2975,45543,5523,28,8700,-9633,-7413,13929,2446,11467,9309,1415,difficult
571618,468814,31931,84946,59832,39155,27964,7260,944691,454784,202624,54457,137779,78956,14521,20690,-766051,-389567,-151060,-50687,-99119,-71505,-10766,-18676,-313216,-130132,-175828,14477,-91837,-52024,13821,-15401,-751199,-309698,-180849,-9944,-132973,-73444,-10622,-17957,100683,-55086,-171585,77492,-110851,-48178,26474,-16015,-135580,954631,-174141,121107,45046,46146,48309,901,easy
15420,18424,13199,11604,9295,22058,7674,4732,355376,40346,10863,6356,7713,19596,4132,4064,-349162,-35507,-1255,6707,-5463,-12448,-3287,-2218,-315685,6166,18826,-3043,6880,10061,16348,-393,-348739,-38898,-2506,5414,-1782,17534,3134,3694,-342342,-20510,-1517,6554,11069,-1155,2569,1206,-343850,-20863,-1869,10609,-2793,-1683,-1052,1049,difficult
22059,32858,9571,11643,9694,7172,3597,991,12459,15660,11044,7411,4897,11366,2088,1602,-321,8598,-9893,-4002,10488,-7607,2125,-862,35803,71723,-8277,-451,-114,-6399,-669,-320,-286,-2133,10996,15558,7649,-3866,5349,-328,-8509,-1203,4932,12641,8929,4836,1273,-450,21314,9004,-5121,-2586,-2968,-7933,-534,-1094,easy
247667,45845,18224,7398,5423,18537,5545,7845,17429,11965,5556,4831,3394,12428,4779,2608,-1306,11844,11161,8032,2041,8725,1693,8768,1175778,154179,64895,2614,2544,10244,2089,4430,-6616,8943,-3201,2432,1778,4070,1677,2929,-7863,-1452,-4626,-2407,4400,2519,-1028,5959,-8805,-4114,-4890,2163,-618,4988,-601,4098,difficult
142253,18569,7859,10056,8577,15375,3995,6400,68283,20745,5875,10181,3848,35109,7429,4479,20480,16434,-1180,-5250,873,-27168,-5366,-3567,-39393,3682,19773,-64,3517,-22677,-1655,1505,205573,-13944,-4036,-9289,-1495,-27802,-5546,-1658,-62710,-16480,-3011,9197,10546,-13441,-2729,10372,245902,-573,-1624,4780,10203,-7584,-1876,2954,easy
311850,69601,7086,8090,6884,25300,7829,7375,690745,36744,22871,5423,21706,22865,9209,3539,-461879,75948,-4105,7390,-15214,-3174,491,1767,620850,170715,-19687,3361,-14637,-5187,3424,6674,-676216,-25872,-14913,5694,-13325,2235,-873,6080,-687653,-27077,-19163,-3732,-18952,15245,-6201,4185,-689577,-29427,-21055,623,-11982,3057,-3743,476,difficult
140559,33271,12302,23467,4877,24330,6724,4930,27055,13072,9150,32900,11052,22100,6204,6275,217980,54624,15186,61969,-2151,27487,3118,185,-24130,-11140,-3505,-28402,-9948,-16286,-2433,-2956,-15427,2005,6004,-26014,-5488,16717,-1864,-1026,-5534,2173,-7644,-27686,-3676,-6807,4772,1042,394630,53333,5718,-27030,-9613,-9961,-994,-3969,easy
731536,69442,8931,10142,7194,15681,8828,4407,960178,315441,78879,29770,10085,25722,24986,19764,-246665,-296279,-72556,-28693,-5850,-23742,-21301,-19156,-220318,-278655,-67112,-23974,-4833,-16140,-21137,-17701,814563,-260258,-68529,-6138,9934,13119,-3871,-9254,-681207,-187560,-66395,-20894,-7726,-9012,-13150,-13863,-809583,-207243,-75150,-18443,-5978,-14428,-21330,-16813,difficult
239793,42300,5237,6509,10216,16371,6737,6261,589257,218508,55028,36829,16193,32552,26438,17793,-513493,-180330,-44820,-31613,-12564,-21940,-22049,-12187,-158511,-183151,-50058,-28623,9889,-3726,-21345,-8652,-452150,-184910,-52016,-35427,-13312,-19541,-22986,-16209,-182220,-121952,-48706,-20581,646,-6823,-6232,-4042,-440948,-210695,-53353,-35354,-14543,-28877,-25892,-16568,easy
79665,21276,9587,6463,7237,7808,3060,3123,458514,250564,36580,113977,49158,36395,14355,8726,-414025,-244478,-30183,-113530,-47947,-35935,-14122,-8564,-289204,-231350,-32401,-110381,-44760,-34373,-10009,-7103,-312153,-200327,-24649,-106878,-44279,-30931,-11829,-8120,-436392,-238599,-21259,-108061,-45602,-22489,-9533,296,-442472,-231684,-26472,-98722,-27016,-19205,-10981,-4524,difficult
109708,61634,14761,12849,12782,25436,5185,6260,35302,13272,4224,2593,6367,12103,2234,2407,-20915,-2449,11664,13978,-1346,17677,4446,9014,14464,36034,5476,9809,19289,10991,2582,2391,-22548,39946,9558,6771,15017,16400,3823,4668,61313,14128,-752,4205,-5512,-7404,-752,-980,339714,154151,26737,16515,4629,29000,4656,4171,easy
268759,55575,32771,32250,13888,13892,6427,3963,31750,12780,8839,5194,5105,12431,2918,3544,-21341,-1513,-4270,30728,5851,-5194,-419,-420,-17054,23393,7314,10702,-144,1142,605,-211,-19887,28773,-581,-32,27587,-1498,3274,-1050,-27643,-7313,-1430,10120,2216,-4979,1932,-1253,1270972,170636,118625,83761,8404,17832,12152,5028,difficult
14090,19390,5145,8125,5469,4852,1349,988,839298,22509,8432,12144,8176,10357,2414,2011,-836265,15903,-8016,2896,-4161,-6874,-956,-978,-810996,-6260,-6706,-7454,-1322,-7717,-1726,-1730,-837842,-7453,1008,-2919,467,-6310,-1340,-733,-827578,-5648,4414,-4564,-4544,-1859,-958,-788,-813359,-12137,-7133,-8055,-3977,-4765,-344,-887,easy
460638,64508,15600,13691,12267,25415,9703,10220,312029,27065,14688,5297,4006,4567,2552,2504,-294506,13400,-11658,3449,2754,17522,9775,2943,934494,129796,23861,22075,26486,47485,5801,4974,109110,23367,2333,2021,894,3410,1373,2319,2462,22366,-3908,13553,710,22147,8377,18504,-8517,-1714,-6066,873,10462,13676,10427,9841,difficult
127685,31965,19732,8289,13335,16060,13624,8628,1884724,225493,63532,46521,31605,44109,31433,29144,-1408885,-138534,11709,-16687,3952,-11315,8217,-9462,-1843174,-217569,-59699,-45320,-30813,-42243,-28812,-26860,-1877446,-198328,-56293,-43462,-9980,-7558,-11636,-12706,-1854554,-215250,-62854,-45714,-29463,-41822,-30180,-27518,-1801138,-197959,-51864,-39977,-25048,-37306,-26633,-26036,easy
107507,32643,10001,16668,6621,18996,6149,9285,8214,12187,12797,15466,10539,16093,8426,4460,11956,10595,-10859,-2972,5234,25732,-559,14713,1578,3092,-1532,8532,-2502,120,2854,8319,165011,70494,11259,-13846,-10185,-10920,-6858,-1913,316341,13686,-6081,-210,-2475,-1297,-2574,2304,1580,4415,-6767,14504,-9663,880,-4246,704,difficult
67391,17575,1912,24384,5762,5964,1361,2174,30996,55327,22215,7774,9762,9674,5458,3152,-22955,-18221,-18957,30794,-3316,-3338,-3986,2199,-26560,-48405,-20864,5661,-5181,-3009,-4567,-1625,-12537,-39854,-20305,21463,-5997,-7011,-3991,-796,-24597,-45507,-21170,29548,-6757,-2146,-4645,-2448,268624,-36773,-20217,-4416,1253,-3047,-3298,-2221,easy
1132619,151050,34450,38304,23719,27344,13458,11233,479365,44496,6737,10435,5301,19962,7018,3727,1215114,117123,114023,50396,54894,-656,4516,3587,-86481,-11410,3740,33255,7237,18183,1612,11003,1221949,20226,3563,49784,6070,-745,5392,8910,124452,157356,9359,-7258,8572,7655,11903,8966,791234,249475,7880,13166,15317,12473,8779,5065,difficult
587041,257156,48361,10682,12917,16584,18507,21611,1205939,204814,13566,19037,10350,15241,18640,11579,-1056181,-193651,-5444,-12750,-4012,-9373,-13242,-6144,-361885,-1123,126880,3356,7741,6403,6585,41292,638342,817078,56491,-6158,19694,24348,24980,32692,-1175881,-189428,7088,-12771,-1875,-3442,-3613,-7492,-1138886,-171166,-11041,-13454,-8713,-11222,-15374,-10189,easy
133185,28516,13180,11360,6223,12729,7371,5183,20076,25396,3197,4546,26500,16400,9551,4656,14230,3845,-594,9750,-22431,3415,-3577,662,58378,-17099,-285,2134,-16295,-11230,-8591,-4015,-7098,-9847,693,5899,-20424,-9094,-3497,364,118048,38633,9941,7001,-22342,-6064,-4894,-1378,381986,70,40158,9285,-19891,4619,9658,7000,difficult
80663,37582,5776,14322,12066,19721,4826,3277,126893,98415,14306,12019,22306,17382,7530,4739,-65232,-94517,-9092,-5573,-20801,-11944,-5556,-3867,198010,46727,-11848,30731,4407,331,221,-373,-119681,-93206,-13784,-9624,-14615,-13998,-5629,-3735,-124062,-93742,-5558,2711,-13940,12591,10,-432,-120187,-69426,-2368,-6732,-6249,24713,-2568,1099,easy
31248,30587,9783,10874,16144,13339,5185,4800,95419,23392,11451,8785,14683,14730,7798,5497,-75017,-12835,-5767,-6492,-7426,187,-1846,2399,-38225,-12527,-11292,-5381,-11949,-8802,-6708,-4607,-83982,7000,7794,747,30020,3237,-4555,1272,-89545,2525,474,-2186,-6121,-2554,1853,1295,-34088,51813,453,23755,2779,978,-1811,-3844,difficult
125930,12415,13412,9415,5582,27594,7633,7663,49642,10566,13231,1882,4554,12843,7387,2066,-37225,785,2210,13054,5243,13569,6549,4147,-29216,-3069,522,1716,2377,41527,-4155,5955,-44021,12597,6800,4364,-1763,11936,-551,13575,-17966,-2483,750,16453,1003,15771,2197,4698,509867,1415,-9375,2080,-1719,-9047,-2810,-392,easy
27927,17282,5632,9973,9475,8588,1883,1601,379743,77291,7171,15305,5896,8625,4552,2005,-291583,-49070,-802,-12211,-2607,-1784,-4220,-1473,-348757,-51276,-2864,8593,-1569,5617,-1349,487,-372704,-64755,1477,-1991,3077,2344,-3438,-850,-376242,-70717,-363,-6635,12598,-5757,-2115,101,-369793,-64225,-5145,-14418,6396,-604,-2225,-285,difficult
75741,18408,10271,17616,10461,6756,2665,1559,7899,7789,1820,36631,5502,7453,1629,1410,-4628,4927,4212,-33391,3904,-2212,17,391,25691,19011,36441,-7039,18740,924,2237,-416,-6093,-3852,435,-30466,6425,-2933,305,585,-5944,1123,-561,-16476,-3543,-3202,626,-481,330185,31884,1727,-7702,-733,3937,1997,665,easy
165022,86569,15566,123183,23956,8238,3093,1653,445738,13060,4124,15094,9679,35647,13604,8582,-346633,14747,5880,7597,-2657,-33067,-11682,-7013,-129325,340093,7681,65561,27128,-21591,-9128,-6335,-429466,-7253,21571,228928,20127,-28992,-10450,-6649,-119527,14141,10328,29782,26538,-23622,-11306,-7239,-378628,5817,11752,208576,251,-29775,-9988,-7410,difficult
19187,14810,6606,15209,7908,9708,2190,1706,11083,20317,6634,33488,8620,7450,4697,1680,-7702,-7321,8575,-14341,3329,7028,-2119,282,581,-11469,-4638,-25192,-6468,-3215,-4108,-1235,43468,-4541,-2749,-4063,5910,6189,-1768,651,-2855,-11228,-3629,-30533,-5520,-2361,-2835,796,7030,7024,2303,-17264,-810,3649,-1705,-366,easy
82210,35561,2671,6970,13520,7330,3696,2305,267670,81597,15074,26234,10858,8858,6801,4469,-187034,-56112,-14611,-22224,-6949,-6116,-6100,-3664,-74772,27238,-12458,-14891,34265,7668,-545,-1803,-254237,-74002,-10327,-20986,-7826,-5673,-4508,-3255,-189914,-68451,-11442,-13881,1938,1949,945,765,-221343,-58851,-13178,-24340,-8116,-5470,-5315,-2861,difficult
37739,60184,23191,12222,11119,21643,10482,6871,58104,26707,12653,2293,3824,7208,3089,2009,-55392,-19028,-5549,10465,14276,17759,13837,1488,-13650,116008,76956,14818,9988,14580,8956,7806,-51010,-22199,-11400,706,-2388,2412,1296,475,-41631,8278,-242,16402,2800,22358,5237,5002,59859,84325,-7074,7256,11799,15065,7640,9537,easy
