delta_ave,theta_ave,lowalpha_ave,highalpha_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,state
310703,26306,8535,9268,183366,77389,12293,32480,-260009,759,6301,-5873,2086445,60952,11785,5459,easy
1103641,300494,44847,56389,-1034569,-233167,-42205,-51389,-299234,240880,10167,1674,-603646,-230194,-39581,-48207,difficult
556077,169010,37628,19980,-175267,-95990,10750,-14813,170386,-88807,-13296,12743,-293867,-135844,-29743,-530,easy
1160949,59893,30909,12775,-994898,-10320,-13386,-10536,27819,32998,-24931,493,-1147900,-56819,-30133,13084,difficult
96630,19153,4402,1371,66177,-6525,-1352,944,62256,4609,12967,2821,-51014,-677,-296,1279,easy
892466,251208,35445,42587,-787475,-225447,-32942,-35542,-873159,-237411,-33963,-36574,-699113,-217191,-32403,-34531,difficult
1128732,95126,12109,21314,-433618,112067,4502,-12196,-1115638,-61961,-7247,-17898,-425800,121863,43430,2232,easy
748315,152929,30816,29961,-235545,-26137,-19460,-24339,1249870,104766,17637,-23030,-494842,-147996,-28098,-28841,difficult
289621,94497,31035,17733,-287655,-88820,-30699,-14034,-85988,-81169,-30106,-16321,2041646,208285,-328,6582,easy
106678,18579,7301,7123,758501,116188,-2639,-264,-61280,-11071,-6542,-3412,-84448,-10780,-6482,-4213,difficult
12498,16979,3673,13246,20769,11468,14531,-3945,-9492,-5612,-1821,-6784,-3081,-7824,10032,-6776,easy
115389,122032,21749,17821,-90207,-114859,-19584,-13877,118755,-43165,-17359,16703,1029507,338413,187029,93487,difficult
439202,94052,41420,29597,-308078,-83263,-37979,-25846,32637,-56963,-37221,-27349,1958797,270259,-19837,-9888,easy
385727,64687,13754,16302,-183102,-376,-6407,-9647,968104,-21543,-9659,6719,-270255,-38468,-12174,-15082,difficult
262323,30436,8747,7480,-222692,-8344,-3401,-3268,-5685,14444,24216,2298,-255409,-7735,-2019,-4517,easy
462494,173184,25161,12523,2032865,10824,-5316,-3918,2009978,13420,112426,56969,-23735,-96345,-18822,-7366,difficult
244129,68892,28476,13268,-230874,-64513,-27391,-11061,-181822,-58986,-25520,-8972,-233919,-62905,-27229,-11366,easy
467353,73977,10990,11732,442239,302290,46405,23165,223791,-3475,4473,-2173,281173,17011,-5272,-6612,difficult
599942,53265,42545,2747,753892,-17458,-22887,14553,-470307,-10889,-20914,161812,-27063,44690,35991,86818,easy
317944,95390,10717,13653,-66277,-69659,-1893,-989,215451,765078,-6942,19890,-210263,6627,-5672,-3145,difficult
1505399,444444,32128,31144,-1237651,-424278,-25874,-28418,-898921,-281605,-4468,-1456,-1388640,-396868,-22144,-6070,easy
387774,88321,14059,6726,569715,-15471,-2559,5553,-177401,336415,39549,33315,33326,31679,1127,2547,difficult
494902,79351,20756,11809,340516,247627,82480,61284,-324123,-60950,-15567,-10422,194532,26676,19677,27732,easy
723229,47241,26779,21886,-683614,-13655,-25870,-16619,-612170,-26655,-5868,-1985,-714388,-37975,-24645,-16764,difficult
301997,49149,11865,6168,-68861,47348,12944,4399,-267239,-39485,-4649,1518,-285476,-38505,-5357,-1092,easy
110342,31537,28281,40489,-57777,-9301,-15706,-26907,-68353,-12362,-20197,-36780,1687914,186424,17743,5003,difficult
347138,33022,9300,4885,-95084,3570,-81,6923,-323001,-19464,5258,9518,-229567,-15184,-3633,-4003,easy
51012,33274,4138,2271,-20916,-23509,608,2983,945366,414828,149618,18286,135583,-7293,-637,20324,difficult
181039,49260,10358,13544,-155705,-43413,-1645,-10090,-85100,-38498,-5024,-10209,-56898,42305,15797,8812,easy
238816,37765,11239,6782,-183332,-15233,7897,11636,-199811,-13224,-5975,-5691,-106839,-33367,-8568,-314,difficult
234309,36959,16042,16427,8833,23250,8835,-5657,2026886,68333,48477,-12480,-226564,-34859,-14998,-14554,easy
670285,120497,24776,20344,-603039,30718,24081,18060,1412183,173662,15925,92446,1060446,535466,-19352,23575,difficult
339078,408566,12228,30311,228092,-365816,-1462,-8225,65556,-378709,14314,73744,-253108,-349391,1613,-13808,easy
100651,25247,10897,13400,117560,33351,-1727,-7226,-89026,13831,9656,-6916,308587,2527,1270,-10436,difficult
971862,590809,17176,15364,-746847,-539040,-6943,-8133,-930466,-552683,-12131,-2519,-532974,-517552,-9049,11416,easy
979244,47690,8974,19445,-916958,-18300,3117,-14619,-912427,-24619,-6289,-15435,-783442,1447,-1488,-18090,difficult
995013,161372,9793,7798,-614918,-158097,-7684,5697,-509375,182889,76583,612,-921986,-109281,-5119,10487,easy
272197,89421,16194,21059,-238786,-56441,-12857,-11676,-211761,-75978,-15672,-19838,-174122,-71481,26013,-11737,difficult
1485741,384309,59401,30145,-1296511,-344264,-31632,-25289,-1416979,-304188,-42883,10710,-1477731,-382455,-54393,-29487,easy
263659,142720,15502,6773,-146863,-130754,-14414,-3623,169694,-103813,27,-4858,-246281,-129934,-4386,-1732,difficult
240734,44366,24140,13181,-96154,-37447,-22201,-10563,-74371,-26312,-22098,-10255,-101339,3682,-12012,-2017,easy
889053,147033,30096,16506,-529856,-137128,-27877,-13565,-493091,-107574,-17699,4543,-172907,90434,891,19249,difficult
572108,61381,11182,12432,76641,-40844,-4222,29894,-348456,-32934,12551,-7140,-442031,-47113,3330,155,easy
115971,18094,5045,4084,-22563,60067,-1559,-1767,1433784,130107,6014,10827,-59230,-9572,-3129,-514,difficult
301401,35587,15357,12836,-52503,1230,3607,3493,149933,152306,-13925,-2405,-237470,602,-2926,1574,easy
467856,76085,24649,10370,-339359,18937,-2168,18109,2157589,18975,30336,13810,-184175,22763,-15876,33506,difficult
483405,32356,18792,11049,263342,178599,12058,13801,58891,89874,-12827,-7086,-21867,-16583,-8655,-7271,easy
213911,23395,14796,3451,2128982,535528,7703,60383,-148434,25976,-9317,34502,-182650,9554,1662,3427,difficult
398604,16962,7959,6401,-319006,-5677,-7089,-5025,15925,8970,5041,-1613,242238,796998,4926,1202,easy
104508,58280,31464,12016,163791,100853,-14793,11935,396095,241198,-18612,11260,-75609,-30619,-22029,-9028,difficult
323019,43033,5768,8881,-120223,-13930,2914,-1174,245861,-34926,-3380,-236,-65747,5146,1669,-4305,easy
594584,75595,19343,15384,-360420,97026,8967,-10521,-361402,-64008,-12548,-13495,-352185,-68522,-17072,-14929,difficult
374720,119447,22033,10494,774919,22725,94710,52880,772097,88090,40976,17985,-211117,-75990,-2411,22007,easy
89409,36500,3073,2246,80239,139952,45737,17831,1631678,77970,16183,8507,766284,301454,4387,4872,difficult
278834,55626,15187,9501,966693,1428,-9815,-3632,713001,765749,47526,12404,1747250,92326,111498,904,easy
132264,108862,29777,13489,-99715,-103152,-26368,-373,57855,-77393,-25308,-11857,-94254,-57597,-24228,-8963,difficult
150507,266639,28749,14654,33163,-208098,5073,-2262,809348,373521,-9470,-5894,289223,-128287,-4950,3854,easy
1187177,53881,17528,8214,-1157165,-22198,3280,-1887,239107,-21379,-11293,12783,-1123844,-47245,-5980,22778,difficult
1253346,73176,13243,8404,-990286,-22601,7963,81994,-1114861,-64446,-1104,-4271,-412319,-45712,1664,4207,easy
495417,64174,12894,9087,-368055,-30453,-4458,-2237,-454620,-42017,-8843,-3719,-485376,-52644,-8813,-1756,difficult
154837,50662,8165,5194,-113473,-39710,-7155,-3438,345945,164909,32912,69407,412854,-19273,16536,-1393,easy
370864,58124,11688,6500,451139,31483,98175,16359,-363198,-52327,-10280,-4925,-349786,-55791,12554,8314,difficult
506952,102015,25394,9639,-445041,-93038,-19517,-8997,-408118,-74192,-23308,-4500,-282299,-87140,-23816,-7227,easy
55383,20317,9117,8950,-49101,-4479,-8243,982,-41419,-8846,-4818,-5259,688822,209143,2321,3934,difficult
211207,86316,10073,9778,-26357,-77279,964,-7547,-183006,-44144,375,-6401,-100993,-29467,20476,2842,easy
198161,37896,6330,11773,147102,75530,-1369,-4702,-138922,-25087,-3650,-9692,-194716,-26536,1039,-349,difficult
452451,116891,24772,12278,-354466,-104020,-21907,-9489,-371403,-84828,-16739,-8656,-382805,-78639,-24124,-9920,easy
39639,40002,11844,6341,-8872,-31222,-10937,-4271,11444,-14585,-4179,-1725,25293,-27507,-5009,-965,difficult
512328,44314,2186,14685,-375540,21339,21039,-12199,-347553,220245,20342,-12218,-410704,-18017,5360,-12743,easy
129652,54790,10560,27976,-48799,-34009,-4320,-22734,-1483,-36995,-7421,-21617,-125375,-50993,-5294,-26563,difficult
350325,117603,19907,17839,-224865,-106579,-16637,-12233,-146679,-61649,5209,-16131,-252651,-107841,-19226,-15400,easy
178476,6542,6134,8905,486500,63663,32782,-1277,-86082,67316,13545,2058,-161709,4039,-478,-7369,difficult
143110,95647,13106,4937,577931,148456,34132,31595,93121,-82619,-9707,-3816,361643,129366,-3406,28974,easy
68070,199834,115608,21885,60811,-95769,-88163,16742,-32377,-63635,-86529,31633,7078,-148113,-110260,16320,difficult
964259,151670,94786,13740,-929682,-107024,-40123,5900,-883566,-108623,-84494,-7086,-909694,-136940,-93215,-4891,easy
622914,126640,12347,14602,-551287,-113890,-2401,-9859,-129587,87758,37528,5226,-617939,-121090,-7890,-11830,difficult
384246,126896,71576,10734,-49846,-97421,-60995,-8940,-347169,-121037,-64917,-9447,-344938,-93102,-59886,2538,easy
921225,28245,44008,28479,-168044,352645,-9929,-18255,-434991,31226,-39208,-10813,-701336,-20325,-42157,-25198,difficult
777418,122545,5954,6615,-745969,-119860,-3658,-5184,-399750,-102620,9736,-4705,-771568,-100490,1777,43718,easy
102285,11528,5762,11275,-100041,-10785,-1920,-9700,5788,3207,-2087,-7129,-84954,-1228,2125,-4229,difficult
