delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
464427,69927,4821,15105,9635,4578,3818,2119,212900,93387,22795,11691,12609,10659,8698,3114,-179719,-76329,-18039,-8150,-8069,-9032,-7091,-2650,-97581,-58197,-19835,-10641,-6073,-8434,-7206,-2153,579917,23584,-14924,35482,5648,-2103,655,-278,703490,17102,-19099,-3037,-3402,-4754,-5879,1100,easy
235339,158788,46085,9629,12343,9519,6504,9196,858279,240123,41768,24658,18168,16049,13325,12518,-221178,330581,117793,-4378,5350,10838,3336,18941,-739096,-223831,-39378,-22735,-16337,-14570,-11723,-11806,-752770,-214979,-28355,-10059,3856,-9561,-7375,-9525,-778715,-217111,-32793,-22945,-16171,-12827,-11521,-10900,difficult
160418,32790,5379,6712,6717,4326,3866,2375,128161,56052,23799,8001,9915,8674,4185,3552,-93925,-18609,-18149,1744,6768,-103,-632,-1320,-122289,-27971,-17976,1640,-7480,-6312,2474,-1303,380774,-2549,-15259,-3670,-3700,-2898,324,1054,-35534,-43921,-22295,-4872,-8380,-8079,-3443,-3138,easy
211590,65781,18902,10000,4240,4470,5590,3390,864882,74060,29230,22627,20035,15110,5492,4780,-680757,-36418,-21138,-17233,-18287,-13275,-4813,-3682,-741166,79984,10608,-161,-14927,-3514,9727,-1439,-775773,-28449,-13113,-13893,-12066,-13559,-2293,-3520,-415471,-48235,-17669,-19223,-17901,-12211,-2231,3081,difficult
927425,167482,20328,11453,9399,7820,6402,6551,800640,177063,73377,13965,26206,12903,10517,6685,976700,330983,-29900,17431,-5278,1212,-1787,3209,-585748,-110730,-55883,-11621,-22666,-11709,-8225,-4914,728254,-138169,-65191,-9508,-20853,-5470,-3072,2112,-612066,-120408,-61222,-6349,-18431,-4367,-3375,-942,easy
886155,66549,13219,7769,4641,5531,3566,2531,226067,12296,8596,6443,5593,6702,4505,2120,-9945,14041,1773,10334,1846,-3604,-3059,-1213,-7772,22555,-5830,-4651,-3881,-3858,-2358,-1350,1162107,66019,7480,1320,870,328,988,2090,1495963,114396,15070,-1701,-2643,2451,671,2116,difficult
764902,155028,16604,8359,7666,3939,4859,2427,156050,18875,22341,9135,5919,4295,4580,1305,1228031,335256,241,-2293,8426,1377,4948,2894,145326,66777,4278,6148,1463,-532,1387,2314,552559,70778,-15776,-6071,1044,-78,-2204,-296,509492,71801,-11693,-889,-3945,-2190,-3014,-426,easy
145690,40137,3719,2165,3508,2137,1565,700,252879,36233,18422,6570,8218,4675,5362,1469,-124834,1496,-15773,-5428,-2154,-1235,-3366,-741,-162263,40437,-13361,-5636,-5018,-2855,-4233,-256,75768,5610,-12408,-513,-4405,-2049,-2704,-791,-217428,-31927,-17270,-6045,-7264,-4014,-4884,-1290,difficult
618832,95533,19064,23742,4849,4987,6580,1875,662479,130782,28987,15587,23966,16646,13325,5471,-545097,-88142,-26710,-2494,-21341,-14670,-10696,-4369,1285972,22514,42443,46605,-17914,-5650,-3446,-2292,-360864,41343,-27769,-4661,-15343,-10901,-226,-2573,-554601,-116711,-27655,-6830,-21872,-15414,-12611,-5152,easy
400990,138243,12152,5679,21058,7298,6134,2982,93853,44962,21330,14417,6918,8094,4001,4054,164166,224528,-9964,-10249,1238,4752,12880,2300,548446,135065,-3715,-2014,58955,3048,1769,-44,581386,42793,-2664,-9057,2709,-3148,-2549,-2700,-65450,-29262,-20371,-13633,-6341,-7837,-3567,-3843,difficult
896033,119754,25534,45804,10821,16154,10310,5737,335090,81149,15320,17910,16812,28149,14508,16849,1002753,-27600,-7815,-16868,-11358,-18386,-10527,-14909,628388,226376,-1207,13089,6169,-2146,-2733,-4960,112453,16379,57488,82943,-4543,-1901,5951,-9782,500176,-60736,-7609,32410,-14233,-25548,-9482,-14799,easy
248428,81294,10621,7767,5024,2227,2825,1343,231294,60796,13096,10322,17791,9798,3161,4419,-91427,-46181,-8536,-6714,-12364,-8165,-1520,-3885,-32059,100208,-800,-8863,-7887,-5885,3448,-1416,361569,81560,12064,13700,-14157,-8721,-2183,-3561,-169547,-53596,-12629,-8343,-16659,-7514,-1088,-3443,difficult
555399,53997,26434,5814,8520,5296,3922,2095,492672,98103,25630,19279,15955,13105,7711,4801,-332252,-80975,-24695,-17605,-14746,-12335,-7114,-4282,-363031,-79548,-18810,-15252,-11685,-10826,-4152,-2236,842298,8944,58462,-5729,11449,838,2015,-225,103894,-24847,-11742,-15276,-14760,-8912,-5904,-4082,easy
287717,98208,13654,14690,9437,6633,2713,2274,171937,24097,6421,7341,4432,4097,15577,3339,-84827,18250,-4687,-5322,-1698,-2583,-15304,-2842,67431,58447,21356,22049,21284,7352,-10406,402,146128,233562,4168,17827,2765,8149,-11645,1081,334386,-13817,8094,-5160,-2333,-2774,-14103,-2903,difficult
151391,129614,13303,7275,6428,5113,7457,4000,100046,38567,5244,6748,3725,3552,2395,1802,-48097,-28467,-2106,-5117,-1935,-1057,508,-829,-75714,4379,-2864,5261,4671,6416,12467,4992,364915,420041,42118,5090,9209,2860,8778,5902,-35725,-31766,-4914,-3125,-1132,-1974,-1504,-1272,easy
309867,58258,12256,9126,5440,3471,3706,2274,295074,52475,10400,8808,10341,6893,6329,2242,486464,-21102,1750,-5922,-7020,-4224,-4464,-1317,-224615,36291,11378,9982,4082,1009,633,5329,-241434,44411,-3127,4049,-7312,-4487,-878,-1871,38755,-36470,-2578,-6839,-9353,-5986,-5784,-2013,difficult
165011,27925,6384,9737,4936,3451,2769,1421,180140,65910,23995,17014,11162,8622,5478,3968,93234,-10559,-9908,-13835,-6267,-5714,-4321,-2758,-163951,-50151,-23497,11303,391,-1746,1211,-2634,-14698,-44646,-20057,-12941,-9592,-6949,-3791,-1563,24898,-46585,-16982,-13636,-9437,-6277,-3934,-3235,easy
367632,108202,18162,15320,17176,7409,4865,1822,93960,31843,8323,6333,2077,2264,1073,851,535557,72838,17565,13754,18667,3850,7906,2795,66350,37504,7882,8997,5216,3677,3204,9,481590,164544,8338,15372,37012,11995,1876,1117,11192,30548,5571,-2176,-501,1058,2180,-36,difficult
153492,37804,4993,5984,5153,3151,2369,1873,38483,14985,5723,7111,3060,6944,6929,1486,222733,31116,-3482,-1653,-606,-4833,-3743,2974,153831,67803,2207,4481,11550,-3042,-4349,-791,112755,-8371,-3622,-4176,-1404,-5377,-5848,-871,-29285,729,1976,-3159,-1168,-1920,-4302,236,easy
650280,106200,16570,19562,10377,12013,8059,6180,34630,29344,7631,13334,6444,8672,5783,5489,641840,57209,25212,12900,9981,12155,1584,1423,193768,1693,1152,3310,4905,-5681,645,-2319,214782,173333,5132,-1586,-2906,-99,2860,4194,1412211,75189,4259,10289,3750,6988,4013,-534,difficult
1093776,52766,11189,24763,26625,22277,7710,6821,288068,91099,17017,46278,13118,13880,14126,6342,397133,-47919,155,-40838,-4384,-7043,-6683,-1367,1476784,-6787,-10479,-35430,69070,32329,-1095,6644,917574,-41407,-4311,28153,-1992,16467,-6463,1151,431339,-57218,-8676,-37946,-8667,-8167,-11424,-4512,easy
158894,34006,8785,11137,1717,2029,1452,717,766097,83240,50553,12258,12546,12559,10949,8292,-425087,-74856,-38997,-5976,-12132,-11488,-9213,-7127,-723684,-66301,-46946,9454,-11948,-9493,-9883,-7863,-574686,5477,-44990,-6271,-8484,-10426,-9796,-7593,-705356,-61255,-36139,-1693,-10753,-10714,-9096,-7717,difficult
940629,264468,64630,38193,57320,49822,14861,3952,445345,108545,36632,22285,23012,10848,14798,11490,1334409,-44454,-36317,874,58678,44093,7136,-4762,476884,610751,100610,65937,89339,77407,10888,-5313,194260,36562,15045,-6413,-5693,18109,-10799,-9755,-24417,20834,32652,3233,-5091,16286,-6972,-10321,easy
458983,170840,28710,9438,15461,9169,9174,5681,75531,18471,16416,3720,2950,3327,3150,3495,475474,64113,935,6516,22974,7567,8899,7582,34921,899,-12945,-1943,-145,-2544,433,-2528,591437,347331,71509,16799,28743,7518,8579,3776,431976,197134,-10324,1501,-1529,10827,6183,-88,difficult
383380,95595,17315,19049,11959,6771,3491,2444,267125,53607,13121,11907,24161,9658,4448,1471,-91323,-31539,-6032,-2783,-17678,-7582,-2776,-416,64589,82732,13359,9446,1862,-3111,-1209,1335,690114,123129,13567,28362,-12250,1292,2441,1788,-198360,-6369,-4118,-6458,-20741,-2149,-2286,1183,easy
900408,68381,9873,10943,6601,11028,8935,3468,1213135,141815,20861,8761,15760,14269,7731,5660,281211,-129808,-5232,-7429,-10939,-11255,-5058,-4393,318178,-75703,-16879,7515,-7719,5232,15240,395,-716972,-2310,-2808,11129,-5955,2504,-102,-771,-1133326,-85914,-19032,-2488,-12022,-9444,-5263,-4001,difficult
527433,130776,41001,27801,18142,6982,6707,5933,648314,82367,16562,18904,17874,14014,12407,7780,-610286,-57453,5266,-16771,-12887,-11289,-7221,3121,-518308,-13264,4356,-10222,-9833,-9633,-6807,-2831,667046,195194,74576,55842,26703,-2964,-2511,-4102,-21977,69159,13559,6740,-2910,-4242,-6263,-3576,easy
