delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,state
79931,281433,49271,22862,54474,16425,16077,21671,397203,82848,28604,15002,8566,50092,39345,33412,0
63570,9209,4531,6624,23392,6154,9937,3226,26305,33355,12115,11994,20027,36294,19569,6486,0
1516971,191932,125316,60282,40390,93962,58082,48652,619207,39206,12361,19396,19395,46440,18226,27536,0
557155,139383,1165,3258,2336,11172,11031,8322,257029,9976,39269,4716,9180,10096,44774,8615,1
206314,48231,2126,6184,2160,4217,4096,1915,448257,187993,19655,11120,3872,14113,10146,10115,1
364983,209638,9174,5479,8627,9773,10417,9108,162474,30103,5635,2394,2148,27581,7810,10195,0
329106,63085,999,5545,7076,3727,3578,5831,854049,242673,106472,11068,27376,29430,24095,20191,1
128805,22008,5121,5160,1162,5016,3921,1297,671158,45816,3246,7147,9443,35711,16683,12395,1
1199373,85431,25966,7600,13124,35585,32380,17062,2058093,446773,30352,18826,57700,74984,43133,49116,0
116910,94444,80112,10581,20397,17899,20743,17708,23559,18231,9488,10538,27651,15817,22644,9921,1
286962,104958,23797,25736,17042,23822,26190,10903,149039,47003,6936,4234,1190,3521,3392,1616,0
1677578,414678,146330,97656,38926,157673,117029,70237,2274756,539508,163763,27011,29249,119194,98893,75754,1
1521903,203736,55951,46575,91465,78646,72660,65916,993501,84363,84107,50841,28539,114290,19487,37006,0
524858,74067,45412,6722,13895,10054,28211,7913,553985,929054,70038,35794,32312,86371,40620,21765,0
3242523,269657,24043,14254,54061,100945,116580,43849,326757,20456,3853,5015,14380,9910,11484,7575,0
2822957,33804,20668,10994,6813,15662,46153,9000,1090811,89787,106518,73661,52359,47706,69212,81303,0
974643,62410,18664,42533,21607,15813,19035,20108,2002,12433,5735,14217,28254,24444,38941,13634,1
151318,18307,1618,1370,5704,3193,4418,978,615453,70895,11729,7987,9025,19215,11963,7047,0
713479,220661,27448,56892,83746,73596,33967,43682,2442935,601102,11535,30706,29861,50877,79803,88294,1
120704,15587,1215,2138,5106,14409,8665,2839,63817,12711,9829,8652,8366,19311,4956,7943,1
2241701,692336,70392,39333,65045,96777,76410,47035,497478,4338,3126,3309,7530,6843,4264,1769,0
1074987,41657,7183,10141,20114,21219,35279,12639,499948,57082,28068,28136,47694,41155,42050,23447,1
1820337,532601,166326,11815,113201,42733,34964,26138,707846,61646,8193,28207,8789,18561,12353,8588,0
1145378,123906,10546,6920,10763,22394,25279,7631,587235,199255,24390,8770,9500,28237,20254,5097,1
1281412,281942,36137,14095,11001,29150,18165,11555,128634,55761,28491,28110,8362,17920,15951,6363,1
84142,26075,7628,882,2184,3728,5059,1807,1001912,49114,6400,11899,6938,23504,24449,7351,1
95596,11142,2452,5579,2946,6113,5880,4290,4877,4809,7685,17792,17060,16201,18548,5087,1
761433,189554,22009,21927,17009,10791,17412,18523,190839,168106,37244,34707,77839,42601,54582,26644,1
1286550,230293,13509,31626,58715,65671,47640,27204,664295,30473,11620,11504,4203,9852,10496,4371,0
