delta_0,theta_0,lowalpha_0,highalpha_0,lowbeta_0,highbeta_0,lowgamma_0,midgamma_0,delta_1,theta_1,lowalpha_1,highalpha_1,lowbeta_1,highbeta_1,lowgamma_1,midgamma_1,state
635651,42361,3447,9132,2691,9156,5145,5237,14987,31363,2103,24695,16325,21532,22372,19438,0
11177,7117,13888,7078,22410,11809,11133,31805,47923,41686,7151,2988,15610,5338,5994,2325,1
101782,136637,4364,41298,22622,48631,19075,24963,995915,38716,4944,5350,5899,6221,9591,5888,1
1141620,1807282,88208,105340,40071,57455,29346,20224,248083,72178,49072,17750,6469,8498,10153,4646,0
126060,6887,5730,14140,7769,11743,3160,5325,7980,17540,3177,2294,21503,21991,15112,12897,0
69570,50326,18690,5022,5372,7973,2066,6854,74322,24136,2842,9505,33216,13903,15581,17312,0
1336434,312981,160620,20404,40939,28816,26988,12989,1215692,233227,49040,22397,40846,27577,15588,10436,0
825176,157247,45010,47006,8871,39536,29730,19308,62588,31893,6302,5356,3409,6090,3671,5245,0
130353,14626,3914,1974,4457,4934,4128,6461,2206666,96453,29432,27026,24080,23249,24188,17859,1
4827,10436,4139,7761,9116,21330,14660,13522,729074,128918,10661,10072,45149,18639,19068,9830,1
12704,12643,7774,7852,43333,15351,19836,18679,552714,19721,11309,12071,18496,17709,34835,11547,1
313366,17352,2368,13809,9271,5845,3083,2475,3024414,174943,33124,63004,28549,57820,25313,12457,1
13447,999,8151,1896,16885,17443,25921,19343,186855,53910,10944,13272,8176,24743,11569,6590,1
196819,3593,10400,12118,5126,6136,5675,8430,7672,10210,9660,14549,15498,56450,23593,9355,0
152278,57600,6669,45206,10527,20298,14263,23314,190192,14425,1896,811,2821,1291,1322,1099,1
331535,58747,23042,10409,6242,7627,5577,2678,3184,11676,4710,3867,5062,30171,30864,11960,1
3660,9661,4143,4530,14321,14690,15350,6598,242040,81480,16925,19669,11582,26571,37903,15356,1
8426,7281,5508,9611,13185,24244,19994,23655,1771,9981,4308,5445,10845,15994,10197,9460,1
2132163,73626,33465,12029,15018,24154,4832,4639,21581,13083,1666,7226,15192,65128,22455,33972,1
1015579,341624,68181,28014,49547,39562,41943,26433,548224,68076,40917,5505,31244,44700,19022,7633,1
1595282,229143,56193,16226,11913,11554,5728,2770,251090,10920,9506,5981,1145,2590,1289,1584,0
969301,209608,37923,49342,22458,7870,16869,10344,1272081,348054,208702,40801,37928,22961,25683,11324,1
338120,14768,3606,1599,1142,2789,2320,3058,20662,4804,21325,7035,9174,41947,17955,22346,0
87771,34248,3137,10798,2662,2588,1160,2518,130371,23549,3620,3552,5108,9415,5069,8074,0
1536404,101232,17344,6141,3137,9890,5398,2981,73844,128501,14002,18035,14481,27099,17031,11107,1
503155,64656,15290,6408,9931,17704,17644,12262,20609,66903,52360,41625,16735,11000,10838,8406,1
177322,12973,3199,1922,3445,2899,2106,2239,11425,4905,8292,3721,16947,8562,8617,3237,1
16238,19292,10960,2817,15509,43733,124375,9840,764173,56201,2049,2521,8090,7695,11750,7342,0
338542,174301,29939,11350,32863,24713,11228,12813,24834,55581,5030,3691,4205,5990,1211,1113,1
107701,57731,13068,7442,16901,8915,8625,3365,422836,73571,34387,3538,3947,8856,12365,8673,1
160891,11648,2677,1539,6096,2151,2076,1583,322942,148183,58268,24608,17505,36581,27807,13804,0
320055,28489,28182,14151,12295,11056,10855,4578,1329114,52729,15188,42108,13586,12703,18270,8138,0
1535245,266063,153213,44707,37356,43597,79911,61922,181425,36033,12030,8646,1858,4527,2258,1510,0
71709,24185,16785,12660,14030,56049,39256,29315,269356,32386,4867,2642,3297,8738,11007,1848,0
17593,22397,3903,4998,14134,50532,36189,20574,177852,266832,18236,19712,45406,52627,65709,10079,1
623750,57383,12931,8177,3968,15373,7688,6413,607295,11055,3532,31,1723,5813,2928,2650,0
1368029,755512,38981,22657,41189,36424,44792,17779,1011247,53450,24807,26353,7379,8272,8320,7812,0
2454142,327150,60670,90294,122894,81325,107010,31993,613271,96907,13017,15597,14094,11273,16281,10584,1
1079673,775511,42949,28234,10658,46658,41153,29228,734283,121481,42048,2948,8536,14102,8151,15842,0
833711,38573,1884,1479,8018,7091,15254,12701,124551,91405,38672,8429,4744,10672,19051,7689,1
665347,193963,22517,12647,51750,55631,31337,40352,1099834,169960,6817,19993,8403,18037,9870,4622,1
165865,149851,55994,15898,27053,116085,27978,24972,485514,106160,13485,3857,5133,18094,10663,6984,1
13039,11949,11241,3810,21183,44899,36254,18356,82924,81582,5498,10496,19494,32487,13216,32360,1
171499,65535,12179,15735,9040,65281,30510,19156,772879,44059,4734,4705,4932,33248,7347,8938,0
78049,46853,6405,7967,2909,18474,10097,8031,827231,29257,12620,2861,7156,14519,13803,10465,0
133470,16198,2182,1196,1966,2286,570,1851,68951,40196,2894,6106,13264,37076,21055,30964,0
164450,46921,9460,10293,10041,10399,5351,6927,1166960,126494,24218,20524,13318,60402,27134,16713,1
477689,28930,12980,15260,11693,3391,3914,2033,2696321,233615,24483,46205,24099,51127,37834,19278,0
304405,25449,5428,8793,6916,9235,4730,9301,145425,15318,809,2985,1911,4453,4955,3099,0
2520,17927,6505,9215,18934,19942,13572,13794,587546,198000,29239,65522,17725,79828,30403,39184,1
197545,77016,3086,6202,9644,9785,14174,10706,137155,19448,1857,1941,1615,3149,1911,1035,1
492280,70096,24277,53964,37923,76252,39045,16044,199541,48759,11791,9306,2503,13636,7329,10827,0
773472,6930,9260,2113,5515,10353,16354,6833,39586,33240,10538,24191,37353,46334,35547,17182,1
369043,20786,6976,2510,5672,7770,2740,4732,1067352,195823,12403,15574,14731,17481,18193,7686,1
1377465,228790,35901,39403,15642,30769,52204,72788,134066,67018,12846,5460,6790,18291,13434,12368,1
1911495,365580,55296,23298,35119,46551,24610,61405,764107,106374,20394,22439,3425,10940,11757,11482,0
2862058,110448,49905,39490,28355,63845,23313,23049,735672,107446,20216,4315,8580,19438,5640,9430,0
2187,12905,3414,10936,20784,25685,30235,9175,12223,21079,9024,9496,19114,43971,25964,32704,0
