delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
58014,37288,8328,3830,3780,8966,4626,3606,-56604,-16559,-6724,-1577,527,11420,10413,3344,1093693,20221,2700,19742,10409,13083,2800,1099,-19777,35476,4148,27279,1998,245,241,-313,easy
56989,21109,2990,3260,3192,5355,2005,1426,768938,151261,28432,31756,16675,11638,8832,7936,578055,315676,41901,33089,21647,1896,2636,415,-50594,-8674,1614,2157,5966,1409,2414,6874,difficult
140259,19129,3622,2411,5327,4392,4598,2535,-29674,2853,-1562,1979,-1661,-659,-2723,-597,1821246,155821,7796,13116,-251,4238,318,-775,232901,7609,-1624,-737,3485,-1820,-845,258,easy
306062,38137,18469,3085,3624,3750,2563,1272,-262980,-21079,-2260,1984,16593,3546,2744,6442,-226083,24285,-10374,5619,3588,3847,4373,4408,-135207,-10111,-13020,-1920,1556,1414,-243,1698,difficult
314756,25651,17374,13015,7359,10260,4861,4294,-177152,78311,-16108,-11752,-1420,-4690,-3034,-3016,-162075,-12819,-14503,-11008,-6407,-8931,-4206,-3985,-251089,27368,13929,-3875,13015,4934,-73,4573,easy
75907,13250,4166,2977,3942,2582,1412,1906,-21590,7582,-1861,331,10492,4979,5417,2815,792265,226068,-244,5987,6663,2768,4353,1831,-63604,-9383,62,-931,-122,6349,5934,-475,difficult
118241,26265,5762,5827,4810,2677,2156,949,402485,174525,-1768,98339,3630,7384,8436,1792,-115672,-20485,-4318,-4982,-3809,-55,-782,619,611293,34327,-127,-253,-340,2240,-1787,-209,easy
82418,34168,6694,4800,8355,4126,2519,2131,1610176,205200,66143,51797,26463,26089,3760,785,-53726,-18237,10130,1784,930,8983,1819,1157,26236,83569,5119,17772,-4135,3997,1775,1249,difficult
58542,39330,5488,3366,3080,7431,5797,2585,281369,39116,-1043,5017,648,-4616,5059,6215,132491,-25999,6434,-279,-1650,-4734,-3463,-2135,266203,76005,35846,56183,63660,7697,8696,7393,easy
1180182,118743,18322,18470,14047,6860,2825,2966,-908424,-98531,-7651,8682,-7078,288,1159,1032,-1025977,-87701,11035,23775,999,7717,390,-1377,-1109212,-84814,1050,95314,-3917,-116,438,-1528,difficult
