delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
1068797,107251,27953,15858,14488,49697,-946362,-93474,-20273,-12794,-10610,-49177,522918,240191,-9472,-5421,19117,-34928,189873,-64660,-7977,9973,-756,-33893,-1042661,-90289,-25088,-11584,-11920,-47750,1469280,-333045,-1232534,333665,-304851,-25629,10801,1495,-17111,7373,15394,-21557,29727,-19873,-11164,14249,1035,-13857,easy
332684,157723,47219,19667,13569,19918,393285,-134081,-42180,-16558,-9384,-15811,-48369,35472,-40925,-4557,7937,-11513,-145764,-125388,-45283,-14249,-9977,-12834,946631,-145011,-42197,-32,1862,8635,-441654,-97395,1092395,169553,-160860,-19623,1255,-4358,3086,12001,-9692,14217,17321,-17914,11839,4298,-1321,21469,difficult
121635,53567,16112,6800,5956,10181,-7314,-15356,-10085,647,-872,-5773,229716,67405,-964,3023,-1659,1427,-1974,4223,1397,-3066,-4201,-4988,33950,-37764,-9452,-1492,4171,-3882,237030,-231690,35924,82761,-63182,-41987,9121,2361,-10849,2376,-6089,1574,-787,-2542,8372,7200,-6415,1106,easy
1314787,263330,52454,27072,19902,67472,-620329,-173838,-51871,-17373,-13233,-28133,-1262970,-234175,-46012,-22939,-13250,-59248,-1174271,-229647,-42918,-24894,-13898,-48013,-1183299,-203226,-42170,-16378,-12867,-50000,-642641,88699,-9028,-60337,4528,26421,5859,3094,748,-5566,-1955,8516,-17,-648,1031,-31115,11235,-1987,difficult
848503,306387,54283,40822,40379,53469,-577883,-300789,-46660,-35963,-39085,-48573,-562756,-224470,-36706,-29930,-36062,-35726,-225749,-278874,-48105,-35808,-37045,-38895,-226279,-218922,-31037,6529,-15605,27122,15127,337007,-530,76319,-54404,59952,9954,-11399,17068,6033,-5878,42337,3023,-983,21440,12847,-3169,66017,easy
1375797,148442,43127,39444,14500,38638,-549967,-54951,-34383,-19993,-10071,-22976,-1234391,-138047,-41677,-33647,-8453,-25702,-1360339,-138846,-39394,-38222,-11717,-26053,-1342135,-123767,-40073,-27388,-12705,-27319,-684424,-125948,18204,-83096,-799,15079,-7294,2283,-679,-13654,-4575,10834,1618,-3264,-988,-2726,-351,-1266,difficult
606203,101964,10339,42873,18866,15227,37737,18095,-7950,-40828,-16153,-7342,-571756,-96349,-6320,-40059,-15077,-10701,-376694,-90138,1710,-39243,-12968,-8618,-529791,-87369,-7177,-40192,-12872,-10768,-609493,195062,-153097,-114444,6211,2769,1630,8030,-8887,769,816,-949,1076,2109,96,-3359,2083,-2150,easy
640518,108136,7842,19143,6115,27622,-607674,-101957,-6182,-16783,-4109,-26773,429475,-12552,5741,-5137,-1801,-22373,58898,3191,7992,948,991,-19151,-331466,-105879,-7266,-18245,-5564,-26844,1037149,-370577,-390364,89405,15743,-109070,11923,2251,-15258,11646,6085,-19193,2308,2792,-6555,4400,3222,-7693,difficult
459705,86931,8829,11821,7804,19292,-317481,-66757,3167,-1701,-1370,-14330,113697,-4640,-4021,-6916,-2823,-13376,-430821,-81348,-5406,-10543,-6120,-18158,715736,30670,9272,2691,7174,31643,431178,-544518,1146557,62117,-76708,112018,-7188,-1385,14678,-5215,-3627,13234,-1453,-3297,13294,954,-4782,49801,easy
128449,74000,13287,15057,5130,16430,155397,-11734,27833,-7272,10668,2547,79424,-16785,-9660,-12123,-1908,-1352,-95517,-25815,-6674,-10111,30,17121,-12207,-42507,2349,-7950,1706,-7626,-75973,-174941,83310,-5051,-9030,-16692,-37493,2986,9023,-4851,2012,2161,-12576,1938,1676,-3899,18473,-24747,difficult
315343,19143,7889,4785,4267,5758,-230785,-14538,-7357,-3707,-3664,-4762,-311339,-11577,-513,3049,2710,16639,-289369,21430,-1209,8399,5825,11881,-291569,-5524,-6435,-2280,-1425,-554,-80554,21970,-2200,2961,33007,-26954,6844,-696,-5226,6756,5350,-10679,6374,3115,-7250,21401,-4758,-12435,easy
1344705,199129,54490,78028,31914,26887,-1199107,-167393,-54296,-77229,-30913,-24869,199691,14927,34029,-64987,-5163,-3365,1924362,-166839,-26092,-47552,-12465,45368,-82078,-166712,-12775,-71492,-14630,1326,1398798,1724671,-2006440,182320,-181766,127,88325,-60121,13317,12242,17435,-23940,25750,-7302,-2165,21504,48733,-44042,difficult
622761,69560,19757,18358,14019,31655,-449015,3688,851,-1830,10095,-7214,-615981,-61792,-18398,-2459,-11877,-28102,-580422,-53126,-6549,48011,-9536,-17355,-171352,-46087,1745,-7959,6723,-20382,-166966,35559,409070,-65480,8666,7039,-19249,11849,8294,-629,50470,-55970,-21972,2341,16259,-20888,10747,-3027,easy
1288677,224843,28860,20378,12597,42112,-644376,-183421,-23233,-15320,-8463,-16623,-1144777,-215162,-22953,-19050,-11111,-37877,-1174453,-170382,-14438,18313,10879,-10618,376650,95045,9208,19064,-3103,-1304,-500401,-29676,1551103,-31741,44780,265427,280,8515,23646,-3730,37363,751,-2648,21990,-13982,-21254,27259,9314,difficult
435830,198877,17850,7632,8239,10529,1223514,-69278,-68,2015,21931,11553,-413762,-185379,-2619,-1615,338,-5034,-172098,-179470,-8194,2574,-4106,-7386,284435,32516,13540,26041,32443,7932,-1637276,241664,456533,-116101,5909,211986,-2551,-5575,21734,-3630,4189,23467,-21593,-4444,36549,-16587,-2352,15318,easy
606754,119297,16203,7519,6200,8792,-134074,101879,-4003,15341,234,10624,-560081,-102717,-15324,-5987,-5276,-7473,1752397,27844,84240,68579,58536,104175,-545477,-10949,1240,7614,1510,359,-426007,2312478,-2297874,-204596,130561,-38793,-11321,99564,-83000,-21328,74566,-60965,-5510,63812,-57026,-18097,111648,-103816,difficult
199041,99471,20795,15623,8349,20299,440102,628640,178553,49596,11958,29410,1508776,1036023,130796,4512,12423,47072,685230,92531,4543,-329,4591,-4702,-119439,-81751,7396,-12892,16070,43897,1068674,-823546,-804669,407383,-943492,-174282,-47757,-126253,2853,-45084,-4841,-12563,465,-7832,11479,17662,-51774,48599,easy
392797,44262,14299,23519,3496,12765,31201,47025,-9027,636,3939,12185,318153,-9981,-3637,413,7886,-3067,-356700,-39684,-11259,-14306,331,-8710,-385747,-41497,-13213,-21466,5690,-8704,286952,-674853,-29047,-57006,-29703,-1813,5390,-7622,-1954,-223,-14719,-7160,3947,-7555,5359,-15252,-5643,6,difficult
336219,50354,17909,7777,8949,41047,-333186,-48927,-17475,-5733,-4736,-30752,-178171,-29670,-16318,24364,-4905,-28293,-301853,-7221,-5353,1462,-5609,-30773,1548353,-15908,-5350,751,-4167,-32673,155015,-123682,1850206,19257,22449,-8687,1157,10965,3,30097,-22902,-711,-169,-704,1442,2459,-2480,-1900,easy
786581,71248,9907,5504,7030,11366,-473501,-52223,-3537,9989,3713,247,-777702,-65470,-7822,-2774,-3917,-5545,-84007,75576,76685,8047,9775,-2061,-658681,-68249,-9548,-5029,-5802,-10722,-304201,693695,-574674,-13247,141046,-143825,-4285,84507,-86233,-12763,10821,-13076,-7630,13692,-15577,-5792,3484,-8661,difficult
617227,103114,42614,50016,26482,10251,1678898,603917,-7386,-30946,7339,14794,130558,9771,-11355,-31499,20351,77540,-104770,-40684,-28185,-19208,3809,7543,-32226,-72409,-36350,-45964,-23291,-8709,-1548340,-235328,72544,-594146,-50455,-31725,-3969,-16830,-8165,-553,12291,-26756,13012,-16542,-27100,62746,-69997,-16252,easy
386870,101089,32835,32344,10306,23349,-356329,-93853,-25777,-19277,-3293,-1756,-349250,-53106,-29995,-31040,-7922,-20277,-374682,-75187,-13398,-27806,-4300,-12520,1351799,-86799,-23861,-31549,-6599,-19632,7079,-25432,1726481,40747,-22081,-11612,-4218,16597,-10463,-11763,3234,-3743,-4629,3622,-2299,-18521,7757,-7112,difficult
694413,92245,13180,10096,7637,13274,-409053,-33755,-9262,-3538,4572,660,-502377,-56916,-7655,-599,-3233,14974,-572593,-84413,-6169,-8648,-5426,-8747,495751,-70852,14233,4747,-4095,7652,-93324,-70216,1068344,-23161,-27497,13561,1607,1486,20402,2939,-8049,13395,-7805,-2193,1331,14314,-23721,16399,easy
398250,134418,6718,16646,11300,17212,20827,-50583,35776,-6622,3080,-1434,188652,-93105,-2907,-15230,-1567,-2782,-197925,-51113,-4497,-8980,-6941,-13262,593707,-88407,69793,-5336,4452,-5559,167825,-386577,791632,-42522,41992,-37294,-38683,-1590,74290,-8608,6250,3644,-4647,-5374,11393,-1348,-10480,7703,difficult
150666,184306,24873,20761,11674,27404,-135199,-169558,-24732,-18645,-10160,-25618,87081,-170375,-20184,-18569,-6919,-22805,1199674,-56294,58749,-12196,17924,-10870,867221,3788,-22899,-16093,-6307,-16929,222280,1112593,-332453,-817,114081,60082,4548,78933,-81648,76,6373,-3897,3241,24843,-24231,2813,11935,-6059,easy
837109,260439,62419,32785,15085,23048,-596932,-159980,-23215,-23961,2126,-3907,1480682,-194968,-40967,-8964,-11399,-17710,-717333,-210890,-53757,-1130,8619,-1293,-679656,-208916,-54025,-12926,-11424,-9358,2077614,-2198015,37677,-34988,-15922,1974,-17752,-12790,-268,14997,7834,-11796,-13525,20018,-20043,-13803,16417,-8065,difficult
59870,54413,10119,5262,2756,5770,282042,84715,-5785,13296,16895,23356,113280,-43720,-6426,-1455,8861,-2292,-34633,-13433,53,5137,16385,12253,2151450,884169,155665,121162,77822,110230,-168762,-147913,2186083,-128435,30287,897602,-641,6479,155612,-14751,6592,116025,-8034,7524,61437,-25648,14545,97977,easy
864965,189524,15979,11553,5498,17330,879197,-20802,-8513,13105,-642,12736,-233937,-124088,-15222,-5721,4405,-11984,-774304,-134612,-865,41621,12197,-3445,-847321,-183019,-14836,34728,1956,-2654,-1113134,-540367,-73017,-103286,-10524,-48407,-6709,14357,-13971,-18826,47342,-6893,5047,7792,-10241,-24720,8539,791,difficult
742346,80025,14086,26969,7748,23548,-545359,-68295,-12660,-26314,-6107,-21941,-249008,58531,33770,-10485,630,-8801,789418,2414,11765,-8579,3844,12097,-450975,-72386,-11746,-25768,-7375,-21972,296351,1038426,-1240393,126826,-56117,-74800,46430,-22005,-23511,15829,1906,-17189,6737,3214,-11219,13140,20898,-34069,easy
159370,55682,10422,5003,4679,12984,496084,-46201,8233,-723,3913,-4719,743787,333254,21705,43100,14946,23824,-25044,-31262,-7125,-3776,-2759,-723,-66648,-16872,-10259,-3889,-2840,-9145,247703,-768831,-41604,379455,-364516,14390,13472,-28830,-3134,43823,-46876,-113,11033,-17705,-81,28543,-24547,-8422,difficult
844300,52081,18718,17700,14903,15824,-774062,-41590,-18442,-15999,-13592,-14797,-704140,23903,29891,-9304,-4238,12875,-682069,115239,43536,-15189,-1233,25800,-800457,-50170,-16974,-14968,-13236,-11021,69922,22071,-118388,65493,91336,-165409,48333,13645,-60510,6695,-5885,221,9354,3005,-12003,27672,12925,-36821,easy
916070,48453,7976,4771,13804,14959,-826983,-24282,-2624,-3093,-13485,-12378,-692877,-25652,-4961,-3431,-12066,-8621,-404928,74968,62910,30687,642,8136,2837235,1503634,101152,81272,22289,96663,134106,287949,3242163,-1370,100620,1428666,-2337,67871,38242,-338,34118,50585,1419,12708,21647,3757,16757,88527,difficult
156091,26776,12581,9306,6217,10427,233146,97975,-8608,-3671,3995,4409,-106917,38141,11651,-6609,-662,-2269,1777539,73703,68074,41340,-2193,25093,-130675,-9716,-6225,-372,3559,-5752,-340063,1884456,-1908214,-59834,35562,-83419,20259,56423,-74299,-2938,47949,-41712,-4657,-1531,5752,-6678,27362,-30845,easy
1034323,76778,37925,38936,23350,12842,-183459,-57703,-33916,-35908,-19249,-5094,-845500,-3712,-29266,-33165,-20410,-2969,-929108,-27887,-26305,-35499,-20230,-3772,1558522,15164,46961,2664,-16115,10229,-662041,-83608,2487630,53991,-24175,43051,4650,2961,73266,2743,-2334,38163,-1161,180,4115,2125,-803,14001,difficult
