delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
827718,130436,61822,33182,16539,11569,6423,5251,-517054,-76518,-43867,-26911,-10457,-8984,-5343,-4010,-507502,-87620,-52901,-13584,-3929,3944,202,-2190,easy
973938,65728,11043,13169,13173,7167,2716,1464,-936377,-50833,-1420,-10235,-7518,5055,1778,2468,-523154,1863,-4579,28596,-5728,5142,1837,2925,difficult
58557,8679,5485,3518,2770,5682,4496,2636,-55958,2639,851,6476,19442,7727,-1172,1017,-37134,-6680,-3374,15448,2296,12223,-2543,437,easy
56031,21664,11366,14216,4936,18539,11975,5866,165505,-17305,-7924,-13121,-2878,-9163,-8999,-1621,204372,-10863,-9516,-11700,-3775,-15922,-11509,-4752,difficult
14185,12668,5522,6270,5844,8568,6358,3622,7548,-6294,-349,-1174,87,3021,-867,1079,42178,20795,1425,-259,1749,2293,-650,-92,easy
56737,12950,4353,8047,5239,7476,6430,4091,198917,45307,3635,-6335,-1465,-5447,-4319,-2572,377778,11626,5506,-548,5531,1833,5223,4625,difficult
13122,3042,3509,8048,14198,15024,8696,3868,20997,-878,192,-3891,-10952,-9486,-7823,-1922,158403,39532,12060,32549,-6593,6457,-5160,902,easy
669186,22741,21879,12186,8740,12037,17085,7067,-508511,-10465,-20029,-8049,-5985,-5064,-14757,-6026,-145945,144056,76722,1671,19686,6943,-11423,1703,difficult
290952,43389,14977,8374,3858,13434,7886,11155,370778,200225,115,7614,16722,10604,1254,-3290,-259645,-32335,-12016,-301,10698,6188,-2595,-3774,easy
73604,53974,5756,4918,3929,6319,3181,1472,70635,-18069,8401,-2393,-747,-2374,-2398,-1178,433161,1902,1099,5429,-1621,-4431,-971,-758,difficult
