delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
114222,28248,3734,11967,4326,8901,-43167,-13551,-3282,-6245,-3148,-6851,-111218,-16678,7753,-6556,20419,6014,189584,382875,9238,-4260,4605,4819,227516,32364,32281,6380,-418,-1799,-68051,300802,37932,-3127,399553,-350511,11035,1485,23043,-311,2296,10640,23567,-15814,-5023,12865,-1195,-6618,easy
457815,134582,41193,10336,5638,3098,-431470,-128915,-38071,-6650,-4634,-2410,148212,163451,-1324,-3699,7128,2836,-133340,-87758,-28960,-6372,-1948,-1353,-338507,-110132,-34455,10747,-903,102,579682,-281552,-205167,292366,-251209,-22374,36747,-27636,-5495,2951,-2673,17119,11762,-9076,1045,5246,-4189,1455,difficult
175743,37366,1069,9369,15239,12344,-164802,-31875,2735,5569,-8194,-2109,-74325,-21391,9180,-6344,-12124,-9770,1511156,-20114,19847,-6166,-5984,-634,-174955,-33810,-500,-6163,-14425,-10644,90477,1585481,-1686111,10484,1277,-13696,6445,10667,-20347,-11913,178,3,-3930,6140,-8441,-7661,9136,-10010,easy
190116,156221,15040,19964,4076,7362,1172469,-3285,16365,-3118,6538,-3633,-152550,-110549,-4533,-13632,1838,-5127,190528,-134358,17623,-17104,606,-4752,1386005,42995,8995,-11323,8245,-1305,-1325019,343078,1195477,-107264,-23809,177353,-20898,22156,-8628,-10514,-3472,5781,-4700,-1232,7639,-1494,375,3447,difficult
1029774,358094,108196,71225,58816,23135,-78052,-206287,-39654,-66061,-54011,-19176,-681759,-346153,-103794,-70534,-57714,-22541,506108,-259406,-101232,-56268,-57272,-19462,-85533,-156657,-89089,-66112,-46255,-7033,-603707,1187867,-591641,-139866,86747,102749,-64140,2562,12143,-4473,14266,-9844,-3703,442,11017,-3365,3079,12429,easy
1193469,457881,95164,31014,16786,19201,-435481,-418574,-88159,-18675,-9602,-16654,-473517,-342686,-88606,-7644,-11288,-9585,-1024136,-432712,-90850,-29448,-13111,-18185,-573569,86600,-65402,59100,6064,4426,-38036,-550619,450567,75888,-90026,519312,-447,-2244,25448,11031,-21804,88548,-1686,-1823,19175,7069,-8600,22611,difficult
22614,20682,12492,21624,12264,7159,315377,53734,8933,-1360,-8353,-4575,-13139,-5511,-2245,-5361,-1905,-2275,48410,-12863,-10948,-20009,-10453,-4786,52044,-4590,3353,-19740,9246,983,-328516,61549,3634,-59245,-7352,8273,-11178,-8703,14301,-4001,-14648,269,6448,-8548,19699,2300,-2511,5769,easy
975102,308082,71235,51117,41298,28501,-821109,-300055,-67153,-48334,-37675,-24079,-314512,-224709,-54570,-29915,-37368,-23278,-837671,-285011,-35630,-43957,-35385,-21451,754791,-192881,5418,-26241,-15692,-8618,506597,-523159,1592462,75346,-60302,92130,12583,18940,41048,18419,-14042,17716,307,1983,19693,801,1827,12833,difficult
836707,569144,54672,38532,23856,11159,1391677,385530,23901,4779,4383,17383,330518,-495633,-17684,-26016,-18578,-4673,-208201,-532538,-40160,-18452,-12366,-8374,-190836,-354716,-23658,-24381,-13824,-6779,-1061159,-538719,17365,-881163,-36905,177822,-41585,-22476,16502,-30795,7564,-5929,-22961,6212,-1458,-22056,-3701,1595,easy
56375,25439,9825,6170,6302,4171,822226,35470,10101,7115,16358,11631,13382,-7430,-6765,-4804,-4437,-333,-53010,17301,-8027,6618,-1699,3427,-47509,28177,-2603,3265,-18,6564,-808844,-66392,5501,-42900,24731,10876,-16866,-1262,5424,-11919,11422,-3353,-20795,2738,1681,-11964,3760,3137,difficult
