delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
828106,54153,56123,52174,11354,20347,8562,8978,1901250,97046,-43397,-9861,915,-5196,-605,-5130,-804480,25346,-42803,-49884,-7748,-14788,-6575,-8423,-687046,-872,-46861,-45766,-7231,-17023,-7045,-8567,easy
1128974,242873,50331,45091,32084,32088,17908,3603,-527392,-156175,-42947,-34040,-13281,-12663,-15776,-2912,-876698,-158997,-12605,-40403,-16960,-23876,-12462,-2459,-764254,-144799,-30784,-27411,-21390,-21617,-15222,-1966,difficult
526449,92660,17713,12591,8616,7865,3132,1619,-334252,-9048,-12694,9535,-3917,5417,6333,-129,-339023,-41445,21865,26425,-5522,-190,3131,383,-386653,-86988,-10455,-9501,-4139,-6242,-952,-1179,easy
1253461,175604,22905,35122,19008,10567,6904,5680,-803797,-123954,-13958,-17183,-14588,-6888,-4853,-4252,-1057360,-135951,-11153,-33313,-17520,-8761,-6161,-4383,-947914,43181,-4121,46613,-8713,-5969,1689,-4437,difficult
1333844,98407,56969,22225,22617,19719,12990,7913,547548,273695,-36082,49253,-1780,3673,-5038,622,-797598,-8468,44202,-3836,51095,188,-5829,-3209,-966292,-47647,-44908,-14874,-17370,-9975,-7246,-4797,easy
734617,373117,113975,34810,23133,15313,13463,8734,2348253,254255,32362,367676,309522,215549,144777,32234,-698272,-355639,-113091,-26420,13651,43573,-9974,-6171,-723464,-355674,-110191,-33411,-12754,-2565,-13098,-8135,difficult
1274456,301585,88890,62846,48434,21213,24781,11383,-201573,-228478,-86002,19250,-45272,6843,-21957,-6135,-870596,-246281,-82532,-30346,-38174,27401,-22790,-7984,330856,-136370,-32287,19183,-14679,53979,15221,-6486,easy
663644,72055,18599,10407,13864,10733,2676,4984,-340553,-55355,-6135,-8858,-11408,-7208,1052,-3524,-341762,-46038,-14337,-2892,-11235,23578,4221,1340,100181,-48102,-9138,3008,-11458,-6756,3558,-3852,difficult
390717,102005,21947,10513,8173,13770,6501,3151,-189186,-93656,-20568,-9280,-5523,-10368,-5800,-2264,-388630,-98720,-18458,-1664,277,-4481,700,-72,-296366,-17403,-19001,-4332,-5463,-9096,-3467,-1626,easy
471704,56683,19855,11363,5608,5527,1351,2134,578835,99572,71677,13875,16089,17542,12345,19400,-437470,-46252,-17294,-7003,-4797,-810,162,-228,-432601,-43247,-14714,-4669,1907,664,3673,-206,difficult
1179014,62223,14897,8585,11423,13726,7773,6255,-513198,35180,-6301,-4939,-767,-5609,-3921,2730,-1043735,-49614,-10450,-6515,-10862,-4372,-5812,-4803,-854163,-21341,1400,-1673,-6618,-1496,-2579,1651,easy
655792,106942,17417,23296,13827,11630,5214,4564,-650172,-88023,-10144,-16305,-8028,-1313,-1247,-1380,-651257,-98749,-14076,-11223,-10069,-5637,-2945,-2947,-641943,-94224,-2710,8073,-9320,-3258,2169,-1336,difficult
1224866,173694,68255,89099,37362,23722,10056,6422,229490,7563,-40926,-80972,-7877,-14666,-5371,-4546,-597200,-130784,-46762,-70942,-28472,-13324,-4997,-4966,-569073,208364,260417,-62249,-8739,-3037,23924,-819,easy
523046,94602,36876,16162,17236,13968,8050,4553,1075325,167830,130244,79982,60269,22178,5480,-347,345314,-44522,7592,13195,-5993,-1876,-1665,-2950,272886,247380,33623,147625,57392,33911,13162,-2151,difficult
897268,167418,26146,58891,24901,61043,23604,29864,-743292,-162829,-24435,-56476,-23304,-59736,-22875,-29268,-867119,-166328,-24243,-57791,-20163,-53024,-20187,-27368,-882831,-141124,-18124,-48624,-16527,-45604,-10910,-22585,easy
561727,80868,13492,14526,8839,5527,2568,2013,171870,939664,9257,66161,42851,16562,9761,1548,7082,-25327,397,-6655,19273,8631,2898,-844,83581,55747,2862,-7941,8038,1774,730,-524,difficult
783054,57505,34968,19849,7299,6423,5175,3206,-398226,25569,-27124,-1700,-1933,-1690,-836,2952,-677296,-54363,-32884,-18202,-4577,-4258,-2240,-965,-754827,-35963,-22742,-6925,4731,-3027,3178,3110,easy
1599038,178671,72264,47491,34530,20921,18518,38070,1043041,-103742,-62129,-25033,-21957,-14925,-15943,-34076,1043041,-103742,-62129,-25033,-21957,-14925,-15943,-34076,1032751,148750,14083,38184,249,21041,-6921,-22696,difficult
424930,521512,58910,32498,24527,18062,15944,6560,348446,-411900,-47268,-22265,-6481,-4235,-9231,-4399,278454,-498863,-38674,-14585,-21628,-14470,-14316,-5318,-292780,-274142,36664,-18245,-9797,-4511,-12808,-4619,easy
305400,80683,1643,8007,5288,9081,6419,4350,837095,-60265,922,4917,9640,17800,14718,5772,-224904,-75364,115,-7075,-3031,-5967,-3273,-2504,-298289,-74118,16231,-3784,2547,8738,1171,1436,difficult
425664,67943,18316,15641,9673,7147,1449,1630,1779581,209061,14993,14259,10085,8050,4622,1125,783440,120989,-6335,31808,19285,4271,2510,-18,-33287,-18130,-16229,-10002,7103,-2716,-708,-1044,easy
564903,102561,47473,46808,12642,37661,6134,6410,-210832,-59667,-44594,-45567,-10169,-35642,-5714,-5688,-466542,-96842,-38363,-42683,-11118,-34550,-3703,-4884,-560721,-98311,-45397,-38031,-3172,-22665,-1559,-489,difficult
1181418,166602,87755,32512,24161,18062,19774,5765,494598,86113,-24220,48995,76561,14098,-972,5520,-1082851,-141721,-77566,-10019,-11529,-10184,-17166,-4232,-505647,-105179,-78649,-11027,-12131,-11261,-16228,-2998,easy
369785,24788,10873,9244,6944,13286,8442,8527,1411413,260973,57526,22655,3318,597,7600,-4181,-337277,-16232,-1587,-5262,907,2859,2086,865,-309095,-13680,-9792,-7122,-6191,-6913,-6031,-6377,difficult
1330922,356997,213707,272250,100861,57541,32854,19940,-253510,-309369,-206530,-242664,-78034,-45634,-30778,-18074,860983,-271641,-182629,-246575,-93453,-45573,-26459,-19080,95043,-227338,-157820,-168974,-41969,-19833,-25850,-16196,easy
751096,59327,17992,21639,8801,24292,8574,10055,-745381,-35872,-4150,-19917,-3555,-17648,-3714,-7253,-739903,-51387,-13980,-12959,-1284,-17876,-6534,-6506,-744702,-52990,-1408,-16596,254,-15425,-1289,-5422,difficult
753796,102813,116588,29889,14239,14265,8951,8850,-315537,87760,-93591,-10039,4637,32677,3196,-4505,1171942,73982,48064,277217,13124,447438,-2795,4128,920860,155771,-87907,333832,-10912,393748,9734,8407,easy
834387,63847,29288,32225,11068,11145,4235,2776,-612382,-40348,858,-16438,-6408,-7216,-1416,-2398,-609573,-8064,-5608,-27796,-1025,-8159,-2199,-2374,-579583,-30131,-25504,-28552,-8106,-8258,-3717,-2125,difficult
615076,219237,28786,39307,8876,14725,6481,10682,-263608,-196714,-28020,-30827,-3977,-12753,-3876,-9948,-370894,-134766,-24076,-29331,-2103,-8203,-701,1133,-609627,-204286,-16610,-31511,-2357,-9719,3897,-5740,easy
341516,87824,22544,12320,5375,6627,6992,2335,565116,-69557,-3173,10951,5837,-4076,-4622,-1604,-72281,170659,37812,42686,35140,6604,372,207,57453,63901,18874,119382,43534,8924,-1227,104,difficult
560712,52866,13100,6547,8386,5171,3423,4463,-393540,39067,-3736,1475,-4630,-3059,-2096,-4194,840642,74055,79821,8079,8227,6751,5,-2443,1275696,140878,-7157,10709,1002,7961,4687,3159,easy
1623093,177975,116818,117332,40421,33869,30426,15265,-1012740,-43874,-26943,-65627,-16688,-21146,-14252,-11117,-942312,-172030,-98848,-93575,-35392,-28150,-27942,-13660,-370345,119540,-236,-83036,24912,-13281,-11008,-12952,difficult
993335,165530,12396,16725,9828,11452,7178,5260,-851649,-153710,-11484,-15451,-8976,-10436,-6723,-4935,-973446,-120014,721,-6253,-5952,-5581,-4565,-2936,-810665,-93266,-3961,-10816,-1358,-8634,-5893,-3391,easy
609803,670696,266992,89791,43613,44990,18707,11068,517249,-625524,-253854,-69604,-18870,-36461,-13989,-9168,229363,-573237,-253357,-82062,-33091,-39015,-15130,-9068,-185013,-248980,-5021,-23592,44790,-29866,-7976,-7837,difficult
1549416,187833,38892,42903,32432,21282,17930,7910,-985897,-92686,-11136,-34750,1096,-14860,-14529,-6709,-394077,347383,69490,24680,21873,-3087,-11615,-782,-427328,94783,13767,-12885,43600,-355,-4477,-2543,easy
827270,68813,9216,15168,11437,5895,6832,4354,-714273,-52059,-6078,-13635,-8978,-4519,-6096,-3841,-666589,5488,13197,64787,6123,675,744,1663,-818729,-60908,4642,-5707,2054,5798,-40,1538,difficult
675870,560376,87117,77832,35848,22859,22613,12644,228966,-491974,-68755,-42976,-21849,-16180,-20820,-10408,242959,-293561,60670,-51582,8983,74057,-5256,-2778,-666980,-553390,-83228,-75527,-25265,-14247,-276,-5277,easy
472905,121678,16575,10847,14735,5878,5315,2580,-411490,-114812,-11420,-4128,-13384,-3671,-5101,-2059,814746,-2592,-12760,8941,9839,9438,17592,12064,-469077,-117665,-7899,-5213,-8498,2517,26099,7879,difficult
903131,61718,15301,11359,6841,3795,1840,1021,-798878,28151,-2927,2522,-2113,-2835,-1083,-522,1345170,365507,130190,82069,10864,13732,10053,5240,-876435,-51350,-14367,-10855,-5736,-3361,-1356,-797,easy
784715,71600,18162,38255,22845,20596,5632,3790,-676183,-60954,-14290,-34079,-19718,-18796,-5290,-3148,397601,211931,7836,14055,-10368,-520,1418,985,-573505,-24531,-8082,-26879,-16958,-17892,-3268,-3275,difficult
789373,129874,13365,18413,8251,18568,5243,2128,1049282,-79576,-6174,2615,-5418,-6807,-2065,-1456,-180628,-115901,-6499,-13545,-4865,-14889,-4406,-897,505795,39100,79088,36697,36418,-8492,-967,5384,easy
439116,65584,60731,65380,21517,16248,4679,5597,1711722,169073,78105,-10635,23076,17919,18562,-49,-324872,-23843,-46461,-61555,-15252,-13622,-3442,-3722,-409331,254657,-7698,-38910,8216,740,6659,4024,difficult
