delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
796283,212129,112254,47781,27962,29670,24612,18501,-406753,-205839,-110451,-43838,-27561,-26504,-22949,-17130,288294,251947,22281,15713,-1118,8012,-8263,-12460,-673683,-204828,-111341,-43354,-22338,-22590,-19058,-14386,89384,549906,68876,-29156,-14596,5161,-14199,-1983,-760742,-183995,-100360,-33797,-13265,-12687,-14123,-5853,695047,-961977,763067,-850126,457786,-456775,754734,-733901,132732,-133622,180217,-169236,59551,-59067,14198,-4641,26443,-21220,7742,1331,34516,-30602,27751,-17848,14686,-10795,4859,76,4670,-1926,12403,-3870,easy
293275,231738,24416,46393,37886,34857,17765,10381,543373,157586,75054,-23740,7953,-14010,4949,9933,197959,1021591,-2198,-4143,8944,-20194,-8567,-7466,-62589,-92846,-7927,-27824,-33702,-22059,-11619,-8892,1169509,-71970,-15660,-28112,-9286,-10916,-2489,-5609,-41956,-117485,-12432,-43998,-30118,-30527,-15108,-9047,-345414,-260548,1232098,-1211465,864005,-1114437,20876,-45515,-77252,-5729,-7733,3228,19597,-23681,-288,-15886,991,-42646,24416,-20832,-6184,-1865,11143,-19611,-13516,-3052,9130,-12619,-17399,-1426,3283,-3438,difficult
128240,171880,26682,21551,24782,19690,7657,12052,-107455,-115420,-5192,31167,-3145,6829,9261,830,466604,-79268,1244,-15841,-17300,-15327,-4204,-10436,-50129,-165559,-23959,-19257,-23566,-17129,-5765,-10836,-99878,-161378,-19536,-13845,-4165,-6314,5992,-6012,-69520,-164222,-23459,-13349,-22078,-14050,-4624,-8921,574059,-516733,-49749,30358,36152,-86291,4181,-2844,6436,-25203,4423,-3923,-47008,-3416,5412,496,-14155,-6266,19401,-17913,-22156,-1802,10815,-7736,-13465,-1561,11757,-10616,-11266,-400,4824,-2909,easy
595689,312817,14646,22519,27555,13352,36335,14856,-52272,726683,72253,21158,6545,22212,1104,19356,-565226,-291441,-11196,-21183,-26072,-11188,-34518,-13676,-544168,-306079,-7548,-10909,-25896,-3499,-22365,-11438,-525499,-240530,44116,-7307,-22777,76,-24624,-12064,-561544,-301715,-10464,-19866,-26279,-8807,-30285,-13217,-512954,21058,18669,-36045,-1018124,-14638,65549,-61185,-83449,3648,51664,-54580,-42341,10274,3602,-12559,-32617,176,3119,-3502,-33400,7689,3575,-8883,-35622,12153,-2259,-5661,-33032,2238,-626,-1153,difficult
854830,134847,27444,9010,9697,15637,17388,15319,-492119,-120336,-23196,-601,-6217,-12984,-14612,-13682,-782415,-106661,-23964,-6139,-6819,-13468,-16773,-13408,958195,4016,77403,29577,9085,61792,27396,11330,-498114,-6179,-6307,8379,7731,202,2926,2069,-481937,97759,41963,43488,11266,13296,47529,45681,-290296,1740610,-1456309,16177,13675,110677,-10195,103938,-768,101367,-83710,48270,-5538,35716,-21198,35109,-602,15904,-1354,3535,-484,75260,-61590,13094,-2161,44169,-24470,44603,274,24738,-9261,43612,easy
324001,375160,16475,38733,14723,12287,5064,8486,-258740,-344757,-15040,-33297,-11010,-1809,1620,-4330,1047915,-192683,42388,-1602,15751,46304,10698,-621,269635,-317598,-9779,-34920,-3550,4249,-2512,-5935,27025,-348547,-2364,-34162,-10127,-8384,-3319,-6430,1700730,-79083,13084,-24199,5819,4466,1565,-4299,1306655,-778280,-242610,1673705,152074,-124915,-30949,269464,57428,-52167,7415,15448,31695,-33318,758,9963,26761,-19301,-6577,15946,48113,-42055,-12633,12850,9078,-13210,-807,4884,3709,-5314,-495,2131,difficult
732633,289132,45471,46245,13785,23206,13746,11564,556864,30246,7573,14134,63121,34265,8177,22161,-722853,-274372,-43723,-43196,16355,4855,30484,5482,-366125,-198436,-23757,-20714,-4519,-15476,-7275,-9171,-714005,-276598,-44311,-44506,-10419,-19314,-10769,-6612,-650610,-251019,-31896,-25526,1554,-4586,-594,-621,-1279717,356728,-347880,63395,-304618,75936,-78162,25579,-51296,19966,-20554,12415,-57330,22482,-23792,18980,-46766,-20874,-5900,11973,-29410,-20331,-3838,14728,22307,-37759,-3494,10175,-16679,-14653,2559,5991,easy
691179,310606,28392,14868,30034,25087,21358,10694,-571913,-280431,-19967,-12538,-26321,-22474,-20846,-9494,-606153,-295252,-19953,-14652,-27395,-22123,-19680,-5826,-121128,625371,58196,58724,-6742,3573,17277,29121,-600869,-306833,-25446,-12385,-29146,-24318,-20808,-10461,-687185,-302730,-18730,-12023,-24634,12071,-13109,4845,-34240,485025,-479741,-86316,-14821,920623,-932204,4103,14,78149,-83642,6716,-2114,73376,-71109,362,-1074,20653,-22404,4512,351,25696,-27891,36389,1166,36957,-38085,7699,3668,34947,-39582,15306,difficult
95235,46927,15987,11630,10161,6003,5798,2555,1825013,1064048,252238,15937,31050,32676,8789,10891,-88481,-37048,-3120,-344,-8416,-2285,-2561,-989,-91654,-38947,-11399,-2209,6713,8236,9833,5013,119210,43523,-12441,-3270,15669,2302,-1945,-391,-89913,-44688,-10986,-1196,-1391,16974,14453,3455,-1913494,-3173,210864,-209123,-1101096,-1899,82470,-88211,-255358,-8279,-1042,1455,-16281,-1865,-1061,2074,-39466,15129,8956,-17060,-34961,10521,-5934,14672,-11350,12394,-11778,16398,-11880,6002,-5404,3846,easy
630501,69042,54246,43925,34007,18063,24860,19847,-138559,-54329,-42127,-33471,-32336,-16165,-23418,-18300,411669,15924,-32427,-31176,-28451,-5973,-18568,-16387,-536400,-44119,-38621,-40390,-31812,-13570,-20129,-17629,-546901,-54090,-32033,-24445,-14513,-7778,-17672,-12288,-486486,-27112,-40451,-40787,-31128,-14950,-22946,-17215,550228,-948069,-10501,60415,70253,-60043,-9971,26978,9700,-6194,6588,-8418,2295,-9214,15945,-16342,3885,-3361,17299,-16615,10192,-7597,5792,-7172,4850,-1561,2457,-5274,1913,-1242,5341,-4927,difficult
