delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,state
218581,189830,29588,31897,12782,36886,-215085,-188454,-27927,-28982,-11243,-32668,-98062,-169447,5874,-871,-6126,-25527,-9516,-97530,-14747,-18121,-10385,-34114,618285,-102669,-21546,-17113,160,-27907,-110081,-156547,-20264,-20575,-7284,-26808,117023,88546,627801,-728366,19007,71917,-5139,-53878,33801,-20621,-6799,1282,28111,-17250,1008,-3462,5117,-4259,10545,-7444,7141,-8587,6207,1099,easy
443319,53498,15431,9486,9241,16912,-168164,3444,-8533,889,5978,-2090,44854,70315,-8182,7316,592,-8608,354224,-8344,-10157,-5845,-4889,-11530,926563,285789,10613,72888,15326,256,-362875,-17496,12244,-1152,-4134,-10990,213018,309370,572339,-1289438,66871,-78659,294133,-303285,351,-1975,20770,1631,6427,-13161,78733,-74040,-5386,-5481,20215,-19460,-6518,-2922,11786,-11246,difficult
174206,76255,3257,11416,18149,11591,2000048,371572,26182,5659,2814,-1483,86673,-63890,-1969,182,-13415,-9335,401002,-49751,10827,-3391,-7076,-5273,404817,-48120,13826,-8302,-15283,-7084,-135392,-41445,12656,1491,-4485,-1076,-1913375,314329,3815,-540209,-435462,14139,1631,6675,-28151,12796,2999,-1170,-5477,-3573,-4911,9793,-16229,6339,-8207,10798,-7852,4062,-1811,6008,easy
288903,134740,12633,12553,18116,13202,-257256,-88694,7832,-2999,-14873,-11286,-287675,-129550,-11200,-11223,-16794,-11377,-277576,-96380,-5168,-8396,-14618,-5699,-153268,-100881,-783,-7704,-15824,-11596,1264031,-31868,25994,-7268,-8654,11771,-30419,10099,124308,1417299,-40856,33170,-4501,69013,-19032,6032,4385,26777,-8224,2827,692,436,-1921,2176,-1206,7170,-91,5678,-5897,23367,difficult
113373,30414,7243,5241,2425,2792,-67625,-11282,3896,114,-294,-1307,-61033,-11862,-2844,-1837,954,268,-93277,-26675,-3629,4641,58,4602,-68552,-16296,-4747,-2255,-1503,-757,-103286,-18487,2499,2664,197,3143,6592,-32244,24725,-34734,-580,-14813,10379,-2191,-6740,-785,-1118,7246,-1951,6478,-6896,4919,1248,-896,-1561,1700,1575,4334,-5359,3900,easy
331463,28161,11812,8410,4593,4191,-211005,60974,11566,9097,15166,10406,-91294,82687,16079,4845,23,1133,632732,20138,3773,915,-1885,108,-206453,24710,-9922,-1456,-2621,-2192,45038,85694,7574,9147,5758,5043,119711,724026,-839185,251491,21713,-62549,4572,60984,4513,-12306,-13695,17496,-4252,-3930,-2371,10603,-15143,-1908,-736,8379,-9273,-1025,-2300,7235,difficult
27699,25064,9285,5049,6934,7739,-14473,-8766,-5942,-1181,-2761,-423,25254,3751,-2147,481,-3358,-5250,-25967,-21493,-3774,1328,1499,-152,-1579,-886,10354,2137,-5799,-5023,118714,-7330,-77,4478,-639,-5243,39727,-51221,24388,120293,12517,-25244,20607,-6444,3795,-1627,14128,-10431,1662,847,809,2341,-597,4857,-7298,5160,-4827,5098,-4871,-220,easy
576456,95797,31271,8293,7649,12428,131664,-80726,-11920,-4285,-2870,-2971,-568296,-61941,-24600,-3435,-6050,-8003,-359976,-38628,14848,3322,7708,-862,-510533,-89576,-28968,-6833,-7100,-11752,-569981,-79850,-20875,-3434,416,-8472,-699960,208320,-150557,-59448,18785,23313,-50948,9726,-12680,39448,-43816,8093,850,6757,-10155,3399,-3180,13758,-14808,7516,-5032,7141,-10890,3280,difficult
354644,44968,17083,16743,16568,13469,1997563,370712,212096,216969,67594,69939,-91321,130409,9916,81049,10955,14040,-239711,-26051,-4388,-14302,-13520,-9704,-317563,-35737,-15838,-13658,-10784,-11652,-328453,39150,7876,-5893,4526,-3028,-2088884,-148390,-77852,-10890,-240303,-156460,-9686,74887,-202180,-14304,-11450,23714,-135920,-95351,644,7765,-56639,-24475,2736,15310,-55899,-23744,-1948,8624,easy
436042,54044,11560,9511,7062,6489,322535,135606,-2804,3439,3452,2413,-425973,-41909,-4950,3862,-1677,-2742,-414809,-35166,4105,-3290,-1470,-4836,-358701,-29194,-9866,-9207,-5513,-4295,-225744,-43213,-5915,-6632,-3067,-4529,-748508,11164,56108,132957,-177515,6743,5972,-14019,-2146,9055,-13971,3951,423,-7152,-5917,2575,-5129,207,-4043,2446,-5155,-2094,541,-234,difficult
