delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
62987,12164,4075,11205,5088,5372,-37591,23190,30129,-2375,4180,12951,-53706,6682,794,-3610,720,1843,5260,252,-850,-4279,-3791,-1225,7318,-9084,3030,6105,-2884,7604,-16115,58966,2058,-16508,-6430,-9336,-29335,-1644,3880,-1235,-669,10384,-3460,-4511,907,-11108,-3068,8829,easy
165923,42645,14137,7351,12689,19804,-157153,-32905,-11035,714,-5982,-5483,-31376,-30925,-9810,-6422,-10823,-18763,-146703,-18304,621,19813,2136,-1177,-163720,-25479,-10768,-344,16567,-3978,125777,-115327,-17017,1980,12621,-7175,1225,10431,-11389,-7136,26235,-20157,-4841,12959,14431,-13280,17586,-2801,difficult
58405,31529,6160,21493,8619,7954,71160,21030,-5082,-19991,-6707,-5594,1151958,45025,2954,5622,7180,4028,-46489,-6049,-675,-20198,-1185,-4601,-53218,-29024,-5199,-18334,-7689,-6045,1080798,-1198447,-6729,23995,-51074,-22975,8036,-3629,-4524,25613,-25820,1864,13887,-8365,-6504,9622,-8629,-1444,easy
68918,12803,3857,5590,6104,8469,114719,52527,2679,6704,-2949,-4417,6973,53025,20093,-369,12658,317,-44224,-2169,569,4485,298,2620,-29901,22902,12181,13585,-853,7035,-107746,-51197,14323,498,-55194,25071,17414,-19524,11612,-7073,4854,9100,15607,-12360,-1151,4734,2303,4415,difficult
37710,28219,6216,2294,10633,5082,-6799,-12338,-3441,131,-7053,-1615,-20317,-23778,20024,11748,-5391,16452,-17579,-19569,-1588,7864,4670,4938,-3152,21928,4206,1122,-3574,4186,-13518,2738,14427,-11440,4209,41497,23465,-21612,5794,11617,-3884,-6742,1662,10061,-8244,18067,-11514,-752,easy
360268,44134,7590,11348,5641,9231,-252709,-20951,-5488,-8516,-2216,-6364,-335597,-28724,-3322,3111,499,-124,-353178,-40618,-652,-2533,1418,4832,-352980,-33339,-3277,-4243,5167,-857,-82888,-17581,198,-7773,-11894,7279,2166,2670,-2625,11627,-5644,-1710,2715,919,3749,6240,4956,-5689,difficult
28612,12211,5608,4334,4635,18260,-22188,-8472,-3077,1629,6833,-4996,3159,111677,1425,12511,24682,-7807,-20358,-9459,-4503,-2945,-1326,-16375,166945,17289,1029,2121,-1733,-12261,25347,-23517,187303,120149,-121136,26748,4502,-5928,5532,10882,-15456,5066,17849,-26008,-407,-2811,-8568,4114,easy
204143,37416,9249,4658,10344,9556,-37466,49667,-4061,1906,-5811,-7845,-73099,-27033,-3608,-1297,-6446,-8382,-143196,993,7837,4927,-6126,-2827,-193747,-26705,-4317,-489,-8763,-8194,-35633,-70097,-50551,-76700,28026,-27698,453,11445,-12154,-3203,6224,-5416,-635,320,-2637,-537,5555,-5367,difficult
15180,19174,10174,5964,3126,4012,-2170,-6513,-7922,9160,5896,14417,490,-10065,3990,9418,8540,17619,30463,-7765,-7893,-3098,858,-917,-11559,-5839,-6324,-1466,3301,11070,2660,29973,-42022,-3552,2300,1926,11912,-11883,1569,258,-12516,1632,2644,-7682,2443,3202,-18536,11987,easy
251516,31232,7565,12828,23100,11879,-209663,66651,36299,-9684,-17899,-7304,853784,-6583,16909,-4930,-16502,-2542,-239495,-14920,-3002,-10221,28022,-3412,-237832,-7319,761,8372,-4310,-7630,1063447,-1093279,1663,-73234,-8337,7601,-19390,-19911,3763,4754,-5291,18593,1397,44524,-32332,4762,-870,-4218,difficult
43846,25201,3500,2108,2670,1482,-22797,-19579,-2024,605,-829,-476,-934,-4745,1907,6643,2488,5994,-32959,-9419,-2710,4995,2712,5253,-11642,-14429,5084,5245,-959,-266,21863,-32025,21317,14834,-4674,-5010,3931,-4617,7794,6038,-1648,250,3317,224,-3671,6470,-741,-5519,easy
112790,14504,8353,12751,8429,11707,-47326,46248,-7308,-9560,-6157,-4747,776790,315890,8773,8044,28924,7823,-111391,-9843,-7088,-11361,-7689,-10714,-59380,-5289,-7208,-8220,-4049,-5573,824116,-888181,52011,269642,-325733,4554,16081,-15861,-120,17604,-19405,3141,35081,-36613,3640,12570,-18537,5141,difficult
193122,45269,17232,6595,4263,3919,-186399,-38453,-10359,2957,-1252,1276,-189088,-37642,-12701,-2498,6254,4922,-186202,-40133,-6266,-3956,4659,781,-188823,-36772,-16384,-5188,142,512,-2689,2886,-2621,811,-2491,3361,-2342,6435,-10118,-5455,-1458,-1232,7506,-1595,-4517,3646,-4141,-269,easy
91408,44179,2815,3055,5538,3745,-62387,-37631,848,-431,-4101,-1106,133162,170687,15188,22485,11945,7041,89385,-30763,2343,1493,-2956,-1122,-88208,-41510,-1839,53,-2883,-113,195549,-43777,-177593,208318,-201450,-10747,14340,-12845,-4182,22916,-20992,-1440,16046,-14901,73,8147,-8163,1009,difficult
12872,15145,7498,2478,7205,6687,2044,-8038,-2066,320,-2631,-1106,-9439,-8582,-917,4683,594,-2626,-11089,-9511,-6760,2355,-4174,-4077,-6084,-8710,-2734,13819,-418,1596,-11483,-1650,5005,-544,-929,801,1149,-5843,4026,4363,-2328,11464,3225,-4768,3756,-1520,-1451,5673,easy
11212,16011,9363,35711,9847,11292,91164,38326,13284,13068,4819,8207,142664,17465,14610,-12728,1415,-53,1122,-14809,-8763,-35539,-9237,-9438,78839,-5990,-6156,-32527,-8040,-621,51500,-141542,77717,-20861,-32274,8819,1326,-23373,2607,-25796,-22811,3012,-3404,-10652,1197,-8260,-9385,8817,difficult
54818,16440,5038,4522,2611,1973,101476,-5264,-2793,-2612,-1052,-1586,11107,7475,4796,-2096,-529,-650,-44568,-12261,11664,-2095,2012,3177,-41120,-11143,3030,9123,96,1659,-90369,-55675,3448,12739,-19736,1118,7589,6868,-8634,516,1,11218,523,2541,-1916,936,3827,-1518,easy
334536,148621,24207,31785,15724,9499,364884,-60946,-14554,28658,1302,4521,406768,98781,-14241,-2950,17737,-3249,-320722,-141208,-22727,-22751,9086,14605,-291695,-137586,-13287,-10515,-9970,-1134,41884,-727490,29027,159727,-239989,3622,313,-8486,9440,-31608,-19801,12236,16435,-8651,-19056,-7770,17854,-15739,difficult
46227,18221,6946,19463,13727,9459,-9998,-1863,2812,-3986,3256,4463,52389,45063,1964,-11148,-8866,3330,-7457,-16020,-2943,-3615,-8949,9189,-42653,-15702,-5133,-15024,-10131,-8187,62387,-59846,-35196,46926,-61083,318,-848,-4907,-2190,-7162,7533,-11409,-12122,-83,-1182,-1133,5859,-17376,easy
50271,11983,7622,12535,6359,5258,595459,177199,9544,-2459,-2895,4493,19388,-3089,8081,4330,14746,5626,173692,13910,-3582,-10276,-2532,-3203,67280,35826,6584,-4721,-2803,3253,-576071,154304,-106412,-180288,16999,21916,-1463,-11663,10166,6789,-14606,5555,17641,-17278,-271,1133,-8829,6456,difficult
92503,44884,5646,6858,2413,7908,25322,-20975,2124,-4061,-30,-5116,-39745,26557,10842,-1768,2602,6691,-87011,-41973,-989,302,-1168,-6313,-73865,-35413,1971,34768,25206,-909,-65067,-47266,13146,47532,-68530,6560,8718,-11831,2960,2293,2070,34466,2632,-3770,26374,11807,-13004,5404,easy
17715,8664,6082,15229,7108,13391,-15985,-7709,-4558,-13823,-6053,-10569,66878,4496,-5312,-598,-3428,-11318,-485,4836,17981,122539,2767,-2190,-16391,-7454,-1333,-11666,-5633,-11733,82863,-67363,-15906,12205,340,-12290,-754,23293,-19314,13225,123137,-134205,2625,6195,-8400,-749,9128,-9543,difficult
13466,10404,13381,5717,8638,9659,21361,-4446,-12404,2001,-6568,-3666,800,26443,2604,-667,17304,-3632,199392,58813,-6368,38232,-4799,-5642,58610,83194,-7822,-3540,2280,-8164,-20561,198592,-140782,30889,32370,24381,15008,-8972,-1454,-2668,38899,-41772,23872,-22103,7079,34,-2010,-2522,easy
85442,123497,14869,10181,9435,8776,54799,-51232,-2621,-4052,-5581,-6532,-64197,-101457,-11375,1699,18809,-3245,-75356,-116962,-12140,-6153,-4251,876,-81801,-119457,-14509,-8046,-6634,-6812,-118996,-11159,-6445,-50225,-15505,-2495,-8754,-765,-2369,5751,-7852,-1893,24390,-23060,-2383,3287,4121,-7688,difficult
52781,29704,4958,8925,5120,4274,-39527,-18960,-906,-4369,1900,674,28810,26650,2944,480,-1838,457,-46522,-22405,-3639,-8066,-3076,-2428,-31282,-22263,-3872,-6721,6194,230,68337,-75332,15240,45610,-49055,142,3850,-6583,-233,4849,-8546,1345,-3738,-1238,9270,-217,-2885,2658,easy
80292,6150,1238,5489,5302,5670,21856,47789,-522,-384,-325,-2315,-74720,-3744,-241,231,-2630,1315,-49691,16398,5021,-3631,-3886,-3636,20080,52773,42969,4815,29898,3817,-96576,25029,69771,-51533,20142,36375,281,5262,37948,615,-3862,8446,-2305,-1256,33784,3630,-4951,7453,difficult
41245,9993,1863,2669,3552,7108,-34560,3170,-1621,1705,1452,28379,-40596,-5457,98,-177,-1607,-2909,-38278,-2264,5000,13891,15165,10493,4456,1243,910,-1697,2393,-460,-6036,2318,42734,-8627,3193,3507,1719,4902,-4090,-1882,14068,-15588,-3059,16772,-12772,-31288,13402,-10953,easy
299336,119766,15848,8197,5820,7882,-238697,-83483,-13584,-4089,-3191,-6058,-294127,-117897,-14992,-7492,-2592,-5095,-272081,-99108,-9229,1371,5839,409,-125300,-93239,-15047,-6647,-3836,-6954,-55430,22046,146781,-34414,18789,5869,-1408,5763,-5818,-3403,8863,-8018,599,8431,-9675,963,5504,-7363,difficult
340220,30447,9108,16287,11445,13669,-272180,8572,-3517,-14010,-7163,-9548,-332846,-22887,-572,-11285,4365,-1576,-326259,-14068,-2230,16908,-2094,-3679,-302241,4381,5148,-9915,2409,192,-60666,6587,24018,-31459,8819,18449,2945,-1658,7378,2725,28193,-26823,11528,-6459,4503,7972,-2103,3871,easy
57971,22905,7024,29031,20389,13598,208778,44424,2413,-22973,-13791,-10777,-18978,-20345,-5026,-25048,-17154,-8485,174538,55095,176,-25586,-9946,4115,-34149,7027,2153,-18999,-16434,3985,-227756,193516,-208687,-64769,75440,-48068,-7439,5202,1977,-2075,-538,6587,-3363,7208,-6488,2292,12600,-130,difficult
30052,29734,14288,11557,6811,10924,96393,-24342,-13707,-10370,-5638,-10268,-18810,-25780,-11996,-8541,-5565,-6811,118898,62135,-3242,-10079,-4784,-8191,-26916,-8830,-10163,-8474,-593,9122,-115203,137708,-145814,-1438,87915,-70965,1711,8754,-6921,1829,-1538,1605,73,781,4191,3457,-1380,17313,easy
59912,21760,10318,6116,9465,6701,10099,64548,-7887,-4891,-2466,-3929,732489,119197,-4868,23199,1846,3464,-55106,-6756,-7840,4206,8726,1359,-13336,-8385,-9942,-3622,-7808,-3811,722390,-787595,41770,54649,-125953,-1629,3019,-2972,-2102,28090,-18993,-7828,4312,6880,-16534,7393,-2105,-5170,difficult
852450,167909,68281,20447,15328,8755,-736966,-111350,-52680,-14055,-9913,-7229,-843816,-154720,-63868,-10573,-9486,-1354,-838513,-156572,-65199,-11687,-12844,-313,-745155,-135250,-62763,-19362,-4758,-2576,-106850,5303,93358,-43370,-1852,21322,-11188,-1331,2436,3482,-1114,-7675,427,-3358,8086,5875,1041,-2263,easy
156019,44017,9981,4887,7277,7267,-84558,-449,10006,6325,-279,-2572,-140517,-35368,-9309,-3952,-6060,-5679,-48746,33319,-4395,-522,29163,1626,-124424,-36239,-4524,1851,-5185,-4896,-55959,91771,-75678,-34919,68687,-69558,-19315,4914,-129,-10277,3430,2373,-5781,35223,-34348,-3107,7305,-6522,difficult
