delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
753908,102896,39466,25392,18374,27982,11105,9291,-672240,-82772,-654,5778,-2538,16107,10954,61,-751449,-99440,-31468,-19493,-7314,14660,17613,1314,-708002,-42961,-7233,6639,-10262,7614,18675,25551,easy
250083,87512,25881,44519,13705,47155,19945,31178,-130805,-78420,-23043,-39182,-4793,-37686,-12645,-25195,-169687,-42632,-4784,-21928,37851,-8704,24076,-7728,252245,12247,-14918,-24957,-4506,-35812,-10214,-20832,difficult
23711,28676,13077,5993,5791,19462,17859,5426,-20519,-17504,-5288,1838,-1818,-1814,-10884,15664,460815,201132,40925,124242,17277,14275,36612,83056,54587,8268,-8828,3311,12823,26443,-3754,13398,easy
1213497,104339,23329,35689,34816,34002,16717,8101,-1164010,-55066,-14828,-31927,-30633,-15285,-3116,-3822,-843761,13628,1646,-20222,-30312,-11952,-10982,441,-1072687,-39838,-11243,-19060,-1172,42300,-6581,15009,difficult
481894,92578,14971,27931,20698,22584,18209,9973,89695,-42154,-6586,-16275,296,17670,1598,24623,-162890,76744,-7865,-14608,1465,47304,1762,14083,-387102,37498,-11376,5898,9926,-8300,9655,1780,easy
403684,295708,65556,27953,40067,47246,19837,24750,379113,-130403,134442,65580,23377,-11809,41713,23684,326070,-242749,-58627,-23274,-31102,-44306,-15715,-19708,161953,-242853,-21060,-18566,-30678,-27875,3599,-11674,difficult
908858,86229,31659,25099,17649,17850,7134,13542,99297,-69996,-27727,-23528,-7327,-11144,-3702,-10672,-819414,-36416,-26258,-19141,-12268,-11949,-1920,-8533,-775241,-70475,-30280,-22662,-10515,-12849,-1908,-8796,easy
65239,23467,5305,2858,9640,8969,5734,4646,-42947,9874,1685,14934,8905,7605,13230,21844,-22671,-17060,-355,3466,-501,22058,32390,1196,-49034,-11220,10297,22302,-2495,23468,10874,7958,difficult
398931,175928,15591,24473,22962,21361,9176,8438,-371079,-150407,-12954,-21969,-11292,16050,-1841,3631,-99606,-156433,-10301,-23090,-19976,-13811,-5278,-5021,-373028,-161896,8152,-17109,-5007,14284,15448,3156,easy
91103,30893,6240,3693,6742,12879,10506,6056,-52769,-16950,2230,-2825,-386,-4306,-2446,-2681,394984,285358,117855,117436,23668,63651,43684,20529,780847,59690,-4377,-2217,-2044,-978,-5900,-3022,difficult
236699,118494,16819,13601,8627,29375,38514,9208,360936,72739,24229,-1229,28953,18980,25000,5524,1012487,-71631,-2708,-12369,-5464,-20007,-33743,-3424,401298,-89263,-1439,106,4873,-9364,-28190,-1809,easy
370207,157101,9986,18065,9461,16883,14254,10282,-351377,-150622,4250,-7591,-371,12823,44637,1099,-74947,237591,-8179,3320,16774,59870,4082,1305,-297240,-141766,-6916,-12889,-6376,2734,-9799,-8074,difficult
103079,22931,4557,7511,8710,4902,11840,3786,259790,18499,8034,-560,731,568,-7829,-1401,1450844,169097,31362,51211,31504,40029,3057,7459,443823,22330,9223,3095,1828,15884,5427,528,easy
674247,38864,2644,9574,7869,29419,8646,9475,-478032,88357,42975,3203,8797,8784,26492,25750,1977134,18788,72658,10597,14424,30031,7946,12498,-655882,-20396,7366,1723,2136,13631,35761,14463,difficult
43430,32623,3164,7262,9359,19008,7674,10080,213334,33504,6196,26565,21973,3024,571,5472,965478,-8245,12463,-6225,836,-14674,-4595,-6792,1439587,109502,114682,23844,18337,15126,12217,16,easy
318629,72377,6353,8011,6799,36714,20576,17670,598506,315270,50795,17109,16000,-13721,7990,-1247,12082,98381,21485,16683,16308,17326,-5091,16285,233037,-446,13432,37866,35106,15005,3167,-66,difficult
1357272,192118,23346,53416,20045,28715,30633,13660,-933720,-100114,-6806,-25954,6336,14001,-2617,-6261,-1116228,48247,-7519,-21421,-8186,37356,-12515,5711,-1299337,-170591,-18723,-49480,-14745,-19255,-28682,-9615,easy
99529,78012,9056,17463,13434,32727,14781,11657,580659,-20402,545,-5150,-2057,-17566,-4090,-5739,68256,-64980,1797,-10910,-8040,-20999,-3854,-8276,193972,29711,-2295,24964,32796,5445,7270,34250,difficult
1273353,238528,128617,28763,22845,41820,24465,19033,-973803,-153022,-100423,34986,-3227,-18131,-5843,-8996,-1088693,-131522,-96976,-691,-7064,-31188,-20538,-13509,-1263505,-223863,-127726,-24879,-16822,-36240,-21565,-15812,easy
689266,168524,43399,62016,35942,55175,42619,18666,-674358,-154849,-31248,-44094,-22145,67697,-21066,-132,-594924,-151097,-39248,-59316,-35146,-50397,-40913,-17814,-651897,-155200,-37631,-44033,-19122,-5941,-29365,7810,difficult
215459,45901,14989,7461,9729,19991,16959,9888,-139567,65206,-734,23181,-3344,-7051,-14809,-2670,-133797,-41358,-11733,-6354,-7906,-16851,-15620,-9041,-88163,46425,-5663,6890,6526,14519,9364,6032,easy
1218886,213363,43202,21296,16787,31368,29621,8793,-1140354,-160524,-18616,-1790,-6518,113322,-16900,-95,-848610,-132777,-39786,29663,11927,21049,-18252,-618,-1127318,-167723,-37483,-15951,-8619,-14838,-26589,-2526,difficult
1015213,88345,50349,25310,25579,36355,51153,17670,-458692,269587,-6027,15053,14091,-13182,37821,10157,-1011476,-80960,-48840,-15188,-22459,46660,11373,-7869,-717076,-46415,-27169,-13419,-14434,73459,-30861,-9090,easy
1151511,184633,14989,16700,20995,30359,32227,14124,-920802,-86095,-9024,-9885,-12360,-5323,-4058,-762,-992975,-112094,-6424,3478,-3829,-4765,-17322,27488,-1145644,-175235,-9576,-3078,-9175,12524,-22158,-1417,difficult
801077,66024,15735,10883,22211,28948,27561,15657,-220853,-25557,-843,-8295,522,-11935,301,6673,-406321,-27454,-13778,9696,-14007,20073,-11208,17110,-522588,-37358,705,2558,-10658,-20321,-16131,-13166,easy
383693,98520,21148,25707,16493,51321,16653,15544,-236171,-57996,-8333,-9297,17073,-2532,-1738,4945,2169187,68264,1086,-16066,9164,2891,30151,8130,-225537,-76417,-12583,-16235,-11550,-36700,-7028,-10408,difficult
631136,104782,54362,17681,37234,27825,24009,21470,-518231,-36208,-51328,-13087,-32480,-8616,-20208,-12687,162606,-64531,-39950,795,-27356,52523,1542,512,-514815,-11089,-44717,21542,40089,4105,-12516,7225,easy
403504,113329,20594,27758,20636,41209,16405,34183,-61459,-76770,-13223,-21102,-13807,-34097,-9343,-31606,309890,-72258,-15663,-22941,-13494,-26036,-7434,-22404,259424,-55959,-1917,-12872,-14135,-30406,-10660,-28193,difficult
611468,158209,14044,53485,30887,28965,28424,21071,-318666,304874,46070,-35629,-1370,-11197,13220,-9433,1198800,-77044,2228,-41723,-22843,-20321,-23846,-18211,292306,-126040,12767,-21425,-8046,-16993,-22290,-14864,easy
938633,205117,13317,28823,16933,30345,28592,24856,-855250,-190469,-2906,-26317,-5905,-8171,-22191,-21524,-822481,-81877,-6530,-11782,18981,32161,51503,-15914,-163549,-111743,658,8820,9739,13848,32665,4390,difficult
