delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
9132,29158,13291,7034,15722,13282,-6968,5492,-7637,209,-7732,-1933,2919,10903,-10398,-334,-3560,-5919,757,-10967,-2322,42922,-3587,1371,9887,-2162,5411,-21870,-2761,8076,-543,43256,4172,-27,-3986,7290,easy
35890,14959,6258,15329,8594,43732,-3141,24314,-5148,-9310,-4621,-34516,105835,33873,21859,116558,4985,-29144,-27687,-10510,11257,61358,14767,20602,108976,-133522,9559,-44383,27007,-10602,125868,-55200,9606,9782,5372,49746,difficult
56179,40980,5352,9877,2982,6361,-42539,-29444,6567,130,4460,-314,-52673,-23181,7735,5873,3807,3072,-46514,-12054,6701,20126,48599,6784,-10134,6159,6263,11127,1168,-1034,5743,14253,-653,44792,3386,3712,easy
410563,150345,26683,40345,18409,49687,-273260,-121571,-18992,-29757,-15150,-42156,-362604,-143689,-24809,-36931,-17011,-45079,-379724,-142931,-16792,-22914,3290,-8936,-89344,-17120,-22118,758,-5817,8017,-7174,14017,-1861,20301,-2923,36143,difficult
51499,20615,6056,5597,5832,7832,-25615,42341,-155,-418,4515,9823,59065,5681,-2730,1370,-1468,-4732,-25282,-15184,3706,41553,45432,4147,84680,-84347,-36660,-20865,-2575,6436,1788,40183,-5983,46900,-14555,8879,easy
19865,24632,13249,4320,5390,12087,9,3810,-2753,25418,-476,21129,-14181,-19280,-787,7341,3250,12136,109172,20854,-8939,-1646,-2924,-6558,-14190,123353,-23090,40134,1966,-8152,-18077,-8987,3726,-6174,-8993,-18694,difficult
944691,454784,202624,54457,137779,78956,-766051,-389567,-151060,-50687,-99119,-71505,-313216,-130132,-175828,14477,-91837,-52024,-751199,-309698,-180849,-9944,-132973,-73444,452835,-437983,259435,-179566,-24768,-5021,65164,-24421,7282,-41136,19481,-21420,easy
355376,40346,10863,6356,7713,19596,-349162,-35507,-1255,6707,-5463,-12448,-315685,6166,18826,-3043,6880,10061,-348739,-38898,-2506,5414,-1782,17534,33477,-33054,41673,-45064,20081,-21332,-9750,8457,12343,-8662,22509,7473,difficult
12459,15660,11044,7411,4897,11366,-321,8598,-9893,-4002,10488,-7607,35803,71723,-8277,-451,-114,-6399,-286,-2133,10996,15558,7649,-3866,36124,-36089,63125,-73856,1616,19273,3551,16009,-10602,7763,1208,2533,easy
17429,11965,5556,4831,3394,12428,-1306,11844,11161,8032,2041,8725,1175778,154179,64895,2614,2544,10244,-6616,8943,-3201,2432,1778,4070,1177084,-1182394,142335,-145236,53734,-68096,-5418,-182,503,-766,1519,-6174,difficult
68283,20745,5875,10181,3848,35109,20480,16434,-1180,-5250,873,-27168,-39393,3682,19773,-64,3517,-22677,205573,-13944,-4036,-9289,-1495,-27802,-59873,244966,-12752,-17626,20953,-23809,5186,-9225,2644,-5012,4491,-5125,easy
690745,36744,22871,5423,21706,22865,-461879,75948,-4105,7390,-15214,-3174,620850,170715,-19687,3361,-14637,-5187,-676216,-25872,-14913,5694,-13325,2235,1082729,-1297066,94767,-196587,-15582,4774,-4029,2333,577,1312,-2013,7422,difficult
