delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
123146,41115,14483,4041,4322,5464,2238,1826,-114199,-38298,-14109,-3385,-3298,-4435,-1003,-423,-80954,-14400,-2693,5235,-1758,-585,133,-299,easy
121294,24933,8120,3257,4409,3922,1400,2306,-105364,-11350,-6,2047,437,18871,7534,8357,213925,-7763,-3304,-2160,556,-1822,98,1047,difficult
998741,137464,69907,28980,25127,16025,7975,2693,-195043,36652,-55276,-4517,-9449,5231,221,6746,-914619,-105467,-63683,-24981,-22773,-14707,-6112,-675,easy
91721,38153,15579,1810,3409,4992,1939,942,-6352,-8924,-1542,1179,-148,404,-738,378,190485,-10528,-13297,-338,-1441,-2367,1622,257,difficult
540400,120005,47399,16594,11950,10022,3838,2520,-448116,-84624,-30539,-7718,16391,11157,15016,16847,-163786,-125,-16225,-5657,-2190,-7392,-1633,-539,easy
55165,45245,6326,4177,2805,3346,2063,2123,10143,-30231,2789,-861,1085,-1349,1881,-795,-37574,-16966,24395,12001,17488,29790,17070,6402,difficult
236546,113318,23415,5203,17820,9030,7461,5078,365578,-36548,-18254,-1690,-16160,-8084,-7029,-4751,-189641,-57712,39,8571,-8948,-5067,3424,-2881,easy
1451178,238101,23556,11890,12795,17339,13426,4964,-1197709,-219353,-18971,-6003,-10811,-14212,-11597,-4037,-1430092,-235835,-23255,-11464,-11591,-13884,-11689,-4030,difficult
400083,666875,39151,36382,28184,13646,6196,6924,-384239,-659539,-35632,-34718,-26376,-11583,-5360,-6340,-363746,-644616,-29242,-32037,-26134,-9741,-4306,-5947,easy
98453,36892,11146,3188,4316,3716,1676,2172,512344,193301,-8360,1135,44357,18517,39386,14895,283382,-25729,4085,5948,-1381,-671,1945,1486,difficult
374519,97945,17876,11173,8338,9478,6447,4310,-343623,-89286,-16057,-10729,-6521,-4671,-4006,-1444,-307802,-28020,-6292,-3551,4606,-1389,1755,2086,easy
482185,136942,9155,3602,6483,6315,2387,2408,-479260,-133021,1669,1888,-4194,6680,270,130,-478728,-132701,-4493,49,-2776,3394,1434,640,difficult
514999,193334,39123,15020,10061,18112,7193,8631,1223036,-15586,-20489,120230,28184,11670,10460,6814,-499651,-191960,-35471,-13159,-3768,-15604,-4786,-6522,easy
234944,168059,33504,14432,7833,8705,4355,4835,196189,-150423,-30434,-4686,-4568,-4719,-1898,-2309,-78946,-107636,-27003,-13507,-2167,-4098,-2363,-2399,difficult
145964,71279,27792,7531,7645,11612,6846,5562,94336,-33963,-23057,16415,3693,808,529,7065,195537,95131,-4315,20996,5668,4952,4519,7466,easy
718370,172279,42744,27532,20661,11585,6837,5809,-687333,-150637,-39497,-24210,-17522,-8338,-5170,-5017,-648277,-158147,-39589,-26017,-18212,-10862,-6446,-5171,difficult
438175,222518,40967,31383,25092,12763,9129,5680,341207,329180,59298,50875,11871,6616,6819,2049,67710,-160017,-34474,-22464,-23454,-8350,-5678,-2238,easy
255343,198359,17838,6122,6657,11546,4240,3496,-141533,-131907,-3193,5317,10727,6675,4672,3152,386843,150003,-14172,2254,706,11949,8247,2126,difficult
79717,45553,5934,3381,8249,4164,2714,1866,-47501,-35499,-1673,2618,-7261,1195,-55,-786,48916,20236,16761,3081,-685,13966,4815,2507,easy
193547,39628,4471,6939,4218,3756,1518,1036,-176536,-30116,9828,4565,9714,3522,4200,2455,-140916,8703,12815,-4674,-2614,362,-69,-336,difficult
194180,70913,31394,9156,6904,10366,5362,6311,-7999,-64346,-27883,-7966,-6055,-8991,-2888,-5708,-58550,-63535,-30525,-6807,-5408,-9574,-3535,-5592,easy
119370,56491,15793,11647,4559,5287,5451,1969,390142,-48280,-7252,-9212,-1818,-4207,-2863,-754,791825,270082,16653,-6554,42583,30229,28723,16220,difficult
208396,74310,36314,4251,10984,15406,5719,4623,997885,18009,-26036,5528,-6429,-3287,2695,-1961,-185937,-60332,-26787,-835,-7983,-12045,-4530,-3152,easy
716909,431412,101135,11414,46757,14547,14771,8726,-611886,-378657,-86633,-3354,-38666,-5489,-12879,-7792,301084,-276167,-38673,4847,-26736,4141,-6989,-1823,difficult
800048,185483,16397,38099,23194,16311,6695,6764,147075,-69154,-8894,-2631,-8617,4730,1848,-1829,-790138,-181094,-10536,-24238,-16585,-768,6210,13745,easy
266584,37747,4422,4521,2363,3446,1056,1117,-55623,-18022,822,1077,4244,-781,435,-361,-217446,-3805,3026,-3350,1569,3199,772,-421,difficult
808685,88034,17421,11969,15239,4032,3595,6177,1111214,-36578,-8892,-9503,-12051,-262,-2134,-4197,827075,140807,73782,8223,10800,18183,14768,14861,easy
