delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,midgamma_cc0,midgamma_cc1,midgamma_cc2,state
796283,212129,112254,47781,27962,29670,24612,18501,-406753,-205839,-110451,-43838,-27561,-26504,-22949,-17130,288294,251947,22281,15713,-1118,8012,-8263,-12460,-673683,-204828,-111341,-43354,-22338,-22590,-19058,-14386,89384,549906,68876,-29156,-14596,5161,-14199,-1983,695047,-961977,763067,457786,-456775,754734,132732,-133622,180217,59551,-59067,14198,26443,-21220,7742,34516,-30602,27751,14686,-10795,4859,4670,-1926,12403,easy
293275,231738,24416,46393,37886,34857,17765,10381,543373,157586,75054,-23740,7953,-14010,4949,9933,197959,1021591,-2198,-4143,8944,-20194,-8567,-7466,-62589,-92846,-7927,-27824,-33702,-22059,-11619,-8892,1169509,-71970,-15660,-28112,-9286,-10916,-2489,-5609,-345414,-260548,1232098,864005,-1114437,20876,-77252,-5729,-7733,19597,-23681,-288,991,-42646,24416,-6184,-1865,11143,-13516,-3052,9130,-17399,-1426,3283,difficult
128240,171880,26682,21551,24782,19690,7657,12052,-107455,-115420,-5192,31167,-3145,6829,9261,830,466604,-79268,1244,-15841,-17300,-15327,-4204,-10436,-50129,-165559,-23959,-19257,-23566,-17129,-5765,-10836,-99878,-161378,-19536,-13845,-4165,-6314,5992,-6012,574059,-516733,-49749,36152,-86291,4181,6436,-25203,4423,-47008,-3416,5412,-14155,-6266,19401,-22156,-1802,10815,-13465,-1561,11757,-11266,-400,4824,easy
595689,312817,14646,22519,27555,13352,36335,14856,-52272,726683,72253,21158,6545,22212,1104,19356,-565226,-291441,-11196,-21183,-26072,-11188,-34518,-13676,-544168,-306079,-7548,-10909,-25896,-3499,-22365,-11438,-525499,-240530,44116,-7307,-22777,76,-24624,-12064,-512954,21058,18669,-1018124,-14638,65549,-83449,3648,51664,-42341,10274,3602,-32617,176,3119,-33400,7689,3575,-35622,12153,-2259,-33032,2238,-626,difficult
854830,134847,27444,9010,9697,15637,17388,15319,-492119,-120336,-23196,-601,-6217,-12984,-14612,-13682,-782415,-106661,-23964,-6139,-6819,-13468,-16773,-13408,958195,4016,77403,29577,9085,61792,27396,11330,-498114,-6179,-6307,8379,7731,202,2926,2069,-290296,1740610,-1456309,13675,110677,-10195,-768,101367,-83710,-5538,35716,-21198,-602,15904,-1354,-484,75260,-61590,-2161,44169,-24470,274,24738,-9261,easy
324001,375160,16475,38733,14723,12287,5064,8486,-258740,-344757,-15040,-33297,-11010,-1809,1620,-4330,1047915,-192683,42388,-1602,15751,46304,10698,-621,269635,-317598,-9779,-34920,-3550,4249,-2512,-5935,27025,-348547,-2364,-34162,-10127,-8384,-3319,-6430,1306655,-778280,-242610,152074,-124915,-30949,57428,-52167,7415,31695,-33318,758,26761,-19301,-6577,48113,-42055,-12633,9078,-13210,-807,3709,-5314,-495,difficult
732633,289132,45471,46245,13785,23206,13746,11564,556864,30246,7573,14134,63121,34265,8177,22161,-722853,-274372,-43723,-43196,16355,4855,30484,5482,-366125,-198436,-23757,-20714,-4519,-15476,-7275,-9171,-714005,-276598,-44311,-44506,-10419,-19314,-10769,-6612,-1279717,356728,-347880,-304618,75936,-78162,-51296,19966,-20554,-57330,22482,-23792,-46766,-20874,-5900,-29410,-20331,-3838,22307,-37759,-3494,-16679,-14653,2559,easy
691179,310606,28392,14868,30034,25087,21358,10694,-571913,-280431,-19967,-12538,-26321,-22474,-20846,-9494,-606153,-295252,-19953,-14652,-27395,-22123,-19680,-5826,-121128,625371,58196,58724,-6742,3573,17277,29121,-600869,-306833,-25446,-12385,-29146,-24318,-20808,-10461,-34240,485025,-479741,-14821,920623,-932204,14,78149,-83642,-2114,73376,-71109,-1074,20653,-22404,351,25696,-27891,1166,36957,-38085,3668,34947,-39582,difficult
95235,46927,15987,11630,10161,6003,5798,2555,1825013,1064048,252238,15937,31050,32676,8789,10891,-88481,-37048,-3120,-344,-8416,-2285,-2561,-989,-91654,-38947,-11399,-2209,6713,8236,9833,5013,119210,43523,-12441,-3270,15669,2302,-1945,-391,-1913494,-3173,210864,-1101096,-1899,82470,-255358,-8279,-1042,-16281,-1865,-1061,-39466,15129,8956,-34961,10521,-5934,-11350,12394,-11778,-11880,6002,-5404,easy
630501,69042,54246,43925,34007,18063,24860,19847,-138559,-54329,-42127,-33471,-32336,-16165,-23418,-18300,411669,15924,-32427,-31176,-28451,-5973,-18568,-16387,-536400,-44119,-38621,-40390,-31812,-13570,-20129,-17629,-546901,-54090,-32033,-24445,-14513,-7778,-17672,-12288,550228,-948069,-10501,70253,-60043,-9971,9700,-6194,6588,2295,-9214,15945,3885,-3361,17299,10192,-7597,5792,4850,-1561,2457,1913,-1242,5341,difficult
152278,64438,26870,15484,11291,14167,10578,10478,-109551,-45179,-26101,-7720,-93,-7366,-3811,-7960,1940224,72915,-4644,264,26282,8791,10308,-5103,-19438,-56398,-17140,-7582,-7479,-9038,-6696,-8886,192783,-41134,-13741,3242,4577,-6971,-7857,-7410,2049775,-1959662,212221,118094,-129313,15264,21457,-12496,3399,7984,-7846,10824,26375,-33761,12056,16157,-17829,2067,14119,-17004,-1161,2857,-3783,1476,easy
176915,88344,25234,13772,7665,14211,12604,10903,508473,-43223,-20275,-9986,-6672,-12120,-11362,-10096,1336361,5505,6330,24728,25135,4211,-2923,2980,-147605,-82960,-23425,-11827,-4012,-8491,-8618,-7928,395444,-22738,-22022,-6672,-3308,-12773,-11287,-10074,827888,-1483966,543049,48728,-88465,60222,26605,-29755,1403,34714,-36555,5155,31807,-29147,704,16331,-12702,-4282,8439,-5695,-2669,13076,-10908,-2146,difficult
685732,374393,119911,34910,25269,50308,42388,32073,-360953,-306940,-105117,-30526,-22180,-48347,-40792,-30764,-647637,-371417,-116880,-33952,-24772,-50029,-42106,-31991,-553924,-252789,-88220,-15865,12461,4403,1121,-18534,726228,-235522,-11620,-29993,-22503,-26973,-4416,-18504,-286684,93713,1280152,-64477,118628,17267,-11763,28660,76600,-3426,18087,-14128,-2592,37233,-34964,-1682,54432,-31376,-1314,43227,-5537,-1227,13457,30,easy
109582,95413,43893,14939,10176,12613,5300,4729,-47986,132520,-11753,-5601,-4890,-5950,-1388,-1545,-84445,-86755,-42537,-11913,-9514,-11703,-3861,-4322,147670,-19464,-40123,-10920,-468,-7740,-4411,-2973,155296,-40131,10183,-1962,-3038,-598,7594,-13,-36459,232115,7626,-219275,67291,-20667,-30784,2414,50306,-6312,993,8958,-4624,9046,-2570,-5753,3963,7142,-2473,-550,12005,-2777,1349,2960,difficult
338539,316078,18027,12289,15957,14004,17989,14572,-278573,-286665,-8939,-8532,-12680,-12918,-17091,-13881,-329967,-312375,-15887,-9408,-14025,-8829,-14290,-12641,-283988,-283350,1222,-10439,-11886,-8416,-12303,-12760,2359,-273157,-3402,-7187,-724,-8896,-13875,-10055,-51394,45979,286347,-25710,29025,10193,-6948,17109,-4624,-876,-1031,3252,-1345,2139,11162,4089,413,-480,2801,1987,-1572,1240,-119,2705,easy
147259,26426,12273,10894,3523,5414,4087,3089,-46758,-21378,-10824,-10437,-986,-2797,-3191,-2535,607719,134459,10851,-2099,1276,13387,5186,6854,98464,31627,-72,-4012,2052,-2306,806,404,1463108,76020,15616,-3550,11455,8184,1370,1393,654477,-509255,1364644,155837,-102832,44393,21675,-10923,15688,8338,-1913,462,2262,776,9403,16184,-15693,10490,8377,-4380,564,9389,-6450,989,difficult
717742,378609,18534,26697,11757,17660,10843,9518,-632987,-373542,-15833,-25433,-10276,-16875,-9206,-9251,1294646,-278724,7062,-11483,21445,382,1002,7408,-602839,-345450,-17783,-21750,-7803,-10310,-3972,-7588,-616228,-365667,-15748,-23879,-5464,-10570,-6155,-5525,1927633,-1897485,-13389,94818,-66726,-20217,22895,-24845,2035,13950,-10267,-2129,31721,-29248,2339,17257,-10692,-260,10208,-4974,-2183,16659,-14996,2063,easy
