delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
726843,65446,5453,15353,11072,6862,-388057,25694,13327,-7746,-9112,-4772,-433652,-33279,23335,9890,-6628,-2340,-294763,31024,16741,-5067,-4226,-1642,-45595,138889,-58973,64303,10008,-6594,17636,-14957,2484,2402,2432,698,easy
1053756,137609,193493,72428,64750,39281,-947936,-88545,-132445,-63834,-58406,-33570,96231,-116836,-181114,-67921,-57356,-37017,-526082,298953,-136240,-51090,-12296,-19659,1044167,-622313,-28291,415789,-48669,44874,-4087,16831,1050,45060,-3447,17358,difficult
569862,145379,25990,19672,15963,12632,-494460,-119778,-25256,-16209,-12387,-8977,-508996,-121638,-22406,-10884,-12315,-6746,127313,259088,89068,10170,406,17446,-14536,636309,-1860,380726,2850,111474,5325,21054,72,12721,2231,24192,easy
1050996,223135,117977,130581,45403,21364,311869,-1500,-86742,-108920,-34302,-13778,-829054,-142473,-102782,-113713,-42130,-16172,230877,-144592,-34929,-104655,-19842,-14969,-1140923,1059931,-140973,-2119,-16040,67853,-4793,9058,-7828,22288,-2394,1203,difficult
694714,167714,7335,24494,13199,18519,-491533,-38469,11565,-9834,3394,-15339,-541904,-146195,-2932,-22623,-10737,-10765,482713,-78153,11880,-21834,-7890,-4115,-50371,1024617,-107726,68042,-14497,14812,-12789,789,-14131,2847,4574,6650,easy
596897,43626,17490,14664,9333,13875,884233,53465,-4802,-4524,-4336,-7766,-407376,-16045,-14967,-11416,-8157,-12897,300289,18424,-15592,-4970,-3384,-9160,-1291609,707665,-69510,34469,-10165,-625,-6892,6446,-3821,4773,-5131,3737,difficult
840679,58200,48484,10577,4113,4364,-700807,70293,-41423,47,1311,13484,-206610,11578,-47036,-4556,-903,4616,-718975,41016,-36558,3410,6226,37558,494197,-512365,-58715,29438,-5613,10478,-4603,7966,-2214,7129,-8868,32942,easy
796919,166793,37670,9747,7602,9302,2267660,721,21093,10730,13180,3345,-774455,-105924,-32076,-1725,-2191,-3570,-209010,71953,-3085,7188,9114,13951,-3042115,565445,-106645,177877,-53169,28991,-12455,8913,-15371,11305,-6915,17521,difficult
294770,151461,38772,21464,10247,15902,-211433,-148752,-38649,-21228,-9279,-13199,-280770,-135141,-36922,-13529,1776,-7244,-206083,-135743,-38135,-20780,-7080,-11408,-69337,74687,13611,-602,1727,-1213,7699,-7251,11055,-8856,5955,-4164,easy
569293,267849,30774,28516,17548,14677,879495,-54901,-11972,-9988,-10830,-6033,-273218,-209066,-18867,-21563,-13779,-9565,-478968,-207374,-14924,-21544,-13295,-7896,-1152713,-205750,-154165,1692,-6895,3943,-11575,19,-2949,484,-3532,1669,difficult
