delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
310703,26306,8535,9268,4051,5767,2708,1880,2086445,60952,11785,5459,12850,19071,17260,12379,-161056,-11728,974,-7284,-1263,2481,2387,680,easy
1103641,300494,44847,56389,31479,25579,57328,42279,-603646,-230194,-39581,-48207,-23686,-21699,-51688,-37969,808623,242375,29061,-46555,38578,33469,29502,-4261,difficult
556077,169010,37628,19980,13587,35486,15434,11126,-293867,-135844,-29743,-530,36896,-6563,19448,8862,-470437,-154519,-35386,-12888,-11865,-20031,-9930,-4735,easy
1160949,59893,30909,12775,18425,23174,11840,10734,-1147900,-56819,-30133,13084,-10860,2055,12682,11787,-966514,-54392,-27689,-9905,-12301,29405,17877,2758,difficult
96630,19153,4402,1371,2972,2793,1888,2153,-51014,-677,-296,1279,884,839,25,-895,-26020,42247,4023,9282,1171,242,779,9,easy
892466,251208,35445,42587,25498,34957,78980,23258,-699113,-217191,-32403,-34531,-22993,-32557,-76943,-22052,-836889,-248429,-30890,-36707,-20517,-20587,-71100,-13176,difficult
1128732,95126,12109,21314,15931,18550,7690,6974,-425800,121863,43430,2232,-4713,-8540,-1607,1893,-839087,-47170,-8393,-15601,-10904,-14620,-2842,-5858,easy
748315,152929,30816,29961,8454,22985,61152,8790,-494842,-147996,-28098,-28841,-7414,-19323,-58577,-7434,-643245,-136908,-21478,-28863,-6852,-21518,-58551,-8065,difficult
289621,94497,31035,17733,5959,30538,10291,17581,2041646,208285,-328,6582,9201,18154,13813,-1672,-258037,-60230,-21811,-7264,257,-2018,16333,-7608,easy
106678,18579,7301,7123,8256,20991,7805,6205,-84448,-10780,-6482,-4213,-5932,-12929,-1852,-2687,847402,670156,28695,54307,3685,57782,36174,14765,difficult
12498,16979,3673,13246,11082,12952,5624,3811,-3081,-7824,10032,-6776,-3911,-6077,-2472,-2443,47465,110657,21961,-6651,-6360,3004,17806,2939,easy
115389,122032,21749,17821,24903,21821,14198,8780,1029507,338413,187029,93487,49235,48947,22551,22234,426656,89835,-7192,27925,-8964,31747,42016,7519,difficult
439202,94052,41420,29597,23850,33537,34391,18234,1958797,270259,-19837,-9888,-15039,140006,35735,32828,-191055,-81220,-32384,-26302,-22349,-22527,-9643,-12108,easy
385727,64687,13754,16302,7945,11265,12311,3649,-270255,-38468,-12174,-15082,-6267,-8860,-11001,-2958,-380431,-60259,-5288,-12489,-2150,-5463,-4659,-2576,difficult
262323,30436,8747,7480,12832,15467,7805,4510,-255409,-7735,-2019,-4517,-9102,-10614,-3729,-1713,-165282,-16665,-7189,-6735,-12258,-14259,-4968,-3538,easy
462494,173184,25161,12523,7076,23471,18179,21905,-23735,-96345,-18822,-7366,-1353,-12840,-9236,-19497,-399009,-155247,-17238,-1520,-2339,-9367,-8732,-15006,difficult
244129,68892,28476,13268,19063,15673,6044,5124,-233919,-62905,-27229,-11366,-16300,-13842,-5488,-4573,-191360,-60786,-23129,-12041,-12459,-13443,-4611,-4306,easy
467353,73977,10990,11732,5185,12138,11249,5111,281173,17011,-5272,-6612,160,5444,-4919,460,-427328,-49528,-3226,-10203,-3802,-6743,-8630,-3617,difficult
599942,53265,42545,2747,7487,8206,7842,1892,-27063,44690,35991,86818,7023,7349,2007,5108,246751,297414,-16115,46679,19381,7783,4052,19317,easy
317944,95390,10717,13653,10994,12212,8062,4239,-210263,6627,-5672,-3145,-3266,6712,2798,554,-38027,62632,30473,-9848,68,5458,-2461,744,difficult
1505399,444444,32128,31144,41543,69282,39752,21264,-1388640,-396868,-22144,-6070,-18983,-60324,-34979,-18660,242600,-414271,-30155,-23829,-35431,-57785,-32827,-18559,easy
387774,88321,14059,6726,5740,10201,9298,3345,33326,31679,1127,2547,15641,6475,-3255,4467,-76255,-45961,-4241,-3788,-2405,-7145,-5154,-1028,difficult
494902,79351,20756,11809,13257,20101,19021,11419,194532,26676,19677,27732,7813,22215,11996,-2656,-281411,-26027,-11968,28815,24056,40874,30554,-494,easy
723229,47241,26779,21886,15344,16871,10199,5036,-714388,-37975,-24645,-16764,-12265,-14026,-9177,-3909,-720256,-13952,-24717,-7617,-6306,-10149,-6841,-2443,difficult
301997,49149,11865,6168,3373,13732,4734,4586,-285476,-38505,-5357,-1092,97,-3513,12978,13842,256896,224513,37757,5908,11118,8571,23611,2256,easy
110342,31537,28281,40489,20168,20544,9755,6485,1687914,186424,17743,5003,11990,-3275,7604,-3163,-91059,-4709,-14448,-27842,-13916,-8230,-3773,-2983,difficult
