delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
726843,65446,5453,15353,11072,6862,3150,3408,-388057,25694,13327,-7746,-9112,-4772,-740,-1891,-433652,-33279,23335,9890,-6628,-2340,-1172,-1957,-294763,31024,16741,-5067,-4226,-1642,-1955,-653,-717821,-62790,-839,-10736,-9979,-1575,-89,-1625,easy
1053756,137609,193493,72428,64750,39281,15412,8456,-947936,-88545,-132445,-63834,-58406,-33570,-11911,-7336,96231,-116836,-181114,-67921,-57356,-37017,-12723,-6586,-526082,298953,-136240,-51090,-12296,-19659,-12028,-2197,-1021467,-87842,-172688,-68680,-61438,-34786,-11347,-7232,difficult
569862,145379,25990,19672,15963,12632,7880,5559,-494460,-119778,-25256,-16209,-12387,-8977,-4277,-4999,-508996,-121638,-22406,-10884,-12315,-6746,-4884,-4300,127313,259088,89068,10170,406,17446,-2474,3825,-511602,-117372,-24918,-10246,-10375,-5759,-5612,-4066,easy
1050996,223135,117977,130581,45403,21364,11219,19976,311869,-1500,-86742,-108920,-34302,-13778,-7374,-13483,-829054,-142473,-102782,-113713,-42130,-16172,-5822,-16934,230877,-144592,-34929,-104655,-19842,-14969,-5618,-18179,-775174,-169679,-116826,-124718,-41874,-14719,-6073,-16119,difficult
694714,167714,7335,24494,13199,18519,9230,10981,-491533,-38469,11565,-9834,3394,-15339,-4582,-4211,-541904,-146195,-2932,-22623,-10737,-10765,-4314,-4222,482713,-78153,11880,-21834,-7890,-4115,-1559,-4977,-25759,-137345,3106,-17488,-10160,-16037,-8385,-9381,easy
596897,43626,17490,14664,9333,13875,6545,3132,884233,53465,-4802,-4524,-4336,-7766,-4233,1658,-407376,-16045,-14967,-11416,-8157,-12897,-5631,-2671,300289,18424,-15592,-4970,-3384,-9160,-3156,-1130,1171076,48486,9744,691,-3574,-2879,-3707,-1772,difficult
840679,58200,48484,10577,4113,4364,2879,2764,-700807,70293,-41423,47,1311,13484,638,1629,-206610,11578,-47036,-4556,-903,4616,2808,-484,-718975,41016,-36558,3410,6226,37558,10849,16684,-104290,94488,-12469,13959,8181,12074,22493,13290,easy
796919,166793,37670,9747,7602,9302,4170,7315,2267660,721,21093,10730,13180,3345,3342,1759,-774455,-105924,-32076,-1725,-2191,-3570,-2515,-3663,-209010,71953,-3085,7188,9114,13951,4271,-2674,-764731,-152461,-35640,-5825,-5244,-7803,-3542,-6843,difficult
294770,151461,38772,21464,10247,15902,6126,6075,-211433,-148752,-38649,-21228,-9279,-13199,-4861,-5496,-280770,-135141,-36922,-13529,1776,-7244,1184,30088,-206083,-135743,-38135,-20780,-7080,-11408,-4460,-3604,-288537,-146511,-35671,-17580,-3196,-3066,7889,714,easy
569293,267849,30774,28516,17548,14677,9201,7564,879495,-54901,-11972,-9988,-10830,-6033,-6130,-4674,-273218,-209066,-18867,-21563,-13779,-9565,-5426,-5096,-478968,-207374,-14924,-21544,-13295,-7896,-6996,-5302,-480252,-259705,-25209,-25206,-15790,-12953,-8452,-6798,difficult
