delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
735894,112616,82174,56084,36793,53783,-560855,-55202,-70483,-39650,-33606,-42446,-10407,-22706,-73295,-39588,-16831,-28179,153494,9907,139003,-18089,146244,10119,550448,163901,32496,32613,-2812,212298,62,21499,16775,163075,14267,38298,easy
632245,31289,7466,9978,3015,8789,812148,241334,11321,13533,29520,49872,-415307,20041,11287,3756,3021,-3070,488904,390356,193723,28125,23997,105158,-1227455,904211,-221293,370315,-34,182436,-9777,24369,-26499,20976,-52942,108228,difficult
1265301,176951,58585,49125,50272,36669,-1065012,377358,332596,-28505,-32749,7400,-322166,258308,27786,-13117,3849,-7316,-37330,1440229,93369,176214,1767,36236,742846,284836,-119050,1181921,-304810,65583,15388,189331,36598,-2082,-14716,43552,easy
1432371,120739,55121,38631,26176,35478,-1106658,-68037,-48054,-35929,-23188,-27502,-1156528,-35011,7936,-1174,-9959,-7600,520634,1162260,258547,16180,4828,73458,-49870,1677162,33026,1197271,55990,250611,34755,17354,13229,14787,19902,81058,difficult
1759670,198709,65720,100122,25468,60225,-800683,-39096,-22220,-91134,27298,-34884,-1612979,-131284,-44937,-91521,-14477,-38822,-1198786,-167710,-49194,-93092,-20448,-52930,-812296,414193,-92188,-36426,-22717,-4257,-387,-1571,-41775,-5971,-3938,-14108,easy
426095,120331,19004,18326,11192,15620,864725,197570,147801,26995,6763,45576,-393538,-93441,-13537,-13893,-8565,-11177,416179,-36470,-12193,5686,-5066,3690,-1258263,809717,-291011,56971,-161338,1344,-40888,19579,-15328,3499,-56753,14867,difficult
887939,90109,27686,24945,43849,31783,-303642,-56556,-12381,-15700,-39648,-21688,-809519,-75466,-18796,-22951,-40009,-23547,-74753,-80464,-16326,-19410,-40710,-22073,-505877,734766,-18910,-4998,-6415,2470,-7251,3541,-361,-701,-1859,1474,easy
975393,226704,73525,81760,43360,26266,-307391,-75489,-57662,-75970,-30573,12057,-606979,-123278,-57153,-77703,-39947,-18405,-568010,989,2327,-4249,-21081,8417,-299588,38969,-47789,124267,509,59480,-1733,73454,-9374,18866,-30462,26822,difficult
454521,39505,12770,8850,6299,15356,1044218,37097,17076,15636,15990,12205,-341275,71259,-4576,15659,6644,-6935,708083,149566,-1585,11285,17462,6706,-1385493,1049358,34162,78307,-21652,2991,23,-4374,-9346,10818,-19140,13641,easy
742079,737640,151667,75252,79993,178245,-348310,-570984,-73405,-27630,-56312,-128312,-361792,-620825,-80136,-51266,-52262,-154546,270108,-433526,-73230,-34126,-41007,-149519,-13482,631900,-49841,187299,-6731,6906,-23636,17140,4050,11255,-26234,5027,difficult
