delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
735894,112616,82174,56084,36793,53783,47399,30861,-10407,-22706,-73295,-39588,-16831,-28179,-35293,-17500,153494,9907,139003,-18089,146244,10119,35710,15400,1063431,549624,86459,-37256,136840,67806,-213,33935,easy
632245,31289,7466,9978,3015,8789,7451,4932,-415307,20041,11287,3756,3021,-3070,1925,2170,488904,390356,193723,28125,23997,105158,23054,26865,161890,47011,54859,13728,424,29258,6930,7481,difficult
1265301,176951,58585,49125,50272,36669,47069,15315,-322166,258308,27786,-13117,3849,-7316,16392,29826,-37330,1440229,93369,176214,1767,36236,108748,70036,120447,10482,50314,26231,-20512,132652,-18882,888,easy
1432371,120739,55121,38631,26176,35478,70714,32843,-1156528,-35011,7936,-1174,-9959,-7600,-40589,-9898,520634,1162260,258547,16180,4828,73458,-23898,49256,475499,-51320,43658,-26647,16089,5393,-39121,123,difficult
1759670,198709,65720,100122,25468,60225,30336,42206,-1612979,-131284,-44937,-91521,-14477,-38822,-19469,-37580,-1198786,-167710,-49194,-93092,-20448,-52930,-16595,-32136,-123446,-27670,-18258,-64757,-11300,-38254,-14100,-30522,easy
426095,120331,19004,18326,11192,15620,21868,9179,-393538,-93441,-13537,-13893,-8565,-11177,-15426,-5887,416179,-36470,-12193,5686,-5066,3690,-4843,46,1574045,357059,11030,27581,11293,13243,38454,39353,difficult
887939,90109,27686,24945,43849,31783,21818,18299,-809519,-75466,-18796,-22951,-40009,-23547,-12998,-14889,-74753,-80464,-16326,-19410,-40710,-22073,-16733,-14337,-686475,75473,70363,-19750,-37377,11796,3104,11282,easy
975393,226704,73525,81760,43360,26266,15116,14309,-606979,-123278,-57153,-77703,-39947,-18405,-12343,-11167,-568010,989,2327,-4249,-21081,8417,7437,-2182,480510,237272,121799,41956,-8829,50029,42655,60614,difficult
454521,39505,12770,8850,6299,15356,10836,5456,-341275,71259,-4576,15659,6644,-6935,9091,10245,708083,149566,-1585,11285,17462,6706,3958,13666,989695,9037,12394,-2069,7683,-5569,7117,3406,easy
742079,737640,151667,75252,79993,178245,108463,58210,-361792,-620825,-80136,-51266,-52262,-154546,-81551,-9999,270108,-433526,-73230,-34126,-41007,-149519,-87176,-42963,-131878,-705118,-134134,-61805,-75855,-163210,-105388,-51932,difficult
626465,264902,9629,30737,30747,32386,42899,39147,519517,31483,16535,10312,-15016,7610,-15779,-32048,-602885,-261906,-8133,-28772,-24141,-16116,-18479,-34028,-65786,-255474,-3837,-5567,-18850,-12647,-34504,-21380,easy
1472866,338520,22206,50235,75977,90293,85935,48711,-1328450,-279050,-6894,-46291,-72770,-81528,-79299,-46572,-1119203,-277637,-20137,-45431,-73935,-77358,-78629,-46370,-192871,-326090,-10634,-26626,-74180,-82748,-73071,-45698,difficult
964408,158962,37987,25690,22909,57111,21451,15369,1071713,548737,84881,140082,164372,24026,61448,67168,641283,-55658,-27884,-14251,-14086,-28903,27996,-2753,-596675,4302,-20442,-3358,2476,-29512,3355,1363,easy
1161605,345647,79471,59193,35767,49193,28882,25761,133061,25624,29537,-19872,-24954,17256,34186,54838,-848945,-125059,-45192,-48560,-23821,-33663,-213,-12793,-432956,-288031,-66464,-17582,-19549,-14713,-9835,-15692,difficult
1431370,247841,232183,91926,58141,153175,64924,70046,495274,-178092,-179897,-71392,-20654,-132980,-43081,-26039,-1051207,-230613,-230332,-89188,-55442,-148954,-61857,-68605,299534,32933,-143644,-47108,-12361,-74646,31861,17372,easy
331607,105296,7477,23226,44591,21290,11607,8810,598106,48522,91730,30857,-30683,-5512,30258,3570,1673626,275523,46076,92225,-20051,-548,9812,22887,296278,237260,14842,32234,37932,53850,63346,15118,difficult
880253,129567,34229,27508,16303,22021,67442,20575,-635770,-110387,-28168,-17205,-9744,-16940,-56394,-14646,410547,2523215,22815,39190,54758,237271,48338,38328,210809,65351,-29395,31123,-10364,-10224,-7033,-4474,easy
560084,63388,41050,12387,7839,11409,6991,10793,-178140,101991,-31770,-5634,2919,3027,2220,-136,1361694,666972,122702,46134,55862,123162,43646,12050,-469127,-25051,-32932,-7845,-3213,-3868,-2298,-6850,difficult
1361352,246952,64568,88222,67547,77504,175766,70510,-203744,-185002,30521,-77702,-44296,-61252,-161108,-61827,-979634,-186556,-56813,-80096,-53272,-53291,-145741,-57848,-1005413,-189004,-58562,-81688,-63456,-69474,-165302,-64503,easy
1295890,321536,40687,30135,24455,52176,50451,41292,-61973,-105459,29547,-1181,-13943,-23387,-37983,-33328,332013,63744,-14214,-18975,-14831,61842,24386,7214,-1096736,-284626,-7235,-24645,-22541,-47059,-44203,-35443,difficult
912135,506358,87561,114057,52677,66306,186385,50199,-749908,-446695,-83074,-109407,-50917,-55358,-180335,-47774,-715800,-395880,-41389,-100402,-35744,-36298,-171775,-41669,-853407,-484543,-77056,-105309,-46681,-52131,-180007,-47309,easy
408545,45256,8358,7888,6602,7287,14436,6549,791456,373280,32362,17757,6891,38355,20055,9896,-311259,93053,34906,22529,6803,22968,10086,2371,122510,128610,37013,868,17904,30820,3501,25679,difficult
878384,295541,184756,21244,14502,89658,36633,42652,-443318,-231933,-172634,-10052,22400,-74798,-11010,-26769,-555264,-215732,-175944,-17823,-10461,-65363,-16835,-27969,1781540,209666,-159611,135286,135635,64325,231562,68317,easy
828568,164549,105111,75147,27185,31000,48347,70095,-442537,-65482,-66917,-70119,-24040,-21808,-43608,-65311,764333,-64875,48336,-39847,1593,22051,-16219,-42800,698559,-10264,-10538,-64650,-1427,23843,-20099,-48016,difficult
1540203,164599,71627,24213,17140,37484,35924,14533,-436679,-22125,-62019,9293,-4728,-12083,-23271,5239,-1460975,-119365,-53171,3619,-9870,20504,47597,18251,-1004945,408481,11034,6548,-5740,-10789,-5186,21652,easy
988852,260759,42931,21125,36310,38134,22383,37265,455112,-56780,248777,2510,7742,44314,60072,7405,-656160,-216388,29253,-10962,-14586,-24517,-4650,-21208,-242592,-207060,-2423,13538,-22809,-9965,44714,-17876,difficult
929050,325364,142882,55260,30425,51012,66537,55336,669917,404501,-72105,55456,117209,89850,91365,29016,-792746,-220046,-134659,-54510,-27377,-40776,-40518,-45993,1349060,-34742,-98442,-21434,10476,-25076,-28504,-35654,easy
657826,52655,21807,9422,6876,9259,5264,3101,-407011,120885,-12577,28943,-131,1768,15500,9192,-303171,-10949,-19339,-3476,13430,69017,86101,8885,899939,112107,15408,556,-2760,13047,4470,4495,difficult
