delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
358051,38607,13033,3098,1544,2078,-218259,140084,-2333,10570,4553,4584,-169097,-15062,-5328,4753,-270,511,-350742,-32156,-12151,-76,386,2586,49162,-181645,-155146,-17094,-2995,-6823,-5817,-4829,-4823,656,-4073,2075,easy
8072,5250,9800,30639,6111,7307,3792,-290,-8942,7064,-1543,-2249,1723,5682,2123,19069,-1598,5158,15530,44322,5631,11765,-4471,9530,-2069,13807,5972,38640,11065,3508,12005,-7304,-55,-2873,7407,4372,difficult
63724,7382,4668,27736,3442,7680,-50705,1972,4921,93835,953,-3667,-53359,6701,-1178,-4804,6678,742,-55823,-1635,-3105,39668,6112,277,-2654,-2464,4729,-8336,-6099,-1927,-98639,44472,5725,-566,4409,-465,easy
98602,50076,46058,17225,5451,8299,-92151,-31770,-33825,29035,-1860,-1969,-95859,-37676,-29345,7342,-927,3830,-89506,-29139,-42866,42964,1733,2178,-3708,6353,-5906,8537,4480,-13521,-21693,35622,933,2660,5799,-1652,difficult
130962,57309,2758,3026,2662,1135,289734,14191,983,2295,-255,1860,-124725,-48359,-1971,-1755,-189,-33,-95349,-36798,-1465,-1782,-1874,-449,-414459,29376,-62550,11561,-2954,506,-4050,-27,66,-1685,-1893,-416,easy
365665,53753,10004,7869,4769,5608,-360897,-41042,-674,43394,-2063,2372,-363181,-43688,20538,71034,-2296,674,-362913,-43272,1791,36531,-133,2704,-2284,268,-2646,416,21212,-18747,27640,-34503,-233,2163,-1698,2030,difficult
145706,10668,1956,2166,1591,940,436301,39289,838,1799,21,1536,-128954,6811,8749,6270,921,1755,-6886,8817,-138,-466,421,809,-565255,122068,-32478,2006,7911,-8887,4471,-6736,900,-500,219,-946,easy
737163,123390,39773,16928,4653,15046,-672098,-81625,-38511,-11041,-3572,-12581,-481463,-109245,-34663,-14753,-1366,-12924,-722289,-109229,-36689,-14116,-4171,-13284,190635,-240826,-27620,16,3848,-2026,-3712,637,2206,-2805,-343,-360,difficult
180784,56769,5869,3581,2132,954,-135126,-37296,6527,-2298,-427,-347,90909,-42911,1298,-52,-410,352,-113686,10640,-4493,1437,2488,4643,226035,-204595,-5615,53551,-5229,-5791,2246,1489,17,2898,699,4291,easy
283665,52356,16046,34177,14254,14217,-269673,-44823,-13678,-28448,-7688,-10326,-281786,-48564,-1855,-12208,-473,-8126,-261096,-46485,-15038,4534,-8295,-9241,-12113,20690,-3741,2079,11823,-13183,16240,16742,7215,-7822,2200,-1115,difficult
80616,17798,7469,30427,3360,3214,-76624,-3648,2855,17160,1138,2096,-75193,-6814,263,29810,5159,8950,-67306,2481,10092,5651,18822,12233,1431,7887,-3166,9295,-2592,9829,12650,-24159,4021,13663,6854,3283,easy
114096,21209,7010,40176,6259,10186,-109349,-12873,37667,37079,-2451,-1609,-105570,-15387,-5482,-1545,3306,-4044,-110556,-9286,-560,3853,4159,-2578,3779,-4986,-2514,6101,-43149,4922,-38624,5398,5757,853,-2435,1466,difficult
11851,10205,14017,46068,4889,8342,4735,5510,-12576,16629,-2086,-2318,-5173,3941,35144,72880,-1175,4656,-8488,-5980,-11103,-27970,8860,441,-9908,-3315,-1569,-9921,47720,-46247,56251,-100850,911,10035,6974,-4215,easy
50659,20278,7253,19820,11245,7115,-42144,-17507,2188,-7213,-6412,3743,-44543,-8368,4767,60099,-8384,2453,-44769,-8549,-3989,6154,-2508,9105,-2399,-226,9139,-181,2579,-8756,67312,-53945,-1972,5876,-1290,6652,difficult
335576,51530,8003,9483,4430,6618,-327715,-45697,-6710,-8027,-3897,-5287,-328884,-45977,-4669,-6672,-2623,3488,-220112,-34269,-6112,-7358,-3886,-6088,-1169,108772,-280,11708,2041,-1443,1355,-686,1274,-1263,8775,-9576,easy
266908,54014,9839,7352,6155,6438,-103325,89603,1783,1491,-4513,1276,-262282,-51586,12455,9153,4602,-526,-176871,-38250,-9099,7054,-3899,-4440,-158957,85411,-141189,13336,10672,-21554,7662,-2099,9115,-8501,-1802,-3914,difficult
540517,69867,16505,8063,12526,9973,-483132,-48194,-15111,-6259,-10988,-8201,341813,-16061,5333,5517,3573,-4476,-521559,-26716,-10080,-6262,-7784,5551,824945,-863372,32133,-10655,20444,-15413,11776,-11779,14561,-11357,3725,10027,easy
627855,78586,8949,4408,2914,4289,-576867,-25260,-6877,-2318,-1492,-1665,-624336,-77952,-8845,-3382,-2165,-1279,-626014,-70126,-6804,-3067,1737,4498,-47469,-1678,-52692,7826,-1968,2041,-1064,315,-673,3902,386,5777,difficult
539680,39243,3808,13035,9362,7418,-399097,106450,4365,-5767,-5509,-4163,-357673,14684,9099,-10685,-7948,-5037,-476332,34542,32444,-3539,-3121,3602,41424,-118659,-91766,19858,4734,23345,-4918,7146,-2439,4827,-874,8639,easy
946397,52636,9435,43714,17543,14338,-943250,-45313,-6783,-16439,-11928,-7293,-940283,-43405,-6039,-25736,-14170,-151,-945156,-46962,-3524,17722,-12971,-3876,2967,-4873,1908,-3557,744,2515,-9297,43458,-2242,1199,7142,-3725,difficult
223515,60998,7691,10789,10721,5080,-3043,214314,3748,4936,-2918,1023,-208966,-50184,-5906,-9824,-10058,-3454,-214058,-56251,-6523,-9697,-8179,532,-205923,-5092,-264498,-6067,-9654,-617,-14760,127,-7140,1879,-4477,3986,easy
