delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
426505,24911,6969,3107,3846,2337,2444,1541,240358,110359,64163,8139,9154,5728,4218,2248,52579,21857,53120,12730,13377,7796,3794,2241,easy
257891,55624,14396,14931,10826,19947,10964,8290,-236504,-15737,-3522,-5625,-4029,-10611,-5287,-1148,2057251,24471,-2299,-10163,5174,-17213,-5647,-3359,difficult
154242,48110,11995,8496,10150,14275,4755,3949,-150601,-45278,-10863,-7543,-8610,-12770,-3675,-1883,-145795,-41479,-11101,-5386,-1331,-3096,-1664,-1651,easy
147416,27334,2348,7715,2707,4704,3356,1489,32777,9155,6855,12349,1855,-1186,-1989,-790,22004,10880,7342,-758,5658,4800,-1230,-44,difficult
558457,44845,39182,11680,10682,7719,5351,2576,-431757,81121,-37169,-4496,-1721,-4373,-4682,-1543,695815,96456,29579,19447,23054,6249,-1750,-881,easy
404240,51459,28113,11116,10328,12715,6719,5280,-392338,-29048,-20450,-5270,-5304,-10290,-3949,-3478,-386427,-41134,-19261,-1130,2492,-4142,2039,3032,difficult
250270,23327,4444,8069,7426,5457,10568,4495,-176482,33866,1079,-7312,-4044,-4026,-9531,-3027,-248474,-21824,-4064,-7211,-6093,-3269,-10031,-3148,easy
502948,84188,11077,22990,9315,8221,7944,6161,-481771,-53372,1335,-7484,-1365,-1554,-2472,-2815,-412802,-68720,-7270,-19181,-7973,-5101,-6417,-4882,difficult
159023,13287,5148,4743,4224,3743,2606,1353,-58652,-5466,-4300,139,-2096,-755,-1783,203,14928,234,-1603,2882,-1732,9652,2119,2496,easy
52000,11155,5039,6566,10148,5014,5058,6179,399353,93502,2681,2162,15933,7631,4142,4174,-45558,-4190,-3415,-4382,12507,7597,2506,2116,difficult
41227,19291,4321,5929,3302,8091,5155,2969,68675,19792,4456,8629,4572,4981,831,5359,-28706,-6431,-2602,-4763,-1641,-5644,-3863,-1634,easy
654768,94844,31720,14832,9620,10146,6346,4251,-40966,-48584,-23503,3320,-1431,-3399,-1213,-2630,1104755,115571,50378,11036,11857,10690,3424,-1797,difficult
75714,45987,10172,6768,5129,8408,4042,4735,18161,-311,-7252,-1010,-1889,-5336,-436,-3161,-53474,-22585,-76,-4002,-1112,-4608,-3003,-2722,easy
49283,37754,12167,8943,2432,5270,1649,2165,-44584,-35697,-10571,-5819,5588,-4196,-1397,-1348,16825,-13080,-11399,-6133,-1869,-4140,-1348,-1960,difficult
517386,47780,19985,26015,26204,7945,5718,1984,-296170,599,-12858,-18562,-13279,-4688,-4568,-1197,-219864,76921,-18890,-18457,-22498,-4555,-2912,-773,easy
1304580,129563,23493,20074,18861,21625,9936,4292,-1119215,-105642,-16641,-11276,-6815,-19477,-8296,-3516,238993,-94274,-8075,-10129,-13397,-19044,-9225,-3617,difficult
320672,74816,10027,8485,8881,9738,5637,3918,-112264,-32393,-3739,-8252,-6803,-6531,-4723,-3166,-299832,-71141,-8254,-7821,-7671,-8856,-5221,-3707,easy
90360,29002,7342,5940,2694,2816,3245,1268,-55990,3700,-2860,-4380,-3,-501,-1393,-687,22698,71736,-2547,7,-78,929,-1732,-252,difficult
59063,26434,24064,7906,15311,15972,4718,4250,161863,1707,-4644,10989,4918,-4981,70,1106,-56860,-4522,-7785,-2360,-13459,-10436,-2359,-2298,easy
777068,233751,12993,18774,16920,26972,19757,11139,-769732,-228369,-5386,-3066,-6026,2435,-12628,-1559,-679451,-227105,-10481,-18454,-16598,-26211,-19241,-10416,difficult
1161760,88436,42008,15737,21155,18808,9606,5679,-278612,3919,-12306,7985,3308,-3567,-4413,-1188,-1137706,-60023,-38188,-6160,-16905,-15752,-5890,-4143,easy
29993,19595,3079,13540,6673,5084,5736,5621,20062,-6119,1678,-9883,-2852,-2477,-4839,-997,-27072,-17405,-690,-11973,-3445,85,-4394,-3855,difficult
453658,67105,17925,20233,9490,13891,5826,3864,-247751,-36566,3648,-7221,-4979,2694,-2022,1020,-124559,-34403,-13800,-11235,2155,-8590,-1058,-1281,easy
20251,21552,5455,11663,8107,10034,7509,5843,1685950,126439,13771,23952,-1403,788,-1987,-1310,12508,-1885,436,-7453,-6919,-6844,-5707,-4801,difficult
369930,100929,18699,10268,3331,8074,3909,2569,24498,-47486,-10966,-8465,19371,2705,-266,3406,-267670,-66032,7555,12406,817,3841,1914,1620,easy
577205,29999,7775,15742,10707,5808,3752,1818,730397,63970,46182,18876,9186,15511,2014,3886,60936,18768,13407,7911,32,10164,1474,3260,difficult
457844,105885,37965,11053,18803,34243,6443,8167,-445140,-98736,-33337,8915,-2364,-22706,6661,-3285,-419448,-94228,-36249,-9475,-16052,-29765,-5171,-6608,easy
1274760,252868,58293,77970,32452,8646,3136,2986,-1072263,-241188,-57331,-76805,-31695,-6809,-2060,-1509,-1262456,-196082,-52882,-65597,-31272,4153,7818,4615,difficult
239423,60508,19074,11350,10836,7334,1897,1392,-219872,-47688,-10320,-7980,-7997,-3756,-1213,-772,-32620,3184,267,-2213,-7159,17239,3056,3292,easy
323692,37420,10698,11183,5987,5298,2818,1586,-203571,-12598,4459,-3036,-2513,-663,-1463,309,-85527,72136,-2944,-4264,13718,5388,1921,540,difficult
316851,48047,11438,14788,22571,3442,1413,891,246483,121714,5418,-5189,-14960,11544,660,1384,73566,43976,6370,-13009,-13523,791,1252,78,easy
297995,35007,8224,16145,8700,4648,3107,4317,-22339,-2380,-5378,-12402,-3805,-417,-2389,-3159,-277226,75893,876,-13850,1868,5901,939,-1773,difficult
168240,89132,9543,24999,17684,6215,3012,4184,862843,101621,8960,11199,41769,14579,10014,3361,35070,-70389,-7401,-21100,-13053,-957,-1813,-2721,easy
263733,27090,12183,4919,8620,19907,16506,10185,-226823,-14025,-6865,1825,-6014,-17545,-11873,-6855,49968,165483,57484,27977,3109,-5254,-3258,3173,difficult
1568685,55214,9428,15193,14969,11396,2345,2286,-1403701,23051,5332,-9732,-9572,-3700,897,-134,-1525554,-24455,-7533,-12765,-12001,-6822,-1813,-1715,easy
271452,32191,19313,14835,10203,9252,7595,5617,-245385,-23818,-10570,1089,-983,139,-3878,-1126,441858,27933,-15268,25818,10043,3437,-2470,778,difficult
30745,20936,4120,16730,13930,3902,2759,3666,11133,-12566,-930,-14911,-12870,-2943,-1566,-2351,253824,-1658,-303,-11792,-11288,-1308,-1231,-2635,easy
612113,248451,25947,19250,9485,16157,9918,4054,18246,-202736,-2968,4594,-1619,-9970,-7368,2801,-606261,-243034,-23618,-13123,-3255,-10801,-6196,1417,difficult
