delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
994670,85067,24092,18330,7491,5644,276685,151382,10562,46348,7591,17804,-81281,330345,185036,76537,25353,16685,1211086,60344,107907,53128,29657,25053,-357966,1292367,178963,-270001,174474,-77129,30189,-23409,17762,4304,-1119,8368,easy
1291178,258449,17094,65287,16585,17750,-138862,263739,154592,57865,189750,32080,-1209226,-213920,-4392,-43528,-9473,-13248,-33933,-140511,12898,15273,20266,-889,-1070364,1175293,-477659,73409,-158984,17290,-101393,58801,-199223,29739,-45328,12359,difficult
560526,31454,7478,3389,2181,1871,2011389,1123097,37127,36222,43565,40260,-458135,12763,769,12482,575,14,-330016,52516,-1620,-1518,-646,-509,-2469524,128119,-1110334,39753,-36358,-2389,-23740,-14000,-42990,-1221,-40246,-523,easy
334453,163832,11661,35768,21500,16900,1215369,69459,84740,-17102,3651,-137,1224189,509134,101604,19514,-633,796,-172082,-126160,-698,-19667,1625,-12711,8820,-1396271,439675,-635294,16864,-102302,36616,-39181,-4284,2258,933,-13507,difficult
644996,103626,19129,19834,11607,7460,230439,-71837,24318,751,-4407,1948,398539,371043,63817,20533,5057,6058,-596621,-92846,-14629,-18749,-10953,-4808,168100,-995160,442880,-463889,39499,-78446,19782,-39282,9464,-16010,4110,-10866,easy
408646,95848,9136,18480,8169,5607,422473,142904,36534,85267,3373,33261,-5969,-62156,3810,3819,1399,3667,-378974,-75929,-5867,-16126,-5335,-4694,-428442,-373005,-205060,-13773,-32724,-9677,-81448,-19945,-1974,-6734,-29594,-8361,difficult
987236,252508,34629,21314,9519,10013,698520,-186079,-6894,-6626,-5641,-4463,-956586,-247406,-33049,-20160,-8449,-8955,-824018,-197396,-29928,-19627,-8586,-7536,-1655106,132568,-61327,50010,-26155,3121,-13534,533,-2808,-137,-4492,1419,easy
917831,105852,110643,79977,41771,24730,-703077,-35724,-102655,-64288,-37891,-21149,-725620,-89447,-107980,-76278,-40473,-22338,-795728,-62316,-105667,-75362,-26156,-22558,-22543,-70108,-53723,27131,-5325,2313,-11990,916,-2582,14317,-1189,-220,difficult
715830,66767,32333,22743,14292,7183,-188580,-65,-29184,-13981,-11453,-4370,863438,60999,-3432,2881,-2110,7734,963827,96059,45886,19257,-673,4026,1052018,100389,61064,35060,25752,49318,16862,16376,9343,1437,12104,-3708,easy
975498,255312,50279,36179,13937,18045,998066,-178558,14016,-14896,15938,8230,683263,-177654,-37407,-4852,-3487,-13855,42991,-45661,40541,-19632,16602,-5080,-314803,-640272,904,131993,-51423,77948,10044,-14780,-19425,20089,-22085,8775,difficult
885766,89685,14196,19553,19221,13294,-602002,-65628,-11720,-16894,-8446,-8939,353933,64647,56757,-3196,-12209,-2501,-476095,-71443,3493,-7492,-10976,-7421,955935,-830028,130275,-136090,68477,-53264,13698,-4296,-3763,1233,6438,-4920,easy
954185,589008,50808,133463,23332,23431,467928,-436694,39250,-65429,7456,-9270,-165007,-376970,-23906,-114753,-289,-7799,-283945,-548963,-36733,-126601,-20983,-18629,-632935,-118938,59724,-171993,-63156,-12827,-49324,-11848,-7745,-20694,1471,-10830,difficult
977969,204799,25690,37995,30085,31453,-696378,-153494,-12362,-16439,-24221,-24237,299476,-92232,-3020,12236,59995,-10656,-559454,-186825,-17271,-5496,-24637,-25788,995854,-858930,61262,-94593,9342,-14251,28675,-17732,84216,-84632,13581,-15132,easy
406339,73798,36532,44502,19102,12111,-84014,29571,23277,29985,18104,10942,-23787,43170,-11534,-6919,-14539,-3735,-83217,-5629,-27974,-39811,-12133,-7520,60227,-59430,13599,-48799,-34811,-16440,-36904,-32892,-32643,2406,-14677,-3785,difficult
636725,124016,51753,72923,30126,12789,386965,183531,-10676,-52011,6854,8628,1137581,20776,77332,-27164,-11797,-1241,-529505,-104867,-50478,-69482,-28025,-10404,750616,-1667086,-162755,-125643,88008,-127810,24847,-42318,-18651,-16228,-9869,-9163,easy
1125276,426498,107439,42379,19187,18712,612413,-124187,6355,54216,40974,49465,-54358,-317597,-48957,1130,-13602,-1792,-725599,-92374,-60261,-33539,-8308,4317,-666771,-671241,-193410,225223,-55312,-11304,-53086,-34669,-54576,5294,-51257,6109,difficult
1015541,288527,95459,88237,42767,13409,310708,-120958,-45858,-63022,-12930,-6562,763977,180669,-24801,-56732,23178,52056,-647654,-266508,-87402,-84835,-40191,-11923,453269,-1411631,301627,-447177,21057,-62601,6290,-28103,36108,-63369,58618,-63979,easy
761555,333573,32760,27968,15361,9766,-500733,-307720,-24643,-11633,-10243,-7064,1240768,84473,143152,124876,9587,35768,-182603,-273272,-21057,-20553,-11419,-5935,1741501,-1423371,392193,-357745,167795,-164209,136509,-145429,19830,-21006,42832,-41703,difficult
995890,85013,35203,17084,8189,9496,1006766,408912,256929,382333,71201,23240,-539881,-62561,-29309,-12594,-5903,-4856,512743,332882,-18054,-9319,5906,15647,-1546647,1052624,-471473,395443,-286238,11255,-394927,3275,-77104,11809,-28096,20503,easy
1080950,176577,13426,6471,6142,3629,-734142,-138643,-10031,1034,-1510,-678,-679125,-167749,9789,8432,-3712,-1836,-411651,-24225,111961,22056,8582,8635,55017,267474,-29106,143524,19820,102172,7398,13624,-2202,12294,-1158,10471,difficult
881333,77098,23743,27307,13698,11382,-277876,24860,-5836,-17328,-9174,-4535,743785,-26329,-11578,-23116,-10968,-6743,709567,-26698,1022,-11580,-3313,-2407,1021661,-34218,-51189,-369,-5742,12600,-5788,11536,-1794,7655,-2208,4336,easy
838456,216464,45711,55666,24792,14892,1455962,241364,110980,94295,-7194,23519,-483712,-89998,-20996,-43244,-13830,-8058,-302347,-125327,-17713,-38032,-9127,-9812,-1939674,181365,-331362,-35329,-131976,3283,-137539,5212,-6636,4703,-31577,-1754,difficult
993590,171596,63130,93386,54177,25330,-751725,-141595,-38150,-77390,-51214,-22297,-784029,-154683,-52994,-78381,-52122,-20183,998784,33275,-30448,-76649,-39622,-1080,-32304,1782813,-13088,187958,-14844,22546,-991,1732,-908,12500,2114,19103,easy
1351336,206127,25316,24690,30191,9430,161603,162363,102017,-1863,-16030,5510,-619297,-107589,5576,-10819,-10841,156,-1042537,162766,24962,4796,-13045,527,-780900,-423240,-269952,270355,-96441,19386,-8956,15615,5189,-2204,-5354,371,difficult
624464,425007,34076,32524,27418,13198,-415861,-388589,-28166,-30468,-22922,-10039,65052,909230,176516,4385,4193,37566,568828,-345515,-22826,7073,-22569,-5550,480913,503776,1297819,-1254745,204682,-199342,34853,2688,27115,-26762,47605,-43116,easy
