delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
13797,35288,10269,8581,19567,29088,9113,14172,114871,6103,8018,31771,-5090,43689,26278,6084,421749,228728,6956,37745,-11599,5087,64661,-2070,easy
341239,85492,18365,13547,20349,28096,17251,15389,737013,533467,5519,2546,-10261,60636,38748,1859,93493,3816,16473,-514,1759,18744,31696,3044,difficult
790286,73746,32217,33214,19127,31775,16330,9968,-644510,-39169,-25616,-31919,-8799,-27825,-15003,-9295,-779812,-64086,-25451,-23500,-11580,-26213,-13348,-8837,easy
1668605,129083,57152,43436,32534,49472,49644,25830,7956,25170,-29250,-41259,-26638,-37804,-46667,-23803,-1421917,-103807,-48098,-37208,-4614,24476,-39431,-8146,difficult
273135,102639,14722,13286,6097,19264,19447,7589,-243096,-57509,59,3040,18561,4436,9265,5888,-173221,-87656,-13523,-11598,-5386,-16949,-17582,-6972,easy
221390,29762,7654,2620,6374,11671,7977,3512,123298,31145,-3945,6044,8522,27378,6391,11240,-156021,43726,8865,-1027,4193,-8756,-7424,-2653,difficult
22210,17039,15750,4447,7890,13293,6437,5106,70074,-4539,-7284,5253,354,9997,17223,4806,886,-14317,-13890,-3313,-6877,568,-4607,-3264,easy
540351,62893,13385,12757,7127,14767,4970,6567,-205564,49675,3183,-677,10516,6061,3137,-2407,-359427,-49632,-11901,-10266,-3539,-4460,-2867,-2781,difficult
108527,30978,5559,7349,8069,5596,2241,940,53611,37279,12985,9000,25203,9080,3545,2279,-28527,-8942,2493,-1871,-6925,-4793,-1441,-574,easy
82073,16491,6915,7664,10158,15369,14317,8550,-55035,-5185,-4359,-6282,-9046,-14235,-13221,-7830,-9481,-9101,-5282,-7014,-8247,-9087,-10942,-6252,difficult
292255,79008,1693,14058,18453,4526,2886,1669,-163219,-52720,-568,-7778,-15928,-724,-1922,-1281,518138,77641,82315,35677,-5237,7978,13356,1054,easy
123889,38005,11003,11874,10537,21667,13174,9747,51714,33477,9319,-8221,-5804,-8589,-9880,-8126,1022929,7451,21362,-5502,-5420,-1958,-9148,-5484,difficult
487220,165197,31871,25389,13653,30696,21472,17179,-107046,-74746,-7294,-22382,-9796,-18441,-15322,-15035,-189873,191442,-13033,-3449,-1946,-14780,-17182,-13894,easy
38835,23526,3545,7641,10210,28602,14785,11065,-15440,-19335,-702,740,-1223,-4297,-5238,719,-31247,-17048,923,2804,865,18520,-2012,5111,difficult
107300,13018,4524,4152,4341,8351,5431,2874,-45478,10115,1685,-514,-854,-6889,-4522,-2007,351513,-1162,1181,-1860,2477,-2708,-2959,-1272,easy
14999,12322,3207,7758,12818,23416,16281,7511,55903,5714,-1442,-5519,-9899,-15306,-13694,-6247,-2859,-2971,-205,-5173,-1156,-7279,-9524,-3972,difficult
