delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
62987,12164,4075,11205,5088,5372,2543,4896,-37591,23190,30129,-2375,4180,12951,507,-2299,-53706,6682,794,-3610,720,1843,1717,1534,5260,252,-850,-4279,-3791,-1225,-1129,-4314,7318,-9084,3030,6105,-2884,7604,1870,-1449,-54508,-7567,6634,-7960,-4205,-4423,-933,-4509,easy
165923,42645,14137,7351,12689,19804,5272,4757,-157153,-32905,-11035,714,-5982,-5483,9711,3917,-31376,-30925,-9810,-6422,-10823,-18763,-4408,-4473,-146703,-18304,621,19813,2136,-1177,3773,10416,-163720,-25479,-10768,-344,16567,-3978,-2233,5822,-139505,-22800,-10918,464,-4847,-5397,5337,-2130,difficult
58405,31529,6160,21493,8619,7954,3663,3007,71160,21030,-5082,-19991,-6707,-5594,-1265,-1952,1151958,45025,2954,5622,7180,4028,223,-1374,-46489,-6049,-675,-20198,-1185,-4601,-2829,-2177,-53218,-29024,-5199,-18334,-7689,-6045,-3054,-901,305271,-14041,25420,-14257,-6534,-2607,-2633,-1838,easy
68918,12803,3857,5590,6104,8469,5198,2756,114719,52527,2679,6704,-2949,-4417,-3551,-1736,6973,53025,20093,-369,12658,317,7536,1662,-44224,-2169,569,4485,298,2620,-2377,8916,-29901,22902,12181,13585,-853,7035,6861,1591,-22999,-3938,6347,6137,3681,12889,3293,1304,difficult
37710,28219,6216,2294,10633,5082,2077,1772,-6799,-12338,-3441,131,-7053,-1615,233,-35,-20317,-23778,20024,11748,-5391,16452,3209,4389,-17579,-19569,-1588,7864,4670,4938,5844,565,-3152,21928,4206,1122,-3574,4186,808,1234,153217,9725,2396,-156,-6837,-2871,-749,-1495,easy
360268,44134,7590,11348,5641,9231,3904,3123,-252709,-20951,-5488,-8516,-2216,-6364,-1974,-1417,-335597,-28724,-3322,3111,499,-124,1693,2019,-353178,-40618,-652,-2533,1418,4832,4135,869,-352980,-33339,-3277,-4243,5167,-857,-37,3443,-173872,10001,-2187,-7042,-3169,-5888,-3251,-2241,difficult
28612,12211,5608,4334,4635,18260,4583,2180,-22188,-8472,-3077,1629,6833,-4996,262,321,3159,111677,1425,12511,24682,-7807,102,3308,-20358,-9459,-4503,-2945,-1326,-16375,-3448,63,166945,17289,1029,2121,-1733,-12261,-3699,-835,-11800,13486,5961,2657,5911,-11104,1909,2294,easy
204143,37416,9249,4658,10344,9556,2636,1269,-37466,49667,-4061,1906,-5811,-7845,-999,133,-73099,-27033,-3608,-1297,-6446,-8382,-2328,-975,-143196,993,7837,4927,-6126,-2827,-210,3241,-193747,-26705,-4317,-489,-8763,-8194,-1366,549,-187178,-32163,-1469,7149,-59,-3881,1841,1113,difficult
15180,19174,10174,5964,3126,4012,3230,2541,-2170,-6513,-7922,9160,5896,14417,4039,1813,490,-10065,3990,9418,8540,17619,619,5054,30463,-7765,-7893,-3098,858,-917,-2640,-1764,-11559,-5839,-6324,-1466,3301,11070,6606,2465,3716,-16693,-8490,-2586,4267,9912,5700,760,easy
251516,31232,7565,12828,23100,11879,5833,2510,-209663,66651,36299,-9684,-17899,-7304,-4186,-484,853784,-6583,16909,-4930,-16502,-2542,-4381,-186,-239495,-14920,-3002,-10221,28022,-3412,-3315,442,-237832,-7319,761,8372,-4310,-7630,-2822,1708,-85123,-1339,-3192,-10014,-20802,-9316,-4610,-1665,difficult
43846,25201,3500,2108,2670,1482,1138,516,-22797,-19579,-2024,605,-829,-476,204,114,-934,-4745,1907,6643,2488,5994,1021,1313,-32959,-9419,-2710,4995,2712,5253,3216,989,-11642,-14429,5084,5245,-959,-266,-536,119,272876,256920,41571,30180,18304,6785,9381,2669,easy
112790,14504,8353,12751,8429,11707,2770,3320,-47326,46248,-7308,-9560,-6157,-4747,2302,-1696,776790,315890,8773,8044,28924,7823,9071,267,-111391,-9843,-7088,-11361,-7689,-10714,-1389,-443,-59380,-5289,-7208,-8220,-4049,-5573,-1429,-1355,95767,57598,-4523,-6653,-5217,-8021,-1802,-2354,difficult
193122,45269,17232,6595,4263,3919,1217,1032,-186399,-38453,-10359,2957,-1252,1276,759,0,-189088,-37642,-12701,-2498,6254,4922,1325,-173,-186202,-40133,-6266,-3956,4659,781,275,917,-188823,-36772,-16384,-5188,142,512,482,-134,-189519,-34650,-12892,12022,-1760,7625,283,1775,easy
91408,44179,2815,3055,5538,3745,1666,1301,-62387,-37631,848,-431,-4101,-1106,-231,-50,133162,170687,15188,22485,11945,7041,6190,3551,89385,-30763,2343,1493,-2956,-1122,-616,1611,-88208,-41510,-1839,53,-2883,-113,-103,-608,9641,92559,9390,13174,-2025,3366,1615,547,difficult
12872,15145,7498,2478,7205,6687,1522,1768,2044,-8038,-2066,320,-2631,-1106,-292,1666,-9439,-8582,-917,4683,594,-2626,-411,153,-11089,-9511,-6760,2355,-4174,-4077,-787,-897,-6084,-8710,-2734,13819,-418,1596,-352,904,9131,-5277,-6583,-1129,-6693,-5671,-1152,-1111,easy
11212,16011,9363,35711,9847,11292,6137,5182,91164,38326,13284,13068,4819,8207,7512,-842,142664,17465,14610,-12728,1415,-53,-352,-1120,1122,-14809,-8763,-35539,-9237,-9438,-4997,-4656,78839,-5990,-6156,-32527,-8040,-621,-106,-1449,149998,-9648,-4565,-31224,-3900,-9721,-5417,-4212,difficult
54818,16440,5038,4522,2611,1973,1085,748,101476,-5264,-2793,-2612,-1052,-1586,-825,-534,11107,7475,4796,-2096,-529,-650,-482,-505,-44568,-12261,11664,-2095,2012,3177,206,1073,-41120,-11143,3030,9123,96,1659,3021,3443,169216,12667,-3036,-2468,942,-641,-349,639,easy
334536,148621,24207,31785,15724,9499,5820,3918,364884,-60946,-14554,28658,1302,4521,-3058,3938,406768,98781,-14241,-2950,17737,-3249,2664,5088,-320722,-141208,-22727,-22751,9086,14605,-2951,-1223,-291695,-137586,-13287,-10515,-9970,-1134,-936,-2377,-168261,-145900,-20524,-28384,-14308,-8620,-5542,-3691,difficult
46227,18221,6946,19463,13727,9459,6095,5412,-9998,-1863,2812,-3986,3256,4463,-3059,-2167,52389,45063,1964,-11148,-8866,3330,-637,1108,-7457,-16020,-2943,-3615,-8949,9189,5173,-942,-42653,-15702,-5133,-15024,-10131,-8187,-4464,-4757,-23894,13740,-1637,-5042,-1755,-3581,-2719,1781,easy
50271,11983,7622,12535,6359,5258,3215,2846,595459,177199,9544,-2459,-2895,4493,4359,-1356,19388,-3089,8081,4330,14746,5626,3219,-116,173692,13910,-3582,-10276,-2532,-3203,-1283,-1934,67280,35826,6584,-4721,-2803,3253,2267,1099,8845,30966,19653,-4843,-16,6677,2626,3057,difficult
92503,44884,5646,6858,2413,7908,2012,1194,25322,-20975,2124,-4061,-30,-5116,-1285,679,-39745,26557,10842,-1768,2602,6691,1650,5480,-87011,-41973,-989,302,-1168,-6313,-1295,-494,-73865,-35413,1971,34768,25206,-909,1883,1106,9569,-16382,10449,-4685,917,-5972,-1199,-508,easy
17715,8664,6082,15229,7108,13391,16772,4758,-15985,-7709,-4558,-13823,-6053,-10569,-15027,-2621,66878,4496,-5312,-598,-3428,-11318,-9606,-3376,-485,4836,17981,122539,2767,-2190,5173,5022,-16391,-7454,-1333,-11666,-5633,-11733,-14350,-3371,1200872,76001,6238,942,2248,-3219,-10295,-1103,difficult
13466,10404,13381,5717,8638,9659,3908,3012,21361,-4446,-12404,2001,-6568,-3666,-3133,-2538,800,26443,2604,-667,17304,-3632,-200,-1319,199392,58813,-6368,38232,-4799,-5642,-653,-88,58610,83194,-7822,-3540,2280,-8164,-3053,-2623,100951,7914,-9356,-4538,-7737,-6142,-3031,-2727,easy
