delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
550178,119026,21073,22937,15088,23720,-543430,-114700,-12231,-9353,1734,-1585,-482920,-73695,17678,-667,-5459,-19066,897893,-84773,-5703,-5202,468,-13622,-319553,-104160,-19247,388,-12304,-16740,60510,1380813,-1217446,41005,-11078,-19387,29909,-23381,-13544,8686,-4535,5590,-7193,5927,-12772,-17481,5444,-3118,easy
64627,29067,21273,5595,6049,19035,-53597,-9370,-20231,-1038,1541,27916,632823,6665,-910,25631,5257,-13144,290173,148781,23354,26168,11552,29874,-41818,-17971,-14318,3747,1918,977,686420,-342650,-331991,16035,142116,-166752,19321,24264,-37672,26669,537,-22421,3716,6295,-9634,-41060,43018,-28897,difficult
54624,19956,12470,6635,7042,13413,210974,-5809,2495,9545,858,-3098,608361,4070,-4328,-2487,183,-2432,789335,320468,53086,4326,21111,13793,439450,353704,46646,15410,31363,8626,397387,180974,-349885,9879,316398,33236,-6823,57414,-6440,-12032,6813,11084,-675,20928,10252,666,16225,-5167,easy
38255,38479,9104,6387,6429,18267,123042,-32245,-571,-1563,-3144,-11928,126460,-33552,-7822,-4937,-5150,-16942,-33936,-35501,-7460,569,-1254,-13243,-29669,-6861,14193,65938,29518,30477,3418,-160396,4267,-1307,-1949,28640,-7251,362,21653,-3374,5506,65369,-2006,3896,30772,-5014,3699,43720,difficult
800379,134800,26481,19006,30969,19723,-608882,-127444,-23487,-17667,-29268,-16128,-353250,-101340,-20124,19362,-6816,17845,-738565,-130211,-24328,-16933,-27232,-15517,-672597,-96910,-221,-8545,-23706,-11037,255632,-385315,65968,26104,-28871,33301,3363,-4204,24107,37029,-36295,8388,22452,-20416,3526,33973,-33362,4480,easy
833370,48478,31803,17818,6521,13180,-681049,22911,-18728,-15313,13905,-6728,-201313,104316,-6948,4370,-1164,32183,-824458,-38894,-28972,-15686,11363,5830,-817691,-41741,-28158,-13251,9628,26392,479736,-623145,6767,81405,-143210,-2847,11780,-22024,814,19683,-20056,2435,-15069,12527,-1735,38911,-26353,20562,difficult
1075393,48575,6272,23222,9908,22952,1686651,68746,66671,6751,5827,53979,-1072040,-44005,1296,-18645,-6228,17309,-993385,-15357,-884,-9489,2551,-12608,-1061408,-33129,-2201,-18688,-8662,-5906,-2758691,78655,-68023,-112751,28648,-17772,-65375,-2180,-1317,-25396,9156,-9199,-12055,8779,-11213,-36670,-29917,6702,easy
188829,130573,38984,16445,9926,25256,22876,-115700,-36757,-14183,-8355,-23023,-182328,-125404,-35880,-9132,-6405,86835,-186304,-122972,-36025,-10784,-2820,7503,285897,-108180,-31499,-4981,316,9904,-205204,-3976,472201,-9704,2432,14792,877,-145,4526,5051,-1652,5803,1950,3585,3136,109858,-79332,2401,difficult
263304,45371,14468,5378,2494,7796,1515373,100671,4398,5173,5166,4830,-250803,8893,13952,23372,9535,16831,-241091,3853,20267,17806,24812,25683,-191176,-8618,-12482,6294,497,-699,-1766176,9712,49915,-91778,-5040,-12471,9554,6315,-32749,18199,-5566,-11512,4369,15277,-24315,12001,8852,-26382,easy
212840,74074,7528,11511,13326,35104,-130258,-50498,-4680,-8774,-11899,-32871,-120646,19178,2603,8309,12320,-20612,-134172,-44337,-2005,-3998,11697,2180,474588,21326,67560,-1679,1181,-24677,9612,-13526,608760,69676,-63515,65663,7283,-4608,69565,17083,-12307,2319,24219,-623,-10516,12259,22792,-26857,difficult
1168005,57312,25077,18823,14561,15741,-638021,10353,-7871,21794,3572,22557,-629619,-17136,-14497,15963,-6688,-4901,-1132452,6951,43065,-4369,-1062,3216,620971,-6140,-23481,2089,-6714,-2027,8402,-502833,1753423,-27489,24087,-13091,-6626,57562,-66546,-5831,-20332,6458,-10260,5626,-5652,-27458,8117,-5243,easy
1308752,78771,20444,16167,10949,21244,-797282,144682,10006,25945,23298,68728,-1307189,-77878,-19645,-15314,-5212,-14962,-1214101,-28004,12620,-11553,-1208,17965,-1282772,-20962,42763,37484,19236,-6734,-509907,93088,-68671,-222560,49874,7042,-29651,32265,30143,-41259,3761,49037,-28510,4004,20444,-83690,32927,-24699,difficult
834993,146350,25975,19237,11185,29495,995026,20828,26491,31459,-4251,720,-808950,-123101,-22901,-14226,-3233,-20143,-685431,-86159,-18752,-5819,-2513,12345,1047341,-41829,1248,13318,55825,32134,-1803976,123519,1732772,-143929,36942,44330,-49392,4149,20000,-45685,8407,19137,1018,720,58338,-20863,32488,19789,easy
306388,42626,24618,9438,9651,19658,907494,92143,-12672,3650,17644,17251,-302630,-39716,-19996,-4372,-5496,-14229,-301105,-31775,-22576,-4429,296,-10033,-301171,-35949,-20008,-3303,6495,-6054,-1210124,1525,-66,-131859,7941,-4174,-7324,-2580,2568,-8022,-57,1126,-23140,5792,6199,-31480,4196,3979,difficult
727368,58491,12324,21644,9103,30594,785697,177142,2201,30919,20897,32053,-707176,-55923,-4226,-19627,-4209,-19784,-633397,-3209,6098,-17142,-2321,-26115,-715142,-36184,7267,-2952,-1978,-16474,-1492873,73779,-81745,-233065,52714,-32975,-6427,10324,1169,-50546,2485,14190,-25106,1888,343,-51837,-6331,9641,easy
413296,80955,28786,13551,5607,11677,-284459,-64609,-23363,-9872,-4087,-1026,-297656,-38304,-27817,-12323,2227,360,-306590,-62371,-15515,-6857,8447,-6671,375429,-8810,-25172,10800,1025,1459,-13197,-8934,682019,26305,-24067,53561,-4454,12302,-9657,-2451,5466,17657,6314,6220,-7422,1386,-7031,8130,difficult
