delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,state
550178,119026,21073,22937,15088,23720,-543430,-114700,-12231,-9353,1734,-1585,-482920,-73695,17678,-667,-5459,-19066,897893,-84773,-5703,-5202,468,-13622,-319553,-104160,-19247,388,-12304,-16740,-491136,-71412,-16473,-21355,-14143,-20348,60510,1380813,-1217446,-171583,41005,-11078,-19387,32748,29909,-23381,-13544,2774,8686,-4535,5590,-21743,-7193,5927,-12772,-1839,-17481,5444,-3118,-3608,easy
64627,29067,21273,5595,6049,19035,-53597,-9370,-20231,-1038,1541,27916,632823,6665,-910,25631,5257,-13144,290173,148781,23354,26168,11552,29874,-41818,-17971,-14318,3747,1918,977,280297,92361,-3657,5004,-3098,-7298,686420,-342650,-331991,322115,16035,142116,-166752,110332,19321,24264,-37672,10661,26669,537,-22421,1257,3716,6295,-9634,-5016,-41060,43018,-28897,-8275,difficult
54624,19956,12470,6635,7042,13413,210974,-5809,2495,9545,858,-3098,608361,4070,-4328,-2487,183,-2432,789335,320468,53086,4326,21111,13793,439450,353704,46646,15410,31363,8626,733594,173755,36965,-787,8543,27016,397387,180974,-349885,294144,9879,316398,33236,-179949,-6823,57414,-6440,-9681,-12032,6813,11084,-16197,-675,20928,10252,-22820,666,16225,-5167,18390,easy
38255,38479,9104,6387,6429,18267,123042,-32245,-571,-1563,-3144,-11928,126460,-33552,-7822,-4937,-5150,-16942,-33936,-35501,-7460,569,-1254,-13243,-29669,-6861,14193,65938,29518,30477,593439,23977,1195,2438,-3214,-12023,3418,-160396,4267,623108,-1307,-1949,28640,30838,-7251,362,21653,-12998,-3374,5506,65369,-63500,-2006,3896,30772,-32732,-5014,3699,43720,-42500,difficult
800379,134800,26481,19006,30969,19723,-608882,-127444,-23487,-17667,-29268,-16128,-353250,-101340,-20124,19362,-6816,17845,-738565,-130211,-24328,-16933,-27232,-15517,-672597,-96910,-221,-8545,-23706,-11037,171444,20635,32928,58741,-17173,19562,255632,-385315,65968,844041,26104,-28871,33301,117545,3363,-4204,24107,33149,37029,-36295,8388,67286,22452,-20416,3526,6533,33973,-33362,4480,30599,easy
833370,48478,31803,17818,6521,13180,-681049,22911,-18728,-15313,13905,-6728,-201313,104316,-6948,4370,-1164,32183,-824458,-38894,-28972,-15686,11363,5830,-817691,-41741,-28158,-13251,9628,26392,-759821,17897,-28305,-9366,4071,-5477,479736,-623145,6767,57870,81405,-143210,-2847,59638,11780,-22024,814,-147,19683,-20056,2435,3885,-15069,12527,-1735,-5557,38911,-26353,20562,-31869,difficult
1075393,48575,6272,23222,9908,22952,1686651,68746,66671,6751,5827,53979,-1072040,-44005,1296,-18645,-6228,17309,-993385,-15357,-884,-9489,2551,-12608,-1061408,-33129,-2201,-18688,-8662,-5906,-1011398,-44273,-6012,-22616,-8659,-20923,-2758691,78655,-68023,50010,-112751,28648,-17772,-11144,-65375,-2180,-1317,-3811,-25396,9156,-9199,-3928,-12055,8779,-11213,3,-36670,-29917,6702,-15017,easy
188829,130573,38984,16445,9926,25256,22876,-115700,-36757,-14183,-8355,-23023,-182328,-125404,-35880,-9132,-6405,86835,-186304,-122972,-36025,-10784,-2820,7503,285897,-108180,-31499,-4981,316,9904,-183441,-117129,-33857,7257,-2020,61328,-205204,-3976,472201,-469338,-9704,2432,14792,-8949,877,-145,4526,-2358,5051,-1652,5803,12238,1950,3585,3136,-2336,109858,-79332,2401,51424,difficult
263304,45371,14468,5378,2494,7796,1515373,100671,4398,5173,5166,4830,-250803,8893,13952,23372,9535,16831,-241091,3853,20267,17806,24812,25683,-191176,-8618,-12482,6294,497,-699,114345,4091,11344,19372,32028,15089,-1766176,9712,49915,305521,-91778,-5040,-12471,12709,9554,6315,-32749,23826,18199,-5566,-11512,13078,4369,15277,-24315,31531,12001,8852,-26382,15788,easy
212840,74074,7528,11511,13326,35104,-130258,-50498,-4680,-8774,-11899,-32871,-120646,19178,2603,8309,12320,-20612,-134172,-44337,-2005,-3998,11697,2180,474588,21326,67560,-1679,1181,-24677,576881,-43193,3040,-8355,-10383,-28598,9612,-13526,608760,102293,69676,-63515,65663,-64519,7283,-4608,69565,-64520,17083,-12307,2319,-6676,24219,-623,-10516,-11564,12259,22792,-26857,-3921,difficult
1168005,57312,25077,18823,14561,15741,-638021,10353,-7871,21794,3572,22557,-629619,-17136,-14497,15963,-6688,-4901,-1132452,6951,43065,-4369,-1062,3216,620971,-6140,-23481,2089,-6714,-2027,-890854,-27843,-12004,-9279,-11084,-10711,8402,-502833,1753423,-1511825,-27489,24087,-13091,-21703,-6626,57562,-66546,11477,-5831,-20332,6458,-11368,-10260,5626,-5652,-4370,-27458,8117,-5243,-8684,easy
1308752,78771,20444,16167,10949,21244,-797282,144682,10006,25945,23298,68728,-1307189,-77878,-19645,-15314,-5212,-14962,-1214101,-28004,12620,-11553,-1208,17965,-1282772,-20962,42763,37484,19236,-6734,-482854,179106,31521,47736,34037,56124,-509907,93088,-68671,799918,-222560,49874,7042,200068,-29651,32265,30143,-11242,-41259,3761,49037,10252,-28510,4004,20444,14801,-83690,32927,-24699,62858,difficult
834993,146350,25975,19237,11185,29495,995026,20828,26491,31459,-4251,720,-808950,-123101,-22901,-14226,-3233,-20143,-685431,-86159,-18752,-5819,-2513,12345,1047341,-41829,1248,13318,55825,32134,17954,-53633,-9505,-14605,-4089,-16038,-1803976,123519,1732772,-1029387,-143929,36942,44330,-11804,-49392,4149,20000,-10753,-45685,8407,19137,-27923,1018,720,58338,-59914,-20863,32488,19789,-48172,easy
306388,42626,24618,9438,9651,19658,907494,92143,-12672,3650,17644,17251,-302630,-39716,-19996,-4372,-5496,-14229,-301105,-31775,-22576,-4429,296,-10033,-301171,-35949,-20008,-3303,6495,-6054,-304895,-31383,-20617,-6015,152,-11025,-1210124,1525,-66,-3724,-131859,7941,-4174,4566,-7324,-2580,2568,-609,-8022,-57,1126,-2712,-23140,5792,6199,-6343,-31480,4196,3979,-4971,difficult
727368,58491,12324,21644,9103,30594,785697,177142,2201,30919,20897,32053,-707176,-55923,-4226,-19627,-4209,-19784,-633397,-3209,6098,-17142,-2321,-26115,-715142,-36184,7267,-2952,-1978,-16474,525007,-39847,-8899,-18219,-4328,-26653,-1492873,73779,-81745,1240149,-233065,52714,-32975,-3663,-6427,10324,1169,-16166,-50546,2485,14190,-15267,-25106,1888,343,-2350,-51837,-6331,9641,-10179,easy
413296,80955,28786,13551,5607,11677,-284459,-64609,-23363,-9872,-4087,-1026,-297656,-38304,-27817,-12323,2227,360,-306590,-62371,-15515,-6857,8447,-6671,375429,-8810,-25172,10800,1025,1459,-141708,-12245,-8917,-544,24737,60964,-13197,-8934,682019,-517137,26305,-24067,53561,-3435,-4454,12302,-9657,16255,-2451,5466,17657,-11344,6314,6220,-7422,23712,1386,-7031,8130,59505,difficult
219077,15790,8712,10792,15509,20321,-31978,20589,61321,22301,11090,43709,-203639,-5337,-4966,-3610,-146,8457,-203741,-5940,-2404,-6172,-10434,16206,292147,94305,-3224,-2975,-802,53707,-109424,21249,-5404,-6623,-14293,-17653,-171661,-102,495888,-401571,-25926,-603,100245,-73056,-66287,2562,-820,-2180,-25911,-2562,3197,-3648,-11236,-10288,9632,-13491,-35252,7749,37501,-71360,easy
847954,92388,11402,21619,3335,25277,-721738,-84774,-10083,-15142,-2287,-21998,-844257,-66551,-7695,-8726,13692,24311,-844317,-73768,-1842,-5053,3603,-3451,-787120,-57716,2930,-9996,12378,-4868,-758807,-86465,-11007,-20780,-1075,-23735,-122519,-60,57197,28313,18223,-7217,16052,-28749,2388,5853,4772,-13937,6416,3673,-4943,-10784,15979,-10089,8775,-13453,46309,-27762,-1417,-18867,difficult
718792,100426,21852,15324,9092,45313,543407,30153,22695,-13264,9968,-32760,448594,-57285,-3437,-4919,-2905,-31415,-607285,-90902,-20574,-14939,-8194,-41305,-636875,-75702,-17786,-10688,-3281,-37900,48774,28321,2151,379,-3014,-6808,-94813,-1055879,-29590,685649,-87438,-33617,15200,104023,-26132,-17137,2788,19937,8345,-10020,4251,11067,-12873,-5289,4913,267,1345,-9890,3405,31092,easy
231327,32488,6009,6773,3958,6328,484462,225194,74495,37807,39089,29604,28265,-21094,-3361,-5989,-2678,-1154,-156480,4333,-1028,-3920,-1154,2772,-29555,-16445,-2036,-3052,-446,5994,-221468,-13134,-1143,11382,10033,24905,-456197,-184745,126925,-191913,-246288,25427,-20778,3311,-77856,2333,-1008,893,-43796,2069,868,14434,-41767,1524,708,10479,-30758,3926,3222,18911,difficult
460382,48958,22749,21060,16536,32005,-402834,-17041,-14643,-19833,-9725,-23671,-443860,-37623,-18750,-3243,9077,-10903,-414488,-26748,-9002,12002,16713,-8963,-157143,10160,2401,-6896,-9181,-27608,-419427,-43003,-19923,-7076,-10162,-25530,-41026,29372,257345,-262284,-20582,10875,36908,-53163,-4107,9748,11403,-22324,16590,15245,-18898,-180,18802,7636,-25894,-981,12768,1940,-18645,2078,easy
780196,76074,20360,17974,7740,31441,-536452,23205,-860,473,4969,-20984,-28452,37301,-3951,4865,20605,9083,-729881,-56973,-2637,-5065,9559,-15184,-736866,-35121,-6719,7754,10744,-26319,-616031,136304,-6602,-10755,-2445,-22655,508000,-701429,-6985,120835,14096,-94274,21852,171425,-3091,1314,-4082,117,4392,-9930,12819,-18509,15636,-11046,1185,-13189,30067,-24267,-11135,3664,difficult
12886,16756,4942,3981,13086,20029,98365,249,-820,809,-10465,-1749,-6065,-1382,-3179,2859,-2023,9421,112138,2504,-2892,-2385,-11823,-9778,-10567,3363,6407,1222,-4990,1135,-4088,-13290,1120,-1320,-6133,-1051,-104430,118203,-122705,6479,-1631,3886,859,-16653,-2359,287,9299,-5287,2050,-5244,3607,-2542,8442,-9800,6833,-1143,11170,-19199,10913,-2186,easy
419995,63023,7981,8943,4414,6168,888937,350929,44351,-4007,45417,27300,-348191,-57969,4773,-994,-3348,2797,-415711,-45869,3744,1303,18680,35929,513627,72741,-6355,-5391,4255,26654,-336927,-55263,-4120,-8330,-1066,-895,-1237128,-67520,929338,-850554,-408898,12100,118610,-128004,-39578,-1029,-10099,2235,3013,2297,-6694,-2939,-48765,22028,-14425,-5321,-24503,33132,-9275,-27549,difficult
309590,39481,14379,13419,13049,15801,-43254,9931,-10813,-5978,-11073,-6844,-267931,-13385,248,-10113,-7512,-5298,93817,154452,-7168,13042,2380,12778,-130662,-30462,-13171,-11238,-11338,92,-18047,98431,19558,-9686,-548,14395,-224677,361748,-224479,112615,-23316,167837,-184914,128893,11061,-7416,-6003,32729,-4135,23155,-24280,1552,3561,9892,-13718,10790,1546,18076,-12686,14303,easy
160385,22975,7903,4218,6274,11325,-136613,-18927,-2493,13675,2106,33825,-137198,-21051,-5074,-2876,-2470,1937,1202022,282090,54375,12791,24718,46368,-36756,17617,33106,11414,1026,35716,-57730,-15404,-6595,998,-189,-5318,-585,1339220,-1238778,-20974,-2124,303141,-264473,-33021,-2581,59449,-21269,-39701,-16551,15667,-1377,-10416,-4576,27188,-23692,-1215,-31888,44431,-10652,-41034,difficult
169076,29766,7975,8327,12059,16703,-66889,-4616,10664,-16,-7881,-11411,1230712,112927,15112,18207,45273,8957,-161581,-7920,-3420,-5783,-6007,-861,-166177,-19849,4072,-3538,-9389,1474,-15659,50119,-1624,-6480,-5649,-9834,1297601,-1392293,-4596,150518,117543,-120847,-11929,69968,4448,-18532,7492,-5696,18223,-23990,2245,-2942,53154,-51280,-3382,3740,20368,-9818,2335,-11308,easy
107630,24202,7227,7504,14448,21984,-100226,-12371,-3064,2305,-6242,46709,-101016,-21900,-1253,7606,-9103,15079,-102541,-15684,171,10754,-5505,17952,1673678,147948,11788,8966,-6193,58399,-95649,-17941,-1254,-442,-1075,15587,-790,-1525,1776219,-1769327,-9529,6216,163632,-165889,1811,1424,11617,-13042,5301,3148,-1788,-9408,-2861,3598,-688,5118,-31630,2873,40447,-42812,difficult
879645,34081,7421,18852,8528,13007,-92685,234902,9219,1511,7164,73488,-228984,126085,73228,926,2745,29800,778157,121443,9247,2263,7164,34317,-876905,-30822,-2447,-10532,-699,-2153,28203,-11370,3417,-3172,929,-1234,-136299,1007141,-1655062,905108,-108817,-4642,-152265,19452,64009,-63981,-11694,5864,-585,1337,-12795,7360,-4419,4419,-7863,1628,-43688,4517,-36470,919,easy
208941,126941,37049,4167,5757,18928,1749984,6451,18698,79193,46014,53136,-163745,-92501,-34023,-3155,-4071,-16158,1608888,-77640,2969,37648,27391,30447,596249,166089,-3115,5841,5227,-3390,-57878,-112191,-28699,2101,5812,-4589,-1913729,1772633,-1012639,-654127,-98952,14861,243729,-278280,-52721,36992,-6084,-25584,-82348,40803,-31807,-3740,-50085,31462,-22164,585,-69294,46605,-33837,-1199,difficult
630361,42773,3293,7465,3647,9661,-347604,-3664,36214,-4308,7725,4493,-527027,-28297,1736,3980,-327,616,-613506,-7893,19576,14718,18768,35938,-471690,-19628,1869,-1456,-2097,-3385,1188959,55720,46263,69771,46833,71380,-179423,-86479,141816,1660649,-24633,20404,-11735,75348,-34478,17840,-17707,44394,8288,10738,-16174,71227,-8052,19095,-20865,48930,-3877,35322,-39323,74765,easy
718617,34846,23818,20430,12049,14302,-563386,37505,5069,-4578,1954,89508,-673521,714,-22821,-15958,-9959,-711,-710023,-24682,-21657,-19169,-8663,-7242,-703175,-24353,-16989,-11431,-3517,73127,-704239,-30266,-19431,-14935,-4080,29564,-110135,-36502,6848,-1064,-36791,-25396,329,-5913,-27890,1164,4668,-2442,-11380,-3211,7738,-3504,-11913,1296,5146,-563,-90219,-6531,80369,-43563,difficult
572125,50220,14848,15090,5926,7397,-558011,-48424,-11890,-13689,-5127,23634,-562622,-38871,-12478,-11590,9261,33457,-470187,-26420,-12541,-14237,-3700,2694,-490523,-48412,-13302,-14768,-4817,-5237,-438812,-36644,-12554,-12724,1798,2117,-4611,92435,-20336,51711,9553,12451,-21992,11768,-588,-63,-761,748,2099,-2647,-531,2044,14388,-12961,-1117,6615,9823,-30763,-7931,7354,easy
312064,32688,9511,6876,10276,9271,112632,172481,107567,-2276,22815,34444,2854519,407984,-9,18647,8848,5297,-301587,-21839,-5578,-4567,-3837,3053,-309297,-22226,-8054,12471,-5242,14637,-286332,-19048,1513,-1001,9478,13313,2741887,-3156106,-7710,22965,235503,-429823,-387,3178,-107576,-5569,-2476,9567,20923,-23214,17038,-13472,-13967,-12685,-1405,14720,-29147,-2244,11584,-1324,difficult
