delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
385383,48716,19231,6919,7979,5915,4309,1559,-380534,-38972,-17281,-1115,345,-1314,-854,1051,-371231,-24746,-11517,3287,678,182,758,1066,268926,-30850,-11887,-5988,5839,1978,2282,-604,easy
434133,76758,18989,20670,15817,23817,7841,9940,472957,40874,18126,5754,5016,-11259,35587,-1685,221225,-22990,12612,-7757,383,19161,12083,156,615641,56099,15835,-7097,-1872,-1979,3304,506,difficult
127674,59678,5223,4073,3653,8440,1979,1751,-88907,-26199,31181,16800,1771,13805,8036,545,-121962,-45138,721,-1827,1892,-1508,2003,-704,-68998,-45602,1301,-433,-3140,-6416,-1313,-1256,easy
379839,70437,9265,11165,6163,6342,3084,1837,1846298,105842,31314,14226,-342,7539,2602,3587,-321539,-37046,6844,-2,12039,19196,6433,2398,1057501,75396,22406,28325,37662,21260,1085,427,difficult
523942,121596,23438,18845,36996,20648,9184,4292,352158,-25753,46585,-1006,-33012,-12235,-7399,-2843,1255810,-63467,102167,-10313,-23754,-10431,-3148,4380,1883108,171647,46957,87176,-6397,7726,-3995,738,easy
62962,14061,17916,6294,7530,5577,1949,1149,-20630,7473,-16090,-4474,-5312,-3539,-384,-447,-48597,6949,-9471,14309,-1709,-757,971,283,535,37226,-15163,-3042,-4666,-2941,238,-886,difficult
84563,88560,12590,7207,5608,5090,1872,970,34106,-75621,-8334,-2059,-4526,-3236,-755,-507,733516,-49189,3374,1433,7356,-1744,603,147,112550,-36475,1879,-1756,-1861,-2031,-854,519,easy
683104,236979,37128,15872,12987,26716,10665,5952,-498842,-159436,-35539,-2526,-9636,-21190,-7702,-1446,-613098,-216561,-34781,-11303,-10487,-25912,-9684,-5265,-512720,-83504,28757,1863,-2658,-12192,-5680,8617,difficult
574273,65510,27391,19422,13179,7857,2462,1181,-51125,-63121,-27188,-16461,-12952,-7464,-2300,-1071,297493,181374,-25880,-16564,29968,35017,61,-356,-336245,114015,-5213,-2326,6115,11286,-330,788,easy
92179,82453,19027,6755,14959,22130,23208,11999,-60248,-65297,-12873,-2947,-13950,-19350,-19237,-8952,-86749,-65461,-8219,682,-1701,3855,-13248,-6445,1834703,-15457,-2729,7405,-3969,18048,-12600,-1415,difficult
120861,103397,26823,23569,16103,8657,3970,2143,634936,-85919,-16977,-20589,-13892,-7173,-3306,-1716,-15574,-48176,-12550,-9479,-8317,-4760,-2958,37,-80027,-83465,-21735,-20307,-13236,-7810,-3165,-1890,easy
984256,37976,11871,19864,6741,24000,13830,7260,-970833,-23355,1000,-17347,16929,37892,9734,6214,-902368,4003,-10663,-19386,-5108,-16383,-5645,-3151,-930903,-19436,-5856,-14515,13088,24835,33592,555,difficult
650534,232711,29137,16790,18942,20443,8264,3751,-376981,-169519,-16749,-4384,-13231,-16945,-4483,-2336,357198,7883,-4194,-9917,-10946,-12057,-4155,-2017,-605059,-166930,-22768,-14977,-16621,-17608,-5329,-3030,easy
681295,178435,32177,8141,10205,12312,22565,2532,273981,-12245,-1911,15255,3604,25356,15850,4532,-653211,-143407,-24650,3619,-4722,-1618,-11226,6263,-574481,-167762,-30261,-5633,-7736,-7232,-20103,361,difficult
717820,249934,69336,15656,10502,11978,5222,3961,-231569,-221007,-62277,-13033,-8021,-7193,-2087,-2497,748883,-89,-48809,7501,-5143,4147,1054,1744,-314398,-216762,-64738,-8042,-3069,498,1265,-2909,easy
395566,30128,42014,14015,3946,8120,7957,4216,-308072,58440,-41626,12129,12984,-1180,-4057,-2724,-316120,-4313,-38372,-6994,9901,1564,-6421,-3294,693653,-16632,-38051,-3960,-355,-6680,-7172,-3835,difficult
512395,207911,50680,32808,11034,15703,6395,4145,-51833,402040,204,24615,6648,-1603,2279,10211,-456382,10874,12891,-23391,-8571,-10917,-3291,-2497,1445758,54911,-36851,-4800,27287,-1780,1650,5210,easy
184340,54983,7711,23031,7080,17756,6844,3919,281316,52616,2071,2261,9781,59508,14996,21439,-121913,-49847,-4982,-10277,-3640,-4865,-4062,-2551,-139677,-32817,-154,-22423,-4406,-7522,1852,-1626,difficult
