delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
145682,41600,5465,3669,2470,5864,767619,363781,82697,46805,36044,45450,442939,12560,8390,8260,6180,7173,-29492,20590,36457,33345,53355,27769,-324680,-472431,-351221,8030,-74307,28067,-38545,25085,-29864,47175,-38277,20596,easy
785537,152672,22624,17703,13743,31398,1295059,350374,269923,9103,47330,117628,1506438,-116701,18450,42420,-4005,113345,470875,-126534,25278,14031,10329,160424,211379,-1035563,-467075,-9833,-251473,6828,33317,-28389,-51335,14334,-4283,47079,difficult
918414,186382,25529,21170,9744,34331,-213433,-137127,-7117,-627,3035,-14171,-858858,-179550,-23012,-20500,-7554,-30064,-885238,-168526,-13131,-19304,-3330,-22235,-645425,-26380,-42423,11024,-15895,9881,-19873,1196,-10589,4224,-15893,7829,easy
852605,130557,28552,19465,21338,36976,-323213,-72329,-21096,-14120,-4615,-31749,-788094,-115117,-25782,-13470,-14982,-30708,-288276,-47686,25465,-4123,20806,-14614,-464881,499818,-42788,67431,-4686,51247,650,9347,-10367,35788,1041,16094,difficult
713162,162300,23003,11892,12398,19869,-600640,-98708,-16943,-8094,-6458,-2704,959512,128104,13448,2148,-5610,45514,-699614,-132760,-16570,4530,18460,40237,1560152,-1659126,226812,-260864,30391,-30018,10242,2382,848,24070,48218,-5277,easy
465007,75232,8626,18616,11067,19187,1983364,159994,96715,14565,49825,20647,-175238,-44031,20402,-11654,1240,-9170,-24605,21358,28532,4273,378,-2890,-2158602,150633,-204025,65389,-76313,8130,-26219,15927,-48585,-862,-29817,6280,difficult
523202,27345,10117,3434,8285,15489,234759,82870,62552,23305,21460,35994,149725,147812,36036,57934,44883,21781,132216,236517,-1682,6761,44336,36106,-85034,-17509,64942,88705,-26516,-37718,34629,-51173,23423,-547,-14213,14325,easy
752579,209530,61621,23221,19338,33646,1424514,521889,120012,9312,29724,37804,-707395,-180341,-58783,-17217,-3154,-26375,-633636,-187520,-59307,-21804,-10397,-25421,-2131909,73759,-702230,-7179,-178795,-524,-26529,-4587,-32878,-7243,-64179,954,difficult
147143,43825,4639,5721,5124,13383,383420,32974,39703,-3940,6292,3941,-139082,-35516,1733,2528,18619,14674,-142982,-21389,12898,3068,23117,33793,-522502,-3900,-68490,14127,-37970,11165,6468,540,12327,4498,10733,19119,easy
445458,231835,12401,31886,31515,41266,421065,-146723,-3700,-23712,-26418,-30069,-315283,-177360,13727,-21351,2661,4084,-237089,-53732,-7770,-9068,-9823,6067,-736348,78194,-30637,123628,17427,-21497,2361,12283,29079,-12484,34153,1983,difficult
202648,51542,4778,5239,3276,7462,-90440,2924,4106,8607,-184,4817,200695,421224,25503,31704,11659,41819,57633,115906,4157,3373,8243,80651,291135,-143062,418300,-305318,21397,-21346,23097,-28331,11843,-3416,37002,38832,easy
1119171,78334,54217,14175,24145,31936,326586,-6309,-25074,-2299,9276,2077,-646458,16537,-2498,3288,4838,8083,-812388,-17283,-51683,-6883,-12524,-20751,-973044,-165930,22846,-33820,22576,-49185,5587,-10171,-4438,-17362,6006,-28834,difficult
482600,86012,27496,22967,20471,47060,-356426,-48765,-23043,-17256,-19332,-39269,215996,-29301,-10207,-17494,-2366,-18326,-206273,48739,-20090,-15431,-9232,-36419,572422,-422269,19464,78040,12836,-9883,-238,2063,16966,-6866,20943,-18093,easy
253981,94201,20912,13790,4868,24127,-160165,21653,-17802,5853,19436,4620,800767,-75020,-17614,-8757,203,-5394,244203,-76684,-10235,-9014,16369,31811,960932,-556564,-96673,-1664,188,7379,-14610,-257,-19233,16166,-10014,37205,difficult
828245,271765,61080,51392,18472,48505,1202285,181619,291183,-8308,4516,44117,-631237,-254911,-48948,-48099,-17500,-45219,-416253,-150333,-29635,-47346,-2251,-22828,-1833522,214984,-436530,104578,-340131,19313,-39791,753,-22016,15249,-89336,22391,easy
405433,336670,81695,39700,30772,53074,-273029,-268141,-81181,-14911,-17761,-5060,-199219,-299690,-64882,-25244,7434,-28449,-369930,-317540,-47702,-34769,-3980,-27819,73810,-170711,-31549,-17850,16299,17180,-10333,-9525,25195,-11414,-23389,630,difficult
811745,349066,34572,55875,28026,69664,1100846,53601,-1611,-6220,10176,-10246,-142410,110608,21352,-23755,12727,-28412,-320544,-238595,23681,-19437,-23524,-56127,-1243256,-178134,57007,-349203,22963,2329,-17535,4318,2551,-36251,-18166,-27715,easy
886520,259165,34272,34910,28591,34494,761770,139401,-7853,11443,-4676,-18641,-806973,-183358,-22491,-28390,-3784,-19464,-850462,-212351,-20184,-28972,-18046,-28082,-1568743,-43489,-322759,-28993,-14638,2307,-39833,-582,892,-14262,-823,-8618,difficult
1527178,409481,99434,65135,41336,70650,-666108,-145836,-39991,-54939,-13571,-60391,-1430828,-390377,-98114,-60979,-39520,-64773,-1405793,-399981,-98662,-61159,-40167,-66829,-764720,25035,-244541,-9604,-58123,-548,-6040,-180,-25949,-647,-4382,-2056,easy
373524,25430,16487,7093,15411,24810,-365356,8395,-12680,-1478,1027,7429,-280664,18714,7718,15295,-5806,79866,-351371,37341,-2434,19287,34191,-651,84692,-70707,10319,18627,20398,-10152,16773,3992,-6833,39997,72437,-80517,difficult
