delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
564718,83597,54716,13188,8986,16773,226770,21686,-46116,67735,-669,5501,39673,6105,-33482,4409,9695,8732,850713,-19904,4921,14573,14144,2197,-187097,811040,-15581,-26009,12634,38403,-63326,10164,10364,4449,3231,-6535,easy
1014466,134687,53887,16988,24774,12244,-856616,94892,-10787,9971,-4341,19423,-480739,109832,-20221,1120,7276,25612,-737530,14627,72856,21608,14975,11279,375877,-256791,14940,-95205,-9434,93077,-8851,20488,11617,7699,6189,-14333,difficult
1374613,69613,12792,21867,7649,7256,-697606,35607,-11381,-11503,10700,8838,-1066731,122432,60936,46322,12276,17732,-1032896,20972,33128,-17273,-2512,-303,-369125,33835,86825,-101460,72317,-27808,57825,-63595,1576,-14788,8894,-18035,easy
97401,32913,14209,21921,10941,5835,-79949,-28287,37605,-8119,7582,18397,446054,29726,-8602,-9223,16966,28129,-43925,-3454,9383,20603,-1899,13201,526003,-489979,58013,-33180,-46207,17985,-1104,29826,9384,-18865,9732,-14928,difficult
1143853,122181,55837,35092,12341,12908,-910715,-81987,-41090,-26893,-7161,-802,-1124885,-108991,-42998,-31817,16364,8435,103856,-66295,-37814,-14647,30271,3748,-214170,1228741,-27004,42696,-1908,5184,-4924,17170,23525,13907,9237,-4687,easy
374276,87796,7365,9291,7904,5074,2127734,123337,13785,23750,25084,17177,6665,52644,92168,5801,18975,36505,-347649,-44230,7343,9196,17201,3184,-2121069,-354314,-70693,-96874,78383,-84825,-17949,3395,-6109,-1774,19328,-33321,difficult
1220555,103060,19256,18481,20524,17788,-839077,-30770,-7344,-3744,-2550,-9534,-486701,-79773,-1715,-6562,-9001,-8018,-1037196,-86338,-6726,-17289,-16615,-14513,352376,-550495,-49003,-6565,5629,-5011,-2818,-10727,-6451,-7614,1516,-6495,easy
296947,66802,16971,21699,7150,8317,9673,-33713,-16573,-19650,-3103,-2912,-254223,-47109,-14691,-18647,-3227,-3790,-263692,-54454,3057,-1857,18201,14273,-263896,-9469,-13396,-7345,1882,17748,1003,16790,-124,21428,-878,18063,difficult
739170,164117,73062,39548,72437,61135,68311,344054,2887,83756,41077,15035,-169188,-72959,-56653,-15889,-44279,-38657,-648350,-127025,-65311,-24639,-60586,-47640,-237499,-479162,-417013,-54066,-59540,-8658,-99645,-8750,-85356,-16307,-53692,-8983,easy
295656,49292,7648,2501,7714,6907,-90698,7330,17638,19805,2965,-2196,441357,35447,47085,11727,12548,25176,-173292,-34609,-3542,7612,-1835,-194,532055,-614649,28117,-70056,29447,-50627,-8078,-4115,9583,-14383,27372,-25370,difficult
809293,102232,14987,13016,16845,15974,-680177,-90166,-14258,-4976,-15087,-12151,1579682,703999,63048,2490,51099,13713,77094,27804,-8837,-4646,-6137,-5366,2259859,-1502588,794165,-676195,77306,-71885,7466,-7136,66186,-57236,25864,-19079,easy
321700,87947,24397,29906,12661,13853,-285744,-65453,-22677,-23497,-10861,-8543,-309945,-64232,-18889,-19442,2074,-1509,-313777,-75787,-17813,-20117,2102,-909,-24201,-3832,1221,-11555,3788,1076,4055,-675,12935,28,7034,600,difficult
674713,163234,87963,49817,68206,51683,-366503,-58527,-66572,-37405,-55404,-37609,733947,155316,-21296,57796,88471,46652,-468903,-8234,-69284,-27060,-57097,-44297,1100450,-1202850,213843,-163550,45276,-47988,95201,-84856,143875,-145568,84261,-90949,easy
769864,159788,59393,44236,10734,20362,1387269,-10657,-42716,-23780,46563,-1044,-574690,-106750,-53735,-40797,-2510,-12400,-735698,-111471,-34914,-19215,20661,-10802,-1961959,-161008,-96093,-4721,-11019,18821,-17017,21582,-49073,23171,-11356,1598,difficult
21042,22702,8486,7020,7513,8655,2092554,254227,71635,19707,17102,33894,252550,45457,1069,-1851,-1891,1064,1239426,23637,-635,-752,-6234,2076,-1840004,986876,-208770,-21820,-70566,-1704,-21558,1099,-18993,-4343,-32830,1012,easy
1915221,362487,57599,21510,22862,31443,-1657633,-352928,-45087,-3276,-16969,-25310,-1236027,-298571,-50342,43358,-6434,-15945,-885485,-211619,-29576,-9652,-1643,-579,421606,350542,54357,86952,-5255,20766,46634,-53010,10535,4791,9365,15366,difficult
371574,115277,12506,17706,29873,10529,-240380,-75342,64310,-7918,-16965,-1292,832212,85203,95388,55185,34572,31123,333279,-44724,50382,34023,38949,4513,1072592,-498933,160545,-129927,31078,-45006,63103,-21162,51537,4377,32415,-26610,easy
406253,340844,74651,19450,21628,40138,43479,-215399,-14060,-6771,24045,-14053,-290392,-291604,-73637,9892,-11031,-18517,-379717,-323042,-51126,-9348,-18523,-29467,-333871,-89325,-76205,-31438,-59577,22511,16663,-19240,-35076,-7492,-4464,-10950,difficult
